"resolved_name;gametophytic;sporophytic;parsed n"
"Actinoscirpus grossus;;82;"
"Actinoscirpus grossus;;82;41"
"Actinoscirpus grossus;ca 44;;44"
"Actinoscirpus grossus;ca. 44;;44"
"Ascopholis gamblei;;80;"
"Ascopholis gamblei;;80;"
"Baeothryon cespitosum;;104;"
"Baeothryon cespitosum;;104;"
"Baeothryon cespitosum;;104;"
"Baeothryon cespitosum;;c.100;"
"Baeothryon pumilum;;78;"
"Baeothryon uniflorum;;74;"
"Baumea articulata;;24;"
"Baumea complanata;;c.50;"
"Blysmus compressus;;44, 78;22, 39"
"Blysmus compressus;;44,79;22"
"Blysmus compressus;;44;"
"Blysmus compressus;;44;"
"Blysmus compressus;;44;22"
"Blysmus compressus;;44;22"
"Blysmus compressus;;44;22"
"Blysmus compressus;;44;22"
"Blysmus compressus;;44;22"
"Blysmus compressus;;44;22"
"Blysmus compressus;;44;22"
"Blysmus compressus;;44;22"
"Blysmus compressus;;44;22"
"Blysmus compressus;;44;22"
"Blysmus compressus;;44;22"
"Blysmus compressus;;44;22"
"Blysmus compressus;;44;22"
"Blysmus compressus;;44;22"
"Blysmus compressus;;79;"
"Blysmus compressus;;79;"
"Blysmus compressus;;79;"
"Blysmus compressus;22;;22"
"Blysmus compressus;22;;22"
"Blysmus compressus;22;;22"
"Blysmus rufus;;40;"
"Blysmus rufus;;40;20"
"Blysmus rufus;;40;20"
"Blysmus rufus;;40;20"
"Blysmus rufus;;40;20"
"Blysmus rufus;;40;20"
"Blysmus rufus;;40;20"
"Blysmus rufus;;40;20"
"Blysmus rufus;;40;20"
"Blysmus rufus;;40;20"
"Blysmus rufus;;80;40"
"Blysmus rufus;;80;40"
"Bolboschoenoplectus mariqueter;;64;32"
"Bolboschoenus (L.;54, 55;;"
"Bolboschoenus fluviatilis;;104;52"
"Bolboschoenus fluviatilis;;104;52"
"Bolboschoenus fluviatilis;;110;55"
"Bolboschoenus fluviatilis;;94;47"
"Bolboschoenus fluviatilis;;c.110;55"
"Bolboschoenus fluviatilis;;ca 94;47"
"Bolboschoenus fluviatilis;;ca. 94;47"
"Bolboschoenus glaucus;;110;55"
"Bolboschoenus glaucus;43, 48, 52;;43, 48, 52"
"Bolboschoenus glaucus;49, 58;;49, 58"
"Bolboschoenus glaucus;49;;49"
"Bolboschoenus glaucus;49;;49"
"Bolboschoenus glaucus;49;;49"
"Bolboschoenus glaucus;55;;"
"Bolboschoenus glaucus;55;;55"
"Bolboschoenus glaucus;55;;55"
"Bolboschoenus koshevnikovii;;26, 50-52;"
"Bolboschoenus koshevnikovii;;26, 50-52;13, 25, 26"
"Bolboschoenus maritimus subsp fluviatilis;;104;"
"Bolboschoenus maritimus subsp maritimus;54, 55;;54, 55"
"Bolboschoenus maritimus subsp maritimus;54, 55;;54, 55"
"Bolboschoenus maritimus subsp paludosus;;~110;55"
"Bolboschoenus maritimus subsp paludosus;;104;"
"Bolboschoenus maritimus subsp paludosus;;104;52"
"Bolboschoenus maritimus subsp paludosus;;ca 90;45"
"Bolboschoenus maritimus var compactus;54, 55;;"
"Bolboschoenus maritimus;;""76-77"";38"
"Bolboschoenus maritimus;;~104;52"
"Bolboschoenus maritimus;;~86, 104;43, 52"
"Bolboschoenus maritimus;;104,112,55,64;52, 56, 32"
"Bolboschoenus maritimus;;104;"
"Bolboschoenus maritimus;;104;52"
"Bolboschoenus maritimus;;104;52"
"Bolboschoenus maritimus;;104;52"
"Bolboschoenus maritimus;;104;52"
"Bolboschoenus maritimus;;104;52"
"Bolboschoenus maritimus;;104;52"
"Bolboschoenus maritimus;;104;52"
"Bolboschoenus maritimus;;104;52"
"Bolboschoenus maritimus;;104;52"
"Bolboschoenus maritimus;;110;55"
"Bolboschoenus maritimus;;110;55"
"Bolboschoenus maritimus;;110;55"
"Bolboschoenus maritimus;;26, 5052;13"
"Bolboschoenus maritimus;;40, 55-60, 80, 86, 96, 104, 110;20, 30, 40, 43, 48, 52, 55"
"Bolboschoenus maritimus;;40;20"
"Bolboschoenus maritimus;;40;20"
"Bolboschoenus maritimus;;40;20"
"Bolboschoenus maritimus;;64, 112;"
"Bolboschoenus maritimus;;64, 112;32, 56"
"Bolboschoenus maritimus;;64, 112;32, 56"
"Bolboschoenus maritimus;;7677;"
"Bolboschoenus maritimus;;76-77;38"
"Bolboschoenus maritimus;;80;40"
"Bolboschoenus maritimus;;80;40"
"Bolboschoenus maritimus;;80;40"
"Bolboschoenus maritimus;;80;40"
"Bolboschoenus maritimus;;80;40"
"Bolboschoenus maritimus;;80;40"
"Bolboschoenus maritimus;;80;40"
"Bolboschoenus maritimus;;86, 104;43, 52"
"Bolboschoenus maritimus;;86, 104;43, 52"
"Bolboschoenus maritimus;;86, 104;43, 52"
"Bolboschoenus maritimus;;86;43"
"Bolboschoenus maritimus;;86;43"
"Bolboschoenus maritimus;;96, 110;48, 55"
"Bolboschoenus maritimus;;96, 110;48, 55"
"Bolboschoenus maritimus;;c.104;52"
"Bolboschoenus maritimus;;c.104;52"
"Bolboschoenus maritimus;;c.55-60;"
"Bolboschoenus maritimus;;c.55-60;30"
"Bolboschoenus maritimus;;c.86, 104;43,52"
"Bolboschoenus maritimus;;ca 104;52"
"Bolboschoenus maritimus;;ca. 104;52"
"Bolboschoenus maritimus;;ca. 104;52"
"Bolboschoenus maritimus;;ca. 5560;"
"Bolboschoenus maritimus;;ca. 86, 104;43, 52"
"Bolboschoenus maritimus;;ca. 90;45"
"Bolboschoenus maritimus;;ca.104;"
"Bolboschoenus maritimus;;ca.104;52"
"Bolboschoenus maritimus;43, 48, 52;;43, 48, 52"
"Bolboschoenus maritimus;48, 55;;48, 55"
"Bolboschoenus maritimus;48, 55;;48,55"
"Bolboschoenus maritimus;49, 58;;49, 58"
"Bolboschoenus maritimus;49;;49"
"Bolboschoenus maritimus;49;;49"
"Bolboschoenus maritimus;49;;49"
"Bolboschoenus maritimus;54, 55;;54, 55"
"Bolboschoenus maritimus;54;;54"
"Bolboschoenus maritimus;54;;54"
"Bolboschoenus maritimus;55;;"
"Bolboschoenus maritimus;55;;55"
"Bolboschoenus maritimus;55;;55"
"Bolboschoenus maritimus;55;;55"
"Bolboschoenus maritimus;55;;55"
"Bolboschoenus maritimus;55;;55"
"Bolboschoenus maritimus;58;;58"
"Bolboschoenus planiculmis;;108,50,52,56;54, 25, 26, 28"
"Bolboschoenus planiculmis;;50;25"
"Bolboschoenus planiculmis;;50;25"
"Bolboschoenus planiculmis;;50-52, 56;"
"Bolboschoenus planiculmis;;50-52, 56;25, 26, 28"
"Bolboschoenus planiculmis;;5052, 56;28"
"Bolboschoenus planiculmis;54;;"
"Bolboschoenus planiculmis;54;;54"
"Bolboschoenus planiculmis;54;;54"
"Bolboschoenus planiculmis;54;;54"
"Bolboschoenus planiculmis;54;;54"
"Bolboschoenus robustus;;106-110;53, 55"
"Bulbostylis barbata;;10;5"
"Bulbostylis barbata;;10;5"
"Bulbostylis barbata;;10;5"
"Bulbostylis barbata;;10;5"
"Bulbostylis barbata;;10;5"
"Bulbostylis barbata;;10;5"
"Bulbostylis barbata;;10;5"
"Bulbostylis barbata;;10;5"
"Bulbostylis barbata;;10;5"
"Bulbostylis barbata;;10;5"
"Bulbostylis barbata;;10;5"
"Bulbostylis barbata;;10;5"
"Bulbostylis barbata;;10;5"
"Bulbostylis barbata;;10;5"
"Bulbostylis barbata;34;;"
"Bulbostylis barbata;34;;34"
"Bulbostylis barbata;34;;34"
"Bulbostylis barbata;5;;"
"Bulbostylis barbata;5;;"
"Bulbostylis barbata;5;;"
"Bulbostylis barbata;5;;"
"Bulbostylis barbata;5;;"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;;5"
"Bulbostylis barbata;5;10;"
"Bulbostylis barbata;5;10;5"
"Bulbostylis capillaris;;72;36"
"Bulbostylis capillaris;;84;42"
"Bulbostylis capillaris;;84;42"
"Bulbostylis capillaris;36;;36"
"Bulbostylis capillaris;36;;36"
"Bulbostylis ciliatifolia var coarctata;;60;30"
"Bulbostylis ciliatifolia var coarctata;30;;30"
"Bulbostylis ciliatifolia;30;;30"
"Bulbostylis cioniana;5;10;5"
"Bulbostylis cioniana;5;10;5"
"Bulbostylis cioniana;5;10;5"
"Bulbostylis densa;;64;32"
"Bulbostylis densa;;84;42"
"Bulbostylis densa;32;;32"
"Bulbostylis funckii;;20;10"
"Bulbostylis funckii;10;;10"
"Bulbostylis funckii;10;;10"
"Bulbostylis hispidula;5;;5"
"Bulbostylis hispidula;5;;5"
"Bulbostylis junciformis;30;;30"
"Bulbostylis junciformis;30;;30"
"Bulbostylis juncoides;;60;30"
"Bulbostylis juncoides;;84;42"
"Bulbostylis juncoides;60;;60"
"Bulbostylis juncoides;60;;60"
"Bulbostylis puberula;;20;10"
"Bulbostylis puberula;10;20;"
"Bulbostylis stenophylla;;30;15"
"Bulbostylis stenophylla;15;;15"
"Bulbostylis stenophylla;15;;15"
"Bulbostylis trilobata;25;;25"
"Bulbostylis trilobata;25;;25"
"Bulbostylis vestita;30;;30"
"Bulbostylis vestita;30;;30"
"Bulbostylis warei;;30;15"
"Bulbostylis warei;15;;15"
"Bulbostylis warei;15;;15"
"Carex ;;;"
"Carex abrupta;;76;38"
"Carex abscondita;24II;;"
"Carex abscondita;24II;;24"
"Carex acuta;;104;52"
"Carex acuta;;48;24"
"Carex acuta;;72 74-76 78;36,37,38,39"
"Carex acuta;;82, 83, 84 + 02B, 85;41, 42"
"Carex acuta;;82, 83, 84;41, 42"
"Carex acuta;;82;41"
"Carex acuta;;82;41"
"Carex acuta;;82;41"
"Carex acuta;;82;41"
"Carex acuta;;82-85;41"
"Carex acuta;;83;"
"Carex acuta;;83;"
"Carex acuta;;83;"
"Carex acuta;;84;"
"Carex acuta;;84;"
"Carex acuta;;84;"
"Carex acuta;;84;"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
"Carex acuta;;84;42"
