NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.112006	0.111078	0.109062	0.105625	0.100391	0.0930939	0.08372	0.0725908	0.0603574	0.0478923	0.0361088	0.0257699	0.0173482	0.0109797	0.00656068	0.00369452	0.00195797	0.000975479	0.000456481	0.000200511	8.26341e-05	3.19407e-05	1.15779e-05	3.93586e-06	1.25542e-06	3.76281e-07	1.05408e-07	2.76008e-08	6.75651e-09	1.54646e-09	3.3101e-10	6.62669e-11	1.24103e-11	2.17457e-12	3.56591e-13	8.96259e-17	3.39805e-17	1.24699e-17	4.4306e-18	1.52487e-18	5.08908e-19	1.64357e-19	5.13764e-20	1.55474e-20	4.55579e-21	1.29294e-21	3.55468e-22	9.46974e-23	2.44512e-23	6.12067e-24	1.4858e-24	3.49875e-25	7.99488e-26	1.77353e-26	3.82158e-27	8.00811e-28	1.62932e-28	3.21949e-29	6.18e-30	1.15276e-30	2.09023e-31	3.68596e-32	6.32551e-33	1.05752e-33	1.72557e-34	2.75719e-35	4.34035e-36	6.80456e-37	1.08198e-37	1.80363e-38	3.81814e-39	
N2	0.0200499	0.0214709	0.0235132	0.0261891	0.0294761	0.0333039	0.0375437	0.0420029	0.0464299	0.0505293	0.0539876	0.0565071	0.0578429	0.0578348	0.056727	0.0545559	0.0513047	0.0471576	0.0423592	0.0371855	0.0319127	0.0267898	0.0220179	0.0177388	0.0140328	0.0109239	0.00834378	0.00626719	0.00464092	0.00339725	0.00246494	0.00175927	0.00123501	0.000852636	0.000578836	0.000386391	0.000253648	0.000163807	0.000104144	6.52577e-05	4.03707e-05	2.45666e-05	1.4719e-05	8.69112e-06	5.06199e-06	2.91014e-06	1.62981e-06	8.89165e-07	4.72582e-07	2.44735e-07	1.23526e-07	6.07922e-08	2.91896e-08	1.36868e-08	6.27604e-09	2.821e-09	1.23948e-09	5.33217e-10	2.25051e-10	9.34228e-11	3.82554e-11	1.55041e-11	6.24188e-12	2.50596e-12	1.00719e-12	4.07e-13	1.66439e-13	6.98955e-14	3.13014e-14	1.63639e-14	1.179e-14	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.101562	0.104504	0.105849	0.105139	0.101912	0.0958797	0.087077	0.0759484	0.063317	0.0502424	0.0378053	0.0268886	0.0180277	0.011369	0.00677419	0.00381963	0.00202911	0.00101567	0.000479349	0.000213612	9.00904e-05	3.60798e-05	1.37833e-05	5.0525e-06	1.7911e-06	6.21185e-07	2.1349e-07	7.48947e-08	2.80578e-08	1.17016e-08	5.43081e-09	2.22969e-09	8.32596e-10	2.87588e-10	9.28905e-11	2.82468e-11	8.11719e-12	2.20858e-12	5.69798e-13	1.3981e-13	3.28935e-14	7.51123e-15	1.71316e-15	4.05795e-16	1.02833e-16	2.77475e-17	6.39279e-18	1.32318e-18	2.52286e-19	4.49497e-20	7.54644e-21	1.19915e-21	1.80685e-22	2.58235e-23	3.49948e-24	4.49794e-25	5.46249e-26	6.26575e-27	6.79003e-28	6.95949e-29	6.75719e-30	6.22139e-31	5.45736e-32	4.62789e-33	3.94502e-34	3.67e-35	4.11751e-36	5.66137e-37	8.81946e-38	1.48972e-38	3.29705e-39	
N4	0.0994476	0.101295	0.100789	0.0980002	0.0931159	0.0864336	0.0783416	0.0692908	0.0597606	0.0502192	0.0410868	0.0327033	0.0253085	0.0190341	0.0139903	0.0100675	0.00707146	0.00485175	0.00325527	0.0021394	0.00138036	0.00087696	0.000550744	0.000343673	0.000214588	0.000135371	8.68995e-05	5.76008e-05	4.00292e-05	2.94778e-05	2.30145e-05	1.75452e-05	1.30266e-05	9.41297e-06	6.62202e-06	4.53962e-06	3.03697e-06	1.98703e-06	1.27583e-06	8.08167e-07	5.09051e-07	3.20433e-07	2.03903e-07	1.32674e-07	8.89667e-08	6.15453e-08	4.05816e-08	2.57027e-08	1.57127e-08	9.30081e-09	5.34169e-09	2.98067e-09	1.61744e-09	8.54205e-10	4.39468e-10	2.20591e-10	1.07621e-10	5.10688e-11	2.36011e-11	1.06474e-11	4.70753e-12	2.05295e-12	8.93608e-13	3.96125e-13	1.84208e-13	9.30148e-14	5.24292e-14	3.34567e-14	2.44717e-14	2.11597e-14	2.27303e-14	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0955374	0.0988937	0.101253	0.101988	0.100405	0.0959751	0.0885291	0.0783755	0.0662808	0.0533246	0.0406682	0.0293113	0.0199134	0.0127279	0.00769565	0.00442352	0.00239846	0.00122787	0.000594706	0.000273361	0.000119761	5.02812e-05	2.03597e-05	8.00337e-06	3.07284e-06	1.15901e-06	4.30921e-07	1.62636e-07	6.91985e-08	3.98434e-08	3.09085e-08	1.57348e-08	6.77709e-09	2.65808e-09	9.74782e-10	3.37129e-10	1.10175e-10	3.40147e-11	9.91292e-12	2.72594e-12	7.08859e-13	1.75312e-13	4.30839e-14	1.21152e-14	4.70845e-15	2.3469e-15	7.06943e-16	1.78e-16	4.07431e-17	8.72672e-18	1.76525e-18	3.37951e-19	6.12271e-20	1.049e-20	1.6986e-21	2.60091e-22	3.75329e-23	5.1039e-24	6.54633e-25	7.94767e-26	9.18137e-27	1.00559e-27	1.04431e-28	1.03182e-29	9.78188e-31	9.19597e-32	1.00093e-32	1.83915e-33	5.79397e-34	2.14587e-34	1.04226e-34	
N6	0.0713368	0.0737996	0.075671	0.076822	0.0770926	0.0763172	0.0743567	0.0711333	0.0666594	0.0610544	0.054545	0.0474456	0.0401226	0.0329488	0.0264041	0.0206681	0.0157423	0.0116675	0.00841807	0.00591762	0.00405871	0.00272159	0.0017894	0.00115832	0.000742571	0.000475378	0.000305505	0.00019944	0.000133836	9.30783e-05	6.71421e-05	4.70964e-05	3.19918e-05	2.10021e-05	1.3316e-05	8.15669e-06	4.83282e-06	2.77576e-06	1.55082e-06	8.47201e-07	4.5591e-07	2.42578e-07	1.28763e-07	6.87495e-08	3.71161e-08	2.02712e-08	1.05146e-08	5.20437e-09	2.46596e-09	1.12101e-09	4.8969e-10	2.05796e-10	8.32859e-11	3.24883e-11	1.22293e-11	4.45095e-12	1.56164e-12	5.28837e-13	1.73174e-13	5.49963e-14	1.70147e-14	5.16336e-15	1.55438e-15	4.72253e-16	1.48166e-16	4.91866e-17	1.75866e-17	6.81812e-18	2.878e-18	1.37181e-18	8.90762e-19	
