NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.199338	0.186106	0.162905	0.134155	0.104214	0.0765043	0.0531332	0.0349262	0.0217269	0.012785	0.00711174	0.00373678	0.00185334	0.000867081	0.00038243	0.000158927	6.21979e-05	2.29131e-05	7.94184e-06	2.58876e-06	7.93237e-07	2.28386e-07	6.1761e-08	1.5681e-08	3.73677e-09	8.35513e-10	1.7524e-10	3.44708e-11	6.35829e-12	1.09965e-12	1.78311e-13	5.25901e-17	1.98555e-17	7.25922e-18	2.57014e-18	8.81284e-19	2.92691e-19	9.41633e-20	2.93486e-20	8.86304e-21	2.59377e-21	7.35693e-22	2.02278e-22	5.39216e-23	1.39384e-23	3.49442e-24	8.4983e-25	2.00524e-25	4.59157e-26	1.02048e-26	2.20182e-27	4.61303e-28	9.38657e-29	1.8554e-29	3.56348e-30	6.65144e-31	1.20688e-31	2.12928e-32	3.65374e-33	6.09987e-34	9.91178e-35	1.56841e-35	2.41865e-36	3.63937e-37	5.35448e-38	7.73101e-39	1.10263e-39	1.57138e-40	2.28049e-41	3.48189e-42	6.73971e-43	
N2	0.0273695	0.0298868	0.0330208	0.0369739	0.0412197	0.0458597	0.0501553	0.0542263	0.0572386	0.0594881	0.060198	0.0599366	0.0580699	0.0554109	0.0514597	0.047139	0.0420202	0.0369973	0.0316752	0.0268168	0.022045	0.0179426	0.0141566	0.011077	0.00838627	0.00631033	0.00458611	0.00332164	0.00231875	0.00161803	0.00108591	0.00073082	0.000471779	0.000306342	0.000190306	0.000119261	7.12759e-05	4.30849e-05	2.47694e-05	1.44384e-05	7.97892e-06	4.48086e-06	2.37999e-06	1.28752e-06	6.5688e-07	3.42054e-07	1.67682e-07	8.4081e-08	3.95927e-08	1.91095e-08	8.65184e-09	4.02391e-09	1.75207e-09	7.85373e-10	3.29602e-10	1.42788e-10	5.79018e-11	2.43175e-11	9.59816e-12	3.94276e-12	1.5323e-12	6.23756e-13	2.43783e-13	1.00431e-13	4.04192e-14	1.7186e-14	7.29641e-15	3.30443e-15	1.58633e-15	9.14097e-16	7.26116e-16	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.173274	0.171919	0.158326	0.137183	0.110945	0.0849024	0.0608224	0.0414106	0.0263939	0.0160468	0.00911174	0.00495932	0.00250994	0.00122819	0.000555405	0.000246751	0.000100331	4.11906e-05	1.52555e-05	5.95024e-06	2.04187e-06	7.7671e-07	2.50982e-07	9.43131e-08	2.87112e-08	1.04858e-08	2.98736e-09	1.04156e-09	2.73369e-10	8.88321e-11	2.14359e-11	6.49552e-12	1.42654e-12	3.97828e-13	8.04401e-14	2.10108e-14	3.86251e-15	9.27635e-16	1.58127e-16	3.60598e-17	5.59345e-18	1.17475e-18	1.7135e-19	3.48498e-20	4.6304e-21	8.65447e-22	1.09956e-22	2.02322e-23	2.34392e-24	3.93717e-25	4.48866e-26	7.54958e-27	7.92892e-28	1.16755e-28	1.17588e-29	1.66389e-30	1.48631e-31	1.84793e-32	1.57525e-33	1.91715e-34	1.44899e-35	1.56712e-36	1.14203e-37	1.23389e-38	8.04382e-40	7.86787e-41	5.42763e-42	6.05555e-43	5.55315e-44	8.448e-45	1.75338e-45	
N4	0.127137	0.129496	0.125558	0.117354	0.104914	0.0908501	0.0755102	0.0610606	0.0475002	0.0361128	0.02645	0.0190332	0.0132016	0.00905875	0.00599071	0.00395774	0.00251647	0.00162035	0.00100138	0.000638047	0.000387702	0.000247869	0.000149544	9.67818e-05	5.8122e-05	3.8e-05	2.26498e-05	1.4861e-05	8.72135e-06	5.68145e-06	3.26786e-06	2.10487e-06	1.18016e-06	7.47188e-07	4.09098e-07	2.55394e-07	1.36165e-07	8.34699e-08	4.35832e-08	2.64248e-08	1.34681e-08	8.02581e-09	4.02563e-09	2.3812e-09	1.16795e-09	6.78471e-10	3.2871e-10	1.89877e-10	8.99302e-11	5.08707e-11	2.38628e-11	1.34343e-11	6.14779e-12	3.36346e-12	1.51779e-12	8.21194e-13	3.58608e-13	1.87638e-13	8.06142e-14	4.17686e-14	1.73583e-14	8.73561e-15	3.61784e-15	1.84474e-15	7.75087e-16	4.12707e-16	2.02314e-16	1.32042e-16	9.09695e-17	8.62779e-17	1.01707e-16	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.162524	0.162847	0.152687	0.135538	0.112721	0.0889394	0.0656926	0.0461655	0.030298	0.0190083	0.0110869	0.0062367	0.00323466	0.0016459	0.00076114	0.000357008	0.00014807	6.61053e-05	2.4881e-05	1.10788e-05	3.82559e-06	1.75365e-06	5.60855e-07	2.66654e-07	7.82477e-08	3.70909e-08	1.00103e-08	4.66915e-09	1.13848e-09	5.00133e-10	1.12422e-10	4.77921e-11	9.65318e-12	3.77123e-12	7.22538e-13	2.77843e-13	4.75495e-14	1.62796e-14	2.6876e-15	9.37867e-16	1.35205e-16	4.07571e-17	5.84566e-18	1.90839e-18	2.31111e-19	6.25171e-20	7.85862e-21	2.45906e-21	2.52496e-22	6.2627e-23	7.73931e-24	2.48252e-24	2.85873e-25	5.79719e-26	6.89767e-27	1.46784e-27	1.37083e-28	2.20676e-29	2.12129e-30	3.97186e-31	2.92699e-32	4.23045e-33	3.32682e-34	6.26884e-35	3.63666e-36	5.00337e-37	3.33019e-38	6.58427e-39	4.76671e-40	1.21967e-40	4.98394e-41	
N6	0.0733974	0.077859	0.081417	0.0843761	0.0853731	0.0848371	0.0816233	0.0767194	0.0694726	0.0613803	0.0521163	0.0432424	0.0344211	0.0268761	0.0201001	0.0148385	0.0104705	0.00736214	0.00493488	0.00333896	0.00214337	0.00141009	0.000873693	0.000563446	0.000338158	0.000214002	0.000124348	7.69823e-05	4.30849e-05	2.58964e-05	1.39066e-05	8.08213e-06	4.14464e-06	2.31668e-06	1.13493e-06	6.10856e-07	2.85218e-07	1.4735e-07	6.58191e-08	3.27914e-08	1.39852e-08	6.693e-09	2.74103e-09	1.26851e-09	4.97004e-10	2.20985e-10	8.34136e-11	3.59315e-11	1.29839e-11	5.36692e-12	1.87286e-12	7.50801e-13	2.50581e-13	9.59719e-14	3.08712e-14	1.14293e-14	3.49998e-15	1.23422e-15	3.64097e-16	1.24347e-16	3.49953e-17	1.14552e-17	3.15806e-18	1.02773e-18	2.85259e-19	9.57469e-20	2.9998e-20	1.16283e-20	4.59958e-21	2.29256e-21	1.55618e-21	
