NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.19497	0.182648	0.160894	0.133675	0.104984	0.0780558	0.0549851	0.0367041	0.0232094	0.0138931	0.00786583	0.00420837	0.00212586	0.00101314	0.000455231	0.000192732	7.68427e-05	2.88377e-05	1.01816e-05	3.38042e-06	1.05493e-06	3.09306e-07	8.51683e-08	2.20153e-08	5.3404e-09	1.21531e-09	2.59391e-10	5.1913e-11	9.74058e-12	1.71329e-12	2.82482e-13	6.73505e-17	2.56351e-17	9.44732e-18	3.37121e-18	1.16493e-18	3.89841e-19	1.26357e-19	3.9672e-20	1.2067e-20	3.55638e-21	1.01572e-21	2.81168e-22	7.54495e-23	1.96301e-23	4.95266e-24	1.21196e-24	2.8771e-25	6.62704e-26	1.4814e-26	3.21438e-27	6.77155e-28	1.38527e-28	2.75254e-29	5.31346e-30	9.96708e-31	1.81722e-31	3.22112e-32	5.55251e-33	9.31089e-34	1.51944e-34	2.41433e-35	3.73814e-36	5.64663e-37	8.33846e-38	1.20814e-38	1.72863e-39	2.47049e-40	3.59386e-41	5.49774e-42	1.0656e-42	
N2	0.0273909	0.0298257	0.0328882	0.0367856	0.0409851	0.045596	0.049872	0.053943	0.0569633	0.059241	0.0599827	0.0597714	0.0579523	0.0553559	0.0514582	0.0472011	0.0421302	0.0371592	0.0318681	0.0270397	0.0222753	0.018178	0.014378	0.0112842	0.00856684	0.00646747	0.0047143	0.00342638	0.00239922	0.00168013	0.00113105	0.000763866	0.000494571	0.000322216	0.000200721	0.00012618	7.56009e-05	4.58288e-05	2.64065e-05	1.5432e-05	8.54506e-06	4.80972e-06	2.55917e-06	1.38727e-06	7.08852e-07	3.69781e-07	1.81517e-07	9.11648e-08	4.29775e-08	2.07722e-08	9.41375e-09	4.38361e-09	1.91022e-09	8.57204e-10	3.60015e-10	1.56129e-10	6.33579e-11	2.66377e-11	1.05231e-11	4.32799e-12	1.68385e-12	6.8637e-13	2.68592e-13	1.10786e-13	4.46265e-14	1.89816e-14	8.05566e-15	3.64292e-15	1.74381e-15	1.00044e-15	7.90942e-16	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.170193	0.168908	0.156134	0.136207	0.111167	0.0860283	0.0624123	0.0430872	0.0278703	0.0172076	0.00992739	0.00549075	0.00282472	0.00140449	0.000645525	0.000291155	0.000120236	5.00242e-05	1.87905e-05	7.40874e-06	2.57425e-06	9.87832e-07	3.22859e-07	1.22339e-07	3.76747e-08	1.38908e-08	4.00614e-09	1.41169e-09	3.75305e-10	1.23332e-10	3.01452e-11	9.23261e-12	2.05231e-12	5.77754e-13	1.17879e-13	3.10222e-14	5.74673e-15	1.39117e-15	2.38656e-16	5.48611e-17	8.56087e-18	1.81406e-18	2.66096e-19	5.45982e-20	7.2971e-21	1.37614e-21	1.75711e-22	3.25456e-23	3.76881e-24	6.32864e-25	7.06491e-26	1.17008e-26	1.17592e-27	1.74209e-28	1.69548e-29	2.4801e-30	2.15313e-31	2.78207e-32	2.34144e-33	2.99362e-34	2.24256e-35	2.52775e-36	1.84603e-37	2.07386e-38	1.35487e-39	1.36058e-40	9.42034e-42	1.06693e-42	9.73974e-44	1.48651e-44	3.08202e-45	
N4	0.12726	0.129283	0.125145	0.116892	0.104504	0.0905705	0.0753788	0.0610773	0.0476269	0.0363164	0.0266851	0.0192735	0.0134201	0.00924768	0.00614204	0.00407608	0.00260345	0.00168395	0.00104537	0.000668928	0.00040822	0.000261999	0.000158718	0.000103083	6.21554e-05	4.07746e-05	2.44033e-05	1.60652e-05	9.46768e-06	6.18794e-06	3.57407e-06	2.30914e-06	1.29976e-06	8.25052e-07	4.53189e-07	2.83506e-07	1.51572e-07	9.30914e-08	4.87238e-08	2.95975e-08	1.51189e-08	9.02849e-09	4.53856e-09	2.69069e-09	1.32265e-09	7.70104e-10	3.73784e-10	2.16283e-10	1.02496e-10	5.79974e-11	2.71415e-11	1.52445e-11	6.9396e-12	3.79349e-12	1.7033e-12	9.23248e-13	4.0159e-13	2.11015e-13	9.05015e-14	4.72058e-14	1.96186e-14	9.94838e-15	4.12839e-15	2.12156e-15	8.93855e-16	4.78905e-16	2.35302e-16	1.53951e-16	1.05938e-16	1.00262e-16	1.17812e-16	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.159495	0.159843	0.150407	0.134394	0.112754	0.0899243	0.067224	0.0478701	0.0318586	0.0202817	0.0120092	0.00685912	0.00361321	0.00186638	0.000876592	0.00041689	0.000175497	7.92406e-05	3.02336e-05	1.35703e-05	4.74384e-06	2.18756e-06	7.07711e-07	3.38587e-07	1.005e-07	4.80262e-08	1.31105e-08	6.1719e-09	1.52215e-09	6.75509e-10	1.53489e-10	6.58707e-11	1.3432e-11	5.28852e-12	1.00978e-12	3.90984e-13	6.64489e-14	2.30806e-14	3.77466e-15	1.3438e-15	1.91829e-16	5.91671e-17	8.43181e-18	2.82169e-18	3.4042e-19	9.41061e-20	1.18385e-20	3.76795e-21	3.8452e-22	9.48872e-23	1.04743e-23	3.12009e-24	2.70525e-25	5.95836e-26	5.7897e-27	1.602e-27	1.18031e-28	2.28999e-29	1.92901e-30	4.8504e-31	3.07104e-32	5.32126e-33	3.97048e-34	9.17543e-35	4.9932e-36	7.5969e-37	4.97558e-38	1.06615e-38	7.27899e-40	1.85358e-40	7.47814e-41	
N6	0.0723447	0.0766132	0.0801189	0.083164	0.0843597	0.0841129	0.0812287	0.0766701	0.0697272	0.0618936	0.0527987	0.0440307	0.0352255	0.0276545	0.0207939	0.0154404	0.0109573	0.00775179	0.00522681	0.00355892	0.00229831	0.00152164	0.000948435	0.000615427	0.000371489	0.000236467	0.000138161	8.60001e-05	4.83846e-05	2.92289e-05	1.57745e-05	9.21076e-06	4.74532e-06	2.66373e-06	1.31037e-06	7.08028e-07	3.31856e-07	1.72084e-07	7.71481e-08	3.85792e-08	1.65116e-08	7.93191e-09	3.25982e-09	1.51443e-09	5.95364e-10	2.65704e-10	1.00601e-10	4.34773e-11	1.57436e-11	6.52207e-12	2.27654e-12	9.13088e-13	3.04242e-13	1.1664e-13	3.7455e-14	1.38991e-14	4.25066e-15	1.50436e-15	4.43737e-16	1.52328e-16	4.29087e-17	1.4128e-17	3.90358e-18	1.27829e-18	3.55828e-19	1.20077e-19	3.77251e-20	1.46678e-20	5.80474e-21	2.89211e-21	1.95878e-21	
