NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.216157	0.199407	0.170486	0.135669	0.100837	0.0701874	0.0458394	0.0281237	0.0162211	0.00879756	0.00448696	0.00215165	0.000969938	0.000410906	0.000163554	6.11477e-05	2.14682e-05	7.07627e-06	2.18936e-06	6.35692e-07	1.7319e-07	4.42661e-08	1.06131e-08	2.3866e-09	5.03327e-10	9.95457e-11	1.84622e-11	3.21085e-12	5.23654e-13	8.69917e-17	3.29461e-17	1.20841e-17	4.29272e-18	1.47703e-18	4.92288e-19	1.5895e-19	4.97233e-20	1.50718e-20	4.42717e-21	1.26039e-21	3.47821e-22	9.30565e-23	2.41404e-23	6.07321e-24	1.48198e-24	3.50825e-25	8.0583e-26	1.7963e-26	3.8867e-27	8.16455e-28	1.6654e-28	3.29935e-29	6.34968e-30	1.18735e-30	2.15779e-31	3.81186e-32	6.54739e-33	1.09374e-33	1.77748e-34	2.81111e-35	4.32828e-36	6.49167e-37	9.49177e-38	1.35467e-38	1.89118e-39	2.59211e-40	3.5112e-41	4.75509e-42	6.56262e-43	9.53475e-44	1.7506e-44	
N2	0.029559	0.0322944	0.0356582	0.0397457	0.0441837	0.0489788	0.0532405	0.0571435	0.0599582	0.0616304	0.0617662	0.0608467	0.0581759	0.0547169	0.0501914	0.0451478	0.0396177	0.0343162	0.028844	0.0239639	0.0194248	0.0154898	0.0120415	0.00928562	0.00692306	0.00512859	0.00369806	0.00263231	0.00182089	0.00125741	0.000834335	0.000553774	0.000356122	0.000227087	0.000140012	8.67655e-05	5.12438e-05	3.0478e-05	1.74562e-05	9.95937e-06	5.45841e-06	3.02537e-06	1.58586e-06	8.42312e-07	4.28106e-07	2.17737e-07	1.058e-07	5.22981e-08	2.4286e-08	1.14929e-08	5.18051e-09	2.34827e-09	1.01238e-09	4.46595e-10	1.84362e-10	7.80563e-11	3.14222e-11	1.28078e-11	4.97843e-12	2.00032e-12	7.59022e-13	2.99943e-13	1.15208e-13	4.58492e-14	1.80608e-14	7.51645e-15	3.13113e-15	1.39599e-15	6.65645e-16	3.80375e-16	3.03195e-16	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.188708	0.185344	0.16707	0.139821	0.108564	0.0791655	0.0535596	0.0342232	0.0204344	0.0115105	0.00605645	0.00304899	0.00141764	0.000637326	0.000266881	0.000108368	4.0739e-05	1.55836e-05	5.32149e-06	1.92622e-06	6.27158e-07	2.17944e-07	6.60218e-08	2.30693e-08	6.43748e-09	2.1343e-09	5.70758e-10	1.7662e-10	4.27623e-11	1.27517e-11	2.79245e-12	7.68772e-13	1.58395e-13	3.97429e-14	7.45315e-15	1.82281e-15	3.06673e-16	6.81212e-17	1.10945e-17	2.30261e-18	3.37728e-19	6.76961e-20	9.12872e-21	1.71903e-21	2.2265e-22	3.75934e-23	4.52307e-24	7.8109e-25	8.31273e-26	1.26599e-26	1.35112e-27	1.96142e-28	1.84854e-29	2.54668e-30	2.23749e-31	2.93096e-32	2.42366e-33	2.77522e-34	2.1661e-35	2.56376e-36	1.74458e-37	1.78798e-38	1.23665e-39	1.23363e-40	7.50247e-42	7.07041e-43	4.39593e-44	4.53277e-45	3.88357e-46	5.56156e-47	1.11969e-47	
N4	0.133999	0.136121	0.131063	0.120826	0.106504	0.0907155	0.07387	0.0584003	0.0444791	0.0328849	0.0234758	0.0164575	0.011085	0.00738454	0.00477146	0.00304972	0.00189156	0.00118939	0.000714914	0.000442662	0.00026521	0.000163272	9.64553e-05	6.07847e-05	3.53657e-05	2.22511e-05	1.30631e-05	8.15076e-06	4.67257e-06	2.9565e-06	1.64785e-06	1.02443e-06	5.69992e-07	3.46166e-07	1.8699e-07	1.14757e-07	5.99196e-08	3.5834e-08	1.87814e-08	1.09886e-08	5.57607e-09	3.28711e-09	1.61916e-09	9.33232e-10	4.61219e-10	2.57485e-10	1.23695e-10	7.02312e-11	3.2462e-11	1.77721e-11	8.30136e-12	4.43705e-12	1.99182e-12	1.06832e-12	4.64557e-13	2.42794e-13	1.05403e-13	5.28929e-14	2.23197e-14	1.14226e-14	4.61212e-15	2.26785e-15	9.38462e-16	4.60086e-16	1.90519e-16	1.00236e-16	4.75789e-17	3.04279e-17	2.10036e-17	1.99363e-17	2.40111e-17	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.177721	0.176321	0.161919	0.138969	0.111137	0.0837412	0.0585669	0.0387474	0.0239252	0.0139551	0.00757942	0.00396649	0.00189857	0.000892641	0.000386187	0.000166154	6.43418e-05	2.71457e-05	9.46031e-06	3.93822e-06	1.31874e-06	5.46989e-07	1.66242e-07	7.39935e-08	1.99889e-08	8.61945e-09	2.25105e-09	9.22699e-10	2.12067e-10	8.70073e-11	1.79186e-11	6.95179e-12	1.36294e-12	4.73192e-13	8.4834e-14	3.10009e-14	4.80037e-15	1.52053e-15	2.44425e-16	7.62817e-17	1.03906e-17	3.08664e-18	3.97626e-19	1.19935e-19	1.4581e-20	3.50269e-21	4.1714e-22	1.25181e-22	1.16768e-23	2.60628e-24	2.84628e-25	7.16085e-26	5.95794e-27	1.27515e-27	1.09397e-28	2.66506e-29	1.9665e-30	3.33384e-31	2.65179e-32	6.24833e-33	3.61882e-34	5.69025e-35	4.18904e-36	8.22601e-37	4.30321e-38	6.43991e-39	3.74932e-40	7.11315e-41	4.69461e-42	1.07384e-42	4.16556e-43	
N6	0.0784043	0.0830741	0.0865327	0.0888476	0.0891234	0.0876487	0.0831622	0.0769256	0.0686289	0.0593211	0.0493489	0.0400588	0.0310782	0.0236165	0.0172732	0.0123476	0.00849208	0.00581721	0.00378494	0.0024808	0.00156164	0.000986795	0.000595687	0.000372229	0.000215631	0.00013079	7.43545e-05	4.36107e-05	2.36839e-05	1.37132e-05	7.08672e-06	3.93841e-06	1.98253e-06	1.05234e-06	5.02837e-07	2.62364e-07	1.18602e-07	5.89628e-08	2.60367e-08	1.23607e-08	5.17088e-09	2.40843e-09	9.56004e-10	4.25139e-10	1.64997e-10	6.96487e-11	2.56878e-11	1.07114e-11	3.7309e-12	1.47299e-12	5.04589e-13	1.90053e-13	6.14717e-14	2.27092e-14	6.96768e-15	2.45295e-15	7.35541e-16	2.44623e-16	6.98096e-17	2.30402e-17	6.20365e-18	1.94139e-18	5.23667e-19	1.6039e-19	4.29329e-20	1.38766e-20	4.1302e-21	1.53483e-21	5.94181e-22	2.88917e-22	1.94939e-22	
