NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.34229	0.278312	0.187422	0.10656	0.051915	0.0218856	0.00804954	0.00259505	0.00073653	0.000184499	4.08987e-05	8.03776e-06	1.40335e-06	2.18039e-07	3.0203e-08	3.736e-09	4.13391e-10	4.09782e-11	3.64479e-12	2.91271e-13	3.5315e-17	8.98755e-18	2.17221e-18	4.98835e-19	1.08903e-19	2.2612e-20	4.46743e-21	8.40185e-22	1.5048e-22	2.56768e-23	4.17586e-24	6.47552e-25	9.57885e-26	1.35223e-26	1.82254e-27	2.34634e-28	2.88664e-29	3.39535e-30	3.82006e-31	4.11297e-32	4.23983e-33	4.18654e-34	3.96171e-35	3.59448e-36	3.1284e-37	2.61303e-38	2.09558e-39	1.61436e-40	1.19517e-41	8.50734e-43	5.82479e-44	3.83779e-45	2.43437e-46	1.48724e-47	8.75483e-49	4.96786e-50	2.71847e-51	1.43512e-52	7.31208e-54	3.59713e-55	1.70928e-56	7.84877e-58	3.48441e-59	1.49641e-60	6.2219e-62	2.50819e-63	9.83244e-65	3.77648e-66	1.45142e-67	5.92254e-69	3.15198e-70	
N2	0.0217164	0.026882	0.0340549	0.042815	0.0528515	0.0635845	0.0717628	0.0781616	0.0817676	0.0807485	0.0768439	0.0713946	0.0624658	0.0535932	0.0448556	0.0358155	0.0279523	0.0216841	0.0158248	0.0114962	0.00820921	0.00558314	0.00371806	0.00247915	0.00153001	0.000944454	0.000569631	0.000322914	0.00017793	9.84706e-05	4.9419e-05	2.48826e-05	1.21446e-05	5.54547e-06	2.45085e-06	1.09571e-06	4.36763e-07	1.76209e-07	6.88353e-08	2.51499e-08	8.86376e-09	3.18083e-09	1.01086e-09	3.28142e-10	1.03068e-10	3.01882e-11	8.53699e-12	2.48443e-12	6.3557e-13	1.67115e-13	4.24028e-14	1.00924e-14	2.31897e-15	5.53051e-16	1.14685e-16	2.46783e-17	5.13568e-18	1.0056e-18	1.8991e-19	3.74307e-20	6.43904e-21	1.16487e-21	2.06547e-22	3.51801e-23	6.03627e-24	1.13841e-24	2.09309e-25	4.3346e-26	9.67282e-27	2.49672e-27	1.09187e-27	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.290603	0.269432	0.201397	0.124293	0.0656315	0.0305314	0.0119846	0.00425532	0.00136332	0.000380105	9.68881e-05	2.46925e-05	5.09875e-06	1.12147e-06	2.29488e-07	4.29514e-08	7.35626e-09	1.52853e-09	2.05687e-10	3.58119e-11	5.13231e-12	7.32252e-13	8.48757e-14	1.34355e-14	1.18911e-15	1.55175e-16	1.59935e-17	1.6279e-18	1.25783e-19	1.52066e-20	9.33152e-22	9.08789e-23	6.24938e-24	4.60107e-25	2.58296e-26	2.4992e-27	9.9592e-29	6.73507e-30	3.41372e-31	1.98302e-32	7.60503e-34	4.97141e-35	1.4504e-36	7.97381e-38	2.93276e-39	1.12261e-40	3.1515e-42	1.73009e-43	3.5787e-45	1.34436e-46	3.54178e-48	1.14058e-49	2.32835e-51	9.76877e-53	1.47323e-54	4.49385e-56	8.43354e-58	1.93444e-59	3.13778e-61	1.02949e-62	1.13994e-64	2.56644e-66	4.28732e-68	7.86607e-70	8.66188e-72	2.10126e-73	1.99483e-75	4.03827e-77	5.89069e-79	1.65695e-80	8.80527e-82	
N4	0.186972	0.192047	0.174573	0.142663	0.107647	0.0765003	0.0495072	0.0306676	0.0181831	0.0100604	0.00538642	0.00290674	0.00143423	0.000729945	0.000370491	0.000179185	8.64124e-05	4.5706e-05	2.05537e-05	1.03387e-05	5.08196e-06	2.40312e-06	1.0972e-06	5.76941e-07	2.38877e-07	1.17319e-07	5.44793e-08	2.4266e-08	1.00944e-08	5.1058e-09	1.92021e-09	8.84462e-10	3.6823e-10	1.51273e-10	5.71259e-11	2.72921e-11	8.93941e-12	3.7172e-12	1.40154e-12	5.29225e-13	1.76571e-13	7.49193e-14	2.18034e-14	8.32672e-15	2.81708e-15	9.26834e-16	2.72345e-16	1.06774e-16	2.74096e-17	9.24818e-18	2.72271e-18	8.18648e-19	2.13509e-19	7.61386e-20	1.69587e-20	5.14442e-21	1.3384e-21	3.57647e-22	8.30381e-23	2.62417e-23	5.15981e-24	1.40314e-24	3.36514e-25	7.98298e-26	1.61397e-26	4.6623e-27	9.09596e-28	2.70772e-28	8.96474e-29	4.70545e-29	4.58484e-29	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.272705	0.259034	0.202119	0.131675	0.0738299	0.0366832	0.0153023	0.00582137	0.00200559	0.000599488	0.000164202	4.79238e-05	1.03243e-05	2.72361e-06	6.23069e-07	1.39314e-07	2.53959e-08	7.55439e-09	9.59882e-10	2.45507e-10	3.76137e-11	7.44847e-12	8.65317e-13	2.25099e-13	1.75922e-14	3.65201e-15	4.25617e-16	6.26334e-17	4.4778e-18	9.90951e-19	5.42676e-20	9.37005e-21	6.80403e-22	7.14628e-23	4.04784e-24	8.76062e-25	2.75175e-26	2.97373e-27	1.86228e-28	1.97967e-29	6.96224e-31	8.71032e-32	2.22813e-33	2.72843e-34	1.12564e-35	5.97377e-37	1.77299e-38	2.63741e-39	4.41851e-41	2.73959e-42	9.04951e-44	6.12255e-45	1.1247e-46	1.14843e-47	1.49883e-49	1.10961e-50	2.01237e-52	7.54296e-54	1.4899e-55	1.43384e-56	1.25088e-58	4.99135e-60	1.27125e-61	5.01936e-63	4.78335e-65	2.86489e-66	2.63344e-68	1.24997e-69	1.5875e-71	6.98932e-73	9.01734e-74	
N6	0.103612	0.116764	0.125076	0.12609	0.120193	0.108734	0.0895266	0.0698418	0.0514045	0.0347982	0.022353	0.0140636	0.00799661	0.00452543	0.00249113	0.00127829	0.000638995	0.000333999	0.000150081	7.15451e-05	3.30045e-05	1.42489e-05	5.89635e-06	2.65876e-06	9.70258e-07	3.94312e-07	1.51453e-07	5.42831e-08	1.821e-08	6.9528e-09	2.04823e-09	6.90933e-10	2.12819e-10	6.24566e-11	1.69101e-11	5.38322e-12	1.24133e-12	3.37932e-13	8.39879e-14	2.01095e-14	4.32032e-15	1.09995e-15	2.0197e-16	4.49928e-17	9.01983e-18	1.70775e-18	2.91858e-19	6.14339e-20	9.02891e-21	1.61935e-21	2.57705e-22	4.02e-23	5.56445e-24	9.70016e-25	1.13503e-25	1.66917e-26	2.16243e-27	2.76549e-28	3.12928e-29	4.45568e-30	4.26066e-31	5.20121e-32	5.69061e-33	5.99143e-34	5.56127e-35	6.80262e-36	6.09031e-37	7.70396e-38	1.08179e-38	2.0834e-39	6.72161e-40	
