NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	5.85371e-05	8.59152e-05	0.000161201	0.000335734	0.000713192	0.00148314	0.00296192	0.00562553	0.010104	0.0170964	0.0271748	0.0404851	0.0564275	0.0734677	0.0892417	0.101032	0.106512	0.104494	0.0953441	0.0808741	0.063751	0.0466886	0.0317611	0.0200671	0.0117745	0.00641594	0.00324673	0.0015259	0.000666109	0.000270123	0.000101776	3.5636e-05	1.15981e-05	3.50954e-06	9.87646e-07	2.58566e-07	6.29946e-08	1.42872e-08	3.01758e-09	5.93756e-10	1.08885e-10	1.86174e-11	2.96927e-12	4.41926e-13	1.07709e-16	3.88035e-17	1.35138e-17	4.55073e-18	1.48212e-18	4.66977e-19	1.42372e-19	4.20132e-20	1.20029e-20	3.32079e-21	8.89948e-22	2.31084e-22	5.81535e-23	1.41873e-23	3.35639e-24	7.7024e-25	1.71524e-25	3.70825e-26	7.78847e-27	1.59085e-27	3.16572e-28	6.15688e-29	1.17699e-29	2.23404e-30	4.28331e-31	8.58661e-32	2.20207e-32	
N2	0.00362116	0.00393126	0.00453278	0.00548204	0.0068569	0.00875107	0.0112641	0.0144864	0.0184798	0.0232556	0.0287523	0.0348199	0.0412128	0.0475973	0.0535756	0.0587232	0.0626377	0.0649897	0.0655674	0.0643072	0.0613028	0.0567929	0.0511282	0.0447251	0.0380144	0.0313934	0.0251893	0.0196373	0.0148742	0.0109466	0.00782757	0.00543856	0.00367166	0.00240867	0.00153547	0.000951195	0.00057264	0.000335039	0.000190515	0.000105295	5.65652e-05	2.95378e-05	1.49941e-05	7.39939e-06	3.55006e-06	1.65602e-06	7.51123e-07	3.31286e-07	1.42093e-07	5.92715e-08	2.40468e-08	9.48939e-09	3.64268e-09	1.36032e-09	4.9423e-10	1.74712e-10	6.00979e-11	2.01175e-11	6.55397e-12	2.07825e-12	6.41508e-13	1.92795e-13	5.64297e-14	1.60959e-14	4.48089e-15	1.22196e-15	3.295e-16	8.99499e-17	2.63326e-17	9.38725e-18	5.07491e-18	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	3.71478e-05	5.71646e-05	0.000113757	0.000251234	0.000563909	0.00123228	0.00256859	0.00505573	0.00934726	0.0161839	0.0261909	0.0395641	0.0557297	0.0731385	0.0893662	0.101603	0.107428	0.105586	0.0964298	0.0818055	0.0644467	0.0471376	0.0320041	0.0201677	0.0117945	0.00640117	0.00322395	0.00150688	0.000653678	0.000263199	9.83777e-05	3.4141e-05	1.10028e-05	3.29368e-06	9.1604e-07	2.36768e-07	5.68903e-08	1.27116e-08	2.64215e-09	5.11053e-10	9.20218e-11	1.54311e-11	2.41069e-12	3.50965e-13	4.76278e-14	6.02488e-15	7.10283e-16	7.79953e-17	7.97014e-18	7.57015e-19	6.67431e-20	5.45589e-21	4.1331e-22	2.90542e-23	1.90616e-24	1.18678e-25	7.30987e-27	4.84067e-28	3.81258e-29	3.65739e-30	3.95259e-31	4.414e-32	4.86153e-33	5.18787e-34	5.34005e-35	5.31209e-36	5.14415e-37	4.92812e-38	4.83375e-39	5.2381e-40	8.26377e-41	
N4	0.00632883	0.00737281	0.00941787	0.012518	0.0167129	0.0219982	0.0282918	0.0354051	0.0430268	0.0507248	0.0579734	0.0642038	0.0688724	0.0715372	0.0719252	0.0699779	0.0658643	0.0599563	0.0527729	0.044904	0.0369293	0.0293491	0.0225368	0.0167189	0.0119811	0.00829318	0.00554443	0.00358001	0.00223252	0.00134458	0.000782106	0.000439384	0.00023842	0.000124965	6.32717e-05	3.09491e-05	1.46266e-05	6.67956e-06	2.94788e-06	1.25744e-06	5.18486e-07	2.06693e-07	7.96744e-08	2.97021e-08	1.07103e-08	3.73624e-09	1.26115e-09	4.11978e-10	1.30268e-10	3.98786e-11	1.18212e-11	3.39383e-12	9.43865e-13	2.54335e-13	6.6415e-14	1.68105e-14	4.12514e-15	9.81601e-16	2.26554e-16	5.07303e-17	1.10247e-17	2.32637e-18	4.77033e-19	9.51878e-20	1.85328e-20	3.53926e-21	6.69893e-22	1.28233e-22	2.58069e-23	5.92789e-24	2.02189e-24	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	2.71433e-05	4.00377e-05	7.68824e-05	0.00016871	0.000385197	0.000867151	0.00187187	0.00382082	0.00732253	0.0131267	0.0219632	0.0342522	0.0497409	0.0672123	0.0844563	0.0986376	0.107027	0.10785	0.1009	0.0876157	0.0705998	0.0527809	0.0366054	0.0235487	0.0140514	0.00777667	0.00399209	0.00190091	0.000839682	0.000344121	0.000130862	4.61852e-05	1.51309e-05	4.60257e-06	1.30023e-06	3.41229e-07	8.32166e-08	1.88648e-08	3.97667e-09	7.79779e-10	1.42289e-10	2.41706e-11	3.82383e-12	5.63613e-13	7.74306e-14	9.91898e-15	1.18523e-15	1.32149e-16	1.37519e-17	1.33589e-18	1.2115e-19	1.02567e-20	8.10551e-22	5.97834e-23	4.11501e-24	2.64365e-25	1.58622e-26	8.90532e-28	4.69924e-29	2.355e-30	1.14606e-31	5.65064e-33	3.00336e-34	1.81055e-35	1.23267e-36	9.00895e-38	6.7279e-39	5.02784e-40	3.83709e-41	3.34716e-42	5.22335e-43	
N6	1.58956e-05	2.17384e-05	3.64995e-05	6.81944e-05	0.000132976	0.000260985	0.000505143	0.000952784	0.00173868	0.0030558	0.00515771	0.00834437	0.0129238	0.0191459	0.0271144	0.0366931	0.0474354	0.0585689	0.0690576	0.0777483	0.0835743	0.0857701	0.0840365	0.0786074	0.0701979	0.0598491	0.0487165	0.0378614	0.0280959	0.0199087	0.0134718	0.00870616	0.00537387	0.00316848	0.0017847	0.000960461	0.000493913	0.000242737	0.000114024	5.12036e-05	2.19842e-05	9.02613e-06	3.54442e-06	1.33143e-06	4.7852e-07	1.64578e-07	5.41775e-08	1.70736e-08	5.15205e-09	1.48893e-09	4.12191e-10	1.09332e-10	2.7792e-11	6.7719e-12	1.58206e-12	3.54451e-13	7.6177e-14	1.57086e-14	3.10905e-15	5.90798e-16	1.07834e-16	1.89157e-17	3.19159e-18	5.18648e-19	8.13494e-20	1.23604e-20	1.83083e-21	2.67496e-22	3.96115e-23	6.51819e-24	1.73697e-24	
