NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.103821	0.103148	0.101632	0.0989799	0.0948791	0.089108	0.0816274	0.0726291	0.0625314	0.0519203	0.0414519	0.0317402	0.0232588	0.0162812	0.0108705	0.00691408	0.00418506	0.00240868	0.00131721	0.000683999	0.00033709	0.000157583	6.98477e-05	2.93425e-05	1.16784e-05	4.40209e-06	1.57108e-06	5.30737e-07	1.69669e-07	5.13192e-08	1.46837e-08	3.97385e-09	1.01709e-09	2.46176e-10	5.63439e-11	1.21941e-11	2.49548e-12	4.8291e-13	1.18759e-16	4.94037e-17	1.99867e-17	7.86382e-18	3.00926e-18	1.12007e-18	4.05526e-19	1.42828e-19	4.89404e-20	1.63161e-20	5.29295e-21	1.67093e-21	5.13382e-22	1.5353e-22	4.46958e-23	1.26682e-23	3.49616e-24	9.39632e-25	2.45969e-25	6.27241e-26	1.5585e-26	3.77406e-27	8.91021e-28	2.05192e-28	4.6128e-29	1.01356e-29	2.18143e-30	4.61566e-31	9.66111e-32	2.021e-32	4.29482e-33	9.59248e-34	2.76711e-34	
N2	0.0220408	0.0235128	0.0256298	0.0284707	0.0318412	0.0357434	0.039845	0.0440849	0.0480135	0.0515776	0.0542932	0.0562148	0.0569205	0.0566422	0.0550775	0.0526333	0.0491252	0.0450721	0.0403685	0.0355528	0.0305449	0.0258158	0.0212688	0.0172498	0.0136273	0.0106093	0.00803994	0.00601369	0.00437543	0.00314838	0.00220216	0.00152701	0.00102837	0.000688433	0.000447131	0.000289503	0.000181594	0.000113875	6.90628e-05	4.19865e-05	2.46327e-05	1.45219e-05	8.24292e-06	4.71188e-06	2.58663e-06	1.43273e-06	7.60351e-07	4.07886e-07	2.09136e-07	1.08579e-07	5.37814e-08	2.70233e-08	1.29316e-08	6.29002e-09	2.91188e-09	1.37354e-09	6.16645e-10	2.82965e-10	1.23895e-10	5.56848e-11	2.40016e-11	1.06775e-11	4.59993e-12	2.05706e-12	9.0232e-13	4.12986e-13	1.89106e-13	9.20095e-14	4.76036e-14	2.927e-14	2.3764e-14	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.0926634	0.0951647	0.0964064	0.0964294	0.0944037	0.0904658	0.0841063	0.075941	0.066034	0.0554379	0.0445687	0.0344572	0.0254001	0.0179661	0.0120755	0.00778368	0.00475356	0.00278798	0.00154471	0.00082537	0.000415187	0.000203176	9.31881e-05	4.22744e-05	1.7853e-05	7.67216e-06	3.03561e-06	1.27416e-06	4.82353e-07	2.02777e-07	7.44444e-08	3.14247e-08	1.11315e-08	4.61501e-09	1.55546e-09	6.18701e-10	1.95484e-10	7.32518e-11	2.15579e-11	7.56826e-12	2.06245e-12	6.7449e-13	1.70448e-13	5.21322e-14	1.21731e-14	3.469e-15	7.52665e-16	2.01757e-16	4.04869e-17	1.01479e-17	1.90414e-18	4.54028e-19	7.90472e-20	1.77206e-20	2.91882e-21	6.32765e-22	9.71384e-23	1.98676e-23	2.92923e-24	5.88211e-25	8.09614e-26	1.52746e-26	2.04685e-27	3.83224e-28	4.86839e-29	8.77875e-30	1.22691e-30	2.53897e-31	4.7554e-32	1.29113e-32	4.83238e-33	
N4	0.0959736	0.0973751	0.0965201	0.093911	0.0893126	0.0833921	0.0760941	0.0681548	0.0596184	0.0511726	0.0428624	0.0352211	0.0282179	0.0221821	0.0169861	0.0127721	0.00934678	0.0067275	0.00470888	0.00325166	0.00218186	0.00145197	0.000938309	0.000606511	0.000380393	0.000241634	0.000148695	9.41718e-05	5.75222e-05	3.67652e-05	2.24662e-05	1.4557e-05	8.89605e-06	5.81129e-06	3.52878e-06	2.30112e-06	1.376e-06	8.86648e-07	5.18786e-07	3.28428e-07	1.87151e-07	1.1594e-07	6.42797e-08	3.89773e-08	2.10021e-08	1.24569e-08	6.53786e-09	3.80578e-09	1.94594e-09	1.11168e-09	5.56206e-10	3.1348e-10	1.53505e-10	8.52565e-11	4.11085e-11	2.26452e-11	1.07378e-11	5.84487e-12	2.74637e-12	1.48974e-12	6.93045e-13	3.74028e-13	1.75915e-13	9.71288e-14	4.78074e-14	2.82246e-14	1.60741e-14	1.12832e-14	8.41231e-15	7.96319e-15	8.96778e-15	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0861499	0.0889318	0.0909579	0.0921785	0.0916406	0.0893202	0.0844945	0.0776664	0.0687088	0.05872	0.0480088	0.0378023	0.0283448	0.0204538	0.0139966	0.00923438	0.00574983	0.0034709	0.0019643	0.00109104	0.000561914	0.000291168	0.000137212	6.82208e-05	2.97377e-05	1.48141e-05	6.07401e-06	3.17452e-06	1.23876e-06	6.86784e-07	2.5558e-07	1.46877e-07	5.14993e-08	2.93992e-08	9.67681e-09	5.38374e-09	1.64648e-09	8.71971e-10	2.49675e-10	1.26775e-10	3.36049e-11	1.6019e-11	3.99848e-12	1.83532e-12	4.22588e-13	1.80538e-13	3.95899e-14	1.65947e-14	3.32992e-15	1.28439e-15	2.50476e-16	9.8332e-17	1.72736e-17	6.11344e-18	1.07835e-18	4.09701e-19	6.32791e-20	2.08504e-20	3.36556e-21	1.25622e-21	1.71133e-22	5.26492e-23	7.78631e-24	2.82658e-24	3.39902e-25	9.68203e-26	1.33237e-26	4.85367e-27	7.9178e-28	3.96961e-28	3.06192e-28	
N6	0.0334036	0.0357916	0.0392444	0.0437454	0.048796	0.0541869	0.0591795	0.0635362	0.0664685	0.0679664	0.0674269	0.0652494	0.0611259	0.0558407	0.0493092	0.0424907	0.035344	0.028742	0.0225337	0.0173306	0.0128348	0.00937688	0.00658879	0.00460526	0.00309034	0.00208559	0.00134728	0.000886521	0.0005552	0.000358557	0.000218523	0.000138721	8.21615e-05	5.10433e-05	2.92552e-05	1.76782e-05	9.74795e-06	5.69117e-06	3.00782e-06	1.69084e-06	8.53732e-07	4.6071e-07	2.22216e-07	1.152e-07	5.30376e-08	2.63928e-08	1.16266e-08	5.57106e-09	2.34822e-09	1.08275e-09	4.38416e-10	1.9539e-10	7.59646e-11	3.26615e-11	1.22525e-11	5.10903e-12	1.8459e-12	7.4376e-13	2.60512e-13	1.02223e-13	3.47212e-14	1.32758e-14	4.46298e-15	1.70768e-15	5.87116e-16	2.33681e-16	8.89822e-17	3.97291e-17	1.81563e-17	1.00905e-17	7.40979e-18	
