NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.0826077	0.083487	0.0849042	0.0862986	0.0869835	0.0862664	0.083587	0.0786468	0.071494	0.0625325	0.0524465	0.0420606	0.0321753	0.0234252	0.0163015	0.0108285	0.00685856	0.00413832	0.00237694	0.00129879	0.000674759	0.000333156	0.000156266	6.96061e-05	2.94356e-05	1.18149e-05	4.50018e-06	1.62628e-06	5.57524e-07	1.81294e-07	5.59138e-08	1.63547e-08	4.53672e-09	1.19351e-09	2.97807e-10	7.04954e-11	1.58383e-11	3.38082e-12	6.87136e-13	1.50881e-16	6.44969e-17	2.6849e-17	1.08848e-17	4.29776e-18	1.65274e-18	6.1905e-19	2.25849e-19	8.02593e-20	2.77825e-20	9.36832e-21	3.0774e-21	9.84824e-22	3.0705e-22	9.32744e-23	2.76088e-23	7.96334e-24	2.23842e-24	6.13241e-25	1.63765e-25	4.26406e-26	1.08325e-26	2.69066e-27	6.58259e-28	1.62918e-28	4.49436e-29	1.86266e-29	
N2	0.100692	0.104805	0.105673	0.103343	0.0980992	0.0904255	0.0809481	0.0703655	0.0593766	0.0486148	0.0385965	0.0296905	0.0221089	0.0159179	0.0111219	0.00753747	0.00495248	0.00315353	0.00194541	0.00116244	0.000672736	0.00037712	0.000204856	0.000107918	5.52091e-05	2.74874e-05	1.33621e-05	6.37159e-06	2.9721e-06	1.35935e-06	6.11029e-07	2.70495e-07	1.18116e-07	5.09185e-08	2.16705e-08	9.09811e-09	3.76301e-09	1.53098e-09	6.12073e-10	2.39065e-10	9.10324e-11	3.3734e-11	1.21477e-11	4.24587e-12	1.43921e-12	4.72863e-13	1.50565e-13	4.64736e-14	1.39175e-14	4.05093e-15	1.14963e-15	3.19763e-16	8.78742e-17	2.41346e-17	6.72045e-18	1.92512e-18	5.73098e-19	1.77537e-19	5.67749e-20	1.84915e-20	6.05063e-21	1.96981e-21	6.37471e-22	2.09721e-22	7.72708e-23	4.26784e-23	
N3	0.122905	0.126332	0.124331	0.117402	0.106537	0.0930247	0.0782349	0.0634214	0.0495851	0.0374035	0.0272276	0.0191266	0.0129627	0.0084708	0.00536036	0.00328537	0.00195067	0.00112226	0.000625798	0.000338349	0.000177457	9.03436e-05	4.4686e-05	2.15011e-05	1.00816e-05	4.61787e-06	2.07317e-06	9.162e-07	3.97074e-07	1.69009e-07	7.07377e-08	2.91418e-08	1.18237e-08	4.7252e-09	1.8595e-09	7.20136e-10	2.74238e-10	1.02623e-10	3.77349e-11	1.3569e-11	4.76548e-12	1.63283e-12	5.45309e-13	1.77372e-13	5.61605e-14	1.7304e-14	5.18832e-15	1.51441e-15	4.30747e-16	1.19607e-16	3.25226e-17	8.70247e-18	2.30828e-18	6.12967e-19	1.64924e-19	4.54919e-20	1.297e-20	3.82724e-21	1.16188e-21	3.58998e-22	1.11599e-22	3.46028e-23	1.06915e-23	3.36231e-24	1.18315e-24	6.2764e-25	
N4	0.133113	0.135898	0.132003	0.122299	0.10831	0.0918696	0.0747801	0.0585354	0.0441653	0.0322033	0.0227559	0.0156271	0.0104549	0.00682502	0.00437143	0.0027474	0.0016922	0.00101903	0.000598152	0.000341162	0.000188543	0.000100751	5.19991e-05	2.5924e-05	1.25042e-05	5.85433e-06	2.67406e-06	1.19964e-06	5.24553e-07	2.23687e-07	9.30033e-08	3.76609e-08	1.48269e-08	5.66276e-09	2.0932e-09	7.47212e-10	2.57118e-10	8.51839e-11	2.71713e-11	8.30863e-12	2.43397e-12	6.82806e-13	1.83399e-13	4.71648e-14	1.16158e-14	2.74075e-15	6.19982e-16	1.34602e-16	2.80947e-17	5.65263e-18	1.10086e-18	2.08846e-19	3.8957e-20	7.23636e-21	1.35883e-21	2.6161e-22	5.20882e-23	1.07192e-23	2.25879e-24	4.80693e-25	1.01906e-25	2.12923e-26	4.3588e-27	8.80243e-28	1.88294e-28	6.26984e-29	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.134621	0.138083	0.134756	0.124851	0.109578	0.0909695	0.0714369	0.053222	0.0379311	0.0263055	0.0182674	0.0131696	0.0101177	0.00825256	0.00695727	0.00583928	0.00474287	0.00366538	0.00267138	0.00182857	0.00117411	0.000707843	0.000402093	0.000216836	0.000112554	5.75142e-05	2.98013e-05	1.60794e-05	8.49857e-06	4.33785e-06	2.11281e-06	9.73705e-07	4.22358e-07	1.71925e-07	6.55844e-08	2.34362e-08	7.84703e-09	2.46376e-09	7.26607e-10	2.00757e-10	5.2003e-11	1.2639e-11	2.88435e-12	6.18526e-13	1.2473e-13	2.36726e-14	4.2327e-15	7.13958e-16	1.13843e-16	1.72194e-17	2.48571e-18	3.46171e-19	4.73714e-20	6.55174e-21	9.48458e-22	1.47961e-22	2.51939e-23	4.63039e-24	8.92791e-25	1.74902e-25	3.39158e-26	6.39566e-27	1.16174e-27	2.03867e-28	3.65347e-29	9.75071e-30	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.147486	0.149929	0.144291	0.131611	0.113797	0.093241	0.072348	0.0531172	0.0368688	0.0241727	0.0149578	0.00872812	0.00479797	0.00248139	0.0012116	0.000558405	0.000242905	9.97353e-05	3.86629e-05	1.4157e-05	4.90001e-06	1.60493e-06	4.98279e-07	1.46998e-07	4.13538e-08	1.11496e-08	2.90043e-09	7.34113e-10	1.79397e-10	4.23784e-11	9.67928e-12	2.13594e-12	4.54708e-13	9.32007e-14	1.83538e-14	3.46569e-15	6.26452e-16	1.08278e-16	1.78963e-17	2.81815e-18	4.22609e-19	6.03397e-20	8.20283e-21	1.06194e-21	1.30969e-22	1.53959e-23	1.72645e-24	1.8489e-25	1.89427e-26	1.86163e-27	1.76234e-28	1.61757e-29	1.45376e-30	1.2972e-31	1.16894e-32	1.08152e-33	1.03812e-34	1.03316e-35	1.05436e-36	1.0857e-37	1.11078e-38	1.11625e-39	1.09579e-40	1.05797e-41	1.0556e-42	1.46284e-43	
Abildgaardia_ovata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.168231	0.168598	0.157858	0.138367	0.113654	0.0875045	0.0631329	0.0426568	0.0269683	0.0159371	0.00879369	0.00452489	0.0021682	0.000965647	0.00040095	0.000155138	5.59217e-05	1.87765e-05	5.87253e-06	1.71109e-06	4.64616e-07	1.17641e-07	2.78098e-08	6.15484e-09	1.28386e-09	2.56497e-10	5.08289e-11	1.06063e-11	2.18813e-12	4.43959e-13	8.79819e-14	1.69085e-14	3.12949e-15	5.54335e-16	9.34712e-17	1.49399e-17	2.25649e-18	3.21439e-19	4.31749e-20	5.44947e-21	6.4616e-22	7.19884e-23	7.5379e-24	7.42118e-25	6.87273e-26	5.99022e-27	4.91666e-28	3.80289e-29	2.77438e-30	1.91169e-31	1.24713e-32	7.73982e-34	4.61366e-35	2.68762e-36	1.5665e-37	9.27229e-39	5.74075e-40	4.00459e-41	3.54337e-42	4.11096e-43	5.51756e-44	7.46682e-45	9.50178e-46	1.11473e-46	1.24876e-47	1.8316e-48	
Fimbristylis_littoralis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
