NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.68447	0.25892	0.0504007	0.00577142	0.00041774	1.93353e-05	5.81836e-07	1.13027e-08	1.41513e-10	1.14034e-12	1.28331e-17	7.52186e-19	3.60739e-20	1.42986e-21	4.72193e-23	1.30294e-24	2.99575e-26	5.70801e-28	8.97399e-30	1.16305e-31	1.2459e-33	1.10923e-35	8.26723e-38	5.20008e-40	2.78355e-42	1.27848e-44	5.07828e-47	1.75746e-49	5.3359e-52	1.43044e-54	3.40602e-57	7.24309e-60	1.3826e-62	2.38012e-65	3.71113e-68	5.2621e-71	6.81038e-74	8.07313e-77	8.79359e-80	8.82767e-83	8.19022e-86	7.04129e-89	5.62316e-92	4.18101e-95	2.90064e-98	1.8815e-101	1.14326e-104	6.51939e-108	3.49488e-111	1.76412e-114	8.39768e-118	3.77541e-121	1.60525e-124	6.46353e-128	2.46768e-131	8.9438e-135	3.0808e-138	1.00969e-141	3.15173e-145	9.37945e-149	2.66372e-152	7.2257e-156	1.87384e-159	4.6496e-163	1.10545e-166	2.75391e-170	
N2	0.352193	0.367591	0.193779	0.0680252	0.0150073	0.00303144	0.00033178	3.90559e-05	2.8156e-06	1.92181e-07	7.399e-09	4.5671e-10	9.95516e-12	3.42815e-13	6.35017e-15	1.64598e-16	1.84246e-18	4.53801e-20	3.40511e-22	5.74988e-24	3.92723e-26	3.88356e-28	1.9512e-30	2.86803e-32	8.86886e-35	6.34573e-37	2.52442e-39	1.61093e-41	3.59697e-44	2.40068e-46	4.44284e-49	2.61755e-51	4.51007e-54	1.35979e-56	2.04961e-59	1.24226e-61	1.18449e-64	3.04762e-67	4.42074e-70	1.50846e-72	1.41191e-75	4.43052e-78	3.52576e-81	1.07223e-83	1.06763e-86	1.76208e-89	1.56324e-92	6.19228e-95	3.06923e-98	4.19011e-101	2.7622e-104	4.43251e-107	1.95352e-110	3.80503e-113	1.43471e-116	2.23384e-119	8.48115e-123	6.55948e-126	2.47918e-129	4.43577e-132	1.00281e-135	7.51625e-139	3.32933e-142	3.62843e-145	2.49842e-148	8.29004e-151	
N3	0.261449	0.33102	0.238817	0.11915	0.0381814	0.0098015	0.00139718	0.000170092	1.34094e-05	8.63588e-07	3.46166e-08	1.70998e-09	3.87575e-11	1.12676e-12	1.98003e-14	3.94727e-16	4.22809e-18	7.73039e-20	5.5551e-22	6.99598e-24	4.59461e-26	3.83423e-28	1.82086e-30	1.87311e-32	5.92958e-35	3.58206e-37	1.30753e-39	6.70085e-42	1.53092e-44	8.1761e-47	1.53632e-49	6.94103e-52	1.29054e-54	3.61808e-57	5.64424e-60	2.61887e-62	2.76798e-65	6.4694e-68	8.8642e-71	2.2411e-73	2.06711e-76	5.02299e-79	3.80524e-82	8.29724e-85	7.50597e-88	1.01731e-90	7.88094e-94	2.08742e-96	1.07848e-99	1.32273e-102	8.79466e-106	1.18244e-108	5.6836e-112	9.35682e-115	3.94898e-118	5.33423e-121	2.39026e-124	1.91763e-127	8.19295e-131	1.27594e-133	3.67971e-137	2.93495e-140	1.47743e-143	1.59888e-146	1.58454e-149	5.51394e-152	
N4	0.0438842	0.141448	0.253875	0.283115	0.180007	0.07821	0.0167261	0.00252208	0.00020116	1.15784e-05	3.85768e-07	1.50172e-08	2.58482e-10	5.73877e-12	8.09687e-14	1.40766e-15	1.39115e-17	2.39069e-19	1.56656e-21	1.73581e-23	9.54647e-26	6.43719e-28	2.39344e-30	1.91326e-32	4.64909e-35	2.18132e-37	6.21594e-40	2.51978e-42	4.52243e-45	1.90545e-47	2.77592e-50	9.70525e-53	1.37055e-55	2.92732e-58	3.51245e-61	1.31695e-63	1.17957e-66	2.54607e-69	3.45148e-72	9.1388e-75	8.90907e-78	2.30823e-80	1.81853e-83	4.07996e-86	3.66665e-89	4.83127e-92	3.53216e-95	8.71989e-98	4.02944e-101	4.35294e-104	2.48059e-107	2.83143e-110	1.11827e-113	1.50663e-116	5.04814e-120	5.40446e-123	1.8596e-126	1.13824e-129	3.63872e-133	4.24406e-136	8.8888e-140	5.13398e-143	1.84279e-146	1.41317e-149	9.67472e-153	2.29843e-155	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.00220092	0.0199071	0.0918909	0.26642	0.307963	0.195761	0.0887305	0.0244618	0.00220889	0.000427988	2.49999e-05	2.28811e-06	2.08839e-07	4.68016e-08	3.6933e-09	3.4546e-10	3.85794e-12	1.90019e-13	7.386e-15	1.26282e-15	4.10182e-17	1.09695e-18	7.05344e-21	1.61755e-22	8.43806e-25	1.13671e-25	1.01817e-26	1.91993e-27	6.05226e-29	7.65559e-30	1.33416e-31	9.24033e-33	5.57092e-35	5.4056e-37	1.62508e-39	3.15617e-41	3.37353e-44	1.24187e-46	1.96346e-49	1.09605e-51	7.02162e-55	2.44928e-57	1.13769e-60	3.59419e-63	2.13007e-66	2.51465e-69	1.43257e-72	6.88469e-75	1.52726e-78	1.36667e-81	4.54188e-85	6.71676e-88	1.31193e-91	2.5021e-94	4.65905e-98	8.02288e-101	1.26889e-104	6.42727e-108	1.21396e-111	2.347e-114	2.19269e-118	1.12922e-121	3.21158e-125	3.133e-128	6.7668e-132	1.87374e-134	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0528386	0.17745	0.311537	0.296562	0.127098	0.0306853	0.00348703	0.000323364	1.79289e-05	7.15796e-07	1.45806e-08	3.23032e-10	2.69129e-12	2.68894e-14	1.41882e-16	8.22459e-19	2.2705e-21	1.09159e-23	1.82919e-26	5.6164e-29	8.15714e-32	1.52773e-34	1.52551e-37	3.56784e-40	2.23164e-43	2.81683e-46	2.04416e-49	2.1819e-52	9.34613e-56	1.01612e-58	3.52488e-62	3.24819e-65	1.08907e-68	5.79035e-72	1.62373e-75	1.52727e-78	2.76976e-82	1.19278e-85	2.88535e-89	1.40354e-92	2.1806e-96	9.82516e-100	1.23617e-103	5.00877e-107	7.57928e-111	1.78738e-114	2.32585e-118	1.17422e-121	9.56419e-126	1.98566e-129	2.11559e-133	5.01396e-137	3.73167e-141	1.08688e-144	7.09253e-149	1.68878e-152	1.13908e-156	1.47384e-160	9.60521e-165	2.6091e-168	1.09021e-172	1.37843e-176	1.05618e-180	1.83211e-184	2.45612e-188	1.31807e-191	
Abildgaardia_ovata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
