NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.163331	0.155985	0.142577	0.124965	0.105201	0.0851826	0.0664181	0.0499152	0.0361828	0.0253111	0.0170915	0.0111411	0.00700939	0.0042548	0.00249058	0.00140499	0.000763298	0.000399075	0.000200652	9.69536e-05	4.49913e-05	2.00387e-05	8.56118e-06	3.50661e-06	1.37629e-06	5.1736e-07	1.86185e-07	6.41184e-08	2.11223e-08	6.65368e-09	2.00356e-09	5.76537e-10	1.58495e-10	4.16156e-11	1.04339e-11	2.49744e-12	5.70583e-13	1.24859e-16	5.69508e-17	2.53727e-17	1.10407e-17	4.69207e-18	1.94739e-18	7.8931e-19	3.12416e-19	1.20753e-19	4.55762e-20	1.67976e-20	6.04534e-21	2.12452e-21	7.29069e-22	2.44314e-22	7.99478e-23	2.55477e-23	7.97252e-24	2.42968e-24	7.23149e-25	2.10207e-25	5.96801e-26	1.65499e-26	4.48305e-27	1.18633e-27	3.06727e-28	7.75065e-29	1.91546e-29	4.63946e-30	1.10902e-30	2.68273e-31	7.20202e-32	2.89103e-32	
N2	0.129126	0.129586	0.12444	0.115755	0.103394	0.0897586	0.0750197	0.0611086	0.0480012	0.0368304	0.0272729	0.0197646	0.013823	0.00947849	0.00626947	0.00407458	0.00255219	0.00157518	0.000936113	0.000550221	0.000311012	0.000174687	9.42246e-05	5.07837e-05	2.62265e-05	1.36157e-05	6.7553e-06	3.39019e-06	1.61958e-06	7.87147e-07	3.62662e-07	1.70872e-07	7.59129e-08	3.46392e-08	1.48352e-08	6.55092e-09	2.70034e-09	1.15148e-09	4.56608e-10	1.87918e-10	7.15699e-11	2.83745e-11	1.0382e-11	3.96688e-12	1.3927e-12	5.12082e-13	1.72698e-13	6.11881e-14	1.97996e-14	6.74931e-15	2.09932e-15	6.89925e-16	2.06039e-16	6.51775e-17	1.87444e-17	5.72792e-18	1.58699e-18	4.68764e-19	1.26215e-19	3.64274e-20	9.64577e-21	2.75826e-21	7.40194e-22	2.1606e-22	6.07208e-23	1.85216e-23	5.61666e-24	1.86638e-24	6.98902e-25	4.06164e-25	
N3	0.132449	0.132588	0.12673	0.117127	0.103822	0.0893634	0.0740361	0.0597658	0.0465499	0.0354195	0.0260388	0.0187373	0.0130326	0.00888671	0.00585612	0.00378901	0.00236755	0.00145506	0.000862882	0.000504435	0.00028422	0.000158316	8.48941e-05	4.51635e-05	2.30924e-05	1.17622e-05	5.74781e-06	2.81073e-06	1.31528e-06	6.18762e-07	2.77787e-07	1.25938e-07	5.4284e-08	2.37247e-08	9.82366e-09	4.1394e-09	1.64543e-09	6.67676e-10	2.54709e-10	9.94761e-11	3.63763e-11	1.36533e-11	4.78554e-12	1.72619e-12	5.794e-13	2.00641e-13	6.45358e-14	2.14735e-14	6.61548e-15	2.11375e-15	6.24664e-16	1.92002e-16	5.44316e-17	1.60944e-17	4.39042e-18	1.25349e-18	3.29892e-19	9.12476e-20	2.33933e-20	6.34239e-21	1.60752e-21	4.34218e-22	1.11884e-22	3.08912e-23	8.30565e-24	2.38196e-24	6.80296e-25	2.0927e-25	7.22427e-26	3.87892e-26	
N4	0.0925078	0.095844	0.0975642	0.0980503	0.0957353	0.0913434	0.0839887	0.0750774	0.0644381	0.0536865	0.0428761	0.0332318	0.0246545	0.017756	0.012225	0.00817947	0.0052267	0.00325268	0.00193242	0.00112187	0.000621624	0.000338072	0.000175463	8.98475e-05	4.38706e-05	2.12488e-05	9.7996e-06	4.50663e-06	1.96752e-06	8.60515e-07	3.55964e-07	1.48092e-07	5.79779e-08	2.29004e-08	8.47093e-09	3.16999e-09	1.10485e-09	3.90499e-10	1.28006e-10	4.26544e-11	1.31206e-11	4.11248e-12	1.1865e-12	3.49741e-13	9.45375e-14	2.61778e-14	6.63602e-15	1.72841e-15	4.10792e-16	1.00601e-16	2.24645e-17	5.18533e-18	1.08828e-18	2.3682e-19	4.68872e-20	9.66103e-21	1.80931e-21	3.54168e-22	6.3377e-23	1.19293e-23	2.07e-24	3.80843e-25	6.59763e-26	1.21911e-26	2.16755e-27	4.08651e-28	7.55169e-29	1.46561e-29	3.02798e-30	1.00325e-30	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0270704	0.0321804	0.0407192	0.0521483	0.0645038	0.0765968	0.0857724	0.0916172	0.0924703	0.0895597	0.0818838	0.0714021	0.0580348	0.0446741	0.0319259	0.0218403	0.0140919	0.00898963	0.00556317	0.00351352	0.00216454	0.0013629	0.000817042	0.000495497	0.00027881	0.000158669	8.2374e-05	4.3604e-05	2.0759e-05	1.0176e-05	4.43461e-06	2.0079e-06	7.98269e-07	3.32088e-07	1.20298e-07	4.58978e-08	1.51035e-08	5.26425e-09	1.57575e-09	5.02733e-10	1.36683e-10	3.98404e-11	9.88031e-12	2.64548e-12	5.9796e-13	1.46845e-13	3.04488e-14	6.91261e-15	1.31297e-15	2.7476e-16	4.82053e-17	9.39067e-18	1.5171e-18	2.73658e-19	4.11163e-20	6.94733e-21	9.65536e-22	1.51606e-22	1.97451e-23	2.92711e-24	3.56767e-25	4.98832e-26	5.90104e-27	8.13643e-28	9.82632e-29	1.39929e-29	1.88993e-30	2.92773e-31	4.67854e-32	1.21894e-32	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.161855	0.159735	0.148422	0.131461	0.110015	0.0879941	0.0666031	0.0482434	0.0330776	0.0217204	0.0134979	0.00803958	0.00452901	0.00244751	0.00124992	0.000613037	0.000283817	0.000126398	5.30773e-05	2.14907e-05	8.19406e-06	3.02206e-06	1.04829e-06	3.53164e-07	1.11722e-07	3.44911e-08	9.98131e-09	2.83415e-09	7.52435e-10	1.97111e-10	4.81497e-11	1.16708e-11	2.62813e-12	5.90273e-13	1.22746e-13	2.55783e-14	4.91397e-15	9.49906e-16	1.68744e-16	3.02771e-17	4.97263e-18	8.277e-19	1.2582e-19	1.94504e-20	2.73685e-21	3.92889e-22	5.1269e-23	6.84897e-24	8.29226e-25	1.03114e-25	1.16148e-26	1.34851e-27	1.41435e-28	1.53431e-29	1.50456e-30	1.53235e-31	1.40903e-32	1.35208e-33	1.17781e-34	1.07821e-35	9.03343e-37	8.02614e-38	6.67192e-39	5.92798e-40	5.04667e-41	4.5718e-42	4.05447e-43	3.78664e-44	3.68417e-45	5.16551e-46	
Abildgaardia_ovata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
