NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.000326061	0.000386188	0.000524402	0.000779428	0.00121557	0.00192868	0.00305123	0.00475347	0.00723687	0.0107156	0.0153837	0.0213677	0.0286712	0.0371213	0.0463334	0.0557098	0.0644852	0.0718198	0.0769266	0.0792091	0.0783749	0.0744967	0.0680027	0.0595973	0.0501344	0.0404723	0.0313482	0.0232928	0.0166005	0.0113463	0.00743643	0.00467315	0.00281547	0.00162611	0.000900293	0.000477776	0.000243025	0.000118481	5.53614e-05	2.47921e-05	1.06405e-05	4.37677e-06	1.72538e-06	6.51866e-07	2.36037e-07	8.19138e-08	2.72457e-08	8.68594e-09	2.65414e-09	7.77388e-10	2.1826e-10	5.87425e-11	1.51563e-11	3.74904e-12	8.89112e-13	2.26599e-16	1.0581e-16	4.83833e-17	2.16662e-17	9.50201e-18	4.0816e-18	1.71751e-18	7.08224e-19	2.86417e-19	1.13833e-19	4.46966e-20	1.75813e-20	7.18215e-21	3.32399e-21	2.06273e-21	
N2	0.0218623	0.0227587	0.0244575	0.0269325	0.0301274	0.0339447	0.038235	0.0427922	0.0473577	0.0516332	0.0553046	0.0580716	0.0596816	0.0599596	0.0588319	0.056336	0.0526176	0.0479127	0.0425193	0.0367627	0.0309603	0.0253915	0.0202759	0.015762	0.0119268	0.00878347	0.00629496	0.00438999	0.0029788	0.0019665	0.00126297	0.000789065	0.000479548	0.000283485	0.000163001	9.11585e-05	4.95838e-05	2.62306e-05	1.34956e-05	6.7529e-06	3.2862e-06	1.55526e-06	7.15844e-07	3.20434e-07	1.39498e-07	5.90627e-08	2.43207e-08	9.74021e-09	3.79399e-09	1.43738e-09	5.2967e-10	1.8985e-10	6.61916e-11	2.2449e-11	7.40644e-12	2.37717e-12	7.4228e-13	2.25505e-13	6.66581e-14	1.91731e-14	5.36703e-15	1.46246e-15	3.88126e-16	1.00453e-16	2.54362e-17	6.35363e-18	1.5993e-18	4.28205e-19	1.38547e-19	6.91329e-20	
N3	0.0692317	0.0694266	0.0694967	0.0693595	0.0689044	0.0680066	0.0665448	0.0644198	0.0615715	0.0579921	0.0537323	0.0489008	0.0436547	0.0381841	0.0326923	0.0273756	0.0224046	0.0179109	0.0139795	0.0106485	0.0079134	0.00573586	0.0040541	0.00279363	0.00187653	0.00122857	0.000783885	0.000487392	0.000295288	0.000174314	0.000100257	5.61801e-05	3.06705e-05	1.63125e-05	8.45242e-06	4.26674e-06	2.09829e-06	1.00529e-06	4.69221e-07	2.13368e-07	9.45262e-08	4.07996e-08	1.71573e-08	7.02981e-09	2.80641e-09	1.09165e-09	4.13769e-10	1.52822e-10	5.50033e-11	1.92921e-11	6.59443e-12	2.19685e-12	7.13299e-13	2.2574e-13	6.96361e-14	2.09397e-14	6.13823e-15	1.75419e-15	4.88772e-16	1.32792e-16	3.51842e-17	9.09403e-18	2.2944e-18	5.65843e-19	1.36861e-19	3.27308e-20	7.89908e-21	2.02489e-21	6.24328e-22	2.98704e-22	
N4	0.032861	0.0348981	0.0386727	0.0438422	0.0499132	0.0562799	0.0622783	0.067254	0.0706361	0.0720074	0.0711568	0.0681056	0.0630987	0.0565632	0.0490416	0.0411126	0.0333154	0.0260894	0.0197394	0.0144267	0.010183	0.00694059	0.0045673	0.00290142	0.00177911	0.00105291	0.000601385	0.000331477	0.00017631	9.04928e-05	4.48183e-05	2.14191e-05	9.87778e-06	4.3958e-06	1.88779e-06	7.82392e-07	3.12952e-07	1.2082e-07	4.50237e-08	1.61965e-08	5.6249e-09	1.88611e-09	6.10687e-10	1.9095e-10	5.76661e-11	1.68217e-11	4.74052e-12	1.29075e-12	3.39606e-13	8.63548e-14	2.12244e-14	5.04299e-15	1.15852e-15	2.57366e-16	5.5296e-17	1.14921e-17	2.31068e-18	4.49553e-19	8.4644e-20	1.54264e-20	2.72191e-21	4.65091e-22	7.69909e-23	1.23574e-23	1.92656e-24	2.93078e-25	4.40538e-26	6.7969e-27	1.21925e-27	3.72893e-28	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.00162926	0.00222611	0.00352483	0.0057344	0.00913602	0.0140347	0.020683	0.0291798	0.0393629	0.0507245	0.0623899	0.0731899	0.081834	0.0871564	0.088372	0.0852663	0.0782551	0.0682922	0.0566535	0.044666	0.0334608	0.0238143	0.0161002	0.0103391	0.00630622	0.00365326	0.00201011	0.0010505	0.000521481	0.000245908	0.000110165	4.68921e-05	1.8967e-05	7.29127e-06	2.66433e-06	9.25614e-07	3.05785e-07	9.60811e-08	2.87205e-08	8.16926e-09	2.21165e-09	5.70045e-10	1.39919e-10	3.27146e-11	7.28835e-12	1.54764e-12	3.13328e-13	6.04994e-14	1.11446e-14	1.95923e-15	3.28815e-16	5.27005e-17	8.06902e-18	1.18065e-18	1.65144e-19	2.20902e-20	2.82675e-21	3.4616e-22	4.05809e-23	4.55594e-24	4.90004e-25	5.0506e-26	4.99077e-27	4.7299e-28	4.3019e-29	3.76052e-30	3.17718e-31	2.65913e-32	2.47107e-33	4.17359e-34	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.128073	0.125447	0.119842	0.111592	0.101188	0.0892481	0.0764674	0.0635564	0.0511722	0.0398565	0.0299901	0.0217739	0.0152362	0.010265	0.00665244	0.00414376	0.0024791	0.00142369	0.000784382	0.000414423	0.000209895	0.000101875	4.73741e-05	2.11024e-05	9.00282e-06	3.67822e-06	1.43907e-06	5.39131e-07	1.9341e-07	6.64424e-08	2.18584e-08	6.887e-09	2.07837e-09	6.00822e-10	1.66401e-10	4.41589e-11	1.12305e-11	2.73764e-12	6.39776e-13	1.43363e-13	3.081e-14	6.35161e-15	1.25634e-15	2.38483e-16	4.34544e-17	7.60219e-18	1.27725e-18	2.06133e-19	3.19641e-20	4.76352e-21	6.8242e-22	9.40033e-23	1.24541e-23	1.58733e-24	1.94681e-25	2.29821e-26	2.61203e-27	2.85892e-28	3.01423e-29	3.06213e-30	2.99833e-31	2.83083e-32	2.5786e-33	2.26861e-34	1.93215e-35	1.60175e-36	1.31015e-37	1.09474e-38	1.02396e-39	1.49509e-40	
Abildgaardia_ovata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
