NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
N1	1.64679e-18	1.80315e-18	2.1082e-18	2.57731e-18	3.25802e-18	4.24964e-18	5.77363e-18	8.45555e-18	1.35949e-17	2.37848e-17	4.38916e-17	8.23891e-17	2.86474e-13	9.3224e-13	2.83533e-12	8.16979e-12	2.33263e-11	7.18969e-11	2.71578e-10	6.30257e-10	1.07981e-09	1.45892e-09	1.53963e-09	1.10485e-09	7.94027e-10	6.00016e-10	4.95528e-10	4.56682e-10	4.70671e-10	5.36729e-10	6.67135e-10	8.92138e-10	1.27307e-09	1.93273e-09	3.12537e-09	5.40058e-09	9.99193e-09	1.97323e-08	4.11191e-08	8.8407e-08	1.88747e-07	4.8687e-07	1.5142e-06	5.42403e-06	2.08047e-05	7.96682e-05	0.000289224	0.000962741	0.00287925	0.00764349	0.0178859	0.0367605	0.0662976	0.105104	0.147239	0.184158	0.209283	0.221389	
N2	1.19346e-18	2.22105e-18	6.1e-18	1.81546e-17	5.64605e-17	1.80964e-16	5.9073e-16	1.94477e-15	6.33967e-15	1.9985e-14	5.95102e-14	1.64168e-13	4.1363e-13	9.431e-13	1.93757e-12	3.59279e-12	6.07798e-12	9.63115e-12	1.50615e-11	1.9849e-11	2.29416e-11	2.39768e-11	2.31919e-11	2.07217e-11	2.03019e-11	2.30591e-11	3.13907e-11	5.14261e-11	9.9466e-11	2.20193e-10	5.39813e-10	1.42405e-09	3.95505e-09	1.139e-08	3.36555e-08	1.01167e-07	3.06871e-07	9.32252e-07	2.81907e-06	8.43913e-06	2.48029e-05	7.38695e-05	0.000218373	0.000624026	0.00168213	0.00419852	0.00958045	0.0198176	0.0369434	0.0617803	0.0922905	0.122609	0.144132	0.149079	0.134883	0.10622	0.0726391	0.0431918	
N3	2.58003e-15	2.61565e-15	4.08592e-15	7.15867e-15	1.27048e-14	2.21422e-14	3.73893e-14	6.0777e-14	9.50011e-14	1.43561e-13	2.12709e-13	3.16708e-13	4.89036e-13	8.03679e-13	1.41511e-12	2.64092e-12	5.16059e-12	1.05622e-11	2.30425e-11	5.20333e-11	1.21374e-10	2.89973e-10	7.01184e-10	1.69112e-09	4.1967e-09	1.07522e-08	2.85784e-08	7.8929e-08	2.25568e-07	6.60703e-07	1.95873e-06	5.80061e-06	1.69461e-05	4.8275e-05	0.00013267	0.0003483	0.000865873	0.00202296	0.0044137	0.00894656	0.0167774	0.0289938	0.0460415	0.0670175	0.0892345	0.108503	0.120302	0.121465	0.111542	0.0930483	0.0704225	0.0482916	0.0299626	0.0167986	0.00850736	0.00390681	0.00166253	0.000718558	
N4	5.62124e-09	5.4738e-09	7.71292e-09	1.13437e-08	1.57833e-08	2.03009e-08	2.40736e-08	2.65839e-08	2.81042e-08	3.00276e-08	3.51688e-08	4.89128e-08	8.29292e-08	1.63034e-07	3.39918e-07	6.95006e-07	1.32758e-06	2.31405e-06	3.65595e-06	5.29249e-06	7.21651e-06	9.82854e-06	1.4703e-05	2.67334e-05	6.12068e-05	0.000166554	0.000484685	0.00137958	0.00364173	0.00868179	0.0184656	0.0348568	0.0582793	0.0862719	0.113125	0.131531	0.135798	0.124717	0.102104	0.074707	0.0490189	0.0288595	0.0153005	0.00733345	0.00319136	0.00126712	0.000461551	0.000155178	4.8474e-05	1.41645e-05	3.8969e-06	1.01504e-06	2.51357e-07	5.93198e-08	1.33541e-08	2.87219e-09	6.02517e-10	1.51414e-10	
Carex_pulicaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_peregrina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	4.16455e-15	3.88364e-15	5.79147e-15	1.0306e-14	1.95601e-14	3.81784e-14	7.5183e-14	1.47504e-13	2.86589e-13	5.52104e-13	1.06322e-12	2.07384e-12	4.15634e-12	8.6551e-12	1.88292e-11	4.2846e-11	1.02033e-10	2.54963e-10	6.72129e-10	1.85972e-09	5.38219e-09	1.61608e-08	4.97575e-08	1.54978e-07	4.84596e-07	1.5044e-06	4.59074e-06	1.3645e-05	3.91655e-05	0.00010769	0.000281593	0.000695835	0.00161642	0.0035149	0.00712938	0.0134477	0.0235233	0.0380593	0.0568147	0.0780773	0.0986056	0.113955	0.120323	0.115899	0.101709	0.0812305	0.0589948	0.0389401	0.023352	0.0127221	0.00629765	0.00283423	0.00116099	0.000433809	0.000148506	4.70668e-05	1.42882e-05	4.82662e-06	
Carex_microglochin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.16586e-14	1.54719e-14	3.12077e-14	6.74212e-14	1.4607e-13	3.14776e-13	6.7793e-13	1.47419e-12	3.28017e-12	7.5744e-12	1.83908e-11	4.7503e-11	1.31869e-10	3.96065e-10	1.28485e-09	4.43971e-09	1.59466e-08	5.7889e-08	2.07182e-07	7.20011e-07	2.40303e-06	7.65872e-06	2.32335e-05	6.68715e-05	0.000181255	0.000459914	0.00108548	0.00237173	0.00478963	0.00895809	0.0155958	0.0254352	0.0390534	0.0565119	0.0767714	0.0971571	0.113476	0.12124	0.117654	0.103185	0.0815662	0.0578602	0.0368035	0.020984	0.0107252	0.00491593	0.00202206	0.000747157	0.000248359	7.44255e-05	2.01731e-05	4.97262e-06	1.12476e-06	2.36821e-07	4.739e-08	9.25715e-09	1.84287e-09	4.5709e-10	
Schoenoxiphium_ludwigii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
