NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
N1	1.79944e-31	1.32406e-30	1.85257e-29	2.53915e-28	3.05748e-27	3.07728e-26	2.48072e-25	1.70504e-24	1.12097e-23	7.06662e-23	4.04041e-22	1.90097e-21	6.80244e-21	1.84701e-20	4.20277e-20	9.10378e-20	2.03375e-19	4.80259e-19	1.21104e-18	3.30718e-18	9.78217e-18	3.00316e-17	8.91511e-17	6.9712e-13	3.84841e-12	1.55561e-11	4.59802e-11	1.02725e-10	1.85991e-10	2.98494e-10	4.62749e-10	7.27168e-10	1.18804e-09	2.03304e-09	3.6424e-09	6.81482e-09	1.33128e-08	2.72903e-08	5.90756e-08	1.36781e-07	3.44422e-07	9.55189e-07	2.91885e-06	9.64377e-06	3.32339e-05	0.000114478	0.000379085	0.00117052	0.00329789	0.00835641	0.0188685	0.037765	0.0668542	0.104767	0.145992	0.182621	0.208355	0.221411	
N2	5.01154e-34	3.55954e-33	7.52641e-32	1.94594e-30	4.80325e-29	1.04639e-27	1.96041e-26	3.20376e-25	4.66064e-24	5.95903e-23	6.4632e-22	5.683e-21	3.9751e-20	2.28115e-19	1.15966e-18	5.5953e-18	2.658e-17	1.25608e-16	5.90406e-16	2.7364e-15	1.22261e-14	5.10295e-14	1.93768e-13	6.61059e-13	2.03306e-12	5.72594e-12	1.51293e-11	3.85791e-11	9.79771e-11	2.54539e-10	6.8283e-10	1.89158e-09	5.38762e-09	1.5674e-08	4.62459e-08	1.37499e-07	4.09675e-07	1.21971e-06	3.62747e-06	1.07869e-05	3.20215e-05	9.41621e-05	0.000270342	0.000744234	0.0019304	0.00464965	0.0102866	0.0207355	0.037856	0.0622849	0.091934	0.121165	0.141867	0.14677	0.133463	0.106271	0.0740981	0.045531	
N3	1.25736e-28	5.64777e-28	6.12392e-27	8.22692e-26	1.1451e-24	1.52365e-23	1.88033e-22	2.0927e-21	2.04353e-20	1.7234e-19	1.28198e-18	8.87443e-18	6.02439e-17	4.05081e-16	2.65278e-15	1.65534e-14	9.65178e-14	5.16712e-13	2.5039e-12	1.08696e-11	4.21057e-11	1.4609e-10	4.60894e-10	1.3575e-09	3.86908e-09	1.10334e-08	3.20846e-08	9.52441e-08	2.86279e-07	8.62966e-07	2.57982e-06	7.58617e-06	2.17763e-05	6.05624e-05	0.000161929	0.000413117	0.000998507	0.00227173	0.00483741	0.00959188	0.017633	0.0299459	0.0468483	0.0673556	0.088824	0.107262	0.118442	0.119441	0.109873	0.0920975	0.0702725	0.0487629	0.0307504	0.0176203	0.00918932	0.00439521	0.00198355	0.000934737	
N4	2.86499e-18	6.12552e-18	3.76513e-17	3.27337e-16	2.92489e-15	2.43732e-14	1.83018e-13	1.20637e-12	6.9436e-12	3.61796e-11	1.80307e-10	8.77409e-10	4.10328e-09	1.77983e-08	6.85605e-08	2.25508e-07	6.18297e-07	1.40802e-06	2.71881e-06	4.649e-06	7.50599e-06	1.23011e-05	2.18499e-05	4.38125e-05	9.95613e-05	0.000248961	0.000650747	0.00168593	0.00414722	0.00940776	0.0193301	0.0356261	0.0585895	0.0857736	0.111721	0.129537	0.133778	0.123313	0.101624	0.0750332	0.0497747	0.0297705	0.0160848	0.00789648	0.00353447	0.00144926	0.000547555	0.000192221	6.26648e-05	1.92325e-05	5.54988e-06	1.51246e-06	3.89059e-07	9.5351e-08	2.18016e-08	4.76832e-09	9.99658e-10	2.50161e-10	
Carex_pulicaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_peregrina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	7.04933e-26	3.44958e-25	3.56649e-24	4.33022e-23	5.50332e-22	6.85463e-21	7.94557e-20	8.31994e-19	7.87752e-18	6.82376e-17	5.45386e-16	4.00048e-15	2.66506e-14	1.59961e-13	8.64002e-13	4.21445e-12	1.87287e-11	7.67619e-11	2.95328e-10	1.08879e-09	3.92515e-09	1.40002e-08	4.94046e-08	1.71043e-07	5.75255e-07	1.86569e-06	5.80724e-06	1.72893e-05	4.90741e-05	0.000132333	0.000337647	0.000812353	0.00183737	0.00389598	0.00772397	0.0142791	0.0245472	0.0391325	0.0576916	0.0784437	0.0981257	0.112672	0.11853	0.114055	0.100258	0.0804289	0.0588416	0.0392426	0.0238547	0.0132204	0.00668481	0.00308798	0.00130647	0.000508432	0.00018333	6.2222e-05	2.07129e-05	7.89097e-06	
Carex_microglochin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	2.67149e-24	2.29804e-23	3.74499e-22	6.48169e-21	1.09433e-19	1.66875e-18	2.2284e-17	2.69716e-16	2.99346e-15	2.94736e-14	2.49459e-13	1.7739e-12	1.06415e-11	5.57412e-11	2.6925e-10	1.25485e-09	5.7662e-09	2.60502e-08	1.1441e-07	4.82848e-07	1.93252e-06	7.21566e-06	2.47354e-05	7.69731e-05	0.000216361	0.000549708	0.00126843	0.00267837	0.00522233	0.00948915	0.0161954	0.0261015	0.0397932	0.0572601	0.0773247	0.0972247	0.112859	0.120007	0.116147	0.101824	0.0805896	0.0574592	0.0368595	0.0212628	0.0110297	0.00514677	0.00216214	0.000818726	0.000279902	8.6653e-05	2.44064e-05	6.29847e-06	1.50924e-06	3.42469e-07	7.52104e-08	1.64559e-08	3.71528e-09	1.03846e-09	
Schoenoxiphium_ludwigii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
