NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
N1	0.215346	0.202506	0.178324	0.144794	0.106877	0.070972	0.0420972	0.0221953	0.0103666	0.00427879	0.00155799	0.000499827	0.000141156	3.50696e-05	7.66182e-06	1.47161e-06	2.48461e-07	3.6875e-08	4.81122e-09	5.51967e-10	5.56967e-11	4.94495e-12	3.86455e-13	4.75571e-17	1.17121e-17	2.70849e-18	5.88365e-19	1.20103e-19	2.30472e-20	4.15937e-21	7.0627e-22	1.12888e-22	1.6993e-23	2.41017e-24	3.2226e-25	4.06417e-26	4.837e-27	5.43572e-28	5.77104e-29	5.79177e-30	5.49764e-31	4.93852e-32	4.20073e-33	3.38542e-34	2.58649e-35	1.87446e-36	1.28932e-37	8.42205e-39	5.22758e-40	3.08504e-41	1.73201e-42	9.25593e-44	4.71104e-45	2.28505e-46	1.05706e-47	4.68018e-49	2.06936e-50	1.53285e-51	
N2	0.0364261	0.0577831	0.0845359	0.111531	0.131203	0.137562	0.128619	0.107763	0.0810202	0.0549498	0.0335984	0.0186314	0.00933635	0.00426736	0.0017641	0.000672011	0.000231555	7.52844e-05	2.21225e-05	6.47586e-06	1.6997e-06	4.88743e-07	1.20993e-07	3.61052e-08	8.46906e-09	2.5163e-09	5.37209e-10	1.49309e-10	2.81083e-11	7.06248e-12	1.16123e-12	2.62865e-13	3.76794e-14	7.65109e-15	9.63723e-16	1.78628e-16	1.9861e-17	3.33034e-18	3.33522e-19	5.26015e-20	4.76519e-21	6.82813e-22	5.78076e-23	8.07367e-24	6.27582e-25	7.81758e-26	5.78596e-27	7.16449e-28	4.78388e-29	5.10608e-30	3.23104e-31	3.4618e-32	1.93704e-33	1.76238e-34	9.82709e-36	1.03215e-36	9.49888e-38	3.37382e-38	
N3	0.00523333	0.00931289	0.0164733	0.027719	0.0433698	0.0625965	0.0830107	0.101141	0.113115	0.116235	0.109657	0.0950805	0.0756983	0.0554124	0.0372501	0.0230405	0.0130915	0.006854	0.00329829	0.00146637	0.000599818	0.000227828	7.97513e-05	2.61835e-05	7.94443e-06	2.30571e-06	6.2068e-07	1.65474e-07	4.09072e-08	1.04908e-08	2.45297e-09	6.18635e-10	1.36783e-10	3.3285e-11	6.79844e-12	1.546e-12	2.85459e-13	5.93886e-14	9.81017e-15	1.85299e-15	2.7295e-16	4.67226e-17	6.14528e-18	9.56361e-19	1.12574e-19	1.59582e-20	1.68973e-21	2.19693e-22	2.10186e-23	2.51067e-24	2.19222e-25	2.44001e-26	1.97894e-27	2.11307e-28	1.80968e-29	2.41626e-30	4.03388e-31	1.69879e-31	
N4	3.34032e-09	9.5043e-09	3.0765e-08	9.69994e-08	2.87805e-07	8.04795e-07	2.13721e-06	5.44024e-06	1.33656e-05	3.19832e-05	7.53592e-05	0.00017705	0.000417061	0.000979617	0.00225275	0.00496018	0.0102389	0.0195335	0.0341007	0.0542077	0.0781471	0.102015	0.120293	0.128069	0.122842	0.106182	0.0825372	0.0577588	0.0363091	0.0205511	0.0104476	0.0047897	0.00197407	0.000736296	0.000247414	7.56978e-05	2.09357e-05	5.32244e-06	1.22855e-06	2.64211e-07	5.18175e-08	9.62851e-09	1.6349e-09	2.6757e-10	3.98908e-11	5.81274e-12	7.64992e-13	9.9362e-14	1.15312e-14	1.3312e-15	1.36267e-16	1.40436e-17	1.29289e-18	1.24215e-19	1.14049e-20	1.21706e-21	1.55766e-22	4.47518e-23	
Carex_pulicaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_peregrina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.00149294	0.00284805	0.00560227	0.0106829	0.0191436	0.0318385	0.0488297	0.0689192	0.0893452	0.106352	0.116106	0.116254	0.106651	0.0896622	0.0690112	0.0486504	0.0313818	0.0185381	0.0100178	0.00495969	0.00224644	0.00093335	0.000354939	0.000124133	3.97719e-05	1.17801e-05	3.20149e-06	8.13101e-07	1.89969e-07	4.24267e-08	8.74584e-09	1.79851e-09	3.40851e-10	6.83959e-11	1.236e-11	2.48289e-12	4.27178e-13	8.34552e-14	1.32781e-14	2.42019e-15	3.47632e-16	5.76806e-17	7.40077e-18	1.10825e-18	1.26635e-19	1.70836e-20	1.73991e-21	2.1195e-22	1.92732e-23	2.12497e-24	1.73189e-25	1.74041e-26	1.28406e-27	1.20459e-28	8.76547e-30	9.50594e-31	1.22713e-31	4.23564e-32	
Carex_microglochin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.000308055	0.00067396	0.00156728	0.00352507	0.00740976	0.014384	0.0256313	0.0418342	0.0624169	0.0850662	0.105735	0.11975	0.123346	0.115409	0.09789	0.0751802	0.0521803	0.0327052	0.0184825	0.00941728	0.00432103	0.00178691	0.000665266	0.000223401	6.75687e-05	1.84728e-05	4.55354e-06	1.01904e-06	2.05989e-07	3.81477e-08	6.40123e-09	1.00364e-09	1.43347e-10	1.9916e-11	2.53254e-12	3.33574e-13	3.96762e-14	5.16428e-15	5.78987e-16	7.24926e-17	7.40991e-18	8.49098e-19	7.68173e-20	7.82842e-21	6.18952e-22	5.55675e-23	3.8302e-24	3.02862e-25	1.8224e-26	1.2725e-27	6.70623e-29	4.15696e-30	1.93255e-31	1.08067e-32	4.68928e-34	2.7335e-35	1.75254e-36	2.98647e-37	
Schoenoxiphium_ludwigii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	8.51082e-05	0.000196674	0.000497156	0.00122979	0.00285558	0.00613859	0.0121401	0.022039	0.0366452	0.0557811	0.0776735	0.0989882	0.115344	0.122768	0.118956	0.104639	0.0831856	0.0596494	0.0384363	0.0222691	0.0115618	0.00540005	0.00225743	0.000853133	0.000288284	8.93735e-05	2.47243e-05	6.54785e-06	1.53813e-06	3.8499e-07	8.29537e-08	2.24108e-08	4.68604e-09	1.3521e-09	2.63203e-10	7.21173e-11	1.23847e-11	3.0125e-12	4.47198e-13	9.48662e-14	1.2121e-14	2.23686e-15	2.46313e-16	3.9697e-17	3.77307e-18	5.3213e-19	4.38145e-20	5.44831e-21	3.89226e-22	4.26934e-23	2.66257e-24	2.61513e-25	1.42653e-26	1.25389e-27	6.27521e-29	5.80705e-30	5.0868e-31	1.84939e-31	
N8	2.37802e-12	1.22515e-11	7.56739e-11	4.42937e-10	2.36738e-09	1.14625e-08	5.00805e-08	1.98197e-07	7.15211e-07	2.34751e-06	6.8827e-06	1.76404e-05	3.84657e-05	6.89341e-05	9.75753e-05	0.00010649	9.25362e-05	7.6112e-05	8.39423e-05	0.000159534	0.000447103	0.00137663	0.00397448	0.0102285	0.0230332	0.0451988	0.07669	0.112646	0.141964	0.154503	0.143459	0.115551	0.0792324	0.0478795	0.0246481	0.0114873	0.0045453	0.00167302	0.000514626	0.000149769	3.56011e-05	8.09263e-06	1.47612e-06	2.60656e-07	3.65794e-08	5.04776e-09	5.51096e-10	6.02367e-11	5.19347e-12	4.56957e-13	3.1646e-14	2.28476e-15	1.3024e-16	8.01261e-18	4.10507e-19	2.54156e-20	1.71425e-21	2.69821e-22	
Schoenoxiphium_burkei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Schoenoxiphium_filiforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
