NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
N1	5.45393e-37	2.10951e-36	1.44416e-35	1.10446e-34	8.41e-34	6.2223e-33	4.44921e-32	3.07039e-31	2.04392e-30	1.3121e-29	8.12081e-29	4.84472e-28	2.78537e-27	1.54297e-26	8.23383e-26	4.2319e-25	2.09448e-24	9.98026e-24	4.57778e-23	2.02088e-22	8.5846e-22	3.50852e-21	1.37938e-20	5.21586e-20	1.89666e-19	6.63147e-19	2.22908e-18	7.20249e-18	2.23678e-17	6.67571e-17	3.69763e-13	2.8075e-12	1.96749e-11	1.27241e-10	7.59273e-10	4.17991e-09	2.12268e-08	9.94298e-08	4.29573e-07	1.71173e-06	6.29099e-06	2.13261e-05	6.66906e-05	0.000192423	0.000512392	0.0012597	0.00286072	0.00600525	0.0116639	0.0209874	0.0350422	0.0544098	0.0787779	0.106718	0.135787	0.162919	0.184815	0.197953	
N2	4.04464e-39	2.7879e-38	4.46219e-37	8.556e-36	1.65509e-34	3.09086e-33	5.50473e-32	9.31244e-31	1.49404e-29	2.27133e-28	3.27034e-27	4.45805e-26	5.75178e-25	7.0217e-24	8.10862e-23	8.85514e-22	9.14242e-21	8.92099e-20	8.22455e-19	7.16167e-18	5.88805e-17	4.56908e-16	3.34527e-15	2.31006e-14	1.50399e-13	9.22873e-13	5.33534e-12	2.90506e-11	1.48928e-10	7.18598e-10	3.2625e-09	1.39329e-08	5.59555e-08	2.11272e-07	7.49792e-07	2.50061e-06	7.83569e-06	2.30656e-05	6.37745e-05	0.000165603	0.000403812	0.00092454	0.0019872	0.00400908	0.00758945	0.0134762	0.0224328	0.0349818	0.051056	0.0696653	0.0887576	0.105445	0.11665	0.12001	0.114679	0.101634	0.0833094	0.062724	
N3	1.09823e-25	3.4433e-25	2.18842e-24	1.72099e-23	1.43788e-22	1.20528e-21	9.87189e-21	7.80038e-20	5.90938e-19	4.27913e-18	2.95716e-17	1.94859e-16	1.22364e-15	7.31991e-15	4.16997e-14	2.26158e-13	1.16741e-12	5.73406e-12	2.67925e-11	1.19062e-10	5.0308e-10	2.0207e-09	7.7138e-09	2.79792e-08	9.64068e-08	3.15491e-07	9.80349e-07	2.89198e-06	8.09724e-06	2.15138e-05	5.42308e-05	0.000129668	0.00029403	0.000632169	0.00128846	0.00248894	0.00455595	0.00790082	0.0129779	0.0201873	0.0297304	0.0414445	0.0546728	0.0682334	0.0805418	0.0898892	0.0948218	0.0945064	0.0889592	0.0790524	0.0662918	0.0524449	0.0391449	0.0275935	0.0184291	0.0117618	0.00731818	0.00462069	
N4	7.68697e-19	1.91005e-18	1.04088e-17	7.34707e-17	5.41522e-16	3.89088e-15	2.66775e-14	1.73325e-13	1.06424e-12	6.1675e-12	3.37052e-11	1.73577e-10	8.41803e-10	3.84216e-09	1.64939e-08	6.65569e-08	2.52311e-07	8.98075e-07	2.99978e-06	9.39823e-06	2.76043e-05	7.59776e-05	0.000195882	0.000472867	0.0010685	0.00225926	0.00446899	0.00826818	0.0143053	0.023143	0.0350064	0.0495075	0.0654638	0.0809412	0.0935898	0.101216	0.102405	0.0969505	0.0859137	0.0712844	0.0553985	0.0403398	0.0275341	0.0176231	0.0105813	0.00596236	0.00315408	0.00156691	0.000731213	0.000320586	0.000132057	5.11017e-05	1.85718e-05	6.33858e-06	2.03547e-06	6.22101e-07	1.9055e-07	7.05235e-08	
Carex_pulicaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_peregrina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	3.369e-22	9.7896e-22	5.51925e-21	3.76354e-20	2.71833e-19	1.98269e-18	1.4231e-17	9.89701e-17	6.60844e-16	4.21455e-15	2.55959e-14	1.47776e-13	8.10204e-13	4.2154e-12	2.08028e-11	9.73358e-11	4.31667e-10	1.81394e-09	7.22069e-09	2.72209e-08	9.7161e-08	3.2828e-07	1.0497e-06	3.17588e-06	9.08974e-06	2.46062e-05	6.29891e-05	0.000152454	0.000348813	0.00075433	0.00154164	0.00297715	0.00543198	0.00936281	0.015244	0.0234419	0.0340446	0.046691	0.0604662	0.0739366	0.0853587	0.0930369	0.0957329	0.0929926	0.0852708	0.0738078	0.0603032	0.0465049	0.0338503	0.0232552	0.0150789	0.00922902	0.00533408	0.00291501	0.00151198	0.000752718	0.000371631	0.000198525	
Carex_microglochin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	3.40474e-20	1.14444e-19	7.19086e-19	5.10974e-18	3.71413e-17	2.69278e-16	1.91679e-15	1.32206e-14	8.74521e-14	5.50717e-13	3.28513e-12	1.85013e-11	9.81582e-11	4.89878e-10	2.29746e-09	1.01179e-08	4.18191e-08	1.6215e-07	5.89607e-07	2.00991e-06	6.42162e-06	1.92248e-05	5.39186e-05	0.000141641	0.000348447	0.000802636	0.0017309	0.00349421	0.00660242	0.0116761	0.0193245	0.0299303	0.0433804	0.0588367	0.0746755	0.0886935	0.0985838	0.102552	0.0998465	0.0909945	0.0776307	0.0620071	0.0463764	0.0324841	0.0213127	0.0131005	0.00754602	0.00407418	0.00206243	0.00097922	0.000436217	0.000182407	7.16444e-05	2.64683e-05	9.23516e-06	3.08634e-06	1.03889e-06	4.15267e-07	
Schoenoxiphium_ludwigii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
