NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.0745871	0.0763412	0.0794886	0.0833635	0.0870232	0.0893478	0.0892374	0.0858805	0.0790099	0.0690379	0.0569923	0.0442573	0.0322119	0.0219036	0.0139524	0.00831084	0.0046227	0.00239849	0.00115989	0.000522467	0.000219115	8.55315e-05	3.10716e-05	1.05054e-05	3.30707e-06	9.7045e-07	2.64405e-07	6.68985e-08	1.5722e-08	3.43277e-09	6.9652e-10	1.31367e-10	2.30366e-11	3.75716e-12	5.701e-13	1.14804e-16	4.16306e-17	1.4571e-17	4.9241e-18	1.6074e-18	5.07314e-19	1.54586e-19	4.54899e-20	1.29307e-20	3.55147e-21	9.42743e-22	2.41935e-22	6.00409e-23	1.44134e-23	3.34803e-24	7.52748e-25	1.63867e-25	3.45517e-26	7.05936e-27	1.39833e-27	2.688e-28	5.00906e-29	9.05146e-30	1.58652e-30	2.69819e-31	4.45403e-32	7.13957e-33	1.11195e-33	1.68418e-34	2.48473e-35	3.58138e-36	5.07212e-37	7.13534e-38	1.01679e-38	1.52145e-39	2.89312e-40	
N2	0.0147007	0.0159629	0.0178965	0.0205473	0.0239373	0.0280445	0.0327835	0.0379907	0.043419	0.0487463	0.0535991	0.05759	0.060364	0.0616455	0.0615202	0.0599607	0.0569546	0.0527005	0.0474927	0.0416824	0.0356343	0.0296854	0.0241134	0.0191172	0.0148123	0.0112365	0.00832902	0.00604519	0.00430681	0.0030205	0.00209195	0.00142325	0.00095173	0.000625772	0.000404678	0.000257446	0.000161154	9.92926e-05	6.0248e-05	3.60319e-05	2.12678e-05	1.23557e-05	7.07043e-06	3.98852e-06	2.21971e-06	1.21945e-06	6.5234e-07	3.39728e-07	1.72227e-07	8.49971e-08	4.08421e-08	1.91137e-08	8.71604e-09	3.87567e-09	1.6824e-09	7.1433e-10	2.96102e-10	1.20008e-10	4.76462e-11	1.85755e-11	7.13174e-12	2.70552e-12	1.01798e-12	3.81411e-13	1.42868e-13	5.37212e-14	2.03957e-14	7.92045e-15	3.26143e-15	1.56542e-15	1.06035e-15	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.0664565	0.0707932	0.0762752	0.0822251	0.087624	0.0912587	0.0919617	0.0889119	0.0819055	0.0714823	0.0588306	0.0454869	0.0329388	0.022283	0.014117	0.008374	0.00463885	0.00239892	0.0011582	0.000522394	0.000220426	8.7219e-05	3.24815e-05	1.14466e-05	3.84632e-06	1.24603e-06	3.93632e-07	1.24055e-07	4.04697e-08	1.43368e-08	5.6886e-09	2.10797e-09	7.31711e-10	2.39332e-10	7.41442e-11	2.1817e-11	6.09966e-12	1.61817e-12	4.0661e-13	9.67189e-14	2.18458e-14	4.71183e-15	9.88332e-16	2.07852e-16	4.54055e-17	1.04988e-17	2.13747e-18	3.97692e-19	6.90256e-20	1.13109e-20	1.76075e-21	2.60912e-22	3.67763e-23	4.92034e-24	6.23345e-25	7.46583e-26	8.41802e-27	8.92352e-28	8.88672e-29	8.31434e-30	7.31133e-31	6.04734e-32	4.72302e-33	3.52818e-34	2.61603e-35	2.09604e-36	2.03545e-37	2.46088e-38	3.38687e-39	5.01753e-40	9.67523e-41	
N4	0.0829081	0.0855313	0.0870103	0.0871908	0.0859229	0.0831037	0.0787199	0.0728774	0.0658091	0.0578603	0.0494506	0.0410237	0.0329928	0.0256949	0.0194439	0.0142997	0.010203	0.00706393	0.004748	0.00310126	0.0019715	0.00122257	0.000741923	0.000442577	0.000261103	0.000153625	9.0758e-05	5.45618e-05	3.39329e-05	2.22089e-05	1.54855e-05	1.08547e-05	7.58794e-06	5.26e-06	3.60163e-06	2.42921e-06	1.6108e-06	1.04889e-06	6.70634e-07	4.21608e-07	2.61539e-07	1.60381e-07	9.79941e-08	6.02749e-08	3.7728e-08	2.4228e-08	1.50063e-08	9.02391e-09	5.29038e-09	3.0308e-09	1.69824e-09	9.30592e-10	4.98307e-10	2.6047e-10	1.32783e-10	6.59935e-11	3.1843e-11	1.49081e-11	6.77257e-12	2.98878e-12	1.28486e-12	5.41147e-13	2.25826e-13	9.52714e-14	4.19024e-14	1.99326e-14	1.05618e-14	6.32096e-15	4.32633e-15	3.51523e-15	3.62022e-15	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0614169	0.0658627	0.0717937	0.0785159	0.0849631	0.089842	0.091872	0.0900923	0.0841488	0.074452	0.0621182	0.0486929	0.0357511	0.0245262	0.0157661	0.00951024	0.00535946	0.00282218	0.00138995	0.000641484	0.000278308	0.000114054	4.44519e-05	1.66213e-05	6.02309e-06	2.13743e-06	7.47548e-07	2.62705e-07	9.96508e-08	4.84921e-08	3.30622e-08	1.58787e-08	6.58977e-09	2.52179e-09	9.09819e-10	3.11096e-10	1.00738e-10	3.08157e-11	8.88171e-12	2.40709e-12	6.13441e-13	1.47271e-13	3.42057e-14	8.49342e-15	2.72867e-15	1.16931e-15	3.20936e-16	7.49288e-17	1.60869e-17	3.25814e-18	6.26431e-19	1.14301e-19	1.97499e-20	3.22398e-21	4.9621e-22	7.19497e-23	9.79459e-24	1.25072e-24	1.49788e-25	1.6848e-26	1.78393e-27	1.77466e-28	1.65927e-29	1.46155e-30	1.22062e-31	9.94656e-33	9.22746e-34	1.49384e-34	4.38257e-35	1.50037e-35	6.61557e-36	
N6	0.0520597	0.054697	0.0576397	0.0607559	0.0638261	0.0665546	0.0685935	0.069584	0.0692102	0.0672569	0.0636587	0.058528	0.0521511	0.0449509	0.0375798	0.0304611	0.023873	0.0180821	0.0132363	0.00936823	0.00641725	0.00426141	0.00275007	0.00173092	0.00106804	0.000650863	0.000393989	0.00023978	0.000148823	9.55018e-05	6.38941e-05	4.22756e-05	2.74558e-05	1.74093e-05	1.07401e-05	6.43301e-06	3.73754e-06	2.10657e-06	1.15333e-06	6.15138e-07	3.21202e-07	1.64658e-07	8.35141e-08	4.22684e-08	2.15086e-08	1.10499e-08	5.41479e-09	2.54257e-09	1.14746e-09	4.98655e-10	2.08894e-10	8.4398e-11	3.28914e-11	1.23643e-11	4.48364e-12	1.56956e-12	5.2884e-13	1.71553e-13	5.36279e-14	1.61863e-14	4.73402e-15	1.35004e-15	3.79556e-16	1.07069e-16	3.10552e-17	9.5141e-18	3.14091e-18	1.12542e-18	4.38948e-19	1.9294e-19	1.16437e-19	
