NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.182842	0.173024	0.155368	0.132551	0.107453	0.082713	0.060378	0.0417231	0.0272395	0.0167668	0.00971129	0.00528345	0.00269602	0.00128871	0.000576467	0.000241107	9.42218e-05	3.43819e-05	1.17086e-05	3.71936e-06	1.1016e-06	3.0409e-07	7.82094e-08	1.87357e-08	4.17966e-09	8.68163e-10	1.67883e-10	3.02234e-11	5.06544e-12	7.90429e-13	1.11272e-16	4.0933e-17	1.45332e-17	4.98082e-18	1.64801e-18	5.26509e-19	1.62449e-19	4.84142e-20	1.39399e-20	3.87856e-21	1.04303e-21	2.71167e-22	6.81697e-23	1.65753e-23	3.89899e-24	8.87505e-25	1.95535e-25	4.17085e-26	8.61549e-27	1.72386e-27	3.34199e-28	6.27914e-29	1.14367e-29	2.01988e-30	3.46008e-31	5.75045e-32	9.27448e-33	1.45202e-33	2.2074e-34	3.25954e-35	4.67688e-36	6.52358e-37	8.85173e-38	1.16957e-38	1.50747e-39	1.90157e-40	2.36222e-41	2.924e-42	3.68304e-43	4.89786e-44	8.28155e-45	
N2	0.0218024	0.0243117	0.0276292	0.031912	0.0367681	0.0422127	0.047588	0.0528545	0.0571953	0.0607038	0.0625968	0.0632634	0.0620892	0.0597786	0.0558978	0.0513403	0.0457832	0.040145	0.0341466	0.0285868	0.0231828	0.0185277	0.0143225	0.0109319	0.00805814	0.00588016	0.00413761	0.00289165	0.00194512	0.0013043	0.000840097	0.000541477	0.000334333	0.000207339	0.000122826	7.3334e-05	4.16774e-05	2.39465e-05	1.30546e-05	7.21548e-06	3.77022e-06	2.00246e-06	1.00259e-06	5.11537e-07	2.45234e-07	1.20091e-07	5.51385e-08	2.59233e-08	1.13956e-08	5.14137e-09	2.16577e-09	9.38679e-10	3.78977e-10	1.57804e-10	6.11861e-11	2.45367e-11	9.15424e-12	3.54389e-12	1.28031e-12	4.82283e-13	1.7047e-13	6.32531e-14	2.23449e-14	8.35335e-15	3.03083e-15	1.16902e-15	4.48484e-16	1.84306e-16	7.98823e-17	4.18269e-17	3.11761e-17	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.154746	0.157119	0.149623	0.134935	0.114262	0.0917038	0.0690224	0.0492415	0.0328478	0.0207696	0.0122286	0.00683545	0.00354012	0.0017499	0.000796799	0.000350476	0.000140863	5.59803e-05	2.00917e-05	7.42479e-06	2.42708e-06	8.64407e-07	2.63446e-07	9.27654e-08	2.65757e-08	9.1541e-09	2.44824e-09	8.0522e-10	1.97358e-10	6.01899e-11	1.34347e-11	3.78057e-12	7.60293e-13	1.9487e-13	3.55694e-14	8.42825e-15	1.38391e-15	2.99148e-16	4.49899e-17	9.14632e-18	1.24144e-18	2.31293e-19	2.92563e-20	5.25221e-21	6.02085e-22	9.90215e-23	1.08014e-23	1.74638e-24	1.72162e-25	2.51416e-26	2.38841e-27	3.4508e-28	2.93659e-29	3.76699e-30	3.10453e-31	3.94285e-32	2.87961e-33	3.19967e-34	2.26492e-35	2.49648e-36	1.56076e-37	1.5002e-38	9.13565e-40	8.77074e-41	4.73062e-42	3.99933e-43	2.256e-44	2.12816e-45	1.54762e-46	1.95797e-47	3.39317e-48	
N4	0.12182	0.125496	0.123122	0.116317	0.105177	0.0920004	0.0772789	0.0630325	0.0494686	0.037833	0.0278699	0.0200875	0.0139491	0.00952834	0.00626866	0.00408913	0.00256612	0.00161598	0.000977048	0.000603212	0.000355906	0.000219168	0.000127863	7.96384e-05	4.62453e-05	2.91888e-05	1.68446e-05	1.06989e-05	6.08086e-06	3.8367e-06	2.1324e-06	1.32703e-06	7.16247e-07	4.36552e-07	2.28838e-07	1.36891e-07	6.95324e-08	4.07003e-08	2.01432e-08	1.16232e-08	5.59504e-09	3.168e-09	1.49617e-09	8.39873e-10	3.87312e-10	2.13458e-10	9.71081e-11	5.3191e-11	2.3624e-11	1.26529e-11	5.54955e-12	2.95081e-12	1.25841e-12	6.50468e-13	2.73496e-13	1.40107e-13	5.69804e-14	2.82304e-14	1.13036e-14	5.55149e-15	2.14638e-15	1.02011e-15	3.91776e-16	1.87592e-16	7.22132e-17	3.55273e-17	1.56826e-17	9.3438e-18	5.81277e-18	5.14852e-18	5.85517e-18	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.142895	0.146792	0.142754	0.13235	0.115609	0.0958831	0.0745053	0.0548717	0.0376706	0.024543	0.0148219	0.0085413	0.00452577	0.00231802	0.00107772	0.000497997	0.000203937	8.76664e-05	3.1968e-05	1.34775e-05	4.44053e-06	1.92998e-06	5.83076e-07	2.66427e-07	7.34309e-08	3.38575e-08	8.51284e-09	3.85923e-09	8.70142e-10	3.69914e-10	7.60425e-11	3.09036e-11	5.66158e-12	2.09498e-12	3.55437e-13	1.27741e-13	1.91748e-14	6.13908e-15	8.77669e-16	2.85815e-16	3.54631e-17	9.93307e-18	1.22398e-18	3.74065e-19	3.86687e-20	9.62315e-21	1.04142e-21	3.05007e-22	2.63556e-23	5.82541e-24	5.51763e-25	1.5221e-25	1.10561e-26	2.16575e-27	1.79547e-28	4.59518e-29	2.81188e-30	4.81578e-31	3.44041e-32	7.96679e-33	4.15573e-34	6.29602e-35	3.9505e-36	8.34012e-37	3.71667e-38	4.90684e-39	2.67626e-40	5.1635e-41	2.75222e-42	5.88713e-43	2.03407e-43	
N6	0.0594488	0.0646195	0.0699445	0.0753895	0.079576	0.0823898	0.0824988	0.0803746	0.0752494	0.0683832	0.0595472	0.0503761	0.0407643	0.0321454	0.0242085	0.0178662	0.0125694	0.00874452	0.00578683	0.00383731	0.00241106	0.00154355	0.000930162	0.000581427	0.00033808	0.00020708	0.000116258	6.95766e-05	3.75077e-05	2.17421e-05	1.11962e-05	6.24999e-06	3.05679e-06	1.63303e-06	7.58179e-07	3.879e-07	1.7061e-07	8.33702e-08	3.48751e-08	1.63603e-08	6.50138e-09	2.91862e-09	1.10879e-09	4.79818e-10	1.7374e-10	7.20187e-11	2.50412e-11	1.003e-11	3.32664e-12	1.27399e-12	4.06439e-13	1.5043e-13	4.56942e-14	1.61181e-14	4.70853e-15	1.6046e-15	4.45019e-16	1.44112e-16	3.84437e-17	1.20449e-17	3.05325e-18	9.12149e-19	2.25303e-19	6.64768e-20	1.63246e-20	4.89977e-21	1.34392e-21	4.64366e-22	1.62465e-22	7.31534e-23	4.55426e-23	
