NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.210693	0.195248	0.16847	0.135833	0.102571	0.0726333	0.0482551	0.030072	0.0175692	0.00961443	0.00492372	0.00235746	0.00105444	0.000440245	0.000171472	6.22699e-05	2.1075e-05	6.64509e-06	1.95146e-06	5.3363e-07	1.35855e-07	3.21966e-08	7.10254e-09	1.45837e-09	2.78729e-10	4.95871e-11	8.21239e-12	1.26628e-12	1.81812e-13	4.82816e-17	1.70404e-17	5.80537e-18	1.90938e-18	6.06354e-19	1.85954e-19	5.50808e-20	1.57613e-20	4.35773e-21	1.16438e-21	3.00733e-22	7.5096e-23	1.81341e-23	4.23562e-24	9.57155e-25	2.09312e-25	4.43055e-26	9.07987e-27	1.80206e-27	3.46443e-28	6.45328e-29	1.165e-29	2.03881e-30	3.45978e-31	5.69446e-32	9.09295e-33	1.40903e-33	2.11943e-34	3.09544e-35	4.39099e-36	6.05174e-37	8.10669e-38	1.05599e-38	1.33851e-39	1.65266e-40	1.99125e-41	2.34905e-42	2.73035e-43	3.16453e-44	3.73695e-45	4.6678e-46	7.40438e-47	
N2	0.0235367	0.0264194	0.0301436	0.0347827	0.0400343	0.0458261	0.0513481	0.0565764	0.0607598	0.0636879	0.0648997	0.0647296	0.0625304	0.0591702	0.0544592	0.0489731	0.042843	0.0368286	0.0306562	0.0251045	0.0200001	0.0156133	0.0118487	0.0088796	0.00642168	0.00459512	0.00319294	0.00218353	0.00144794	0.000955595	0.000605066	0.00038229	0.000233567	0.000141297	8.24703e-05	4.83245e-05	2.69297e-05	1.51021e-05	8.13381e-06	4.36356e-06	2.24172e-06	1.16493e-06	5.7058e-07	2.83334e-07	1.34111e-07	6.3592e-08	2.86842e-08	1.31799e-08	5.66388e-09	2.48437e-09	1.03291e-09	4.32752e-10	1.71523e-10	6.97167e-11	2.63698e-11	1.0252e-11	3.76576e-12	1.40358e-12	4.9521e-13	1.80959e-13	6.18973e-14	2.20888e-14	7.59355e-15	2.71221e-15	9.52236e-16	3.55624e-16	1.32442e-16	5.31249e-17	2.27281e-17	1.17597e-17	8.8031e-18	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.178005	0.178433	0.164485	0.140835	0.111909	0.0833327	0.0575237	0.0373345	0.0225652	0.0127923	0.00674167	0.00336865	0.00154835	0.000680464	0.000276965	0.000108125	3.88824e-05	1.40405e-05	4.52036e-06	1.52687e-06	4.63172e-07	1.4968e-07	4.20035e-08	1.36557e-08	3.51451e-09	1.08341e-09	2.6522e-10	7.59058e-11	1.66734e-11	4.55752e-12	8.9659e-13	2.24315e-13	4.10301e-14	9.2812e-15	1.53027e-15	3.3389e-16	4.90001e-17	9.64405e-18	1.35634e-18	2.48135e-19	3.12193e-20	5.47932e-21	6.30807e-22	1.03772e-22	1.14113e-23	1.67255e-24	1.70344e-25	2.55834e-26	2.29011e-27	3.00594e-28	2.69659e-29	3.38009e-30	2.65492e-31	3.12818e-32	2.2888e-33	2.57061e-34	1.75416e-35	1.70324e-36	1.09645e-37	1.10398e-38	6.14629e-40	5.29497e-41	2.99053e-42	2.52191e-43	1.23902e-44	9.68652e-46	4.81287e-47	4.07922e-48	2.72336e-49	3.19003e-50	5.3189e-51	
N4	0.129654	0.133757	0.130477	0.121498	0.107961	0.0924044	0.075537	0.0597505	0.0454546	0.0334688	0.0237508	0.0164769	0.0109722	0.00718798	0.00455754	0.00284497	0.00171996	0.00104762	0.000610064	0.000363995	0.000210106	0.000124383	7.06616e-05	4.2817e-05	2.39513e-05	1.45153e-05	8.18345e-06	4.92123e-06	2.7038e-06	1.64619e-06	8.76511e-07	5.23133e-07	2.76761e-07	1.60951e-07	8.23343e-08	4.82054e-08	2.37571e-08	1.35242e-08	6.66238e-09	3.70409e-09	1.76234e-09	9.84855e-10	4.54071e-10	2.47831e-10	1.14395e-10	6.03923e-11	2.70649e-11	1.45207e-11	6.25171e-12	3.22767e-12	1.40272e-12	7.06724e-13	2.94498e-13	1.48517e-13	5.98854e-14	2.94092e-14	1.18008e-14	5.54785e-15	2.16025e-15	1.0346e-15	3.83945e-16	1.75775e-16	6.65054e-17	3.02168e-17	1.12927e-17	5.41918e-18	2.28369e-18	1.32003e-18	8.16348e-19	7.22774e-19	8.43569e-19	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.165372	0.167842	0.158251	0.139612	0.114801	0.0886922	0.0634924	0.0427563	0.0267568	0.0157121	0.00854656	0.00443505	0.00209712	0.000962442	0.000404297	0.000167081	6.18498e-05	2.46952e-05	8.11375e-06	3.18685e-06	9.95384e-07	3.92274e-07	1.10242e-07	4.70261e-08	1.16443e-08	4.82267e-09	1.14242e-09	4.47602e-10	9.24172e-11	3.59153e-11	6.5877e-12	2.40363e-12	4.15059e-13	1.34424e-13	2.10647e-14	7.11995e-15	9.57654e-16	2.77831e-16	3.85852e-17	1.10499e-17	1.28682e-18	3.4642e-19	3.81992e-20	1.05711e-20	1.08837e-21	2.33738e-22	2.3704e-23	6.56199e-24	5.1021e-25	1.011e-25	9.37656e-27	2.16899e-27	1.48561e-28	2.80383e-29	2.01825e-30	4.5176e-31	2.71839e-32	4.01982e-33	2.66032e-34	5.72334e-35	2.68417e-36	3.64885e-37	2.21745e-38	3.96367e-39	1.66141e-40	2.13003e-41	1.01468e-42	1.72338e-43	8.71183e-45	1.65804e-45	5.47121e-46	
N6	0.0661414	0.0720473	0.0776595	0.0827098	0.0860894	0.0875906	0.0857895	0.0814989	0.0743788	0.0654337	0.0551711	0.045108	0.035135	0.0266299	0.0193489	0.0136627	0.00924729	0.00619415	0.00393255	0.00250136	0.0015243	0.000929902	0.000540667	0.000325038	0.000180713	0.000105278	5.72284e-05	3.21744e-05	1.66383e-05	9.20414e-06	4.50666e-06	2.38331e-06	1.12996e-06	5.68243e-07	2.54278e-07	1.25065e-07	5.26664e-08	2.45752e-08	1.00524e-08	4.46211e-09	1.7212e-09	7.46385e-10	2.7212e-10	1.12299e-10	3.98641e-11	1.55615e-11	5.23228e-12	2.01208e-12	6.36661e-13	2.30942e-13	7.16598e-14	2.47398e-14	7.2205e-15	2.43598e-15	6.72562e-16	2.15711e-16	5.79644e-17	1.749e-17	4.45872e-18	1.33184e-18	3.1863e-19	8.96729e-20	2.13531e-20	5.84253e-21	1.36201e-21	3.87849e-22	9.93923e-23	3.24613e-23	1.09827e-23	4.78728e-24	2.95283e-24	
