NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	8.10368e-06	1.33198e-05	2.93124e-05	7.17105e-05	0.000177335	0.00042588	0.000976276	0.00211774	0.00432366	0.00827587	0.0148056	0.024695	0.038324	0.0552437	0.0738663	0.0915108	0.104945	0.111325	0.109171	0.0989239	0.0827965	0.0639911	0.0456603	0.0300755	0.0182858	0.0102621	0.00531615	0.00254236	0.00112257	0.00045772	0.000172381	5.99781e-05	1.92855e-05	5.73242e-06	1.57568e-06	4.00663e-07	9.42859e-08	2.05426e-08	4.14568e-09	7.75307e-10	1.34431e-10	2.16218e-11	3.22759e-12	4.47394e-13	1.01956e-16	3.5278e-17	1.17726e-17	3.79004e-18	1.17746e-18	3.53108e-19	1.02249e-19	2.85978e-20	7.72784e-21	2.01823e-21	5.09566e-22	1.24418e-22	2.9387e-23	6.7166e-24	1.48596e-24	3.1833e-25	6.60577e-26	1.32843e-26	2.59053e-27	4.90314e-28	9.02141e-29	1.61818e-29	2.84487e-30	4.95133e-31	8.68618e-32	1.59228e-32	3.72674e-33	
N2	0.00211967	0.00232394	0.00274759	0.00344593	0.00450093	0.00601883	0.00812348	0.0109437	0.0145935	0.0191465	0.0246071	0.0308833	0.0377676	0.0449339	0.0519529	0.0583296	0.0635586	0.0671888	0.068887	0.0684877	0.0660183	0.0616953	0.0558919	0.0490838	0.041784	0.0344795	0.0275799	0.021385	0.0160737	0.0117119	0.00827273	0.005665	0.00376093	0.00242076	0.00151074	0.000914175	0.000536404	0.000305213	0.000168417	9.01291e-05	4.67812e-05	2.35522e-05	1.15021e-05	5.44925e-06	2.50463e-06	1.11695e-06	4.83321e-07	2.0295e-07	8.27048e-08	3.27112e-08	1.25581e-08	4.68009e-09	1.69327e-09	5.94815e-10	2.02891e-10	6.72064e-11	2.16208e-11	6.75596e-12	2.05072e-12	6.04749e-13	1.73281e-13	4.82504e-14	1.30598e-14	3.4377e-15	8.81038e-16	2.20491e-16	5.4307e-17	1.34438e-17	3.53466e-18	1.12673e-18	5.59272e-19	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	4.97273e-06	8.68034e-06	2.05913e-05	5.41263e-05	0.000142731	0.000362092	0.000868109	0.00195092	0.00409256	0.00799391	0.0145144	0.0244654	0.0382441	0.0553912	0.0742748	0.0921442	0.105696	0.112043	0.10971	0.0991928	0.0827826	0.0637544	0.0453005	0.0296927	0.0179519	0.0100106	0.00514868	0.00244254	0.00106889	0.000431545	0.000160767	5.52754e-05	1.75445e-05	5.14215e-06	1.39212e-06	3.48246e-07	8.05257e-08	1.72185e-08	3.40603e-09	6.23577e-10	1.05711e-10	1.66012e-11	2.41628e-12	3.26078e-13	4.08117e-14	4.7378e-15	5.1004e-16	5.08874e-17	4.7008e-18	4.01549e-19	3.16757e-20	2.30506e-21	1.5474e-22	9.60783e-24	5.56955e-25	3.09424e-26	1.75346e-27	1.12841e-28	8.97287e-30	8.5026e-31	8.66855e-32	8.85264e-33	8.78152e-34	8.37664e-35	7.67099e-36	6.76105e-37	5.77524e-38	4.85422e-39	4.15182e-40	3.90531e-41	5.35777e-42	
N4	0.00343303	0.00415345	0.00563061	0.00796247	0.0112666	0.0156501	0.0211706	0.0277951	0.0353613	0.0435536	0.0519015	0.059809	0.0666156	0.0716827	0.07449	0.0747231	0.0723313	0.0675405	0.0608185	0.0527983	0.0441785	0.0356219	0.0276731	0.0207094	0.0149277	0.0103632	0.00692855	0.00446085	0.00276575	0.00165131	0.000949469	0.000525759	0.000280398	0.00014404	7.12774e-05	3.39808e-05	1.56093e-05	6.90974e-06	2.94806e-06	1.21249e-06	4.80794e-07	1.8385e-07	6.78066e-08	2.41252e-08	8.28224e-09	2.74407e-09	8.7762e-10	2.71005e-10	8.08172e-11	2.32802e-11	6.47922e-12	1.74267e-12	4.5307e-13	1.13888e-13	2.76854e-14	6.51018e-15	1.48118e-15	3.26139e-16	6.95166e-17	1.43479e-17	2.86839e-18	5.55682e-19	1.04384e-19	1.90354e-20	3.37723e-21	5.85591e-22	1.00171e-22	1.7236e-23	3.10347e-24	6.37456e-25	1.97042e-25	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	3.49722e-06	5.73748e-06	1.29995e-05	3.40202e-05	9.18277e-05	0.00024148	0.00060262	0.00141012	0.00307635	0.00623854	0.0117389	0.0204709	0.0330529	0.0493756	0.0681964	0.0870378	0.102597	0.11165	0.112129	0.10389	0.0887795	0.0699597	0.0508289	0.0340451	0.021021	0.0119647	0.00627784	0.00303676	0.00135441	0.000557054	0.000211314	7.39508e-05	2.38809e-05	7.11827e-06	1.95909e-06	4.98013e-07	1.16975e-07	2.53972e-08	5.0992e-09	9.4718e-10	1.62847e-10	2.59268e-11	3.82434e-12	5.229e-13	6.63059e-14	7.80133e-15	8.5205e-16	8.64201e-17	8.14253e-18	7.12849e-19	5.79939e-20	4.3845e-21	3.08026e-22	2.01074e-23	1.21965e-24	6.87689e-26	3.60853e-27	1.7675e-28	8.13943e-30	3.58182e-31	1.55821e-32	7.10538e-34	3.62984e-35	2.12712e-36	1.37233e-37	9.17023e-39	6.09641e-40	3.98488e-41	2.62076e-42	1.93816e-43	2.5679e-44	
N6	3.29888e-06	4.81567e-06	8.9682e-06	1.8779e-05	4.09846e-05	8.95788e-05	0.000191965	0.000398624	0.000796643	0.00152593	0.00279424	0.00488358	0.00813754	0.0129186	0.0195294	0.0281038	0.0384888	0.0501552	0.0621805	0.0733342	0.0822702	0.0877895	0.0891037	0.0860196	0.0789863	0.068987	0.0573139	0.0452951	0.034054	0.024358	0.0165772	0.0107354	0.00661627	0.00388101	0.00216707	0.00115201	0.00058313	0.000281104	0.000129073	5.64615e-05	2.3534e-05	9.34875e-06	3.54009e-06	1.27811e-06	4.40063e-07	1.44527e-07	4.52867e-08	1.35421e-08	3.86546e-09	1.05347e-09	2.74196e-10	6.81757e-11	1.61973e-11	3.67804e-12	7.98489e-13	1.65776e-13	3.2923e-14	6.25648e-15	1.13803e-15	1.98208e-16	3.30684e-17	5.28764e-18	8.10949e-19	1.1943e-19	1.69224e-20	2.3147e-21	3.0749e-22	4.01273e-23	5.28071e-24	7.65918e-25	1.80702e-25	
