NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	6.86065e-23	4.1053e-21	1.70124e-19	2.5466e-18	2.14108e-17	1.06826e-16	5.2143e-13	5.27187e-12	4.17454e-11	2.3816e-10	1.01123e-09	3.45484e-09	1.02308e-08	2.80576e-08	7.48012e-08	1.95882e-07	4.89284e-07	1.11758e-06	2.2883e-06	4.24293e-06	7.26402e-06	1.17049e-05	1.80375e-05	2.69245e-05	3.93448e-05	5.683e-05	8.18806e-05	0.000118609	0.000173574	0.0002566	0.000380984	0.000562112	0.000813535	0.00114085	0.00153606	0.00197435	0.00244233	0.00292901	0.00342778	0.00393687	0.00445872	0.0049991	0.00556609	0.00616927	0.00681896	0.00752574	0.00830041	0.00915451	0.0101015	0.0111586	0.0123486	0.013702	0.0152591	0.0170706	0.019198	0.0217125	0.0246908	0.0282093	0.0323335	0.0371039	0.0425184	0.0485126	0.0549436	0.0615804	0.0681085	0.0741519	0.0793119	0.0832185	0.0855834	0.0862464	
N2	7.30888e-12	7.19115e-12	3.67412e-11	1.91549e-10	8.40912e-10	3.36361e-09	1.20969e-08	3.93168e-08	1.13267e-07	2.9881e-07	7.25455e-07	1.66801e-06	3.61085e-06	7.40376e-06	1.4176e-05	2.5606e-05	4.36457e-05	7.13138e-05	0.000111683	0.000169625	0.000249711	0.00036007	0.000507565	0.000704303	0.000955918	0.00127275	0.00164832	0.00208458	0.00255948	0.00307632	0.00361045	0.00418437	0.00477899	0.00543902	0.00614235	0.00694549	0.00781483	0.0088316	0.00995828	0.0113095	0.012845	0.0147203	0.0168842	0.0195278	0.0225552	0.0261581	0.0301219	0.0345703	0.0390755	0.043641	0.0476028	0.0509165	0.0528456	0.0535495	0.0525221	0.0503551	0.0468986	0.0430539	0.0387691	0.0348384	0.0309933	0.0277091	0.0245398	0.0217852	0.0190504	0.0166178	0.014224	0.0121269	0.0101456	0.00847342	
Kyllinga_bulbosa	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kyllinga_brevifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N3	3.44845e-19	6.96457e-18	2.84929e-16	7.73902e-15	1.18288e-13	1.15169e-12	8.42008e-12	4.97933e-11	2.38742e-10	9.53771e-10	3.27498e-09	9.98414e-09	2.77247e-08	7.14065e-08	1.70861e-07	3.78837e-07	7.7844e-07	1.49686e-06	2.72061e-06	4.73464e-06	7.96525e-06	1.30857e-05	2.1124e-05	3.37195e-05	5.33075e-05	8.3542e-05	0.000129252	0.000196626	0.000292042	0.000421674	0.000589046	0.000795903	0.00104006	0.00132006	0.0016325	0.00197283	0.00233812	0.00273324	0.00315691	0.00361891	0.00411816	0.00466984	0.0052723	0.00594823	0.00669601	0.00755051	0.00851234	0.00963581	0.010926	0.0124641	0.0142572	0.0164166	0.0189383	0.0219561	0.0254221	0.0294681	0.0339455	0.0389441	0.0441443	0.0495575	0.0546352	0.0592989	0.0627599	0.0649547	0.0651366	0.0638924	0.0613967	0.0595102	0.0587877	0.0603242	
Cyperus_capitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	6.12514e-18	1.31675e-16	5.49e-15	1.27932e-13	1.46035e-12	1.21356e-11	7.65956e-11	3.56483e-10	1.31842e-09	4.28936e-09	1.29305e-08	3.71321e-08	9.91483e-08	2.41131e-07	5.29096e-07	1.06833e-06	2.02773e-06	3.7089e-06	6.56032e-06	1.1313e-05	1.90716e-05	3.1603e-05	5.12658e-05	8.11696e-05	0.000124284	0.000183443	0.000259647	0.000353543	0.000463677	0.000590979	0.00073539	0.000902926	0.00109799	0.00133455	0.00162309	0.00196706	0.0023676	0.00284509	0.00340311	0.00407785	0.00487858	0.00586298	0.00704249	0.00849664	0.0102261	0.0123239	0.0147519	0.0175939	0.0207286	0.0242002	0.0277624	0.0314105	0.0347767	0.0378622	0.0402611	0.0421025	0.0430691	0.0435238	0.0432844	0.0429173	0.0422731	0.0419827	0.0417952	0.0423231	0.0431691	0.0449253	0.0470284	0.050065	0.0533256	0.0574984	
Cyperus_esculentus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	8.91141e-17	3.97475e-16	1.1655e-14	2.47622e-13	2.90115e-12	2.45346e-11	1.52971e-10	7.13872e-10	2.68968e-09	8.98763e-09	2.78225e-08	8.01905e-08	2.1013e-07	4.95765e-07	1.05458e-06	2.06058e-06	3.77605e-06	6.65529e-06	1.14086e-05	1.9215e-05	3.17862e-05	5.15379e-05	8.11921e-05	0.000123746	0.000181385	0.000256042	0.000347975	0.000458214	0.000586289	0.000735127	0.000906554	0.00110979	0.00135409	0.00166306	0.00206175	0.00256475	0.00319372	0.00399328	0.0049911	0.00624457	0.00777404	0.00963491	0.0118107	0.0143271	0.0170915	0.020075	0.023088	0.0260591	0.0287341	0.0310702	0.0328347	0.0341087	0.0347563	0.0350228	0.0348608	0.0346263	0.0342778	0.03419	0.0342458	0.034779	0.0355504	0.0368286	0.0382235	0.039955	0.0415495	0.0433965	0.0452262	0.0478754	0.0511703	0.0558768	
Cyperus_longus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
