NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	2.67416e-24	1.61017e-22	1.08879e-20	2.22264e-19	2.31181e-18	1.47041e-17	6.78847e-17	2.46362e-16	1.91546e-12	1.31535e-11	7.18153e-11	3.25544e-10	1.25893e-09	4.24939e-09	1.29101e-08	3.59327e-08	9.24556e-08	2.19785e-07	4.83257e-07	9.94704e-07	1.9454e-06	3.64867e-06	6.59443e-06	1.14766e-05	1.92164e-05	3.10581e-05	4.87184e-05	7.4585e-05	0.000111981	0.000165362	0.000240412	0.000343754	0.000482408	0.000663089	0.000891356	0.00116419	0.00148584	0.00186299	0.00230571	0.00282744	0.00344424	0.00417344	0.00503128	0.00603152	0.00718189	0.00848411	0.00992626	0.0114909	0.0131745	0.0149766	0.0169009	0.0189564	0.0211572	0.0235226	0.0260756	0.0288409	0.031842	0.0350962	0.0386091	0.0423677	0.0463346	0.0504419	0.0545882	0.0586386	0.0624302	0.065781	0.0685055	0.0704326	0.0714248	0.0713956	
N2	2.68359e-13	2.93801e-13	1.87999e-12	1.19846e-11	6.59532e-11	3.25617e-10	1.43991e-09	5.67332e-09	1.97449e-08	6.11431e-08	1.70706e-07	4.37064e-07	1.02938e-06	2.26768e-06	4.67809e-06	9.11019e-06	1.68759e-05	2.99479e-05	5.07901e-05	8.31561e-05	0.000131374	0.000201163	0.00030005	0.000437798	0.000622733	0.000869398	0.00118703	0.00158546	0.00207632	0.00267268	0.00337191	0.00420405	0.00516932	0.00627621	0.00754196	0.00897827	0.0105346	0.012267	0.0141238	0.0160914	0.0181946	0.0204616	0.0227953	0.0253673	0.0280878	0.0309447	0.0339662	0.037125	0.0400779	0.0429709	0.0453927	0.0471198	0.0480578	0.0481399	0.0469728	0.0451424	0.0424996	0.0393074	0.0359363	0.0326417	0.0291808	0.0261012	0.0230884	0.0201809	0.0174687	0.0149983	0.0125882	0.010542	0.00870225	0.00710626	
Kyllinga_bulbosa	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kyllinga_brevifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N3	2.80818e-21	6.12016e-20	3.97069e-18	1.49596e-16	3.20156e-15	4.20852e-14	3.901e-13	2.7474e-12	1.56442e-11	7.41402e-11	3.02453e-10	1.08642e-09	3.49403e-09	1.02122e-08	2.74904e-08	6.8799e-08	1.61437e-07	3.56846e-07	7.44862e-07	1.47785e-06	2.80291e-06	5.10676e-06	8.98712e-06	1.53216e-05	2.53196e-05	4.06927e-05	6.3668e-05	9.70397e-05	0.000144351	0.000209773	0.000297761	0.000414167	0.000565107	0.000757435	0.00100053	0.00129956	0.00166139	0.0020998	0.00262372	0.00324036	0.00396346	0.00480224	0.00575118	0.00683493	0.00805094	0.00939616	0.0108908	0.012533	0.0142894	0.0162372	0.0183558	0.0206371	0.0231447	0.0258943	0.0287699	0.0319287	0.0352341	0.0385918	0.0420273	0.0454654	0.0485259	0.0514775	0.0539664	0.0558817	0.057459	0.058953	0.0601887	0.0623491	0.0651932	0.068631	
Cyperus_capitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	6.29361e-20	1.44632e-18	1.01136e-16	3.26073e-15	5.58148e-14	5.8688e-13	4.40885e-12	2.55729e-11	1.2102e-10	4.84287e-10	1.69794e-09	5.33021e-09	1.51959e-08	3.99852e-08	9.78655e-08	2.23955e-07	4.82462e-07	9.85197e-07	1.91227e-06	3.55766e-06	6.36183e-06	1.09673e-05	1.83088e-05	2.96978e-05	4.67894e-05	7.19941e-05	0.000108225	0.000159122	0.000229427	0.000324749	0.000450252	0.000613984	0.000822399	0.0010827	0.00140606	0.00179969	0.00226665	0.00282537	0.00348106	0.00424125	0.0051245	0.00614698	0.00729576	0.00861899	0.0101057	0.0117554	0.0135942	0.0156197	0.01774	0.0200447	0.0224292	0.0248309	0.0272652	0.0297148	0.0319486	0.0342273	0.0363617	0.0383328	0.0402848	0.0422982	0.0439912	0.0459635	0.0478543	0.049695	0.0517503	0.0541961	0.0563614	0.059248	0.0621393	0.0650589	
Cyperus_esculentus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.24672e-18	5.74424e-18	2.51171e-16	7.46638e-15	1.24186e-13	1.29333e-12	9.64938e-12	5.54818e-11	2.60105e-10	1.03392e-09	3.59427e-09	1.11543e-08	3.1378e-08	8.12487e-08	1.94994e-07	4.36192e-07	9.17667e-07	1.83314e-06	3.49299e-06	6.39489e-06	1.12696e-05	1.91551e-05	3.15324e-05	5.04489e-05	7.84838e-05	0.000119263	0.000177044	0.000256749	0.000364219	0.000505597	0.000685819	0.000912932	0.00119372	0.00153726	0.0019597	0.00247029	0.0030754	0.00379779	0.00464509	0.00562325	0.00674783	0.00802507	0.0094273	0.0109865	0.0126743	0.0144686	0.0163809	0.0183805	0.0203627	0.0224157	0.0244507	0.0264232	0.0283949	0.0303818	0.0321994	0.0341265	0.036001	0.0377897	0.03964	0.0415958	0.0432859	0.0452024	0.0469344	0.0483491	0.0495902	0.05077	0.051509	0.053025	0.0550906	0.0578426	
Cyperus_longus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
