#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.0010274
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N2: 13.812
Kyllinga_bulbosa: 49.5375
Kyllinga_brevifolia: 45.3067
N3: 3.91912
Cyperus_capitatus: 55.8799
N4: 7.21255
Cyperus_esculentus: 47.4744
N5: 4.29174
Cyperus_longus: 42.628
N6: 28.2716
Cyperus_iria: 16.248
Pycreus_flavescens: 16.2377
Total number of loss events: 330.819
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 1.0577
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Kyllinga_brevifolia: 0.688564
Cyperus_capitatus: 0.607362
Total number of demi-dulications events: 3.64569
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	6.19076e-14	13.812	0.00453209	0.0481183
Kyllinga_bulbosa	0.0010274	49.5375	0.140218	0.456718
Kyllinga_brevifolia	0	45.3067	0.258793	0.688564
N3	3.88445e-20	3.91912	0.00184644	0.0188521
Cyperus_capitatus	0	55.8799	0.192205	0.607362
N4	5.12931e-17	7.21255	0.00448565	0.0406959
Cyperus_esculentus	0	47.4744	0.148877	0.497203
N5	3.88295e-17	4.29174	0.00262394	0.0249922
Cyperus_longus	0	42.628	0.140309	0.441477
N6	2.10511e-09	28.2716	0.0605589	0.269136
Cyperus_iria	0	16.248	0.0859496	0.446943
Pycreus_flavescens	0	16.2377	0.0173035	0.105632
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Kyllinga_bulbosa	0.0010274	63.3495	0.14475	0.504836
Kyllinga_brevifolia	6.19076e-14	59.1187	0.263325	0.736682
Cyperus_capitatus	3.88445e-20	59.7991	0.194051	0.626214
Cyperus_esculentus	5.13319e-17	58.606	0.155209	0.556751
Cyperus_longus	9.01615e-17	58.0514	0.149265	0.526017
Cyperus_iria	2.10511e-09	59.9429	0.155465	0.800619
Pycreus_flavescens	2.10511e-09	59.9327	0.0868184	0.459308
