NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	1.89984e-12	2.10788e-12	2.59293e-12	3.49966e-12	5.10097e-12	7.89458e-12	1.27794e-11	2.13778e-11	3.66309e-11	6.39215e-11	1.13267e-10	2.03775e-10	3.72621e-10	6.94415e-10	1.32455e-09	2.6e-09	5.28225e-09	1.11624e-08	2.46134e-08	4.68952e-08	8.15781e-08	1.33191e-07	2.07108e-07	3.08933e-07	4.42822e-07	6.07855e-07	7.91276e-07	9.57986e-07	1.16546e-06	1.43519e-06	1.80326e-06	2.33037e-06	3.1201e-06	4.35309e-06	6.35184e-06	9.70422e-06	1.54987e-05	2.57681e-05	4.43088e-05	7.81483e-05	0.000140061	0.000252635	0.000454382	0.000808023	0.00141024	0.00242271	0.00406468	0.00661993	0.0104196	0.0157995	0.0230298	0.032225	0.0432549	0.0556873	0.0687931	0.0816321	0.0932164	0.102715	0.109645	0.113993	0.116205	0.117014	
N2	5.7283e-07	4.95e-07	5.36431e-07	6.81767e-07	9.56103e-07	1.43193e-06	2.25719e-06	3.7171e-06	6.35769e-06	1.12237e-05	2.03041e-05	3.73363e-05	6.91983e-05	0.000128193	0.000235566	0.000426525	0.000756729	0.00130959	0.00220275	0.00359573	0.00568316	0.00868215	0.012804	0.018211	0.0249632	0.0329642	0.0419217	0.0513387	0.0604556	0.0684583	0.0745436	0.0780523	0.0785872	0.0760873	0.0708395	0.063424	0.054609	0.04522	0.0360145	0.027589	0.0203301	0.0144124	0.00983069	0.00645339	0.00407883	0.00247966	0.00145026	0.000816155	0.000442021	0.000230423	0.000115636	5.58757e-05	2.60018e-05	1.16559e-05	5.03483e-06	2.09667e-06	8.4245e-07	3.27241e-07	1.23557e-07	4.6137e-08	1.80165e-08	8.65141e-09	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	4.66187e-13	4.5033e-13	5.90784e-13	9.3903e-13	1.65728e-12	3.09664e-12	5.96412e-12	1.16366e-11	2.2719e-11	4.3997e-11	8.40231e-11	1.5773e-10	2.9071e-10	5.26514e-10	9.39795e-10	1.66158e-09	2.93095e-09	5.20651e-09	9.41942e-09	1.5941e-08	2.57763e-08	4.03863e-08	6.19366e-08	9.36789e-08	1.40509e-07	2.09702e-07	3.116e-07	4.59388e-07	7.05695e-07	1.13318e-06	1.90192e-06	3.32596e-06	6.02572e-06	1.12263e-05	2.13279e-05	4.09605e-05	7.88588e-05	0.000151032	0.000285816	0.000531348	0.000965649	0.00170854	0.00293295	0.00487083	0.00780631	0.0120746	0.0179862	0.025753	0.0353865	0.0465946	0.058713	0.0707079	0.0812794	0.089069	0.0929367	0.0922373	0.0870055	0.0779787	0.0664326	0.0538744	0.0416904	0.0308611	
N4	4.04059e-12	3.84727e-12	4.83197e-12	7.1043e-12	1.13201e-11	1.89095e-11	3.26637e-11	5.7926e-11	1.04905e-10	1.93095e-10	3.59658e-10	6.75197e-10	1.27311e-09	2.40422e-09	4.53869e-09	8.5596e-09	1.61407e-08	3.05172e-08	5.81525e-08	1.06511e-07	1.89536e-07	3.30729e-07	5.7068e-07	9.80964e-07	1.68917e-06	2.92176e-06	5.07183e-06	8.7931e-06	1.5459e-05	2.73883e-05	4.86104e-05	8.60022e-05	0.000151065	0.000262599	0.000450522	0.000761003	0.00126274	0.00205366	0.00326649	0.00507037	0.00766477	0.0112615	0.0160517	0.0221572	0.0295718	0.0381658	0.0475646	0.0571649	0.0661738	0.0737039	0.0789113	0.081149	0.0800986	0.0758431	0.0688587	0.0599277	0.0499959	0.0400109	0.0307812	0.0228801	0.0166049	0.011982	
N5	5.44967e-09	5.19928e-09	6.50556e-09	9.42531e-09	1.46258e-08	2.35193e-08	3.86621e-08	6.44823e-08	1.08474e-07	1.83068e-07	3.08496e-07	5.17237e-07	8.60834e-07	1.42131e-06	2.33153e-06	3.81386e-06	6.25597e-06	1.03633e-05	1.7469e-05	2.85181e-05	4.58695e-05	7.32801e-05	0.000116507	0.00018393	0.000286913	0.000439364	0.00065546	0.000943975	0.00133394	0.00184734	0.00250683	0.00333562	0.00435834	0.00560285	0.00710294	0.00890196	0.0110565	0.0136395	0.0167403	0.0204585	0.0248866	0.0300798	0.0360126	0.0425312	0.0493189	0.0561502	0.0623962	0.0673362	0.0702927	0.0707773	0.0686052	0.0639436	0.0572782	0.0493107	0.0408193	0.0325224	0.024979	0.0185425	0.0133676	0.00945368	0.00670518	0.00498844	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N6	2.05625e-09	1.71299e-09	1.40356e-09	1.2066e-09	3.03515e-09	1.4156e-08	5.10634e-08	1.27751e-07	2.21169e-07	2.64578e-07	2.16905e-07	1.20534e-07	4.56927e-08	1.38786e-08	9.46418e-09	1.89479e-08	3.54824e-08	5.1056e-08	7.53364e-08	3.75037e-07	3.48785e-06	2.50355e-05	0.000123068	0.000412988	0.000956936	0.00154349	0.00173476	0.00137561	0.0010318	0.00242815	0.0103586	0.0349989	0.0867527	0.15856	0.214288	0.213209	0.154386	0.079934	0.0290278	0.00733557	0.00131861	0.0001744	1.75463e-05	1.38221e-06	8.73472e-08	4.51424e-09	1.94013e-10	7.03156e-12	2.17459e-13	5.79676e-15	1.34351e-16	2.72782e-18	4.88386e-20	7.75522e-22	1.0978e-23	1.39161e-25	1.58607e-27	1.63119e-29	1.5187e-31	1.2838e-33	9.8876e-36	7.81921e-38	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
