NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	9.20621e-21	1.34702e-20	2.56557e-20	5.45669e-20	1.20539e-19	2.69834e-19	6.06426e-19	1.36138e-18	3.0393e-18	6.70165e-18	1.44549e-17	3.01996e-17	6.07056e-17	1.17322e-16	3.195e-13	1.07363e-12	3.5614e-12	1.18505e-11	3.95519e-11	1.30843e-10	4.21921e-10	1.30485e-09	3.81936e-09	1.04785e-08	2.67708e-08	6.34503e-08	1.39308e-07	2.83493e-07	5.36061e-07	9.46069e-07	1.56937e-06	2.47678e-06	3.7887e-06	5.70766e-06	8.59097e-06	1.30859e-05	2.03812e-05	3.26749e-05	5.40309e-05	9.19062e-05	0.000159761	0.000281285	0.000496772	0.000871936	0.00150875	0.00255659	0.00422016	0.00675884	0.0104709	0.0156576	0.0225654	0.0313134	0.041821	0.0537576	0.0665386	0.0793827	0.0914292	0.101894	0.110222	0.116194	0.119928	0.121735	
N2	5.51014e-08	5.16075e-08	6.52549e-08	1.05035e-07	1.98775e-07	4.14388e-07	9.07082e-07	2.01964e-06	4.47769e-06	9.75955e-06	2.07417e-05	4.2797e-05	8.55027e-05	0.000165254	0.000308833	0.000558257	0.000976232	0.00165227	0.00270662	0.00429194	0.00658593	0.00977755	0.0140362	0.0194774	0.0261105	0.0338042	0.042246	0.050954	0.0592911	0.0665563	0.0720547	0.0752349	0.0757481	0.0735461	0.0688512	0.0621569	0.054104	0.0454163	0.0367599	0.0286956	0.0216007	0.0156838	0.0109822	0.00741875	0.00483369	0.00303893	0.00184305	0.00107887	0.000609345	0.000332305	0.0001749	8.89321e-05	4.36593e-05	2.07237e-05	9.50362e-06	4.21993e-06	1.81318e-06	7.57471e-07	3.08879e-07	1.25735e-07	5.38431e-08	2.82788e-08	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	9.77417e-21	1.84963e-20	6.66197e-20	3.14587e-19	1.61804e-18	8.36288e-18	4.19292e-17	2.00841e-16	9.12327e-16	3.91204e-15	1.57831e-14	5.98758e-14	2.14262e-13	7.28358e-13	2.37351e-12	7.47503e-12	2.28488e-11	6.77569e-11	1.94168e-10	5.34847e-10	1.40888e-09	3.53505e-09	8.4286e-09	1.9086e-08	4.1103e-08	8.44817e-08	1.66685e-07	3.18254e-07	5.93815e-07	1.09416e-06	2.00985e-06	3.7064e-06	6.88987e-06	1.29197e-05	2.43961e-05	4.62283e-05	8.75031e-05	0.000164595	0.000306034	0.00055959	0.00100163	0.00174801	0.00296427	0.00487108	0.00773901	0.0118657	0.0175297	0.0249201	0.0340485	0.0446621	0.0561824	0.0677053	0.0780815	0.0860875	0.0906557	0.0911147	0.0873607	0.0799064	0.0697684	0.0582359	0.046572	0.0357635	
N4	4.21899e-18	6.03588e-18	1.47957e-17	4.86265e-17	1.83667e-16	7.31954e-16	2.93885e-15	1.16113e-14	4.45984e-14	1.65547e-13	5.92308e-13	2.04214e-12	6.79117e-12	2.18115e-11	6.77003e-11	2.03034e-10	5.87696e-10	1.6391e-09	4.3958e-09	1.13141e-08	2.79101e-08	6.59661e-08	1.49544e-07	3.26073e-07	6.86934e-07	1.40645e-06	2.81651e-06	5.54761e-06	1.07858e-05	2.07169e-05	3.92549e-05	7.31944e-05	0.000134004	0.000240397	0.000421905	0.000723524	0.00121126	0.00197794	0.00314784	0.004878	0.00735284	0.0107689	0.0153068	0.0210901	0.0281351	0.0363009	0.0452518	0.0544505	0.0631901	0.0706749	0.0761324	0.0789473	0.0787715	0.0756018	0.0697796	0.061943	0.0529045	0.0435324	0.0346048	0.0267313	0.0202754	0.015364	
N5	3.89951e-14	4.62774e-14	8.94753e-14	2.38693e-13	7.50057e-13	2.51235e-12	8.49541e-12	2.82396e-11	9.10856e-11	2.83396e-10	8.47423e-10	2.42912e-09	6.65761e-09	1.74226e-08	4.35555e-08	1.0437e-07	2.40958e-07	5.38809e-07	1.17144e-06	2.48246e-06	5.13451e-06	1.03756e-05	2.04982e-05	3.96048e-05	7.47691e-05	0.000137614	0.000245997	0.000425218	0.00070763	0.00112999	0.00172824	0.0025334	0.00357176	0.00486106	0.00641154	0.0082349	0.0103542	0.0128207	0.0157192	0.0191728	0.0233157	0.0282654	0.034054	0.0405906	0.0475907	0.0546056	0.061009	0.0661516	0.0693874	0.0703117	0.0687054	0.064754	0.0588043	0.051532	0.0435497	0.0355956	0.0281291	0.0216077	0.0161637	0.0119398	0.00884811	0.0068795	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N6	3.0616e-22	5.08324e-21	1.34489e-19	3.43346e-18	7.55255e-17	1.37621e-15	1.96932e-14	1.71085e-13	1.77458e-12	1.49797e-11	4.91801e-11	1.3852e-10	1.02876e-09	1.04903e-08	6.58858e-08	2.24565e-07	4.69811e-07	6.65241e-07	7.10282e-07	1.24786e-06	4.2053e-06	1.12863e-05	2.19918e-05	3.25014e-05	3.69338e-05	3.23146e-05	2.49848e-05	5.79651e-05	0.0004202	0.00259838	0.0116187	0.0377861	0.0905169	0.161105	0.213593	0.210231	0.15217	0.0798957	0.0300025	0.00802699	0.00155731	0.00022539	2.50489e-05	2.19437e-06	1.54916e-07	8.98174e-09	4.3439e-10	1.77641e-11	6.21173e-13	1.87607e-14	4.93438e-16	1.13901e-17	2.32179e-19	4.2056e-21	6.80132e-23	9.87216e-25	1.29079e-26	1.52764e-28	1.64099e-30	1.60797e-32	1.44169e-34	1.35062e-36	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
