NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	4.84945e-21	7.18877e-21	1.39344e-20	3.01488e-20	6.77562e-20	1.54469e-19	3.54101e-19	8.11387e-19	1.84817e-18	4.15525e-18	9.15147e-18	1.96015e-17	4.06611e-17	8.16819e-17	1.59694e-16	6.0122e-13	2.15179e-12	7.54474e-12	2.58681e-11	8.61474e-11	2.76289e-10	8.45781e-10	2.45097e-09	6.67651e-09	1.70109e-08	4.04242e-08	8.95717e-08	1.85436e-07	3.60328e-07	6.61583e-07	1.15848e-06	1.95932e-06	3.25281e-06	5.36392e-06	8.86259e-06	1.47577e-05	2.48497e-05	4.23583e-05	7.30228e-05	0.000126981	0.000221836	0.000387487	0.000673249	0.00115703	0.0019558	0.00323503	0.00521302	0.00815428	0.0123461	0.0180542	0.0254604	0.0345897	0.0452485	0.0569933	0.0691541	0.0809184	0.0914682	0.10014	0.106564	0.110744	0.113034	0.113983	
N2	4.94533e-08	4.6517e-08	5.93865e-08	9.68665e-08	1.86093e-07	3.93656e-07	8.73217e-07	1.96732e-06	4.40822e-06	9.69926e-06	2.07944e-05	4.32529e-05	8.70551e-05	0.000169389	0.000318459	0.000578499	0.00101556	0.00172341	0.00282702	0.00448357	0.00687375	0.0101851	0.0145823	0.0201696	0.0269386	0.034739	0.0432387	0.0519332	0.0601806	0.0672777	0.0725367	0.0754312	0.0756445	0.0731488	0.0682071	0.0613308	0.0531685	0.0444495	0.0358321	0.0278535	0.0208794	0.0150965	0.0105254	0.00707949	0.00459325	0.00287499	0.00173621	0.00101207	0.000569167	0.000309096	0.000162058	8.20534e-05	4.01292e-05	1.89768e-05	8.66764e-06	3.83295e-06	1.64084e-06	6.81793e-07	2.76556e-07	1.11814e-07	4.74545e-08	2.4688e-08	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	3.0979e-21	6.03576e-21	2.26235e-20	1.11045e-19	5.92146e-19	3.1682e-18	1.6442e-17	8.15611e-17	3.84161e-16	1.71165e-15	7.20269e-15	2.86264e-14	1.07748e-13	3.85884e-13	1.32265e-12	4.35887e-12	1.38458e-11	4.23827e-11	1.24796e-10	3.52575e-10	9.53444e-10	2.46309e-09	6.07354e-09	1.43004e-08	3.22191e-08	6.97224e-08	1.45723e-07	2.96152e-07	5.89677e-07	1.15865e-06	2.26003e-06	4.39339e-06	8.52695e-06	1.65161e-05	3.18643e-05	6.10569e-05	0.000115803	0.000216631	0.000398285	0.000717273	0.00126135	0.00215979	0.0035918	0.00578833	0.00902133	0.0135741	0.0196894	0.0274954	0.0369208	0.0476202	0.0589331	0.0699061	0.0794015	0.086275	0.0895983	0.0888818	0.0841989	0.0761882	0.0659305	0.0546925	0.0436422	0.0336545	
N4	1.89723e-18	2.80956e-18	7.21734e-18	2.48308e-17	9.78587e-17	4.05605e-16	1.6898e-15	6.91591e-15	2.74888e-14	1.05496e-13	3.89955e-13	1.38722e-12	4.75071e-12	1.56703e-11	4.98036e-11	1.52478e-10	4.49465e-10	1.27443e-09	3.4727e-09	9.08795e-09	2.2842e-08	5.51884e-08	1.28437e-07	2.88769e-07	6.29638e-07	1.33689e-06	2.77481e-06	5.64605e-06	1.12801e-05	2.21318e-05	4.26111e-05	8.04182e-05	0.000148629	0.000268697	0.00047457	0.000817889	0.00137381	0.00224653	0.00357254	0.0055191	0.00827492	0.0120302	0.0169448	0.0231049	0.0304735	0.0388444	0.0478188	0.0568106	0.0650905	0.0718852	0.0764863	0.078371	0.0773132	0.0734209	0.0671096	0.0590657	0.0500935	0.040995	0.0324864	0.025093	0.0190975	0.0146011	
N5	2.46167e-14	2.94784e-14	5.7975e-14	1.57795e-13	5.05962e-13	1.72783e-12	5.95478e-12	2.01774e-11	6.63709e-11	2.10616e-10	6.42652e-10	1.88127e-09	5.27454e-09	1.41565e-08	3.64094e-08	8.99718e-08	2.1444e-07	4.94719e-07	1.10788e-06	2.41354e-06	5.12173e-06	1.05917e-05	2.13344e-05	4.17925e-05	7.94283e-05	0.000146077	0.000259265	0.000443089	0.000728157	0.00115021	0.00174756	0.0025603	0.00363199	0.00500507	0.00671984	0.00881401	0.0113221	0.0142836	0.0177403	0.0217387	0.0263222	0.0315162	0.0372828	0.0435051	0.0499129	0.0560949	0.0615323	0.0656818	0.0679946	0.0681768	0.0660877	0.0618784	0.0559399	0.0488709	0.0412016	0.0336216	0.0265555	0.020355	0.015201	0.0111942	0.00825087	0.00637075	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N6	4.31582e-23	7.62406e-22	2.14645e-20	5.85445e-19	1.39023e-17	2.74027e-16	4.25917e-15	4.62627e-14	5.41317e-13	4.56753e-12	2.14645e-11	1.37901e-10	9.67991e-10	5.39356e-09	2.759e-08	1.00885e-07	3.17733e-07	1.19949e-06	3.99708e-06	7.12721e-06	7.34183e-06	9.71271e-06	2.65256e-05	0.000144952	0.000880615	0.00364159	0.00878594	0.0124276	0.0109573	0.00810105	0.0130252	0.0364507	0.0865135	0.154171	0.204574	0.201267	0.145392	0.0760402	0.0283756	0.00752225	0.00144279	0.000206115	2.25859e-05	1.94963e-06	1.35577e-07	7.74012e-09	3.68597e-10	1.48422e-11	5.11014e-13	1.51981e-14	3.93743e-16	8.95232e-18	1.7982e-19	3.21066e-21	5.11902e-23	7.32861e-25	9.45808e-27	1.10471e-28	1.17218e-30	1.13503e-32	1.00531e-34	9.29143e-37	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trichophorum_alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	7.44066e-22	5.93325e-21	6.91183e-20	8.80354e-19	1.05686e-17	1.21055e-16	1.35705e-15	1.27028e-14	8.28968e-14	3.18518e-13	8.60932e-13	3.20634e-12	1.82224e-11	1.17355e-10	7.28651e-10	3.89256e-09	1.68707e-08	5.77482e-08	1.54117e-07	3.20098e-07	5.26537e-07	7.2594e-07	9.70887e-07	1.53412e-06	3.03161e-06	6.80992e-06	1.66922e-05	4.49273e-05	0.000127795	0.0003613	0.000968382	0.0024019	0.0054556	0.011296	0.0212752	0.0364051	0.0565476	0.0796971	0.101884	0.118129	0.124231	0.118534	0.102637	0.0807021	0.0576531	0.0374461	0.022131	0.0119128	0.00584465	0.00261677	0.00107014	0.000400147	0.000136969	4.29779e-05	1.2371e-05	3.27354e-06	7.97607e-07	1.79442e-07	3.74862e-08	7.36343e-09	1.40099e-09	3.09773e-10	
Scirpus_radicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
