NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	1.88063e-20	2.67087e-20	4.86941e-20	9.90389e-20	2.09287e-19	4.48015e-19	9.62662e-19	2.06688e-18	4.41706e-18	9.34209e-18	1.94026e-17	3.92599e-17	7.69818e-17	1.46189e-16	4.88282e-13	1.61091e-12	5.2361e-12	1.69547e-11	5.46287e-11	1.73427e-10	5.35244e-10	1.585e-09	4.45476e-09	1.17867e-08	2.91951e-08	6.74738e-08	1.45301e-07	2.91658e-07	5.46811e-07	9.61279e-07	1.59501e-06	2.52747e-06	3.89407e-06	5.92266e-06	9.01216e-06	1.38768e-05	2.18104e-05	3.5167e-05	5.82191e-05	9.86475e-05	0.000170017	0.000295677	0.000514509	0.000888702	0.00151317	0.00252519	0.00411144	0.00650821	0.00998973	0.0148402	0.0213084	0.0295476	0.0395537	0.0511145	0.0637917	0.0769475	0.0898204	0.101638	0.111738	0.119662	0.125166	0.128104	
N2	1.45759e-07	1.34782e-07	1.63074e-07	2.46542e-07	4.3513e-07	8.45651e-07	1.73105e-06	3.62099e-06	7.58009e-06	1.56745e-05	3.17421e-05	6.26464e-05	0.000120118	0.000223456	0.000402966	0.000704436	0.00119363	0.00196102	0.00312358	0.00482441	0.00722334	0.0104831	0.0147402	0.0200764	0.0264739	0.0337914	0.0417315	0.0498574	0.0576039	0.0643594	0.0695174	0.0725954	0.0732769	0.0714999	0.0674289	0.061468	0.0541552	0.0461209	0.037962	0.0302056	0.0232293	0.0172707	0.0124113	0.00862381	0.00579229	0.00376224	0.00236239	0.00143481	0.000842565	0.000478712	0.00026302	0.000139877	7.19556e-05	3.58513e-05	1.7287e-05	8.08348e-06	3.66379e-06	1.61739e-06	6.98796e-07	3.02428e-07	1.38085e-07	7.64108e-08	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	3.40711e-20	6.05533e-20	1.98475e-19	8.53613e-19	4.02874e-18	1.92542e-17	8.98701e-17	4.03123e-16	1.72417e-15	7.00069e-15	2.69122e-14	9.79166e-14	3.38022e-13	1.11315e-12	3.52071e-12	1.07601e-11	3.18835e-11	9.15856e-11	2.54332e-10	6.8014e-10	1.74485e-09	4.28159e-09	1.00327e-08	2.2446e-08	4.80228e-08	9.85822e-08	1.95185e-07	3.75294e-07	7.06392e-07	1.31228e-06	2.42361e-06	4.47472e-06	8.28923e-06	1.54196e-05	2.87674e-05	5.36792e-05	9.98069e-05	0.000184115	0.000335459	0.000601074	0.00105494	0.0018073	0.00301327	0.00487725	0.00764786	0.0115979	0.0169844	0.0239875	0.032634	0.0427194	0.0537509	0.0649389	0.0752571	0.0835806	0.0888813	0.0904414	0.0880192	0.0819211	0.0729359	0.062161	0.0507528	0.0396997	
N4	1.41527e-17	1.962e-17	4.51973e-17	1.38393e-16	4.87665e-16	1.82216e-15	6.89723e-15	2.58161e-14	9.43298e-14	3.34296e-13	1.14539e-12	3.79057e-12	1.21189e-11	3.74543e-11	1.1193e-10	3.23367e-10	9.0239e-10	2.42944e-09	6.3009e-09	1.57233e-08	3.77252e-08	8.70493e-08	1.93443e-07	4.15126e-07	8.63676e-07	1.75033e-06	3.4719e-06	6.76706e-06	1.29904e-05	2.45714e-05	4.5747e-05	8.37007e-05	0.000150305	0.000264565	0.000455952	0.000768657	0.00126653	0.00203806	0.00320017	0.00489868	0.0073029	0.0105915	0.0149276	0.0204228	0.0270941	0.0348205	0.0433108	0.0520954	0.0605506	0.0679629	0.0736218	0.0769334	0.077519	0.0752939	0.0704806	0.063587	0.055311	0.0464453	0.0377413	0.0298287	0.0231221	0.0178131	
N5	1.06426e-13	1.22574e-13	2.21464e-13	5.45431e-13	1.58638e-12	4.95196e-12	1.57121e-11	4.92938e-11	1.50777e-10	4.46627e-10	1.27602e-09	3.50728e-09	9.2545e-09	2.34235e-08	5.69063e-08	1.33089e-07	3.00852e-07	6.60068e-07	1.40975e-06	2.93706e-06	5.97537e-06	1.18795e-05	2.30807e-05	4.38052e-05	8.10925e-05	0.000146079	0.000255218	0.000430997	0.00070125	0.00109687	0.0016478	0.00238084	0.00332107	0.00449032	0.0059093	0.00760593	0.0096225	0.0120276	0.0149159	0.0184072	0.022618	0.0276363	0.0334606	0.0399742	0.0468873	0.0537717	0.0600482	0.0651269	0.0684202	0.0695538	0.06831	0.0648282	0.0593931	0.0525949	0.0449874	0.0372599	0.0298721	0.0232947	0.0177071	0.0132906	0.00999854	0.00783614	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N6	5.60097e-22	8.18834e-21	1.90396e-19	4.3038e-18	8.5325e-17	1.42385e-15	1.88132e-14	1.71305e-13	1.76115e-12	1.34852e-11	4.38819e-11	1.39563e-10	1.09953e-09	1.01512e-08	5.85898e-08	1.91334e-07	3.91267e-07	5.50308e-07	6.36149e-07	1.36553e-06	4.67131e-06	1.21727e-05	2.30954e-05	3.33982e-05	3.73888e-05	3.26692e-05	2.75281e-05	7.84101e-05	0.00054119	0.00310099	0.0130579	0.0405372	0.0936728	0.162238	0.211043	0.20563	0.148941	0.0793582	0.0307969	0.00869451	0.00181194	0.000285445	3.48572e-05	3.37806e-06	2.65138e-07	1.71552e-08	9.28682e-10	4.26117e-11	1.67523e-12	5.69829e-14	1.69057e-15	4.40789e-17	1.01623e-18	2.08433e-20	3.82108e-22	6.29352e-24	9.34617e-26	1.25728e-27	1.53617e-29	1.71272e-31	1.7479e-33	1.88185e-35	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
