NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	7.85452e-22	1.11723e-21	2.0135e-21	4.01301e-21	8.2873e-21	1.73481e-20	3.65677e-20	7.74284e-20	1.64413e-19	3.49475e-19	7.42045e-19	1.5704e-18	3.30517e-18	6.90371e-18	1.42849e-17	2.92342e-17	5.90947e-17	1.17864e-16	3.13243e-13	1.1752e-12	4.27411e-12	1.50556e-11	5.13305e-11	1.69293e-10	5.39889e-10	1.66427e-09	4.95775e-09	1.42689e-08	3.96708e-08	1.06528e-07	2.76264e-07	6.91852e-07	1.67303e-06	3.90633e-06	8.80634e-06	1.91677e-05	4.02799e-05	8.17237e-05	0.000160086	0.000302769	0.000552895	0.00097492	0.00166005	0.00272989	0.00433604	0.00665333	0.00986445	0.0141355	0.0195839	0.0262437	0.0340348	0.0427459	0.0520376	0.0614709	0.0705587	0.0788335	0.0859166	0.0915744	0.0957487	0.0985491	0.100205	0.10097	
N2	2.03542e-06	1.89354e-06	2.13427e-06	2.84686e-06	4.31278e-06	7.11894e-06	1.23788e-05	2.21159e-05	3.98881e-05	7.17483e-05	0.000127648	0.000223368	0.000383002	0.000641882	0.00104965	0.00167288	0.00259648	0.00392253	0.00576569	0.0082438	0.0114635	0.015501	0.0203806	0.0260529	0.0323784	0.0391198	0.0459478	0.0524623	0.0582284	0.0628232	0.0658862	0.0671663	0.0665556	0.0641045	0.0600145	0.0546111	0.048301	0.0415216	0.0346916	0.0281707	0.0222321	0.0170513	0.0127091	0.009205	0.00647833	0.00442996	0.00294303	0.00189935	0.00119061	0.000724808	0.000428435	0.000245842	0.000136908	7.39755e-05	3.87742e-05	1.97158e-05	9.73323e-06	4.67886e-06	2.2084e-06	1.04565e-06	5.22223e-07	3.03698e-07	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	1.92241e-22	3.74821e-22	1.33653e-21	6.19614e-21	3.13651e-20	1.61145e-19	8.16368e-19	4.03224e-18	1.93317e-17	8.98008e-17	4.0388e-16	1.75808e-15	7.40554e-15	3.01827e-14	1.19014e-13	4.53989e-13	1.67518e-12	5.97881e-12	2.06382e-11	6.88977e-11	2.22424e-10	6.94347e-10	2.09585e-09	6.11662e-09	1.72585e-08	4.7078e-08	1.24147e-07	3.16474e-07	7.79851e-07	1.85757e-06	4.2769e-06	9.51828e-06	2.04753e-05	4.2574e-05	8.55672e-05	0.000166236	0.000312186	0.00056674	0.000994619	0.00168754	0.00276818	0.00439036	0.0067327	0.0099833	0.0143139	0.0198441	0.0265994	0.0344696	0.0431779	0.0522718	0.0611444	0.0690911	0.0753973	0.079445	0.0808166	0.0793716	0.0752766	0.0689768	0.061113	0.0524046	0.0435238	0.0349949	
N4	7.16099e-19	1.13499e-18	3.0534e-18	1.08023e-17	4.28415e-17	1.75934e-16	7.21384e-16	2.90602e-15	1.14199e-14	4.36404e-14	1.61943e-13	5.83165e-13	2.03718e-12	6.90226e-12	2.26791e-11	7.22586e-11	2.23228e-10	6.68607e-10	1.94145e-09	5.46497e-09	1.49117e-08	3.94381e-08	1.01096e-07	2.51159e-07	6.04701e-07	1.41087e-06	3.18978e-06	6.98783e-06	1.48323e-05	3.05028e-05	6.07733e-05	0.000117303	0.000219335	0.000397276	0.000697015	0.00118451	0.0019497	0.00310823	0.0047991	0.0071762	0.0103921	0.0145741	0.0197933	0.0260319	0.0331544	0.0408904	0.0488367	0.0564828	0.0632604	0.0686111	0.072062	0.0732945	0.0721939	0.0688687	0.0636359	0.0569755	0.0494629	0.0416917	0.0342001	0.0274098	0.0215868	0.0168237	
N5	7.95218e-18	1.22941e-17	3.2341e-17	1.12818e-16	4.41804e-16	1.78739e-15	7.19975e-15	2.84257e-14	1.09277e-13	4.07891e-13	1.47644e-12	5.17945e-12	1.76041e-11	5.79585e-11	1.84812e-10	5.70686e-10	1.70635e-09	4.93964e-09	1.38431e-08	3.75527e-08	9.85992e-08	2.50548e-07	6.16102e-07	1.46596e-06	3.37493e-06	7.51697e-06	1.61967e-05	3.37583e-05	6.80583e-05	0.000132708	0.000250268	0.000456439	0.000805022	0.00137297	0.00226427	0.00361073	0.00556738	0.00830015	0.0119646	0.0166756	0.0224719	0.0292803	0.0368893	0.044939	0.0529372	0.060302	0.0664293	0.0707736	0.0729281	0.072688	0.0700825	0.0653689	0.0589913	0.0515128	0.0435352	0.0356238	0.0282477	0.0217456	0.0163144	0.0120195	0.00881566	0.00657239	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N6	1.30648e-51	1.52972e-49	2.44583e-47	4.06772e-45	6.61835e-43	1.02005e-40	1.46628e-38	1.95025e-36	2.38843e-34	2.68295e-32	2.75439e-30	2.57487e-28	2.18323e-26	1.67191e-24	1.151e-22	7.08704e-21	3.88088e-19	1.8782e-17	7.97734e-16	2.9503e-14	9.41725e-13	2.56856e-11	5.9189e-10	1.13765e-08	1.7977e-07	2.29831e-06	2.33672e-05	0.000185703	0.00113628	0.00530063	0.0188022	0.0508345	0.105179	0.167082	0.20402	0.191257	0.137194	0.0749986	0.0311678	0.00987213	0.00240663	0.000458383	6.93949e-05	8.49446e-06	8.54215e-07	7.15883e-08	5.06373e-09	3.05704e-10	1.59072e-11	7.19608e-13	2.85171e-14	9.96623e-16	3.08986e-17	8.54257e-19	2.11575e-20	4.71292e-22	9.47403e-24	1.72352e-25	2.84362e-27	4.2612e-29	5.8152e-31	8.54671e-33	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
