NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.0537652	0.0552095	0.057919	0.0616137	0.0658843	0.0701773	0.0738175	0.0760808	0.0763133	0.0740722	0.0692453	0.062105	0.0532713	0.0435875	0.0340201	0.0252859	0.0178735	0.0120024	0.00765046	0.00462591	0.00265222	0.0014416	0.000741139	0.000360276	0.000165549	7.18907e-05	2.94975e-05	1.14341e-05	4.18681e-06	1.44817e-06	4.732e-07	1.46101e-07	4.26455e-08	1.1749e-08	3.05536e-09	7.50045e-10	1.73823e-10	3.80328e-11	7.8574e-12	1.53292e-12	2.8245e-13	9.84012e-17	3.99082e-17	1.57398e-17	6.03292e-18	2.24739e-18	8.13739e-19	2.86409e-19	9.79989e-20	3.26012e-20	1.05455e-20	3.31726e-21	1.01492e-21	3.02083e-22	8.75102e-23	2.46624e-23	6.76334e-24	1.80558e-24	4.69599e-25	1.19158e-25	2.95849e-26	7.22943e-27	1.75907e-27	4.36312e-28	1.16963e-28	4.30803e-29	
N2	0.0186632	0.0205069	0.0229158	0.0258921	0.0293989	0.0333545	0.0376296	0.0420475	0.0463898	0.050408	0.0538421	0.0564437	0.0579707	0.0582637	0.0573381	0.0552055	0.0519686	0.0478105	0.0429752	0.0377406	0.032389	0.0271796	0.0222884	0.0178508	0.0139733	0.0107017	0.00803017	0.00591471	0.00428721	0.00306829	0.00217755	0.00154073	0.00109379	0.000783126	0.00056162	0.000403291	0.000289611	0.000207624	0.000148334	0.000105464	7.45681e-05	5.2431e-05	3.66885e-05	2.55828e-05	1.77737e-05	1.2081e-05	8.02954e-06	5.21696e-06	3.31324e-06	2.057e-06	1.24875e-06	7.41604e-07	4.31173e-07	2.45713e-07	1.375e-07	7.56319e-08	4.10343e-08	2.20753e-08	1.18668e-08	6.4447e-09	3.59001e-09	2.09364e-09	1.31376e-09	9.1961e-10	7.50119e-10	7.4274e-10	
N3	0.00512145	0.00588887	0.00714268	0.00898475	0.0115274	0.0148748	0.0190983	0.024209	0.0301304	0.0366794	0.0435584	0.0503673	0.0566168	0.0618072	0.0655821	0.067595	0.0676449	0.0657075	0.0619402	0.0566592	0.0502931	0.0433242	0.0361653	0.029249	0.0229202	0.0174044	0.0128083	0.00913663	0.00631885	0.00423807	0.00275761	0.00174157	0.00106824	0.000635749	0.000367085	0.000205715	0.000111932	5.91594e-05	3.03878e-05	1.51786e-05	7.37778e-06	3.49249e-06	1.61178e-06	7.26127e-07	3.19257e-07	1.36986e-07	5.7407e-08	2.35171e-08	9.42607e-09	3.70032e-09	1.42423e-09	5.38099e-10	1.99829e-10	7.30485e-11	2.63332e-11	9.36311e-12	3.28814e-12	1.14197e-12	3.9269e-13	1.33852e-13	4.52943e-14	1.52703e-14	5.18585e-15	1.83759e-15	7.53139e-16	4.49854e-16	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.000977662	0.00112268	0.00135972	0.00171171	0.00220954	0.00289276	0.00380995	0.00501827	0.00658179	0.00856811	0.0110428	0.0140613	0.0176507	0.0218057	0.026509	0.0316646	0.0371144	0.0426381	0.0479635	0.0527867	0.0568014	0.0597342	0.0612849	0.0612831	0.0597137	0.0566869	0.0524264	0.0472414	0.0414888	0.0355309	0.0296972	0.0242544	0.0193901	0.0151825	0.0116305	0.00872665	0.00642143	0.00464003	0.00329697	0.00230696	0.00159201	0.00108521	0.000731875	0.000489142	0.00032393	0.000210615	0.000134255	8.37958e-05	5.11589e-05	3.05292e-05	1.78011e-05	1.01423e-05	5.64959e-06	3.08026e-06	1.647e-06	8.64639e-07	4.47176e-07	2.2887e-07	1.166e-07	5.95601e-08	3.07792e-08	1.62787e-08	8.96161e-09	5.29137e-09	3.55784e-09	3.02576e-09	
N5	0.000155489	0.000172345	0.000196123	0.000228558	0.000272325	0.000331354	0.000411226	0.000519609	0.000666683	0.000865483	0.00113206	0.00148538	0.0019465	0.00253824	0.00327492	0.0041719	0.00523943	0.00648157	0.00789625	0.00947719	0.0112179	0.0131179	0.0152215	0.0175634	0.0201988	0.0231972	0.0266277	0.0305355	0.0349129	0.0396714	0.0446231	0.0494802	0.0538792	0.0573791	0.0595652	0.0601366	0.0589509	0.0560528	0.0516679	0.0461651	0.0399944	0.033618	0.0274469	0.0217977	0.0168456	0.0126762	0.00930222	0.0066676	0.00467551	0.00321242	0.0021658	0.00143479	0.00093527	0.000600731	0.000380816	0.000238326	0.000147518	9.05134e-05	5.52072e-05	3.35964e-05	2.05058e-05	1.26572e-05	8.01739e-06	5.36005e-06	3.98987e-06	3.59097e-06	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	4.80433e-08	1.56762e-07	6.46083e-07	2.12562e-06	4.91905e-06	7.60204e-06	7.6287e-06	4.97339e-06	2.17758e-06	7.01052e-07	2.31618e-07	1.71312e-07	3.94301e-07	1.46429e-06	4.69712e-06	1.07299e-05	1.64817e-05	1.68996e-05	1.28441e-05	1.05561e-05	1.35167e-05	2.5695e-05	9.14198e-05	0.000468527	0.00210165	0.00696336	0.0161097	0.0255194	0.0299053	0.036579	0.0634254	0.115621	0.170707	0.192042	0.163191	0.104297	0.0497637	0.0175478	0.00453139	0.00085622	0.000120098	1.27974e-05	1.06208e-06	7.02818e-08	3.78184e-09	1.68433e-10	6.3045e-12	2.00965e-13	5.51882e-15	1.31902e-16	2.76874e-18	5.1464e-20	8.5348e-22	1.27177e-23	1.71437e-25	2.10263e-27	2.36091e-29	2.4418e-31	2.34038e-33	2.09117e-35	1.75188e-37	1.38334e-39	1.03435e-41	7.35077e-44	4.98347e-46	3.76691e-48	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
