NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.371843	0.29113	0.183239	0.0942687	0.0400228	0.0140876	0.00413811	0.00101768	0.000210598	3.67747e-05	5.4391e-06	6.8291e-07	7.29869e-08	6.65027e-09	5.17549e-10	3.44335e-11	1.96079e-12	9.56153e-14	1.46873e-17	2.77992e-18	4.87309e-19	7.91323e-20	1.19072e-20	1.66073e-21	2.14778e-22	2.57665e-23	2.8688e-24	2.96583e-25	2.84865e-26	2.54354e-27	2.11266e-28	1.63347e-29	1.1765e-30	7.89955e-32	4.94854e-33	2.89444e-34	1.58204e-35	8.08717e-37	3.86962e-38	1.7346e-39	7.29056e-41	2.87557e-42	1.06527e-43	3.70971e-45	1.21544e-46	3.74981e-48	1.09026e-49	2.98992e-51	7.74027e-53	1.89311e-54	4.37793e-56	9.58042e-58	1.98548e-59	3.89986e-61	7.2656e-63	1.28488e-64	2.15846e-66	3.44696e-68	5.2367e-70	7.57386e-72	1.04359e-73	1.371e-75	1.7192e-77	2.06488e-79	2.43603e-81	3.79258e-83	
N2	0.0562357	0.0775318	0.100789	0.118167	0.126841	0.125711	0.109622	0.0891368	0.0686336	0.0472925	0.0312648	0.0205489	0.0120295	0.0070962	0.00423672	0.00225597	0.0012198	0.000706198	0.000338993	0.000173948	9.18273e-05	4.16948e-05	1.91787e-05	9.58253e-06	3.73157e-06	1.6136e-06	7.18419e-07	2.58003e-07	9.35054e-08	3.84586e-08	1.17753e-08	4.04284e-09	1.37232e-09	3.83915e-10	1.0848e-10	3.60221e-11	8.06601e-12	2.09474e-12	5.52688e-13	1.20937e-13	2.59431e-14	6.35292e-15	1.07386e-15	2.16447e-16	4.47465e-17	7.08829e-18	1.12462e-18	2.17701e-19	2.84635e-20	4.36887e-21	6.5382e-22	8.03599e-23	9.95924e-24	1.56279e-24	1.48533e-25	1.72596e-26	2.03054e-27	1.98429e-28	1.90213e-29	2.21415e-30	1.69088e-31	1.65244e-32	1.78992e-33	1.90226e-34	3.27342e-35	1.36182e-35	
N3	0.000747723	0.00148815	0.003285	0.00682093	0.0130095	0.0227214	0.0351641	0.0502934	0.0670674	0.0812548	0.0926327	0.10051	0.0999285	0.0945848	0.0856051	0.0713793	0.0568024	0.0433957	0.0299581	0.0194793	0.0118749	0.00640036	0.00318501	0.00147962	0.000596615	0.000223713	7.82279e-05	2.37694e-05	6.71112e-06	1.79498e-06	4.14429e-07	9.04192e-08	1.86463e-08	3.35275e-09	5.6935e-10	9.35211e-11	1.31908e-11	1.79424e-12	2.34727e-13	2.6902e-14	2.94751e-15	3.17082e-16	2.93861e-17	2.67409e-18	2.37419e-19	1.84033e-20	1.38231e-21	1.03886e-22	6.72794e-24	4.32606e-25	2.72905e-26	1.51606e-27	8.24878e-29	4.55955e-30	2.14895e-31	1.02139e-32	4.83424e-34	2.03567e-35	8.53759e-37	3.74197e-38	1.50329e-39	6.73504e-41	3.37644e-42	1.79435e-43	1.07341e-44	1.0271e-45	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.000642898	0.00134718	0.00314385	0.00678805	0.0132607	0.0234463	0.0362249	0.0513634	0.0676747	0.0801213	0.0892462	0.0953949	0.0925949	0.0870045	0.0798824	0.0672723	0.0553453	0.0454241	0.0332681	0.0241504	0.0174056	0.011253	0.00718768	0.00468129	0.0026495	0.00152404	0.000877723	0.000435831	0.000212087	0.000105353	4.31523e-05	1.7759e-05	7.11209e-06	2.3937e-06	7.80828e-07	2.61904e-07	6.8652e-08	1.83044e-08	4.78171e-09	1.04296e-09	2.19085e-10	4.73874e-11	8.00793e-12	1.40845e-12	2.46369e-13	3.51443e-14	4.92894e-15	7.42084e-16	8.75947e-17	1.09681e-17	1.37065e-18	1.45699e-19	1.56635e-20	1.88213e-21	1.71725e-22	1.71684e-23	1.75491e-24	1.53125e-25	1.33142e-26	1.27335e-27	9.56957e-29	8.33824e-30	8.25332e-31	8.73835e-32	1.28635e-32	3.63906e-33	
N5	3.74818e-07	1.14575e-06	4.28871e-06	1.49131e-05	4.6913e-05	0.000132653	0.00032957	0.000745086	0.00154932	0.00289586	0.00505811	0.00844138	0.0130306	0.0187492	0.0250031	0.0306807	0.0372066	0.0462597	0.0559678	0.0668132	0.0770176	0.0796024	0.0759814	0.0689269	0.0579299	0.0518197	0.0513228	0.0498626	0.047771	0.0437008	0.0332473	0.0229782	0.0143052	0.00724692	0.00328154	0.00137486	0.000465267	0.000151684	5.09916e-05	1.76231e-05	7.51548e-06	3.87905e-06	1.84121e-06	8.90551e-07	4.21597e-07	1.67905e-07	6.40437e-08	2.44798e-08	7.68695e-09	2.39518e-09	7.23816e-10	1.85022e-10	4.56632e-11	1.14475e-11	2.2836e-12	4.55223e-13	8.81992e-14	1.43321e-14	2.23426e-15	3.55655e-16	4.6939e-17	6.75741e-18	1.07961e-18	1.84449e-19	4.03737e-20	1.56977e-20	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.30552e-22	1.88241e-20	2.43146e-18	1.72176e-16	7.83767e-15	2.25718e-13	3.39307e-12	5.8849e-11	5.09224e-10	2.00215e-09	2.38594e-08	2.5836e-07	1.54445e-06	7.73488e-07	1.8106e-06	1.04582e-05	0.000182372	0.000635008	0.00208906	0.00100583	6.62672e-05	1.50312e-05	3.48824e-05	0.001008	0.024817	0.248642	0.419392	0.241044	0.0572145	0.00342807	0.000124401	6.09393e-05	8.03165e-05	7.27419e-05	4.57722e-05	1.99179e-05	5.55765e-06	9.53118e-07	8.43e-08	2.09434e-09	2.75674e-11	2.40311e-13	1.44865e-15	6.82351e-18	2.6197e-20	7.88531e-23	2.00313e-25	4.38891e-28	7.80663e-31	1.21154e-33	1.65416e-36	1.88452e-39	1.90697e-42	1.74663e-45	1.35007e-48	9.54022e-52	6.2353e-55	3.55365e-58	1.92628e-61	1.04573e-64	5.44948e-68	3.13661e-71	1.98201e-74	1.28117e-77	8.34966e-81	5.52635e-84	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
