NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	3.40242e-06	4.5673e-06	7.73162e-06	1.51939e-05	3.23106e-05	7.08099e-05	0.00015502	0.000332508	0.000690371	0.00137686	0.00262453	0.00476567	0.00822448	0.0134678	0.0209014	0.0307151	0.0427089	0.0561611	0.0698078	0.0819896	0.0909623	0.0953004	0.0942668	0.0880175	0.0775627	0.0644986	0.0506069	0.037462	0.0261613	0.0172342	0.0107095	0.00627739	0.00347071	0.00181003	0.000890407	0.000413179	0.000180863	7.46872e-05	2.90972e-05	1.06953e-05	3.70945e-06	1.21404e-06	3.7498e-07	1.09315e-07	3.00809e-08	7.81444e-09	1.9167e-09	4.43934e-10	9.71071e-11	2.0064e-11	3.91644e-12	7.22352e-13	1.62777e-16	6.60763e-17	2.60827e-17	1.00141e-17	3.7408e-18	1.36035e-18	4.82046e-19	1.66734e-19	5.64704e-20	1.88354e-20	6.25352e-21	2.112e-21	7.69232e-22	3.7151e-22	
N2	0.00011562	0.000135424	0.000179368	0.000258761	0.00039245	0.000609112	0.000949986	0.00147164	0.00224809	0.00337123	0.00494847	0.00709631	0.00992893	0.0135416	0.0179901	0.0232679	0.0292859	0.0358587	0.042702	0.0494452	0.0556604	0.0609049	0.0647728	0.0669462	0.0672388	0.0656219	0.0622291	0.0573374	0.0513301	0.0446466	0.0377296	0.0309781	0.0247118	0.0191529	0.014423	0.0105528	0.00750213	0.00518223	0.00347836	0.00226868	0.00143789	0.000885628	0.000530109	0.00030838	0.000174355	9.58148e-05	5.11802e-05	2.65746e-05	1.34139e-05	6.58256e-06	3.14067e-06	1.45707e-06	6.57394e-07	2.88496e-07	1.23181e-07	5.11959e-08	2.07275e-08	8.18555e-09	3.16033e-09	1.19774e-09	4.48811e-10	1.68441e-10	6.48167e-11	2.6713e-11	1.28109e-11	8.25608e-12	
N3	0.00116096	0.00129798	0.00158498	0.00206819	0.00281832	0.00393128	0.00552611	0.00773783	0.0107038	0.0145425	0.0193263	0.0250511	0.0316088	0.0387688	0.0461763	0.0533724	0.0598356	0.0650421	0.0685351	0.0699904	0.0692657	0.0664226	0.0617174	0.0555622	0.0484647	0.0409586	0.0335384	0.0266089	0.0204554	0.0152372	0.0109984	0.00769318	0.005215	0.0034261	0.00218156	0.00134644	0.000805535	0.000467191	0.000262694	0.000143214	7.57067e-05	3.88095e-05	1.92945e-05	9.30386e-06	4.3518e-06	1.97467e-06	8.69335e-07	3.7136e-07	1.53948e-07	6.19407e-08	2.41919e-08	9.17335e-09	3.37788e-09	1.20819e-09	4.1991e-10	1.41884e-10	4.66429e-11	1.4935e-11	4.66609e-12	1.42642e-12	4.28706e-13	1.2779e-13	3.8475e-14	1.22113e-14	4.53509e-15	2.44813e-15	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	5.5564e-07	7.3543e-07	1.19428e-06	2.19111e-06	4.26453e-06	8.47271e-06	1.68198e-05	3.29742e-05	6.34186e-05	0.000119193	0.000218376	0.000389379	0.000674931	0.00113635	0.00185725	0.00294534	0.00453064	0.00675815	0.00977344	0.0137009	0.0186153	0.0245114	0.0312753	0.0386671	0.0463191	0.0537573	0.0604442	0.0658412	0.0694793	0.0710262	0.0703366	0.0674744	0.0627033	0.0564462	0.0492236	0.0415825	0.0340292	0.0269777	0.0207194	0.0154162	0.0111128	0.00776113	0.00525168	0.00344319	0.00218742	0.00134659	0.000803323	0.00046444	0.000260245	0.000141347	7.44205e-05	3.79889e-05	1.88045e-05	9.02851e-06	4.20613e-06	1.9024e-06	8.36071e-07	3.57517e-07	1.49083e-07	6.0852e-08	2.44747e-08	9.81874e-09	4.02195e-09	1.76053e-09	8.96579e-10	6.05506e-10	
N5	1.14882e-12	2.1849e-12	5.88373e-12	1.80929e-11	5.78274e-11	1.85077e-10	5.83738e-10	1.80004e-09	5.4023e-09	1.57355e-08	4.43988e-08	1.21197e-07	3.19779e-07	8.14998e-07	2.0054e-06	4.76232e-06	1.09114e-05	2.41146e-05	5.13957e-05	0.000105619	0.000209245	0.00039958	0.000735406	0.00130428	0.00222887	0.0036696	0.00582009	0.00889147	0.0130831	0.0185399	0.0253003	0.0332457	0.0420637	0.0512408	0.0600947	0.0678499	0.0737455	0.0771579	0.0777091	0.0753357	0.0703008	0.0631462	0.0545961	0.0454366	0.0363989	0.0280684	0.0208358	0.0148897	0.0102441	0.00678592	0.00432851	0.00265906	0.00157351	0.000897202	0.000493151	0.000261468	0.000133857	6.62713e-05	3.18112e-05	1.48677e-05	6.81545e-06	3.10444e-06	1.43895e-06	7.08989e-07	4.00485e-07	2.88789e-07	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	2.16993e-51	3.26067e-49	5.88114e-47	1.05342e-44	1.81321e-42	2.93988e-40	4.43761e-38	6.19106e-36	7.9429e-34	9.33245e-32	1.00034e-29	9.74418e-28	8.59044e-26	6.82399e-24	4.86089e-22	3.0884e-20	1.73989e-18	8.63393e-17	3.74603e-15	1.40916e-13	4.55216e-12	1.24908e-10	2.87465e-09	5.46839e-08	8.45396e-07	1.04168e-05	0.000100092	0.000732871	0.00400342	0.0161007	0.0476574	0.10457	0.171519	0.211569	0.196674	0.13749	0.0718476	0.0278312	0.00793416	0.00166516	0.00026071	3.11019e-05	2.89313e-06	2.14478e-07	1.29204e-08	6.43281e-10	2.68598e-11	9.52507e-13	2.90043e-14	7.65679e-16	1.7672e-17	3.59281e-19	6.47742e-21	1.04191e-22	1.50361e-24	1.95699e-26	2.30868e-28	2.481e-30	2.44134e-32	2.2123e-34	1.85835e-36	1.45843e-38	1.07945e-40	7.61739e-43	5.19005e-45	4.02399e-47	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
