NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.0508514	0.0517618	0.0535027	0.0559319	0.0588341	0.0619123	0.0647902	0.0670343	0.0681986	0.0678899	0.0658398	0.0619685	0.056418	0.0495423	0.0420018	0.0343086	0.0269553	0.0203418	0.014728	0.0102218	0.0067962	0.00432726	0.00262864	0.00152261	0.000840588	0.000442108	0.000221447	0.000105604	4.79366e-05	2.07096e-05	8.5149e-06	3.33223e-06	1.2416e-06	4.40808e-07	1.48709e-07	4.7671e-08	1.45213e-08	4.20343e-09	1.15625e-09	3.02249e-10	7.50856e-11	1.77281e-11	3.97864e-12	8.48947e-13	1.93642e-16	8.51293e-17	3.64774e-17	1.52355e-17	6.20298e-18	2.46198e-18	9.5266e-19	3.59412e-19	1.32216e-19	4.74296e-20	1.65935e-20	5.66264e-21	1.88541e-21	6.12877e-22	1.94321e-22	6.01056e-23	1.81414e-23	5.34542e-24	1.53887e-24	4.33513e-25	1.19863e-25	3.27168e-26	8.91434e-27	2.47914e-27	7.45306e-28	3.04186e-28	
N2	0.0228839	0.0241857	0.0258537	0.027882	0.0302432	0.0328864	0.0357357	0.0386895	0.0416224	0.0443903	0.0468378	0.0488095	0.0501626	0.0507285	0.0505457	0.0495686	0.0478023	0.0453039	0.0421784	0.0385694	0.0346458	0.0305863	0.0264915	0.0225373	0.0188652	0.0155131	0.0125453	0.0099909	0.007849	0.00609585	0.00469239	0.00359123	0.00274255	0.00209837	0.00161088	0.00124528	0.000972248	0.000755275	0.000582701	0.000445775	0.000337777	0.000253363	0.000188137	0.000138386	0.000100953	7.31627e-05	5.26344e-05	3.76503e-05	2.68186e-05	1.8672e-05	1.27136e-05	8.47047e-06	5.52547e-06	3.53143e-06	2.21317e-06	1.36153e-06	8.2341e-07	4.90518e-07	2.87805e-07	1.66779e-07	9.58099e-08	5.48385e-08	3.14852e-08	1.82963e-08	1.08891e-08	6.74427e-09	4.44436e-09	3.21315e-09	2.64923e-09	2.58827e-09	
N3	0.00737011	0.00808666	0.00926522	0.0109697	0.0132684	0.0162207	0.0198605	0.0241784	0.0291046	0.0344969	0.0401366	0.0457354	0.0509543	0.0553989	0.0588673	0.0610834	0.0618555	0.061102	0.0588623	0.0552928	0.0506465	0.0452415	0.039317	0.0332459	0.0273584	0.0218995	0.0170544	0.0129238	0.00953227	0.0068453	0.00478792	0.00326345	0.00216902	0.00140695	0.000889068	0.00054758	0.000328898	0.000192556	0.000109932	6.12298e-05	3.3289e-05	1.76764e-05	9.17344e-06	4.65656e-06	2.31435e-06	1.12773e-06	5.38045e-07	2.51544e-07	1.15333e-07	5.17984e-08	2.27993e-08	9.84041e-09	4.16731e-09	1.73277e-09	7.07937e-10	2.84443e-10	1.12514e-10	4.38796e-11	1.6853e-11	6.37956e-12	2.38193e-12	8.77778e-13	3.19466e-13	1.14908e-13	4.09002e-14	1.44581e-14	5.13337e-15	1.8957e-15	8.03739e-16	4.85732e-16	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.00209577	0.0022755	0.00256011	0.00296663	0.00351722	0.00423912	0.00516418	0.00632785	0.00776757	0.00952027	0.011619	0.0140885	0.0169406	0.0201501	0.0237273	0.0276156	0.0317258	0.0359355	0.0400926	0.0440243	0.0475492	0.0504943	0.0525815	0.0536962	0.0537863	0.0527624	0.0506844	0.0476805	0.0439347	0.0396676	0.035114	0.030501	0.0260282	0.0218548	0.0180427	0.0146748	0.0117857	0.00930626	0.00722821	0.00552468	0.00415718	0.00308123	0.00225083	0.00162173	0.00115356	0.000811021	0.000562781	0.000385798	0.000261502	0.000173302	0.000112249	7.10456e-05	4.39434e-05	2.65697e-05	1.57137e-05	9.09869e-06	5.16536e-06	2.88088e-06	1.57842e-06	8.51728e-07	4.54076e-07	2.40085e-07	1.26476e-07	6.67528e-08	3.55442e-08	1.92795e-08	1.08194e-08	6.4677e-09	4.36477e-09	3.67284e-09	
N5	0.000506734	0.000538318	0.000581532	0.0006383	0.000711591	0.000805641	0.000926221	0.00108089	0.00127921	0.00153283	0.00185542	0.00226234	0.00277017	0.00339436	0.00415142	0.00505411	0.00611147	0.00732799	0.00870348	0.010234	0.0119141	0.0137402	0.0157063	0.0178221	0.02011	0.0225961	0.0253179	0.028307	0.0315744	0.0350931	0.0387832	0.0425053	0.0460641	0.0492255	0.0516397	0.0530644	0.053326	0.052306	0.0500319	0.0466446	0.0423783	0.0375268	0.0324038	0.0273043	0.0224749	0.0180957	0.0142371	0.0109607	0.00826901	0.0061065	0.00441745	0.00313242	0.00217866	0.00148721	0.000997052	0.000656987	0.000425896	0.000271954	0.000170862	0.000105745	6.45539e-05	3.89355e-05	2.32508e-05	1.37879e-05	8.1578e-06	4.85568e-06	2.95264e-06	1.88973e-06	1.34649e-06	1.16539e-06	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	6.63691e-06	1.08604e-05	1.69115e-05	1.97846e-05	1.62412e-05	9.29039e-06	3.82548e-06	1.29134e-06	5.52896e-07	4.58189e-07	7.09156e-07	2.0303e-06	6.39145e-06	1.57229e-05	2.75754e-05	3.34556e-05	2.79878e-05	1.67432e-05	8.47962e-06	6.10996e-06	1.14549e-05	5.17601e-05	0.000284597	0.0013071	0.00453826	0.0114458	0.0204592	0.0260618	0.0267756	0.03298	0.0596641	0.109469	0.162455	0.186192	0.163435	0.109558	0.055809	0.0214638	0.00620273	0.00134891	0.00022326	2.86305e-05	2.90235e-06	2.37167e-07	1.59035e-08	8.89407e-10	4.20075e-11	1.69612e-12	5.91753e-14	1.80062e-15	4.81892e-17	1.1429e-18	2.4186e-20	4.59564e-22	7.88636e-24	1.22893e-25	1.74807e-27	2.2816e-29	2.74291e-31	3.0517e-33	3.15708e-35	3.05135e-37	2.76814e-39	2.36775e-41	1.91766e-43	1.47616e-45	1.08336e-47	7.59799e-50	5.10502e-52	3.8206e-54	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trichophorum_alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	7.93132e-06	8.64883e-06	9.47675e-06	1.02547e-05	1.09498e-05	1.16945e-05	1.28714e-05	1.52774e-05	2.04843e-05	3.17341e-05	5.61676e-05	0.000110021	0.000229545	0.000491193	0.0010467	0.00216858	0.00429869	0.00806954	0.0142528	0.0235872	0.0364725	0.0525931	0.0704655	0.0876697	0.10124	0.108434	0.107696	0.0991806	0.0846991	0.0670877	0.0493025	0.0336339	0.0213142	0.0125594	0.00687016	0.00349104	0.00164915	0.000724427	0.000296162	0.000112789	4.00536e-05	1.32778e-05	4.11358e-06	1.19254e-06	3.23957e-07	8.26111e-08	1.97642e-08	4.44197e-09	9.39092e-10	1.86792e-10	3.49963e-11	6.18333e-12	1.03163e-12	1.6276e-13	2.43221e-14	3.44905e-15	4.65166e-16	5.98358e-17	7.34853e-18	8.64175e-19	9.76241e-20	1.06298e-20	1.11936e-21	1.14367e-22	1.13751e-23	1.1062e-24	1.06072e-25	1.0227e-26	1.03652e-27	1.32815e-28	
Scirpus_radicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	4.23461e-07	4.57984e-07	5.0191e-07	5.55254e-07	6.27829e-07	7.46862e-07	9.77155e-07	1.47338e-06	2.62124e-06	5.42687e-06	1.25777e-05	3.12083e-05	7.96095e-05	0.000202026	0.000498718	0.00117639	0.0026197	0.00546266	0.0106065	0.0190996	0.0318043	0.048862	0.0689829	0.0894193	0.106354	0.116005	0.116002	0.106329	0.0893406	0.0688219	0.0486214	0.0315181	0.018759	0.0102606	0.00514854	0.00237114	0.00100289	0.000389788	0.000139328	4.58446e-05	1.39008e-05	3.88884e-06	1.00512e-06	2.40389e-07	5.32999e-08	1.09834e-08	2.10435e-09	3.75826e-10	6.27918e-11	9.83856e-12	1.45236e-12	2.03161e-13	2.71158e-14	3.47972e-15	4.32624e-16	5.24436e-17	6.223e-18	7.23563e-19	8.20975e-20	9.04934e-21	9.6417e-22	9.88442e-23	9.71741e-24	9.15007e-25	8.29367e-26	7.43549e-27	7.21243e-28	8.90356e-29	1.49899e-29	3.52323e-30	
N9	2.49962e-07	2.94474e-07	3.80798e-07	5.20611e-07	7.27659e-07	1.0144e-06	1.38929e-06	1.85915e-06	2.4415e-06	3.19038e-06	4.23835e-06	5.86709e-06	8.64705e-06	1.37602e-05	2.3846e-05	4.4958e-05	9.13902e-05	0.000196625	0.000436328	0.000971413	0.00211669	0.00442592	0.00873325	0.0161022	0.0275457	0.0435036	0.0632128	0.0843093	0.103052	0.115324	0.118097	0.110648	0.0948697	0.0744828	0.05345	0.035088	0.0210921	0.0116237	0.0058813	0.00273698	0.00117402	0.000465395	0.00017103	5.84886e-05	1.86978e-05	5.61864e-06	1.59223e-06	4.27674e-07	1.09391e-07	2.67433e-08	6.26539e-09	1.40855e-09	3.0396e-10	6.29369e-11	1.2496e-11	2.37811e-12	4.33832e-13	7.59477e-14	1.27514e-14	2.0562e-15	3.18946e-16	4.76613e-17	6.8695e-18	9.55631e-19	1.28323e-19	1.66262e-20	2.07757e-21	2.51211e-22	3.07092e-23	5.61368e-24	
Scirpus_mitsukurianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scirpus_polystachyus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
