NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.28163	0.245491	0.188229	0.12813	0.0779372	0.0425536	0.0209429	0.00931392	0.00375393	0.00137326	0.000456869	0.000138367	3.82e-05	9.62009e-06	2.21201e-06	4.64605e-07	8.91948e-08	1.56551e-08	2.51301e-09	3.68958e-10	4.95536e-11	6.08787e-12	6.84165e-13	7.12852e-17	2.18577e-17	6.4094e-18	1.79735e-18	4.81998e-19	1.2361e-19	3.03158e-20	7.1105e-21	1.59503e-21	3.42218e-22	7.02316e-23	1.37879e-23	2.58965e-24	4.65385e-25	8.00331e-26	1.31726e-26	2.07534e-27	3.13032e-28	4.52117e-29	6.25399e-30	8.28695e-31	1.0521e-31	1.28009e-32	1.49295e-33	1.66946e-34	1.79037e-35	1.84187e-36	1.81819e-37	1.72268e-38	1.56701e-39	1.36889e-40	1.14873e-41	9.26303e-43	7.17956e-44	5.3504e-45	3.83486e-46	2.64438e-47	1.75487e-48	1.12114e-49	6.89799e-51	4.08904e-52	2.33684e-53	1.28909e-54	6.888e-56	3.61097e-57	1.96086e-58	1.48795e-59	
N2	0.0690935	0.0794566	0.0890764	0.0956998	0.099561	0.0997672	0.0934784	0.0840081	0.0727327	0.0588129	0.046035	0.035157	0.025157	0.0176762	0.0123101	0.00802363	0.00522159	0.00342706	0.00208661	0.00128646	0.000809974	0.000468435	0.000276971	0.000168128	9.2261e-05	5.2252e-05	3.06737e-05	1.59064e-05	8.54948e-06	4.77524e-06	2.34623e-06	1.19602e-06	6.31294e-07	2.89134e-07	1.38613e-07	6.96791e-08	2.96199e-08	1.32095e-08	6.18937e-09	2.47564e-09	1.03482e-09	4.49772e-10	1.65182e-10	6.42221e-11	2.64838e-11	8.95975e-12	3.2114e-12	1.22091e-12	3.87959e-13	1.29698e-13	4.53665e-14	1.31949e-14	4.10317e-15	1.36738e-15	3.64129e-16	1.03601e-16	3.15538e-17	7.94577e-18	2.11859e-18	5.94973e-19	1.3705e-19	3.40374e-20	9.15277e-21	1.96593e-21	4.67926e-22	1.26556e-22	3.2656e-23	1.10115e-23	5.23764e-24	4.17002e-24	
N3	0.00448865	0.00612928	0.00914436	0.0138274	0.0206471	0.0297529	0.0400786	0.0514258	0.0629703	0.0721252	0.0791553	0.0835808	0.0831572	0.0798568	0.0742523	0.0653089	0.0557036	0.0461733	0.0361892	0.0275189	0.0203219	0.0141206	0.00948623	0.00616379	0.00374106	0.00218827	0.00123535	0.000647331	0.000326614	0.000159048	7.16885e-05	3.11429e-05	1.30751e-05	5.06928e-06	1.89951e-06	6.90063e-07	2.3089e-07	7.48711e-08	2.36053e-08	6.8539e-09	1.93341e-09	5.3148e-10	1.34391e-10	3.3138e-11	7.99411e-12	1.7696e-12	3.83078e-13	8.13596e-14	1.58726e-14	3.03471e-15	5.7029e-16	9.83732e-17	1.66945e-17	2.79657e-18	4.28927e-19	6.49232e-20	9.73345e-21	1.34197e-21	1.83475e-22	2.50011e-23	3.1664e-24	4.05053e-25	5.28476e-26	6.64254e-27	8.73726e-28	1.20441e-28	1.67323e-29	2.43882e-30	3.88658e-31	1.00535e-31	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.00224716	0.00322346	0.00517591	0.00844154	0.0135152	0.0207256	0.0294682	0.039699	0.050868	0.0606115	0.0691311	0.0759505	0.0782789	0.0781569	0.0760315	0.0697509	0.062644	0.0553945	0.0462054	0.0380236	0.0310298	0.0238245	0.0181364	0.0137462	0.00973555	0.0068623	0.00483245	0.00314265	0.00203486	0.00131556	0.000778529	0.000457959	0.00026833	0.000142371	7.52152e-05	3.96933e-05	1.87404e-05	8.82253e-06	4.15617e-06	1.74963e-06	7.35168e-07	3.09095e-07	1.15566e-07	4.34207e-08	1.64624e-08	5.49831e-09	1.85278e-09	6.32523e-10	1.91274e-10	5.84593e-11	1.81005e-11	4.95315e-12	1.38121e-12	3.9401e-13	9.80803e-14	2.49257e-14	6.48903e-15	1.48606e-15	3.46737e-16	8.25599e-17	1.725e-17	3.71385e-18	8.30309e-19	1.64756e-19	3.50825e-20	8.20062e-21	1.94294e-21	5.4507e-22	1.90098e-22	1.04376e-22	
N5	3.97148e-06	7.40282e-06	1.72916e-05	4.17713e-05	9.85204e-05	0.000220518	0.000456503	0.000889956	0.00164051	0.00281321	0.00459458	0.00717339	0.0105097	0.0147377	0.0199114	0.0256181	0.0322587	0.0398874	0.0470806	0.0538546	0.0595381	0.0619252	0.0625501	0.0623086	0.0601574	0.0587641	0.0583898	0.0561638	0.0534409	0.049629	0.0424282	0.0345984	0.0268886	0.0188797	0.0126395	0.00814991	0.00480805	0.002803	0.00165711	0.000950207	0.000573182	0.000365142	0.000225259	0.000142097	9.04754e-05	5.28576e-05	3.05317e-05	1.74312e-05	8.99877e-06	4.56527e-06	2.28182e-06	1.02505e-06	4.53502e-07	1.98244e-07	7.72277e-08	2.96407e-08	1.12458e-08	3.80381e-09	1.26793e-09	4.18081e-10	1.2309e-10	3.61771e-11	1.07242e-11	2.91913e-12	8.30818e-13	2.51611e-13	7.73904e-14	2.669e-14	1.0972e-14	6.82722e-15	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	9.10103e-22	5.132e-20	3.04818e-18	1.29905e-16	4.35403e-15	9.8364e-14	2.03044e-12	1.75896e-11	1.26668e-10	1.68605e-09	2.13575e-08	7.18988e-08	9.46597e-08	2.2528e-07	1.49897e-06	1.91383e-05	0.000147153	0.00032955	0.000226892	7.63537e-05	8.20201e-05	0.000131357	0.000444496	0.00510337	0.0467426	0.210753	0.355395	0.25841	0.092112	0.0157305	0.00232976	0.00200375	0.00289136	0.00303108	0.00227163	0.00120903	0.00043681	0.000104002	1.50685e-05	1.17278e-06	5.65602e-08	1.87575e-09	4.46401e-11	8.21546e-13	1.21368e-14	1.43254e-16	1.41977e-18	1.20287e-20	8.53748e-23	5.29558e-25	2.90264e-27	1.36794e-29	5.77751e-32	2.20641e-34	7.37073e-37	2.25095e-39	6.34107e-42	1.58831e-44	3.71593e-47	8.21658e-50	1.65611e-52	3.23259e-55	6.21267e-58	1.14139e-60	2.11859e-63	3.96339e-66	7.23099e-69	1.30429e-71	2.28678e-74	4.12455e-77	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trichophorum_alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
