NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.519446	0.31154	0.12559	0.0352408	0.00704232	0.00102332	0.000109413	8.62893e-06	5.04841e-07	2.22397e-08	7.5266e-10	1.98738e-11	4.11441e-13	1.59137e-17	1.78128e-18	1.74836e-19	1.50045e-20	1.12393e-21	7.34479e-23	4.18971e-24	2.08921e-25	9.12602e-27	3.50105e-28	1.183e-29	3.53164e-31	9.34475e-33	2.19873e-34	4.61537e-36	8.67131e-38	1.46283e-39	2.2228e-41	3.05162e-43	3.79644e-45	4.29231e-47	4.42267e-49	4.16412e-51	3.59197e-53	2.84573e-55	2.0756e-57	1.39696e-59	8.69488e-62	5.01539e-64	2.68649e-66	1.33889e-68	6.22003e-71	2.69836e-73	1.09498e-75	4.16319e-78	1.48536e-80	4.9806e-83	1.5718e-85	4.67494e-88	1.31219e-90	3.48025e-93	8.73266e-96	2.07546e-98	4.67738e-101	1.00065e-103	2.03425e-106	3.93373e-109	7.24272e-112	1.27086e-114	2.12709e-117	3.39887e-120	5.18929e-123	7.57624e-126	1.05855e-128	1.41654e-131	1.81779e-134	2.25542e-137	3.33217e-140	
N2	0.00432256	0.0104086	0.022199	0.0413778	0.0608426	0.0816568	0.0923278	0.104125	0.0988427	0.0941395	0.0752219	0.0660085	0.0473302	0.0427444	0.0346303	0.0355809	0.0277063	0.0256908	0.0155541	0.0109716	0.00482654	0.00238944	0.000740598	0.000282516	6.0429e-05	1.5936e-05	2.59222e-06	5.23801e-07	6.06593e-08	9.28445e-09	8.26763e-10	1.021e-10	7.07969e-12	6.44439e-13	3.5922e-14	2.95127e-15	1.26462e-16	7.80899e-18	2.97413e-19	1.64818e-20	4.92251e-22	2.21619e-23	5.72227e-25	2.33919e-26	5.15697e-28	1.66605e-29	3.30261e-31	1.08705e-32	1.74396e-34	4.38208e-36	6.7227e-38	1.62777e-39	2.06082e-41	4.28861e-43	5.06494e-45	1.03259e-46	1.06454e-48	1.70273e-50	1.64364e-52	2.81331e-54	2.27618e-56	3.1023e-58	2.58089e-60	3.63562e-62	2.50664e-64	2.99017e-66	2.14568e-68	3.02209e-70	3.65302e-72	7.85381e-74	2.43284e-75	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.436627	0.344939	0.153728	0.0512094	0.0109515	0.00223667	0.000259446	4.46128e-05	3.19623e-06	5.28657e-07	2.43003e-08	4.17488e-09	1.13513e-10	1.13255e-11	2.45894e-13	2.52924e-14	2.896e-16	1.48723e-17	1.40871e-19	1.14333e-20	6.39301e-23	1.43676e-24	8.10605e-27	4.89763e-28	1.19592e-30	1.42645e-32	4.10964e-35	1.17384e-36	1.60728e-39	1.43628e-41	2.4776e-44	5.62748e-46	4.42845e-49	1.77574e-51	1.55904e-54	2.17859e-56	9.93425e-60	3.40961e-62	3.68488e-65	4.44553e-67	1.39022e-70	3.08425e-73	1.00626e-76	5.83012e-79	1.36174e-82	2.85895e-85	1.91787e-88	1.53426e-90	2.33591e-94	2.20347e-97	4.20753e-101	1.35262e-103	1.47683e-107	2.2586e-110	6.7803e-114	3.02454e-116	2.73189e-120	1.57567e-123	1.92272e-127	5.22578e-130	3.44405e-134	2.77924e-137	7.20785e-141	2.14441e-143	1.13359e-147	4.56703e-151	2.74741e-155	4.04383e-158	2.17235e-162	2.48982e-165	6.08193e-168	
N4	0.244201	0.274634	0.213317	0.140547	0.0695355	0.0349393	0.01295	0.0063023	0.00205166	0.00102621	0.000285166	0.000157342	3.39579e-05	1.485e-05	2.84817e-06	1.29769e-06	1.8413e-07	6.30534e-08	7.70349e-09	2.9403e-09	2.85514e-10	6.6323e-11	6.08855e-12	2.06222e-12	1.27945e-13	2.14773e-14	1.36671e-15	3.07315e-16	1.34526e-17	1.98536e-18	9.62165e-20	2.06292e-20	7.00173e-22	6.61794e-23	2.27625e-24	3.73019e-25	8.77152e-27	7.29428e-28	2.43316e-29	3.54148e-30	6.8374e-32	4.56257e-33	9.06636e-35	9.26893e-36	1.47246e-37	8.58961e-39	2.01332e-40	2.44092e-41	2.99247e-43	1.21032e-44	1.72815e-46	1.18605e-47	1.17378e-49	5.31521e-51	7.33295e-53	6.07891e-54	5.14924e-56	1.51775e-57	1.57008e-59	1.02816e-60	7.24177e-63	2.37322e-64	3.15668e-66	2.06134e-67	1.28047e-69	3.06655e-71	2.09846e-73	8.93912e-75	7.03433e-77	3.77313e-78	4.34386e-79	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.403911	0.347336	0.168896	0.0617295	0.0142267	0.00337417	0.000416842	0.000100467	7.1656e-06	2.05532e-06	8.28416e-08	3.47317e-08	7.73333e-10	2.27834e-10	4.74314e-12	1.94037e-12	2.07255e-14	3.9469e-15	4.18013e-17	1.84597e-17	1.15646e-19	8.93624e-21	7.43193e-23	3.32022e-23	9.24397e-26	3.87037e-27	2.36277e-29	5.67612e-30	9.71552e-33	3.71638e-34	1.45924e-36	3.85589e-37	4.36293e-40	6.5485e-42	1.4324e-44	2.59483e-45	1.91115e-48	2.74239e-50	1.04053e-52	1.62699e-53	8.35386e-57	9.34696e-59	7.28552e-62	6.03205e-63	2.79463e-66	2.95005e-68	8.85902e-71	1.05952e-71	2.9659e-75	1.37705e-77	7.07108e-81	3.31839e-82	7.8891e-86	1.12796e-87	1.42442e-90	1.0978e-91	1.97832e-95	6.13906e-98	2.10839e-101	1.04322e-102	1.51592e-106	1.11436e-108	2.0362e-111	1.15325e-112	1.35386e-116	3.50282e-119	5.1609e-123	1.28634e-124	1.57808e-128	1.97567e-130	8.07583e-132	
N6	0.0797223	0.142101	0.19021	0.205025	0.157143	0.114018	0.0580715	0.0330632	0.0120553	0.00578038	0.00165383	0.000845135	0.000198962	8.60522e-05	1.78637e-05	7.33758e-06	1.06406e-06	3.07911e-07	3.31654e-08	8.55127e-09	6.40754e-10	9.472e-11	5.63234e-12	9.43734e-13	3.48317e-14	2.90477e-15	9.54519e-17	8.63645e-18	1.82985e-19	1.06116e-20	2.1514e-22	1.4978e-23	2.09652e-25	6.99845e-27	9.08741e-29	4.33749e-30	3.79641e-32	9.72742e-34	1.04185e-35	3.90503e-37	2.56997e-39	5.02408e-41	3.24497e-43	8.4599e-45	4.36326e-47	6.85599e-49	4.55301e-51	1.27454e-52	4.90531e-55	5.46286e-57	2.35548e-59	3.86564e-61	1.18057e-63	1.34461e-65	5.13415e-68	9.25391e-70	2.34107e-72	1.77749e-74	5.14291e-77	7.30908e-79	1.48493e-81	1.14838e-83	3.77966e-86	5.04721e-88	8.83323e-91	5.15083e-93	9.67524e-96	8.76955e-98	2.00061e-100	2.41299e-102	5.05782e-104	
N7	1.97179e-08	3.02812e-07	2.97209e-06	2.39648e-05	7.80351e-05	0.00017044	0.000628175	0.00344196	0.00990024	0.00657597	0.00192886	0.00214347	0.0029139	0.00315026	0.00797491	0.0427657	0.151111	0.351021	0.304869	0.0994969	0.0105632	0.000973433	0.000177995	6.95273e-05	1.5696e-05	2.46362e-06	1.55164e-07	6.82491e-09	1.6588e-10	5.26438e-12	6.30075e-13	2.30612e-13	5.82104e-14	1.51797e-14	2.49144e-15	4.29238e-16	4.03095e-17	3.62106e-18	1.69269e-19	6.55785e-21	1.25448e-22	2.37344e-24	2.50302e-26	2.91943e-28	2.01522e-30	1.55038e-32	7.65566e-35	4.67742e-37	1.68423e-39	7.51788e-42	2.23271e-44	8.2319e-47	1.907e-49	5.77121e-52	1.12103e-54	2.92419e-57	4.8069e-60	1.00819e-62	1.4325e-65	2.82334e-68	3.33816e-71	5.37825e-74	5.93746e-77	8.84699e-80	8.34967e-83	1.12759e-85	1.12889e-88	1.81681e-91	2.96478e-94	6.5102e-97	1.60274e-99	
Cladium_mariscus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cladium_mariscoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0196251	0.0501225	0.104039	0.1682	0.19095	0.186753	0.133754	0.0851831	0.0375846	0.0160825	0.00497743	0.00198098	0.000518993	0.000180873	3.69143e-05	9.32534e-06	1.10192e-06	1.67919e-07	1.11718e-08	1.10297e-09	4.52708e-11	2.81426e-12	8.29536e-14	5.13327e-15	1.18441e-16	5.77962e-18	1.37315e-19	6.88266e-21	1.17387e-22	4.19071e-24	5.90323e-26	2.00761e-27	2.10954e-29	4.36948e-31	3.749e-33	8.07046e-35	4.37987e-37	5.16883e-39	2.50435e-41	3.02674e-43	9.16947e-46	6.771e-48	1.79925e-50	1.46952e-52	3.05291e-55	1.5138e-57	3.17721e-60	2.24148e-62	2.89005e-65	9.43307e-68	1.23939e-70	4.92287e-73	4.23484e-76	1.08932e-78	9.70283e-82	3.14722e-84	1.9708e-87	3.2419e-90	2.26238e-93	6.53793e-96	3.67196e-99	6.7206e-102	5.42604e-105	1.54609e-107	7.7533e-111	1.14544e-113	5.77699e-117	1.15474e-119	6.47481e-123	1.56358e-125	5.4328e-128	
N9	0.0122047	0.0298351	0.0650289	0.11621	0.163307	0.196894	0.172887	0.115117	0.0637025	0.0349688	0.0163034	0.00869299	0.00319323	0.00128419	0.000281227	7.43695e-05	1.18886e-05	3.73805e-06	6.43894e-07	1.94525e-07	2.83406e-08	8.7498e-09	1.77956e-09	8.94258e-10	1.77697e-10	6.87356e-11	1.18205e-11	3.91859e-12	4.07508e-13	8.2237e-14	5.82612e-15	9.78137e-16	4.87781e-17	5.90176e-18	4.14334e-19	1.07987e-19	7.30777e-21	1.17506e-21	7.57747e-23	1.29061e-23	4.84154e-25	4.32202e-26	1.30751e-27	1.2417e-28	2.89817e-30	2.18269e-31	1.18863e-32	3.44167e-33	2.14104e-34	3.56764e-35	2.39622e-36	5.12457e-37	2.33345e-38	3.24936e-39	1.51399e-40	2.55452e-41	7.87588e-43	5.98104e-44	1.73423e-45	1.94609e-46	3.56168e-48	1.99905e-49	4.55833e-51	3.53519e-52	4.32928e-54	1.56563e-55	1.78289e-57	8.56657e-59	1.16314e-60	8.15789e-62	1.02689e-62	
Schoenus_brevifolius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N10	0.0129325	0.0319688	0.069642	0.127389	0.173277	0.179653	0.156307	0.122271	0.0755553	0.0354003	0.0116128	0.00306562	0.000689112	0.000172636	4.54719e-05	1.34375e-05	3.48427e-06	9.01718e-07	1.73349e-07	3.35084e-08	4.66219e-09	6.62715e-10	6.55675e-11	7.26321e-12	5.25777e-13	4.20626e-14	2.29749e-15	1.30738e-16	5.00379e-18	2.01968e-19	5.43651e-21	1.61278e-22	3.21049e-24	7.43136e-26	1.16879e-27	2.5062e-29	3.28529e-31	5.97923e-33	7.23235e-35	1.17038e-36	1.15332e-38	1.62413e-40	1.36416e-42	1.71854e-44	1.29971e-46	1.37353e-48	9.33483e-51	1.05295e-52	6.13349e-55	5.73307e-57	3.34696e-59	3.01034e-61	1.53785e-63	1.20872e-65	5.80354e-68	4.15758e-70	1.7557e-72	1.01647e-74	3.79694e-77	2.05285e-79	6.42424e-82	2.88749e-84	8.25177e-87	3.592e-89	8.65309e-92	3.36885e-94	7.86694e-97	3.69333e-99	1.57616e-101	1.34831e-103	1.48257e-105	
Schoenus_apogon	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Schoenus_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.0151536	0.0389966	0.0852888	0.147677	0.18011	0.189528	0.148582	0.105698	0.0498482	0.0247488	0.00748718	0.00455244	0.00104516	0.000904386	0.000159103	0.000181477	1.79633e-05	1.8684e-05	1.14638e-06	9.72907e-07	3.89757e-08	1.63262e-08	4.85794e-10	2.77467e-10	4.98653e-12	1.2553e-12	3.0823e-14	1.291e-14	1.46241e-16	2.7384e-17	5.16982e-19	3.59618e-19	3.8407e-21	3.63873e-22	6.51485e-24	4.19957e-24	2.18224e-26	1.35899e-27	2.08214e-29	7.36793e-30	2.29036e-32	1.02348e-33	5.7233e-36	1.39522e-36	2.98526e-39	7.00503e-41	4.0063e-43	8.07466e-44	9.69621e-47	1.37417e-48	3.80236e-51	4.01527e-52	3.58697e-55	6.68704e-57	1.5234e-59	1.53783e-60	9.0307e-64	6.27202e-66	7.40689e-69	5.00656e-70	2.17708e-73	1.81033e-75	4.46279e-78	2.92248e-79	8.9873e-83	5.22728e-85	2.08027e-88	6.04234e-90	2.00431e-93	3.42444e-95	1.728e-96	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.0104154	0.0263887	0.0601649	0.112681	0.153136	0.177997	0.164028	0.137882	0.0806254	0.0440953	0.0160007	0.00969665	0.00310639	0.00232485	0.000712039	0.000549704	0.000115672	6.70074e-05	8.95336e-06	4.04311e-06	3.63469e-07	1.09996e-07	8.96567e-09	4.67021e-09	2.91374e-10	8.98557e-11	7.27124e-12	3.84882e-12	2.40275e-13	9.94255e-14	9.29043e-15	7.60785e-15	4.59673e-16	1.24085e-16	8.06739e-18	4.86199e-18	1.64383e-19	2.89828e-20	1.31524e-21	5.11772e-22	1.05827e-23	1.28721e-24	2.8376e-26	7.20341e-27	9.89569e-29	7.12681e-30	1.51015e-31	3.78913e-32	2.94563e-34	1.29789e-35	1.54311e-37	1.97948e-38	1.13444e-40	6.19735e-42	6.29008e-44	8.32142e-45	3.45649e-47	7.9222e-49	4.57135e-51	4.29061e-52	1.25597e-54	3.20909e-56	2.68602e-58	2.29964e-59	5.33272e-62	8.59136e-64	2.4649e-66	1.26748e-67	2.93265e-70	1.07612e-71	9.95014e-73	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	0.000545717	0.00226477	0.00809051	0.0232206	0.0477672	0.0822249	0.125837	0.180248	0.197375	0.165785	0.0972661	0.0468635	0.0159521	0.00497998	0.00121179	0.000301852	5.5354e-05	1.00907e-05	1.15729e-06	1.28278e-07	8.74505e-09	5.86734e-10	2.44915e-11	1.14903e-12	3.17503e-14	1.05496e-15	2.25434e-17	6.01858e-19	1.00124e-20	2.28498e-22	3.24962e-24	6.53905e-26	8.07473e-28	1.3141e-29	1.37051e-31	2.04011e-33	1.71717e-35	2.06303e-37	1.64176e-39	2.00251e-41	1.53995e-43	1.93732e-45	1.52756e-47	1.9659e-49	1.39405e-51	1.45829e-53	9.05041e-56	9.43295e-58	4.63247e-60	3.61747e-62	1.65854e-64	1.21626e-66	4.45852e-69	2.76166e-71	9.18467e-74	5.38763e-76	1.54985e-78	6.92992e-81	1.81864e-83	8.66555e-86	1.86004e-88	6.85199e-91	1.49776e-93	5.56811e-96	9.90182e-99	3.06514e-101	5.44985e-104	1.90633e-106	5.36353e-109	2.83163e-111	1.85823e-113	
Tetraria_capillaris	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	4.91854e-06	4.16891e-05	0.000290948	0.00164081	0.00562249	0.0113349	0.0241869	0.0760388	0.208497	0.26531	0.163113	0.128869	0.0648863	0.023538	0.0112752	0.0087276	0.00399025	0.00213821	0.000415414	7.4658e-05	4.327e-06	3.92784e-07	3.48806e-08	8.54119e-09	8.27181e-10	1.05459e-10	4.50721e-12	2.60695e-13	5.51879e-15	4.0094e-16	4.30821e-17	1.58143e-17	2.02073e-18	4.60604e-19	4.40906e-20	1.00189e-20	5.23298e-22	5.26221e-23	1.96108e-24	1.4901e-25	2.5142e-27	8.57104e-29	9.86798e-31	2.97731e-32	2.10025e-34	3.11882e-36	1.82733e-38	3.17464e-40	1.16909e-42	1.02068e-44	3.56406e-47	3.68015e-49	8.80147e-52	5.71902e-54	1.32143e-56	1.03436e-58	1.76807e-61	7.36914e-64	1.2512e-66	7.9036e-69	9.37974e-72	3.26699e-74	4.98774e-77	2.47485e-79	2.39315e-82	7.08007e-85	6.86057e-88	2.657e-90	3.60911e-93	2.05253e-95	1.60875e-97	
Machaerina_mariscoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Baumea_articulata	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	0.289309	0.306973	0.216533	0.119725	0.0471684	0.0157022	0.00367473	0.000781577	0.000114936	1.64255e-05	1.53061e-06	1.62003e-07	9.57517e-09	6.88149e-10	2.7883e-11	1.45737e-12	3.83662e-14	1.43898e-15	2.66224e-17	7.77645e-19	1.05136e-20	2.11695e-22	2.19445e-24	4.11405e-26	3.01316e-28	3.74716e-30	2.36268e-32	2.69296e-34	1.22464e-36	1.05e-38	4.12848e-41	3.4455e-43	1.06004e-45	5.84588e-48	1.58435e-50	9.76841e-53	1.97415e-55	8.17222e-58	1.69212e-60	7.72861e-63	1.17108e-65	3.78152e-68	5.30317e-71	1.82401e-73	2.13782e-76	5.1883e-79	6.2592e-82	1.97836e-84	1.71977e-87	3.21515e-90	2.89675e-93	6.22045e-96	4.30576e-99	7.26864e-102	5.28309e-105	1.0665e-107	6.10162e-111	7.51025e-114	4.36408e-117	7.25147e-120	3.24942e-123	3.62476e-126	1.99387e-129	2.89235e-132	1.11223e-135	1.03984e-138	4.12891e-142	4.8836e-145	2.79907e-148	4.95792e-151	1.16455e-153	
N16	0.0246061	0.0602532	0.116632	0.176338	0.191725	0.180153	0.126498	0.0771379	0.0323078	0.0112674	0.0025031	0.000510329	6.10218e-05	7.2758e-06	5.24538e-07	4.02115e-08	1.77232e-09	9.28862e-11	2.73471e-12	1.04037e-13	2.20191e-15	5.94632e-17	9.39653e-19	2.17683e-20	2.51902e-22	4.22312e-24	4.11964e-26	5.9601e-28	4.40332e-30	5.11108e-32	3.1881e-34	3.35449e-36	1.71762e-38	1.34867e-40	5.99657e-43	4.79847e-45	1.68543e-47	1.01025e-49	3.44107e-52	2.06364e-54	5.55549e-57	2.66643e-59	6.56047e-62	3.11758e-64	6.66801e-67	2.45208e-69	5.061e-72	2.13163e-74	3.49048e-77	1.04333e-79	1.72428e-82	5.4026e-85	7.27748e-88	1.92518e-90	2.56645e-93	7.27573e-96	8.28637e-99	1.70255e-101	1.89767e-104	4.62032e-107	4.21829e-110	7.72714e-113	7.83115e-116	1.63896e-118	1.30453e-121	2.10478e-124	1.73261e-127	3.35669e-130	4.43182e-133	1.33973e-135	5.12601e-138	
Rhynchospora_corniculata	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
