resolved_name;Value_(n)
Blysmus_compressus;22
Calyptrocarya_glomerulata;10
Carex_pachygyna;6
Carex_siderosticta;6
Chrysitrix_capensis;23
Cladium_mariscoides;39
Cladium_mariscus;18
Dulichium_arundinaceum;16
Eriophorum_angustifolium_subsp_angustifolium;29
Eriophorum_gracile;30
Eriophorum_virginicum;29
Gahnia_aspera;40
Lagenocarpus_guianensis;17
Lepironia_articulata;17
Machaerina_articulata;12
Machaerina_mariscoides;39
Oreobolus_pectinatus;19
Rhynchospora_alba;13
Rhynchospora_albiceps;10
Rhynchospora_capillacea;13
Rhynchospora_chinensis;31
Rhynchospora_globosa;12
Rhynchospora_nervosa;5
Rhynchospora_robusta;5
Rhynchospora_rubra;10
Schoenus_brevifolius;61
Schoenus_nigricans;22
Scirpus_cyperinus;33
Scirpus_divaricatus;14
Scirpus_expansus;32
Scirpus_maximowiczii;32
Scirpus_microcarpus;32
Scirpus_pendulus;20
Scirpus_polystachyus;30
Scirpus_radicans;28
Scirpus_sylvaticus;31
Scleria_foliosa;10
Tetraria_capillaris;10
Trichophorum_alpinum;29
Trichophorum_cespitosum;52
Blysmus_rufus;20
