resolved_name;Value_(n)
Calyptrocarya_glomerulata;10
Chrysitrix_capensis;23
Cladium_mariscoides;39
Cladium_mariscus;18
Gahnia_aspera;40
Lagenocarpus_guianensis;17
Lepironia_articulata;17
Machaerina_articulata;12
Machaerina_mariscoides;39
Oreobolus_pectinatus;19
Rhynchospora_alba;13
Rhynchospora_albiceps;10
Rhynchospora_capillacea;13
Rhynchospora_chinensis;31
Rhynchospora_globosa;12
Rhynchospora_nervosa;5
Rhynchospora_robusta;5
Rhynchospora_rubra;10
Schoenus_brevifolius;61
Schoenus_nigricans;22
Scleria_foliosa;10
Tetraria_capillaris;10
