NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
N1	6.20469e-08	6.86589e-08	7.93245e-08	9.44836e-08	1.14556e-07	1.44052e-07	1.8773e-07	2.49304e-07	3.28357e-07	4.2352e-07	5.45354e-07	7.08663e-07	1.00917e-06	1.64467e-06	6.46064e-06	1.55973e-05	2.89777e-05	4.43682e-05	5.81961e-05	6.78975e-05	6.1621e-05	5.50492e-05	5.09861e-05	5.0669e-05	5.43484e-05	6.14237e-05	7.02926e-05	7.88969e-05	8.6286e-05	8.01503e-05	7.84089e-05	8.66425e-05	0.000114676	0.00018729	0.000372785	0.00085553	0.0020866	0.00497945	0.00937577	0.0157355	0.0238422	0.0336032	0.0452387	0.0585427	0.0720232	0.0835	0.0920346	0.0903713	0.0924426	0.0956082	0.092663	0.0782235	0.0548671	0.0312252	0.0142816	0.00523879	0.00154446	
N2	1.75358e-07	4.95831e-08	6.07857e-08	7.88201e-08	1.09372e-07	1.65635e-07	2.77526e-07	5.07456e-07	9.6976e-07	1.83625e-06	3.29119e-06	5.42748e-06	8.108e-06	1.09518e-05	1.33716e-05	1.51799e-05	1.62041e-05	1.65268e-05	1.64409e-05	1.63775e-05	1.68507e-05	1.7706e-05	1.8895e-05	2.02705e-05	2.18592e-05	2.40481e-05	2.7925e-05	3.61499e-05	5.52115e-05	0.000102693	0.000220966	0.000516364	0.00122606	0.0028088	0.00599445	0.0116864	0.0206925	0.0334246	0.0502629	0.0695013	0.0889695	0.105443	0.115693	0.117461	0.10991	0.0937945	0.0717925	0.0487569	0.0284625	0.0141487	0.00592433	0.00206997	0.000598043	0.000141815	2.77975e-05	4.82409e-06	8.96669e-07	
N3	7.44374e-07	4.11196e-07	6.04771e-07	8.50587e-07	1.13386e-06	1.42783e-06	1.7071e-06	1.96217e-06	2.20131e-06	2.43691e-06	2.66466e-06	2.87409e-06	3.04164e-06	3.16025e-06	3.21768e-06	3.32377e-06	3.55652e-06	4.07421e-06	5.16606e-06	7.44432e-06	1.26003e-05	2.49444e-05	5.80013e-05	0.000154019	0.000440137	0.00126117	0.00341588	0.00841176	0.0184309	0.0360399	0.061502	0.0919648	0.120659	0.139129	0.141184	0.126195	0.0993818	0.0689356	0.0424374	0.0228214	0.0107594	0.00444019	0.00160168	0.000504677	0.000139033	3.36354e-05	7.22808e-06	1.42255e-06	2.63838e-07	4.92083e-08	9.57278e-09	1.91633e-09	3.77551e-10	7.05241e-11	1.22877e-11	1.99474e-12	3.03057e-13	
N4	1.62526e-06	3.17821e-07	3.58112e-07	4.07127e-07	4.64871e-07	5.36259e-07	6.3865e-07	8.10747e-07	1.13363e-06	1.78715e-06	3.16517e-06	6.14764e-06	1.26166e-05	2.73987e-05	6.53519e-05	0.000184546	0.000600455	0.00201226	0.00622123	0.0166457	0.0380145	0.0719357	0.113236	0.1488	0.164038	0.152515	0.12022	0.0807414	0.0464187	0.0231331	0.00988358	0.00365832	0.00117905	0.000332934	8.30594e-05	1.85267e-05	3.75862e-06	7.09849e-07	1.29024e-07	2.28447e-08	4.03184e-09	7.09302e-10	1.23122e-10	2.08255e-11	3.39848e-12	5.31486e-13	7.92775e-14	1.12764e-14	1.50601e-15	1.88662e-16	2.20233e-17	2.38364e-18	2.38702e-19	2.21486e-20	1.91245e-21	1.54561e-22	1.17632e-23	
N5	4.0127e-07	1.56754e-07	2.64008e-07	4.77609e-07	9.58423e-07	2.08717e-06	4.6032e-06	9.72336e-06	2.00702e-05	4.66252e-05	0.000148035	0.000631334	0.00281396	0.0106971	0.0314277	0.0715656	0.126096	0.173551	0.188684	0.16383	0.115834	0.0662222	0.0310625	0.0120602	0.00391093	0.00106989	0.000249902	5.06272e-05	9.08614e-06	1.49375e-06	2.29168e-07	3.41659e-08	5.05373e-09	7.44803e-10	1.08225e-10	1.52204e-11	2.03075e-12	2.52856e-13	2.9219e-14	3.09604e-15	3.04217e-16	2.8025e-17	2.45093e-18	2.05272e-19	1.6496e-20	1.26735e-21	9.27102e-23	6.48103e-24	4.3208e-25	2.78645e-26	1.74162e-27	1.04399e-28	5.88042e-30	3.04763e-31	1.4338e-32	6.11114e-34	2.38308e-35	
N6	3.03373e-06	3.17388e-06	6.28673e-06	1.09893e-05	1.77547e-05	4.3965e-05	0.000268745	0.00209925	0.0119126	0.0439767	0.10783	0.182519	0.220755	0.196236	0.130005	0.0665531	0.0266092	0.00843931	0.00215894	0.000454787	8.16924e-05	1.28304e-05	1.86774e-06	2.62773e-07	3.63655e-08	4.93907e-09	6.56387e-10	8.52535e-11	1.06945e-11	1.27271e-12	1.38656e-13	1.36539e-14	1.20918e-15	9.71323e-17	7.21912e-18	5.104e-19	3.51091e-20	2.35482e-21	1.52118e-22	9.1628e-24	5.08149e-25	2.57985e-26	1.20845e-27	5.3253e-29	2.27064e-30	9.59379e-32	4.04048e-33	1.67774e-34	6.68134e-36	2.52561e-37	8.98944e-39	2.99783e-40	9.29806e-42	2.65739e-43	6.94197e-45	1.65595e-46	3.64367e-48	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	2.97442e-07	4.90228e-08	1.24888e-08	2.05487e-09	0.028404	0.208374	0.36302	0.26665	0.104429	0.0248065	0.0038608	0.00041944	3.31989e-05	1.98975e-06	9.34809e-08	3.62215e-09	1.19838e-10	3.53128e-12	9.59571e-14	2.34094e-15	5.40843e-17	1.1505e-18	2.25571e-20	4.04915e-22	6.60988e-24	9.76944e-26	1.30871e-27	1.60115e-29	1.72272e-31	1.75045e-33	1.65102e-35	1.46287e-37	1.21777e-39	9.48407e-42	6.87948e-44	4.64662e-46	2.93981e-48	1.68066e-50	9.27761e-53	4.86402e-55	2.44769e-57	1.17991e-59	5.40745e-62	2.33394e-64	9.41379e-67	3.53102e-69	1.2292e-71	3.97877e-74	1.19135e-76	3.33064e-79	8.7327e-82	2.15885e-84	5.06233e-87	1.13388e-89	2.44329e-92	5.09753e-95	1.03781e-97	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
