NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
N1	0.438694	0.397395	0.141477	0.0208478	0.00152988	5.53728e-05	8.80255e-07	6.00183e-09	1.81014e-11	3.16243e-17	9.96728e-19	2.36157e-20	3.76513e-22	3.90397e-24	2.84907e-26	1.69685e-28	8.72625e-31	3.71929e-33	1.25715e-35	3.27766e-38	6.63296e-41	1.05803e-43	1.35345e-46	1.41151e-49	1.21804e-52	8.81198e-56	5.4069e-59	2.84267e-62	1.29227e-65	5.12091e-69	1.78182e-72	5.47968e-76	1.4983e-79	3.66225e-83	8.04174e-87	1.59359e-90	2.86185e-94	4.68213e-98	6.99292e-102	9.56628e-106	1.2024e-109	1.39262e-113	1.49032e-117	1.47736e-121	1.35987e-125	1.16489e-129	9.30598e-134	6.94706e-138	4.85531e-142	3.18262e-146	1.95991e-150	1.13571e-154	6.20207e-159	3.19648e-163	1.55693e-167	7.1769e-172	3.35402e-176	
N2	0.359673	0.412968	0.180858	0.0415517	0.00455206	0.000384146	1.30442e-05	7.11154e-07	9.20222e-09	3.23342e-10	1.97401e-12	5.15728e-14	1.78024e-16	2.27782e-18	5.2343e-21	1.35678e-22	2.03861e-25	1.30039e-27	3.41222e-30	1.16085e-31	5.82847e-34	1.79146e-36	3.22567e-39	3.99804e-42	3.21997e-45	2.00106e-48	1.33862e-51	1.01157e-54	5.59508e-58	2.87144e-61	1.86481e-64	3.18787e-67	6.00106e-71	3.276e-74	9.76384e-78	1.11287e-80	5.12246e-84	3.09088e-86	1.50365e-88	1.26927e-91	5.45588e-95	1.65751e-98	3.1055e-102	6.01074e-106	6.71505e-110	1.75766e-113	1.6921e-117	6.65577e-121	5.838e-125	2.52177e-128	1.97744e-132	6.72864e-136	4.43577e-140	2.88324e-143	3.66679e-147	1.09519e-149	5.52686e-152	
N3	0.374769	0.397085	0.179771	0.0433994	0.00468278	0.000284359	8.15942e-06	1.84575e-07	1.99001e-09	2.69099e-11	1.49201e-13	1.57792e-15	5.10637e-18	3.34201e-20	6.62062e-23	3.80824e-25	5.06624e-28	1.66893e-30	1.714e-33	8.95616e-36	1.43827e-38	3.54329e-41	5.15175e-44	7.84801e-47	6.25377e-50	4.96808e-53	2.6882e-56	2.21914e-59	8.67802e-63	5.25169e-66	2.0157e-69	2.31047e-72	5.87867e-76	3.14877e-79	7.54173e-83	6.87077e-86	1.27402e-89	1.18615e-92	1.97139e-95	1.91383e-98	9.9275e-102	4.0891e-105	1.14538e-108	2.85205e-112	4.92829e-116	9.66849e-120	1.24274e-123	2.83817e-127	3.00611e-131	7.43781e-135	7.00795e-139	1.70326e-142	1.30738e-146	3.09004e-150	2.94188e-154	2.35643e-157	4.08497e-160	
N4	0.207865	0.367625	0.286617	0.117737	0.0186898	0.00142111	4.34512e-05	1.01571e-06	1.0283e-08	1.28875e-10	6.26964e-13	5.43383e-15	1.44304e-17	7.23352e-20	1.14311e-22	5.31728e-25	5.72949e-28	1.49601e-30	1.34157e-33	5.90541e-36	8.89352e-39	1.61733e-41	1.77323e-44	1.88398e-47	1.13244e-50	6.67133e-54	2.77479e-57	1.71201e-60	5.41261e-64	2.58143e-67	8.0456e-71	7.05789e-74	1.45957e-77	6.29512e-81	1.23359e-84	8.89971e-88	1.59643e-91	1.58444e-94	2.21273e-97	1.5787e-100	6.09526e-104	1.8697e-107	3.91646e-111	7.54197e-115	1.00493e-118	1.62937e-122	1.70795e-126	3.265e-130	2.90792e-134	5.69701e-138	4.43373e-142	8.36457e-146	5.31244e-150	1.02143e-153	9.72898e-158	7.63109e-161	1.08965e-163	
N5	0.0751947	0.253282	0.356778	0.254657	0.0560409	0.00396007	8.55824e-05	1.3639e-06	7.78624e-09	6.83711e-11	1.76696e-13	1.06108e-15	1.42045e-18	4.47322e-21	3.48956e-24	1.12623e-26	5.76068e-30	8.83539e-33	4.01466e-36	1.54095e-38	1.47351e-41	1.56107e-44	1.01591e-47	5.88496e-51	1.91241e-54	5.68505e-58	1.26734e-61	4.27033e-65	7.40041e-69	1.85759e-72	3.47634e-76	1.91453e-79	1.93586e-83	4.41337e-87	4.68582e-91	2.07724e-94	1.90615e-98	1.62678e-101	2.00338e-104	8.30553e-108	1.84834e-111	3.16976e-115	3.61212e-119	3.68469e-123	2.48595e-127	2.21451e-131	1.13263e-135	1.36584e-139	5.95723e-144	7.57491e-148	2.85231e-152	3.23997e-156	9.81448e-161	1.22998e-164	5.23465e-169	2.72458e-172	2.69809e-175	
N6	0.0117309	0.0876597	0.264202	0.429625	0.191573	0.0149093	0.000297249	4.03518e-06	1.96978e-08	1.55331e-10	3.4799e-13	1.77457e-15	2.01434e-18	5.36868e-21	3.51604e-24	1.00543e-26	4.4328e-30	6.0302e-33	2.265e-36	7.60099e-39	5.70938e-42	6.04806e-45	3.8605e-48	2.17339e-51	6.47354e-55	1.71476e-58	3.3751e-62	1.01267e-65	1.63168e-69	3.69731e-73	6.45382e-77	3.17451e-80	2.89832e-84	5.97423e-88	5.82182e-92	2.39069e-95	1.75576e-99	1.12363e-102	1.24239e-105	5.448e-109	1.29236e-112	2.30512e-116	2.65037e-120	2.52937e-124	1.57693e-128	1.27366e-132	6.02205e-137	7.10334e-141	2.92024e-145	3.45748e-149	1.19086e-153	1.23388e-157	3.35515e-162	3.95539e-166	1.49663e-170	7.10692e-174	6.56515e-177	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	1.12439e-05	0.000793292	0.0127297	0.213661	0.76059	0.0121758	3.97121e-05	6.21662e-08	4.24725e-11	2.61079e-14	7.66622e-18	2.92313e-21	4.58952e-25	1.06517e-28	9.78678e-33	1.78661e-36	1.10194e-40	1.32859e-44	6.10496e-49	8.28052e-53	4.16632e-57	3.75239e-61	1.9451e-65	1.25547e-69	4.15569e-74	1.45518e-78	3.25152e-83	1.04123e-87	1.71851e-92	4.26991e-97	6.4095e-102	2.3197e-106	2.6749e-111	5.79057e-116	5.92732e-121	1.81231e-125	1.50549e-130	3.65622e-135	1.05234e-139	4.00267e-144	8.24168e-149	1.50201e-153	1.90282e-158	2.12774e-163	1.67657e-168	1.37031e-173	8.13785e-179	7.03595e-184	3.54203e-189	3.05566e-194	1.34963e-199	1.17345e-204	4.22038e-210	3.39191e-215	1.56667e-220	4.19803e-225	1.99098e-229	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
