NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
N1	0.259879	0.281732	0.236112	0.139787	0.0590865	0.018305	0.00424469	0.00074384	9.8701e-05	9.91209e-06	7.53806e-07	4.35442e-08	1.91687e-09	6.42634e-11	1.62877e-12	4.1858e-17	4.9311e-18	4.94177e-19	4.1926e-20	3.00483e-21	1.81989e-22	9.33564e-24	4.071e-25	1.51592e-26	4.84457e-28	1.33575e-29	3.19457e-31	6.6621e-33	1.21777e-34	1.96085e-36	2.79464e-38	3.54153e-40	4.00803e-42	4.06757e-44	3.71621e-46	3.06787e-48	2.29648e-50	1.56394e-52	9.72006e-55	5.52967e-57	2.88756e-59	1.38778e-61	6.15414e-64	2.52411e-66	9.59689e-69	3.38979e-71	1.11462e-73	3.41856e-76	9.79778e-79	2.62876e-81	6.61374e-84	1.56286e-86	3.47404e-89	7.27507e-92	1.43731e-94	2.68535e-97	5.49127e-100	
N2	0.247941	0.282125	0.226062	0.143296	0.0661632	0.0252229	0.00701696	0.00178117	0.000316467	6.44199e-05	8.28767e-06	1.71649e-06	1.72597e-07	3.25804e-08	2.56502e-09	4.24868e-10	2.42294e-11	2.91672e-12	1.30613e-13	1.55757e-14	5.01202e-16	3.99049e-17	1.14395e-18	1.16978e-19	2.3572e-21	1.29337e-22	2.47976e-24	1.90553e-25	2.50739e-27	9.55112e-29	1.26946e-30	7.32028e-32	6.4464e-34	1.68116e-35	1.46169e-37	5.99927e-39	3.6873e-41	7.70941e-43	5.64892e-45	2.18302e-46	1.04273e-48	1.66023e-50	8.55494e-53	2.5892e-54	9.99491e-57	1.70103e-58	1.05855e-60	3.81568e-62	1.32601e-64	1.59587e-66	5.99382e-69	1.42485e-70	3.8333e-73	5.04281e-75	2.95278e-77	9.91842e-79	2.54705e-80	
N3	0.279926	0.293736	0.213892	0.125915	0.0566492	0.0215762	0.00631665	0.00161385	0.000310861	5.60215e-05	7.44924e-06	1.05549e-06	1.02997e-07	1.21435e-08	9.0632e-10	9.05651e-11	5.08117e-12	4.00425e-13	1.73475e-14	1.15615e-15	3.82495e-17	2.00084e-18	5.44334e-20	2.63845e-21	5.67311e-23	2.12706e-24	3.99259e-26	1.49362e-27	2.24021e-29	6.29033e-31	8.64329e-33	2.56777e-34	2.78464e-36	5.87563e-38	5.89985e-40	1.35887e-41	1.08652e-43	1.80173e-45	1.40982e-47	2.71581e-49	1.67048e-51	2.17371e-53	1.29634e-55	1.99268e-57	9.55086e-60	1.05133e-61	5.35893e-64	7.49331e-66	2.95293e-68	2.61204e-70	1.03363e-72	1.14474e-74	3.7032e-77	3.09575e-79	1.71442e-81	2.89275e-83	5.78477e-85	
N4	0.271987	0.290681	0.216724	0.130558	0.0593911	0.0224682	0.0063529	0.00152331	0.000267065	4.22076e-05	4.80659e-06	5.53371e-07	4.37257e-08	3.92741e-09	2.28796e-10	1.67778e-11	7.23464e-13	4.1205e-14	1.35627e-15	6.38673e-17	1.59549e-18	5.87816e-20	1.19153e-21	3.95017e-23	6.33078e-25	1.65176e-26	2.2859e-28	5.75813e-30	6.44529e-32	1.25968e-33	1.27933e-35	2.53911e-37	2.07345e-39	3.05566e-41	2.28806e-43	3.50764e-45	2.12602e-47	2.45059e-49	1.423e-51	1.8006e-53	8.39204e-56	7.61788e-58	3.391e-60	3.43957e-62	1.2511e-64	9.51649e-67	3.55623e-69	3.23114e-71	9.62944e-74	5.97326e-76	1.7668e-78	1.29912e-80	3.23005e-83	1.90591e-85	8.1286e-88	9.31817e-90	1.28503e-91	
N5	0.210454	0.262416	0.235631	0.166416	0.0829325	0.0318936	0.00827809	0.00171362	0.000233688	2.85723e-05	2.25441e-06	1.9428e-07	9.85571e-09	6.46623e-10	2.28915e-11	1.19991e-12	2.96316e-14	1.13367e-15	2.07578e-17	6.65641e-19	8.89003e-21	2.1054e-22	2.29583e-24	5.30287e-26	4.39347e-28	7.25011e-30	5.31632e-32	9.51463e-34	5.37726e-36	6.57141e-38	3.51746e-40	5.01155e-42	2.02495e-44	1.82013e-46	6.97796e-49	7.51654e-51	2.21716e-53	1.56319e-55	4.71424e-58	4.30501e-60	9.68953e-63	5.25121e-65	1.17039e-67	8.32972e-70	1.44154e-72	6.7558e-75	1.33776e-77	9.10439e-80	1.29406e-82	4.73152e-85	6.90502e-88	3.58018e-90	4.09591e-93	1.45582e-95	3.02109e-98	2.34492e-100	1.78732e-102	
N6	0.0987798	0.17959	0.243218	0.241266	0.15212	0.0650804	0.0165305	0.00304227	0.000337985	3.29639e-05	1.95693e-06	1.32501e-07	4.92809e-09	2.47538e-10	6.26407e-12	2.4381e-13	4.19624e-15	1.16467e-16	1.4828e-18	3.57247e-20	3.32979e-22	5.90269e-24	4.63921e-26	8.56024e-28	5.14233e-30	6.50581e-32	3.53841e-34	5.04325e-36	2.09581e-38	1.96024e-40	7.81478e-43	8.82694e-45	2.62659e-47	1.80747e-49	5.12632e-52	4.40319e-54	9.55317e-57	5.28523e-59	1.21321e-61	9.27685e-64	1.56453e-66	6.71789e-69	1.13891e-71	6.81339e-74	8.91332e-77	3.46105e-79	5.56012e-82	3.33865e-84	3.71582e-87	1.10891e-89	1.28446e-92	5.67027e-95	5.09831e-98	1.51037e-100	2.51224e-103	1.64359e-105	9.90672e-108	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.000885469	0.0111285	0.0743228	0.315906	0.471116	0.117131	0.0091483	0.000354942	7.1542e-06	1.01059e-07	8.78943e-10	6.63161e-12	3.21717e-14	1.57021e-16	4.9143e-19	1.72897e-21	3.69629e-24	9.47895e-27	1.4728e-29	2.98824e-32	3.4549e-35	5.43794e-38	5.02618e-41	6.88196e-44	5.04075e-47	5.47952e-50	3.4162e-53	3.41352e-56	1.73031e-59	1.37536e-62	6.18313e-66	4.73315e-69	1.73664e-72	1.03767e-75	3.43199e-79	2.03441e-82	5.54898e-86	2.60504e-89	6.68285e-93	3.27985e-96	6.95367e-100	2.61672e-103	5.25728e-107	2.09929e-110	3.53867e-114	1.11698e-117	1.88533e-121	6.63267e-125	9.28444e-129	2.42664e-132	3.33653e-136	9.62948e-140	1.15939e-143	2.90609e-147	5.86045e-151	2.64538e-154	1.24084e-157	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_squarrosa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_ovata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
