NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
N1	0.263183	0.333269	0.257213	0.111746	0.0291763	0.0048437	0.000529363	3.85477e-05	1.86859e-06	5.99359e-08	1.26169e-09	1.71398e-11	1.4809e-13	6.25931e-18	3.67059e-19	1.71341e-20	6.38876e-22	1.91276e-23	4.63343e-25	9.17321e-27	1.5017e-28	2.05727e-30	2.38484e-32	2.3615e-34	2.01271e-36	1.48541e-38	9.53911e-41	5.3532e-43	2.63568e-45	1.14301e-47	4.3833e-50	1.49237e-52	4.52902e-55	1.22999e-57	3.00083e-60	6.60168e-63	1.31433e-65	2.37627e-68	3.91432e-71	5.8932e-74	8.13338e-77	1.03191e-79	1.20679e-82	1.30418e-85	1.30558e-88	1.21345e-91	1.04938e-94	8.46107e-98	6.37304e-101	4.49265e-104	2.96932e-107	1.84306e-110	1.07608e-113	5.91885e-117	3.0715e-120	1.50661e-123	7.74031e-127	
N2	0.257977	0.326579	0.246379	0.120681	0.0376598	0.00914211	0.00136315	0.000198002	1.94541e-05	2.18334e-06	1.29742e-07	1.5684e-08	5.46855e-10	4.2965e-11	1.26399e-12	7.4249e-14	1.26565e-15	7.05152e-17	8.34919e-19	3.99933e-20	4.61169e-22	1.04587e-23	8.89637e-26	4.21474e-27	1.99204e-29	3.24165e-31	2.16853e-33	4.61764e-35	1.50438e-37	2.4411e-39	7.2858e-42	1.48503e-43	3.77614e-46	2.64859e-48	6.60909e-51	1.49444e-52	2.07226e-55	1.21052e-57	3.06054e-60	3.74495e-62	4.45165e-65	3.26408e-67	3.38807e-70	2.82821e-72	3.59829e-75	1.20744e-77	1.84619e-80	2.78244e-82	1.77496e-85	4.96739e-88	4.77694e-91	2.64019e-93	1.56329e-96	9.60675e-99	7.4668e-102	7.14258e-104	5.2227e-106	
N3	0.302646	0.333626	0.220511	0.101559	0.0322244	0.00795773	0.00128695	0.000170626	1.63007e-05	1.32026e-06	7.3527e-08	4.90148e-09	1.71083e-10	7.90598e-12	2.15355e-13	7.20724e-15	1.25587e-16	3.80721e-18	4.57634e-20	1.02635e-21	1.10843e-23	1.69633e-25	1.33786e-27	2.50281e-29	1.36299e-31	1.53038e-33	9.28461e-36	9.63195e-38	3.74501e-40	3.67329e-42	1.19077e-44	1.08446e-46	3.34381e-49	1.80169e-51	4.71535e-54	4.29208e-56	7.78093e-59	3.47777e-61	7.97659e-64	4.26742e-66	6.5791e-69	3.04499e-71	4.00879e-74	1.80508e-76	2.62381e-79	6.90296e-82	9.21633e-85	5.13097e-87	4.49375e-90	1.04301e-92	1.16326e-95	3.3113e-98	2.60099e-101	8.24008e-104	7.57928e-107	3.60943e-109	2.36166e-111	
N4	0.261872	0.320385	0.239817	0.123488	0.0419972	0.0105908	0.0016363	0.00019661	1.6065e-05	1.05998e-06	4.66708e-08	2.32443e-09	6.15546e-11	2.03153e-12	4.08087e-14	9.54982e-16	1.22328e-17	2.53517e-19	2.2422e-21	3.42333e-23	2.69297e-25	2.86694e-27	1.6604e-29	2.06927e-31	8.46162e-34	6.63466e-36	2.94038e-38	2.07499e-40	6.12325e-43	4.145e-45	1.01794e-47	6.22359e-50	1.4623e-52	5.64664e-55	1.11964e-57	6.73251e-60	9.54388e-63	3.07481e-65	5.33596e-68	1.93488e-70	2.33858e-73	7.65115e-76	7.91754e-79	2.45276e-81	2.78349e-84	5.37402e-87	5.49666e-90	2.02258e-92	1.42617e-95	2.45581e-98	2.14825e-101	4.27153e-104	2.70664e-107	5.99095e-110	4.51807e-113	1.54802e-115	7.53467e-118	
N5	0.157337	0.270217	0.285867	0.191206	0.0740788	0.018633	0.00241994	0.000227293	1.28319e-05	5.88112e-07	1.57849e-08	5.58046e-10	8.22006e-12	1.82288e-13	2.00811e-15	3.09145e-17	2.03851e-19	2.79628e-21	1.24015e-23	1.27221e-25	5.16907e-28	3.31397e-30	9.84523e-33	9.03849e-35	1.75419e-37	8.31961e-40	1.95786e-42	9.45228e-45	1.3198e-47	5.73881e-50	6.89e-53	3.06441e-55	3.41325e-58	7.71988e-61	7.63226e-64	3.53947e-66	2.28534e-69	4.31785e-72	3.8951e-75	1.03484e-77	5.78829e-81	1.22138e-83	5.90026e-87	1.27038e-89	7.01406e-93	7.89168e-96	4.30594e-99	1.30777e-101	4.13123e-105	4.05627e-108	1.73488e-111	2.38782e-114	6.85586e-118	1.06077e-120	3.60338e-124	8.14782e-127	2.07101e-129	
N6	0.0484075	0.148241	0.278	0.303952	0.167689	0.0474814	0.00575574	0.000453628	2.01529e-05	7.26716e-07	1.47391e-08	4.11889e-10	4.48624e-12	7.67199e-14	6.23903e-16	7.44649e-18	3.62922e-20	3.94475e-22	1.31454e-24	1.10124e-26	3.45077e-29	1.76121e-31	4.08882e-34	3.18448e-36	4.79172e-39	1.84392e-41	3.4134e-44	1.39309e-46	1.52241e-49	5.53741e-52	5.30555e-55	2.03304e-57	1.80852e-60	3.40139e-63	2.74799e-66	1.13736e-68	5.92516e-72	9.49203e-75	7.28274e-78	1.7249e-80	7.94221e-84	1.46755e-86	5.87179e-90	1.12519e-92	5.21825e-96	5.13547e-99	2.43724e-102	6.89787e-105	1.83084e-108	1.5729e-111	5.67419e-115	7.16432e-118	1.72655e-121	2.40043e-124	6.96111e-128	1.44933e-130	3.18251e-133	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.000145614	0.00384886	0.042431	0.270866	0.616517	0.064528	0.00164316	1.99104e-05	1.26015e-07	5.31868e-10	1.37827e-12	3.48973e-15	4.82793e-18	7.34279e-21	7.12991e-24	7.30898e-27	4.46625e-30	3.90251e-33	1.63933e-36	1.03904e-39	3.79185e-43	1.72043e-46	4.61776e-50	2.24759e-53	4.36915e-57	1.4344e-60	2.86083e-64	8.08179e-68	1.12462e-71	3.07937e-75	3.53895e-79	8.37451e-83	9.25822e-87	1.50954e-90	1.38755e-94	3.11138e-98	2.12952e-102	2.88833e-106	2.28916e-110	3.18372e-114	1.83892e-118	2.41075e-122	1.18629e-126	1.4183e-130	7.47709e-135	6.07751e-139	2.79291e-143	3.62892e-147	1.23155e-151	8.89889e-156	3.55505e-160	2.71206e-164	8.16821e-169	6.85582e-173	2.5235e-177	3.41759e-181	5.92917e-185	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_squarrosa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_ovata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0324872	0.100588	0.200733	0.25951	0.216681	0.129936	0.0462215	0.0116147	0.00195767	0.000249427	2.02227e-05	1.52374e-06	6.84567e-08	3.4347e-09	1.22225e-10	4.37122e-12	9.65914e-14	2.69316e-15	3.85104e-17	7.53661e-19	9.47183e-21	1.46077e-22	1.48176e-24	2.45688e-26	1.84521e-28	2.0661e-30	1.43693e-32	1.24415e-34	5.72653e-37	4.45586e-39	1.58969e-41	1.00865e-43	3.46112e-46	1.6685e-48	5.10123e-51	3.38688e-53	8.58795e-56	3.93195e-58	1.11728e-60	4.88024e-63	1.00929e-65	4.05513e-68	6.79426e-71	2.31253e-73	3.88699e-76	9.11115e-79	1.25457e-81	4.01066e-84	4.10755e-87	7.92291e-90	8.96907e-93	1.68104e-95	1.44882e-98	2.94701e-101	3.17397e-104	1.06042e-106	5.15146e-109	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
