NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
N1	0.27118	0.327843	0.250483	0.112589	0.0314253	0.00571627	0.000700478	5.86948e-05	3.35924e-06	1.30335e-07	3.39185e-09	5.81247e-11	6.43802e-13	1.49704e-17	1.00547e-18	5.417e-20	2.35761e-21	8.35618e-23	2.43186e-24	5.85844e-26	1.17736e-27	1.98813e-29	2.8394e-31	3.45005e-33	3.58611e-35	3.20551e-37	2.47666e-39	1.66241e-41	9.74294e-44	5.01049e-46	2.27205e-48	9.12747e-51	3.26329e-53	1.04286e-55	2.99137e-58	7.73225e-61	1.80784e-63	3.83689e-66	7.41684e-69	1.30997e-71	2.12035e-74	3.15424e-77	4.324e-80	5.47628e-83	6.42301e-86	6.99255e-89	7.08135e-92	6.68451e-95	5.89311e-98	4.86121e-101	3.75869e-104	2.72865e-107	1.86284e-110	1.19779e-113	7.26443e-117	4.16354e-120	2.50946e-123	
N2	0.2612	0.321778	0.240975	0.123127	0.0404601	0.0104595	0.00169966	0.000271141	2.69531e-05	3.51642e-06	2.21695e-07	2.98981e-08	1.17662e-09	1.07858e-10	3.32978e-12	2.50577e-13	4.7655e-15	2.79025e-16	3.98096e-18	2.46411e-19	2.89684e-21	8.31526e-23	7.97829e-25	4.52988e-26	2.54655e-28	4.85338e-30	3.11224e-32	9.44786e-34	3.43234e-36	5.54861e-38	1.96691e-40	5.12466e-42	1.31633e-44	1.10838e-46	2.84217e-49	6.53682e-51	1.03523e-53	7.29288e-56	1.93318e-58	3.30162e-60	4.24178e-63	2.96276e-65	3.65412e-68	3.92447e-70	4.55694e-73	2.14262e-75	3.99119e-78	7.12497e-80	5.55417e-83	1.88133e-85	1.89882e-88	1.46764e-90	9.56329e-94	5.37289e-96	6.22773e-99	8.36064e-101	6.61379e-103	
N3	0.303376	0.328398	0.217499	0.104727	0.0349568	0.00916931	0.00161175	0.000235397	2.38896e-05	2.20251e-06	1.34727e-07	1.00016e-08	3.95695e-10	2.13686e-11	6.27686e-13	2.58141e-14	5.0178e-16	1.67481e-17	2.33281e-19	6.28316e-21	7.16677e-23	1.33981e-24	1.18158e-26	2.54654e-28	1.61943e-30	2.14799e-32	1.34973e-34	1.843e-36	8.07141e-39	8.65928e-41	3.32536e-43	3.80267e-45	1.24194e-47	8.28645e-50	2.40767e-52	2.40553e-54	5.09953e-57	2.74772e-59	6.73143e-62	4.76201e-64	8.13487e-67	4.00823e-69	6.27926e-72	3.51753e-74	5.10632e-77	1.72572e-79	2.64979e-82	1.70792e-84	1.75689e-87	4.83726e-90	5.70774e-93	2.12506e-95	1.82309e-98	5.82593e-101	7.03046e-104	4.32143e-106	3.09475e-108	
N4	0.265092	0.315598	0.234547	0.125636	0.0448185	0.0119954	0.00201931	0.000268431	2.34802e-05	1.77425e-06	8.65453e-08	4.82588e-09	1.45757e-10	5.63924e-12	1.23362e-13	3.54693e-15	5.10754e-17	1.17452e-18	1.20775e-20	2.21342e-22	1.85594e-24	2.41312e-26	1.56892e-28	2.255e-30	1.07797e-32	1.00145e-34	4.65713e-37	4.27109e-39	1.42564e-41	1.06531e-43	3.09827e-46	2.35614e-48	5.90717e-51	2.81748e-53	6.23022e-56	4.11876e-58	6.81538e-61	2.63704e-63	4.89808e-66	2.32056e-68	3.10999e-71	1.09448e-73	1.34123e-76	5.13363e-79	5.87484e-82	1.44262e-84	1.69025e-87	7.19211e-90	5.93535e-93	1.21165e-95	1.12878e-98	2.90342e-101	2.01975e-104	4.58939e-107	4.49011e-110	1.94578e-112	1.03553e-114	
N5	0.164451	0.268577	0.276336	0.190109	0.0767882	0.0204884	0.00292249	0.000307468	1.86232e-05	1.00238e-06	3.00318e-08	1.20963e-09	2.06098e-11	5.44952e-13	6.52484e-15	1.26595e-16	9.4014e-19	1.40971e-20	7.36328e-23	9.26192e-25	3.94005e-27	3.13201e-29	1.04434e-31	1.12039e-33	2.56479e-36	1.44356e-38	3.46186e-41	2.27766e-43	3.6004e-46	1.68594e-48	2.42819e-51	1.3772e-53	1.62026e-56	4.54751e-59	4.94785e-62	2.47804e-64	1.88102e-67	4.31444e-70	4.14245e-73	1.49114e-75	9.19745e-79	2.00463e-81	1.15552e-84	3.1369e-87	1.68162e-90	2.48123e-93	1.57042e-96	5.53971e-99	2.06297e-102	2.39532e-105	1.06935e-108	1.94848e-111	6.04069e-115	9.07025e-118	4.14967e-121	1.24072e-123	3.41179e-126	
N6	0.053177	0.151784	0.270694	0.298372	0.168331	0.0503058	0.00671259	0.000594936	2.82627e-05	1.20491e-06	2.72406e-08	8.71174e-10	1.09669e-11	2.22336e-13	1.94592e-15	2.90572e-17	1.57435e-19	1.83693e-21	7.14142e-24	7.36671e-26	2.38926e-28	1.5089e-30	3.91709e-33	3.56311e-35	6.30527e-38	2.85372e-40	5.31191e-43	2.93823e-45	3.60327e-48	1.38621e-50	1.57836e-53	7.66496e-56	7.10335e-59	1.64085e-61	1.43068e-64	6.30442e-67	3.80713e-70	7.38418e-73	6.01229e-76	1.94558e-78	9.81558e-82	1.84901e-84	8.78035e-88	2.11377e-90	9.39258e-94	1.21556e-96	6.71109e-100	2.19543e-102	6.85858e-106	6.91633e-109	2.5876e-112	4.28522e-115	1.10756e-118	1.45814e-121	5.67116e-125	1.55249e-127	3.62486e-130	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.000177551	0.00431614	0.0428873	0.281134	0.599673	0.06975	0.00203309	2.84337e-05	2.00451e-07	9.93619e-10	2.92762e-12	8.45062e-15	1.35207e-17	2.42294e-20	2.5921e-23	3.2401e-26	2.23289e-29	2.18094e-32	1.06095e-35	8.02378e-39	3.15169e-42	1.73594e-45	5.24587e-49	2.9303e-52	6.63138e-56	2.56493e-59	5.42358e-63	1.93352e-66	3.02773e-70	9.17466e-74	1.23146e-77	3.55235e-81	4.18554e-85	8.33467e-89	8.51956e-93	2.10878e-96	1.66568e-100	2.68458e-104	2.27825e-108	4.0461e-112	2.59051e-116	3.70827e-120	2.14507e-124	3.11963e-128	1.68712e-132	1.70998e-136	8.94078e-141	1.33017e-144	5.24635e-149	4.46946e-153	1.9114e-157	1.84564e-161	6.13068e-166	5.38881e-170	2.50449e-174	4.13294e-178	7.75925e-182	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
