NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
N1	0.00251434	0.00276695	0.00330972	0.00421801	0.00560346	0.00760922	0.0103989	0.0141365	0.0189559	0.0249206	0.0319788	0.0399233	0.048368	0.0567542	0.0643952	0.0705595	0.0745814	0.0759762	0.074534	0.0703669	0.0638953	0.0557747	0.0467827	0.0376922	0.0291605	0.0216567	0.0154363	0.0105573	0.00692701	0.00435971	0.00263168	0.00152345	0.000845675	0.000450123	0.000229715	0.0001124	5.27287e-05	2.37156e-05	1.02265e-05	4.22806e-06	1.67605e-06	6.37075e-07	2.3221e-07	8.11707e-08	2.72148e-08	8.75358e-09	2.70195e-09	8.00794e-10	2.28116e-10	6.25814e-11	1.66014e-11	4.29441e-12	1.10247e-12	2.76768e-16	1.49715e-16	9.09812e-17	6.81743e-17	
N2	0.00901153	0.00967448	0.0110032	0.0130283	0.0157825	0.0192865	0.0235314	0.0284606	0.0339528	0.0398112	0.0457621	0.0514662	0.0565437	0.0606112	0.0633267	0.0644351	0.0638045	0.0614492	0.0575303	0.0523367	0.0462472	0.0396823	0.033054	0.0267218	0.0209622	0.0159538	0.0117784	0.00843431	0.00585746	0.00394485	0.00257621	0.00163133	0.00100159	0.000596229	0.000344117	0.000192558	0.000104468	5.4951e-05	2.80251e-05	1.38585e-05	6.6451e-06	3.08985e-06	1.39338e-06	6.09477e-07	2.58641e-07	1.06519e-07	4.25951e-08	1.65509e-08	6.25663e-09	2.30555e-09	8.3093e-10	2.94597e-10	1.03843e-10	3.71529e-11	1.40838e-11	6.19445e-12	3.74383e-12	
N3	0.0343828	0.0351948	0.0367205	0.0388826	0.0415611	0.0445923	0.0477716	0.0508624	0.05361	0.0557622	0.0570924	0.0574238	0.05665	0.0547479	0.0517817	0.047896	0.0432988	0.0382389	0.032978	0.0277656	0.0228167	0.0182969	0.014316	0.0109277	0.00813694	0.00590999	0.00418677	0.0028928	0.00194935	0.00128109	0.000821077	0.00051321	0.000312831	0.000185963	0.000107807	6.09503e-05	3.36058e-05	1.80704e-05	9.47648e-06	4.84684e-06	2.41778e-06	1.17635e-06	5.58267e-07	2.58445e-07	1.16727e-07	5.14437e-08	2.21311e-08	9.29916e-09	3.82047e-09	1.53771e-09	6.08583e-10	2.38502e-10	9.38111e-11	3.80106e-11	1.66602e-11	8.5964e-12	5.87829e-12	
N4	0.0875551	0.0870155	0.0857485	0.0837061	0.0808393	0.07712	0.0725597	0.0672237	0.0612359	0.0547726	0.0480493	0.0412988	0.0347494	0.0286027	0.0230178	0.0181011	0.0139046	0.0104301	0.00763782	0.00545898	0.00380744	0.00259101	0.00172014	0.00111397	0.00070365	0.000433494	0.00026045	0.000152602	8.71904e-05	4.85776e-05	2.63906e-05	1.39797e-05	7.2206e-06	3.63639e-06	1.7856e-06	8.549e-07	3.9908e-07	1.81644e-07	8.0612e-08	3.48821e-08	1.47175e-08	6.0549e-09	2.42904e-09	9.50247e-10	3.62535e-10	1.34907e-10	4.89772e-11	1.7355e-11	6.00745e-12	2.03466e-12	6.76359e-13	2.22014e-13	7.28232e-14	2.44402e-14	8.79937e-15	3.73649e-15	2.21865e-15	
N5	0.120481	0.118001	0.112983	0.105736	0.0966954	0.0863808	0.0753501	0.0641528	0.0532854	0.0431571	0.0340673	0.0261974	0.0196162	0.0142962	0.0101367	0.00699001	0.00468612	0.00305327	0.00193289	0.00118856	0.000709761	0.000411512	0.000231606	0.000126516	6.70655e-05	3.44951e-05	1.72136e-05	8.33292e-06	3.9129e-06	1.78215e-06	7.87239e-07	3.37262e-07	1.40123e-07	5.64575e-08	2.20595e-08	8.35843e-09	3.07122e-09	1.09435e-09	3.78149e-10	1.2672e-10	4.11821e-11	1.29799e-11	3.96778e-12	1.17641e-12	3.38321e-13	9.43815e-14	2.55432e-14	6.70743e-15	1.70942e-15	4.23052e-16	1.01797e-16	2.38873e-17	5.50712e-18	1.27149e-18	3.09014e-19	8.97118e-20	4.08656e-20	
N6	0.138132	0.134302	0.126719	0.116007	0.103008	0.0886776	0.0739778	0.0597705	0.0467421	0.0353585	0.0258564	0.0182667	0.0124597	0.00820096	0.00520594	0.00318565	0.00187832	0.0010667	0.000583258	0.000306972	0.000155468	7.57523e-05	3.55047e-05	1.60049e-05	6.93825e-06	2.89232e-06	1.15938e-06	4.46866e-07	1.65618e-07	5.90238e-08	2.02283e-08	6.66707e-09	2.11343e-09	6.44412e-10	1.89021e-10	5.33434e-11	1.44855e-11	3.78561e-12	9.52247e-13	2.30594e-13	5.37653e-14	1.20723e-14	2.61089e-15	5.43976e-16	1.09206e-16	2.11286e-17	3.94041e-18	7.08522e-19	1.2286e-19	2.05516e-20	3.31817e-21	5.17737e-22	7.83451e-23	1.16285e-23	1.75973e-24	3.10297e-25	9.48744e-26	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.140783	0.14141	0.140539	0.135296	0.123367	0.104525	0.0811324	0.0571464	0.0363153	0.0207561	0.0106563	0.00491438	0.00203743	0.000760403	0.000255923	7.78287e-05	2.14319e-05	5.35591e-06	1.21743e-06	2.52276e-07	4.77654e-08	8.28175e-09	1.3178e-09	1.92851e-10	2.60099e-11	3.23944e-12	3.73299e-13	3.98763e-14	3.95574e-15	3.65047e-16	3.1391e-17	2.51939e-18	1.89013e-19	1.3275e-20	8.74081e-22	5.40298e-23	3.13945e-24	1.71697e-25	8.84892e-27	4.30274e-28	1.97613e-29	8.58176e-31	3.5276e-32	1.37393e-33	5.07521e-35	1.77978e-36	5.93072e-38	1.87974e-39	5.67274e-41	1.63207e-42	4.48433e-44	1.18011e-45	2.99016e-47	7.36896e-49	1.80073e-50	4.54876e-52	1.65456e-53	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
