NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.163291	0.160928	0.153827	0.139709	0.118617	0.0932314	0.0675261	0.0450069	0.0276063	0.0155845	0.00809226	0.00385912	0.0016866	0.000673829	0.000245427	8.14998e-05	2.46355e-05	6.76994e-06	1.68961e-06	3.82643e-07	7.85755e-08	1.46209e-08	2.46363e-09	3.7569e-10	5.18188e-11	6.46124e-12	7.27957e-13	8.81213e-17	2.67106e-17	7.69218e-18	2.10447e-18	5.46952e-19	1.35045e-19	3.16786e-20	7.06098e-21	1.49585e-21	3.01371e-22	5.77254e-23	1.0515e-23	1.82206e-24	3.0046e-25	4.71676e-26	7.05191e-27	1.00452e-27	1.36391e-28	1.76598e-29	2.18148e-30	2.57206e-31	2.89584e-32	3.11483e-33	3.20225e-34	3.148e-35	2.96053e-36	2.66473e-37	2.29655e-38	1.89595e-39	1.5e-40	1.13777e-41	8.2775e-43	5.7783e-44	3.872e-45	2.4916e-46	1.54027e-47	9.15093e-49	5.22695e-50	2.8716e-51	1.51821e-52	7.73943e-54	3.89189e-55	2.77916e-56	
N2	0.164732	0.16702	0.155851	0.137868	0.112974	0.0881779	0.063791	0.0440787	0.0281483	0.0172518	0.00973305	0.00532596	0.00266537	0.00132004	0.000592503	0.000273255	0.000112564	5.02128e-05	1.95141e-05	8.68605e-06	3.21876e-06	1.4176e-06	4.9811e-07	2.12517e-07	6.92603e-08	2.77594e-08	8.36311e-09	3.15729e-09	8.71946e-10	3.07924e-10	8.08558e-11	2.81856e-11	7.50601e-12	2.70024e-12	7.45795e-13	2.39465e-13	6.06843e-14	1.72162e-14	4.04041e-15	1.04624e-15	2.20715e-16	5.10491e-17	9.8312e-18	2.11768e-18	3.62984e-19	7.14826e-20	1.13441e-20	2.20221e-21	3.15836e-22	5.80729e-23	8.0258e-24	1.52121e-24	1.92402e-25	3.40458e-26	4.21549e-27	7.5814e-28	8.4323e-29	1.36114e-29	1.47845e-30	2.41666e-31	2.36693e-32	3.51161e-33	3.51883e-34	5.60365e-35	5.9531e-36	1.03319e-36	1.63962e-37	3.56389e-38	7.75931e-39	2.82599e-39	
N3	0.179944	0.179529	0.162756	0.13865	0.108938	0.0814592	0.0566613	0.0378272	0.0235629	0.0141758	0.00795676	0.00434094	0.0022029	0.00109556	0.00050456	0.000230864	9.73447e-05	4.14793e-05	1.61657e-05	6.49931e-06	2.35866e-06	9.00989e-07	3.06222e-07	1.11521e-07	3.54154e-08	1.22135e-08	3.62169e-09	1.18076e-09	3.25597e-10	9.98175e-11	2.58394e-11	7.53862e-12	1.85587e-12	5.20285e-13	1.2253e-13	3.18633e-14	6.95258e-15	1.65715e-15	3.34897e-16	7.36528e-17	1.36432e-17	2.74784e-18	4.70034e-19	8.80488e-20	1.38005e-20	2.39024e-21	3.48252e-22	5.70577e-23	7.66891e-24	1.17669e-24	1.48914e-25	2.19696e-26	2.58525e-27	3.59156e-28	4.01788e-29	5.39541e-30	5.61657e-31	7.06902e-32	7.03506e-33	8.59031e-34	8.04936e-35	9.36395e-36	8.84303e-37	1.06467e-37	1.09678e-38	1.44529e-39	1.83584e-40	2.71615e-41	4.10546e-42	1.01117e-42	
N4	0.195545	0.192716	0.170709	0.140731	0.106076	0.0755035	0.0496237	0.0310918	0.0180538	0.0100609	0.00519752	0.00259333	0.00119632	0.000537046	0.000221962	9.03229e-05	3.36842e-05	1.2539e-05	4.24877e-06	1.46082e-06	4.52143e-07	1.4437e-07	4.10348e-08	1.22233e-08	3.19013e-09	8.8372e-10	2.12164e-10	5.47059e-11	1.20624e-11	2.88573e-12	5.89715e-13	1.32255e-13	2.53156e-14	5.36203e-15	9.64701e-16	1.87319e-16	3.08427e-17	5.43678e-18	8.19024e-19	1.31853e-19	1.80435e-20	2.6415e-21	3.30969e-22	4.4701e-23	5.10756e-24	6.34701e-25	6.70216e-26	7.81281e-27	7.5895e-28	8.24339e-29	7.49349e-30	7.74674e-31	6.53243e-32	6.33328e-33	5.04542e-34	4.68595e-35	3.47445e-36	3.02474e-37	2.1361e-38	1.79413e-39	1.19973e-40	9.65866e-42	6.52684e-43	5.42783e-44	3.99698e-45	3.60345e-46	3.14492e-47	3.09668e-48	3.08057e-49	4.73139e-50	
N5	0.203544	0.199659	0.175119	0.142165	0.104786	0.072438	0.0457951	0.0273665	0.0149528	0.00776143	0.00366822	0.00165753	0.000677282	0.000267405	9.47098e-05	3.30092e-05	1.02219e-05	3.18764e-06	8.72139e-07	2.46937e-07	6.01189e-08	1.55418e-08	3.38963e-09	8.03243e-10	1.56567e-10	3.37268e-11	5.89551e-12	1.15778e-12	1.81203e-13	3.23254e-14	4.62811e-15	7.69521e-16	1.03715e-16	1.63865e-17	2.08818e-18	2.91407e-19	3.30167e-20	4.02484e-21	4.06864e-22	4.41277e-23	3.942e-24	3.79056e-25	3.04065e-26	2.66758e-27	1.90942e-28	1.52086e-29	9.95392e-31	7.4684e-32	4.42364e-33	3.07336e-34	1.69995e-35	1.13851e-36	5.76021e-38	3.587e-39	1.71816e-40	1.03682e-41	4.54257e-43	2.52585e-44	1.05546e-45	5.70704e-47	2.20836e-48	1.11763e-49	4.34859e-51	2.27809e-52	9.59544e-54	5.46971e-55	2.94289e-56	1.8944e-57	1.18114e-58	1.09256e-59	
N6	0.18477	0.186068	0.170609	0.146043	0.113391	0.0819029	0.0532491	0.0320861	0.0172177	0.00855722	0.00375317	0.00153655	0.000550933	0.000187643	5.55766e-05	1.60908e-05	4.01054e-06	1.01096e-06	2.16205e-07	4.84417e-08	8.98042e-09	1.79405e-09	2.90422e-10	5.18459e-11	7.30284e-12	1.15381e-12	1.42548e-13	2.01436e-14	2.19021e-15	2.77575e-16	2.75911e-17	3.27685e-18	3.12462e-19	3.57125e-20	3.24839e-21	3.18227e-22	2.5197e-23	2.10208e-24	1.45899e-25	1.06516e-26	6.42603e-28	4.10487e-29	2.19864e-30	1.27582e-31	6.04088e-33	3.1772e-34	1.37308e-35	6.86951e-37	2.68172e-38	1.24887e-39	4.57948e-41	2.0838e-42	6.9835e-44	2.9541e-45	9.42653e-47	3.8978e-48	1.13281e-49	4.29496e-51	1.19806e-52	4.46522e-54	1.1549e-55	4.03962e-57	1.07e-58	3.94369e-60	1.14944e-61	4.62415e-63	1.74015e-64	7.84274e-66	3.36953e-67	2.04827e-68	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.0549384	0.0904899	0.151157	0.208045	0.211377	0.157417	0.0829845	0.0321844	0.00907182	0.00196524	0.000322558	4.26784e-05	4.43439e-06	3.87789e-07	2.73707e-08	1.69146e-09	8.60429e-11	3.97009e-12	1.52709e-13	5.50165e-15	1.65943e-16	4.81796e-18	1.17298e-19	2.81373e-21	5.63475e-23	1.13312e-24	1.90129e-26	3.26032e-28	4.64735e-30	6.87587e-32	8.51426e-34	1.11117e-35	1.22037e-37	1.427e-39	1.4035e-41	1.43777e-43	1.24071e-45	1.10827e-47	8.42366e-50	6.62428e-52	4.42376e-54	3.06502e-56	1.81823e-58	1.12913e-60	5.95746e-63	3.32574e-65	1.58577e-67	8.12745e-70	3.50457e-72	1.64666e-74	6.53684e-77	2.87437e-79	1.0459e-81	4.26163e-84	1.44616e-86	5.56708e-89	1.74529e-91	6.25559e-94	1.85513e-96	6.3715e-99	1.79693e-101	5.94547e-104	1.70567e-106	5.81999e-109	1.80911e-111	6.55724e-114	2.29785e-116	8.71837e-119	3.19572e-121	1.31808e-123	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_squarrosa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_ovata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0931496	0.101702	0.107929	0.112321	0.110424	0.104472	0.0923796	0.0783892	0.0620542	0.0472702	0.0335383	0.0229324	0.0145151	0.00885374	0.0049589	0.00268508	0.00132588	0.000635938	0.000276182	0.000117411	4.48397e-05	1.69264e-05	5.70603e-06	1.92268e-06	5.74412e-07	1.73459e-07	4.62819e-08	1.26283e-08	3.03089e-09	7.52374e-10	1.64696e-10	3.77531e-11	7.6542e-12	1.64484e-12	3.13503e-13	6.31759e-14	1.13373e-14	2.1559e-15	3.6692e-16	6.61175e-17	1.05831e-17	1.78369e-18	2.65833e-19	4.15483e-20	5.66506e-21	8.08988e-22	1.00525e-22	1.31385e-23	1.47633e-24	1.75479e-25	1.7952e-26	1.95994e-27	1.81903e-28	1.81466e-29	1.54454e-30	1.4258e-31	1.1095e-32	9.42976e-34	6.83326e-35	5.46792e-36	3.74058e-37	2.86259e-38	1.95832e-39	1.51584e-40	1.09405e-41	8.77852e-43	6.8183e-44	5.57814e-45	4.52598e-46	5.48801e-47	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
