NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.00296127	0.00322667	0.00379147	0.00472276	0.00611788	0.00809837	0.0107988	0.0143491	0.018849	0.0243378	0.0307601	0.0379375	0.045552	0.0531512	0.0601794	0.0660375	0.0701623	0.0721131	0.0716476	0.0687681	0.0637277	0.0569917	0.0491642	0.0408954	0.0327902	0.0253354	0.0188587	0.0135206	0.00933446	0.00620463	0.00397015	0.00244513	0.00144926	0.000826603	0.00045364	0.000239528	0.000121675	5.94597e-05	2.79511e-05	1.26391e-05	5.4974e-06	2.29993e-06	9.25514e-07	3.58226e-07	1.33363e-07	4.77554e-08	1.64482e-08	5.4492e-09	1.73649e-09	5.32291e-10	1.56955e-10	4.45208e-11	1.21488e-11	3.18936e-12	8.05552e-13	2.31879e-16	1.12128e-16	5.3188e-17	2.47504e-17	1.12991e-17	5.06095e-18	2.22446e-18	9.59802e-19	4.06902e-19	1.69874e-19	7.02454e-20	2.92039e-20	1.26694e-20	6.24057e-21	4.05801e-21	
N2	0.0105386	0.0111897	0.0124976	0.0144746	0.0171293	0.0204561	0.0244222	0.0289556	0.0339331	0.0391752	0.0444462	0.0494643	0.0539208	0.0575076	0.0599492	0.061036	0.0606514	0.0587892	0.0555574	0.051167	0.0459073	0.0401124	0.034124	0.0282568	0.0227706	0.017854	0.0136188	0.0101047	0.00729194	0.00511738	0.00349223	0.00231726	0.001495	0.000937722	0.000571822	0.000338989	0.000195362	0.00010945	5.96084e-05	3.15586e-05	1.62422e-05	8.12633e-06	3.9525e-06	1.8689e-06	8.59103e-07	3.8394e-07	1.66822e-07	7.04739e-08	2.89473e-08	1.15614e-08	4.49007e-09	1.69574e-09	6.22806e-10	2.22463e-10	7.72867e-11	2.61172e-11	8.58549e-12	2.74584e-12	8.54541e-13	2.58857e-13	7.63569e-14	2.19498e-14	6.15743e-15	1.6898e-15	4.55811e-16	1.21977e-16	3.30103e-17	9.4291e-18	3.14819e-18	1.55008e-18	
N3	0.0370405	0.0376752	0.0389002	0.0406427	0.0427943	0.0452116	0.0477213	0.050128	0.052226	0.0538146	0.0547155	0.0547896	0.0539514	0.0521793	0.0495178	0.0460738	0.0420055	0.0375059	0.0327839	0.0280445	0.0234718	0.019216	0.0153859	0.0120467	0.00922237	0.00690257	0.00505054	0.00361242	0.00252563	0.00172598	0.00115287	0.000752659	0.000480261	0.000299511	0.000182559	0.000108754	6.33192e-05	3.60312e-05	2.0039e-05	1.08926e-05	5.78691e-06	3.00489e-06	1.52504e-06	7.56507e-07	3.66801e-07	1.73836e-07	8.05291e-08	3.6465e-08	1.61406e-08	6.98384e-09	2.954e-09	1.22146e-09	4.9376e-10	1.95132e-10	7.5394e-11	2.8481e-11	1.05197e-11	3.79939e-12	1.34192e-12	4.63573e-13	1.56682e-13	5.18425e-14	1.68123e-14	5.35676e-15	1.6856e-15	5.29728e-16	1.70394e-16	5.91513e-17	2.46483e-17	1.46549e-17	
N4	0.0871422	0.0864137	0.0849254	0.0826614	0.0796118	0.075785	0.0712201	0.0659944	0.0602263	0.0540707	0.0477092	0.0413355	0.0351391	0.0292899	0.0239256	0.0191433	0.0149972	0.0114999	0.00862882	0.00633399	0.00454765	0.00319308	0.00219222	0.0014715	0.000965592	0.000619369	0.000388326	0.000237962	0.000142515	8.34139e-05	4.77115e-05	2.66687e-05	1.45668e-05	7.77503e-06	4.05514e-06	2.06668e-06	1.02919e-06	5.00816e-07	2.3813e-07	1.10638e-07	5.02285e-08	2.2282e-08	9.65877e-09	4.09124e-09	1.6934e-09	6.84925e-10	2.70714e-10	1.04561e-10	3.94669e-11	1.45582e-11	5.24809e-12	1.84896e-12	6.36648e-13	2.14253e-13	7.04735e-14	2.26574e-14	7.12029e-15	2.18732e-15	6.56881e-16	1.92875e-16	5.53832e-17	1.55595e-17	4.28104e-18	1.15594e-18	3.07688e-19	8.15444e-20	2.19974e-20	6.3457e-21	2.18451e-21	1.11898e-21	
N5	0.117621	0.115167	0.11038	0.103541	0.0950415	0.0853461	0.0749547	0.0643605	0.0540123	0.0442856	0.0354624	0.0277236	0.0211519	0.015744	0.0114289	0.00808877	0.00557979	0.00375054	0.00245584	0.00156616	0.000972541	0.000587943	0.000345972	0.000198133	0.000110413	5.98661e-05	3.1578e-05	1.62028e-05	8.08647e-06	3.92517e-06	1.85294e-06	8.5063e-07	3.79732e-07	1.64837e-07	6.95757e-08	2.85547e-08	1.13948e-08	4.42122e-09	1.66794e-09	6.1182e-10	2.18209e-10	7.56723e-11	2.55165e-11	8.36635e-12	2.66743e-12	8.26998e-13	2.49337e-13	7.31067e-14	2.08465e-14	5.7814e-15	1.55948e-15	4.09163e-16	1.04425e-16	2.59258e-17	6.26185e-18	1.47144e-18	3.36422e-19	7.48437e-20	1.62027e-20	3.41363e-21	6.99983e-22	1.39724e-22	2.71579e-23	5.14366e-24	9.51043e-25	1.72556e-25	3.1191e-26	5.8764e-27	1.31765e-27	4.91623e-28	
N6	0.134612	0.130909	0.123767	0.113741	0.101579	0.0881307	0.0742559	0.0607343	0.0481993	0.0370976	0.0276785	0.0200087	0.0140078	0.00949291	0.00622465	0.00394767	0.00242055	0.00143444	0.00082132	0.000454238	0.000242598	0.000125093	6.2265e-05	2.99125e-05	1.38677e-05	6.20385e-06	2.67787e-06	1.11524e-06	4.48111e-07	1.73715e-07	6.49726e-08	2.34463e-08	8.16367e-09	2.74277e-09	8.89236e-10	2.78227e-10	8.40192e-11	2.44904e-11	6.89124e-12	1.87213e-12	4.91091e-13	1.24404e-13	3.04374e-14	7.19361e-15	1.64253e-15	3.62388e-16	7.72666e-17	1.59235e-17	3.17235e-18	6.11071e-19	1.13826e-19	2.05071e-20	3.57399e-21	6.02647e-22	9.83348e-23	1.55297e-23	2.37413e-24	3.51407e-25	5.03682e-26	6.9923e-27	9.4033e-28	1.22524e-28	1.54717e-29	1.89398e-30	2.24933e-31	2.59733e-32	2.93931e-33	3.36352e-34	4.41819e-35	1.04727e-35	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.14401	0.14311	0.139975	0.132673	0.119772	0.101384	0.0794773	0.0571887	0.0375503	0.0224187	0.0121477	0.00597018	0.00266177	0.00107741	0.000396389	0.000132747	4.05317e-05	1.1303e-05	2.88408e-06	6.74605e-07	1.44923e-07	2.86472e-08	5.2203e-09	8.78558e-10	1.36801e-10	1.97429e-11	2.64534e-12	3.29626e-13	3.82587e-14	4.14273e-15	4.19127e-16	3.96774e-17	3.51957e-18	2.92939e-19	2.29074e-20	1.68514e-21	1.16759e-22	7.62861e-24	4.70543e-25	2.743e-26	1.51282e-27	7.90174e-29	3.91257e-30	1.8383e-31	8.20329e-33	3.47983e-34	1.40443e-35	5.39723e-37	1.97661e-38	6.90378e-40	2.3014e-41	7.32741e-43	2.22982e-44	6.48996e-46	1.80782e-47	4.82267e-49	1.23284e-50	3.02187e-52	7.10644e-54	1.60431e-55	3.47891e-57	7.25095e-59	1.45373e-60	2.80674e-62	5.22916e-64	9.43989e-66	1.66623e-67	2.93281e-69	5.38385e-71	1.4219e-72	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_squarrosa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_ovata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.00837835	0.00927776	0.0110769	0.0137734	0.0173487	0.0217525	0.0268877	0.0325966	0.0386553	0.0447756	0.0506188	0.0558206	0.0600242	0.062918	0.0642727	0.0639699	0.0620189	0.0585572	0.0538341	0.0481808	0.0419714	0.0355816	0.0293511	0.0235554	0.0183894	0.0139639	0.0103125	0.00740631	0.00517227	0.00351215	0.00231874	0.00148831	0.000928719	0.000563386	0.000332238	0.000190461	0.000106139	5.74974e-05	3.02785e-05	1.55001e-05	7.71358e-06	3.73172e-06	1.75511e-06	8.02522e-07	3.56765e-07	1.54205e-07	6.48072e-08	2.64838e-08	1.05243e-08	4.06712e-09	1.52858e-09	5.58755e-10	1.98664e-10	6.87091e-11	2.31173e-11	7.56703e-12	2.41001e-12	7.46906e-13	2.25283e-13	6.6144e-14	1.89099e-14	5.26688e-15	1.43058e-15	3.79661e-16	9.88395e-17	2.54604e-17	6.61983e-18	1.82308e-18	5.97655e-19	2.96856e-19	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	5.64755e-06	1.04425e-05	2.33757e-05	5.27345e-05	0.000115283	0.000242278	0.000488464	0.000943914	0.0017473	0.00309696	0.00525344	0.00852536	0.0132302	0.019626	0.0278195	0.037667	0.0486989	0.0601014	0.0707826	0.0795288	0.0852251	0.0870868	0.0848373	0.0787747	0.069707	0.0587746	0.0472135	0.0361291	0.0263341	0.0182816	0.0120869	0.00761028	0.00456305	0.00260537	0.00141658	0.000733454	0.000361639	0.000169809	7.59369e-05	3.23425e-05	1.31207e-05	5.07029e-06	1.86658e-06	6.54695e-07	2.18807e-07	6.96896e-08	2.1155e-08	6.12156e-09	1.68879e-09	4.4425e-10	1.11452e-10	2.66705e-11	6.08888e-12	1.32645e-12	2.75787e-13	5.47362e-14	1.03726e-14	1.87715e-15	3.24499e-16	5.35956e-17	8.45968e-18	1.27648e-18	1.84193e-19	2.54333e-20	3.365e-21	4.28099e-22	5.29299e-23	6.5929e-24	9.42657e-25	2.39404e-25	
N10	5.99944e-07	9.9631e-07	2.20345e-06	5.37731e-06	1.32403e-05	3.17767e-05	7.34073e-05	0.000162467	0.000343851	0.000695291	0.00134251	0.00247421	0.00435074	0.00729705	0.0116693	0.0177874	0.0258358	0.0357476	0.047105	0.0590977	0.0705757	0.0802089	0.0867331	0.0892197	0.0872924	0.0812206	0.0718574	0.0604424	0.0483316	0.0367371	0.0265419	0.0182258	0.0118948	0.00737781	0.00434906	0.00243648	0.00129729	0.000656497	0.000315766	0.000144365	6.27411e-05	2.5922e-05	1.01825e-05	3.80321e-06	1.35085e-06	4.56332e-07	1.46632e-07	4.4824e-08	1.30376e-08	3.60874e-09	9.50743e-10	2.3845e-10	5.69428e-11	1.29501e-11	2.80537e-12	5.79e-13	1.13877e-13	2.13481e-14	3.8155e-15	6.50317e-16	1.05732e-16	1.64043e-17	2.43014e-18	3.44103e-19	4.66833e-20	6.10283e-21	7.80011e-22	1.01217e-22	1.47872e-23	3.45283e-24	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
