NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.487607	0.308692	0.14	0.0479432	0.0126765	0.00260373	0.000418166	5.27854e-05	5.27815e-06	4.21489e-07	2.71058e-08	1.41339e-09	6.00865e-11	2.08991e-12	5.96423e-14	7.63498e-18	1.06073e-18	1.33761e-19	1.53213e-20	1.59518e-21	1.51114e-22	1.30394e-23	1.02624e-24	7.37735e-26	4.85171e-27	2.92373e-28	1.61719e-29	8.22436e-31	3.85218e-32	1.66463e-33	6.64771e-35	2.45753e-36	8.42396e-38	2.68183e-39	7.94214e-41	2.19136e-42	5.64189e-44	1.35743e-45	3.05653e-47	6.45018e-49	1.27747e-50	2.37797e-52	4.1845e-54	7.66296e-56	2.88839e-57	2.93801e-58	3.64938e-59	5.8071e-60	1.33467e-60	3.65075e-61	1.0292e-61	2.86281e-62	7.78787e-63	2.06972e-63	5.37894e-64	1.37371e-64	3.52389e-65	9.8611e-66	3.62492e-66	1.9199e-66	1.1972e-66	7.05612e-67	3.52711e-67	1.41134e-67	4.30825e-68	9.5603e-69	1.49736e-69	1.7339e-70	1.59075e-71	1.31832e-72	1.74871e-73	
N2	0.000127488	0.000431577	0.00140828	0.00382663	0.00848173	0.016512	0.0271482	0.0410909	0.0562786	0.0712241	0.0812615	0.09107	0.092878	0.0955032	0.0915204	0.085841	0.0746385	0.0650923	0.0448882	0.0283032	0.0139916	0.00588319	0.00188938	0.000563002	0.000119101	2.37065e-05	3.65445e-06	5.06421e-07	5.39348e-08	5.78522e-09	4.46617e-10	3.5228e-11	2.18467e-12	1.30444e-13	6.15061e-15	3.14819e-16	1.15456e-17	4.59341e-19	1.47078e-20	4.77549e-22	1.22139e-23	3.54203e-25	7.45311e-27	1.78682e-28	3.42467e-30	6.82039e-32	1.08828e-33	2.05866e-35	2.76756e-37	4.34859e-39	5.52846e-41	7.56819e-43	8.14166e-45	1.06547e-46	9.96029e-49	1.12608e-50	1.00756e-52	9.85532e-55	7.70258e-57	7.51205e-59	5.09748e-61	4.24726e-63	2.87391e-65	2.16828e-67	1.28803e-69	9.94339e-72	6.16416e-74	5.52448e-76	5.52711e-78	7.06031e-80	1.22535e-81	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.32229	0.327494	0.210897	0.0970951	0.0316931	0.00860113	0.00160507	0.000282713	3.65221e-05	4.75395e-06	4.16237e-07	5.23711e-08	3.13516e-09	2.96672e-10	1.48049e-11	1.09365e-12	3.61069e-14	2.34915e-15	5.457e-17	2.79203e-18	5.60869e-20	1.81643e-21	2.72073e-23	1.10738e-24	1.06459e-26	2.33166e-28	2.41811e-30	5.10626e-32	3.22463e-34	5.61956e-36	2.97747e-38	5.08311e-40	2.27827e-42	2.03818e-44	7.99513e-47	1.18873e-48	2.95678e-51	2.01772e-53	6.44928e-56	5.57639e-58	1.08768e-60	6.89972e-63	1.16198e-65	7.56094e-68	1.26688e-70	4.53158e-73	7.70902e-76	5.76095e-78	5.56815e-81	1.55825e-83	1.89955e-86	6.90185e-89	5.61884e-92	1.94919e-94	1.6047e-97	6.03483e-100	4.11769e-103	6.94608e-106	4.97546e-109	1.74429e-111	7.80262e-115	1.23772e-117	9.62326e-121	2.28492e-123	8.85762e-127	5.208e-43	8.23677e-44	4.69166e-44	6.25387e-45	3.89641e-45	5.13511e-45	
N4	0.316762	0.32633	0.213686	0.0996291	0.0327698	0.0088615	0.00163984	0.000282032	3.52175e-05	4.38515e-06	3.56432e-07	4.2732e-08	2.22949e-09	2.05713e-10	8.48732e-12	6.23243e-13	1.52762e-14	1.1e-15	1.64831e-17	1.07437e-18	1.32864e-20	5.79058e-22	4.33883e-24	3.39679e-25	1.26536e-27	6.33457e-29	3.27005e-31	1.5582e-32	3.31228e-35	1.64645e-36	2.98062e-39	1.82017e-40	3.08683e-43	6.61571e-45	9.1686e-48	5.43103e-49	3.91011e-52	7.68478e-54	1.24315e-56	3.56285e-58	1.97431e-61	3.71696e-63	2.16922e-66	7.29737e-68	5.15632e-71	2.90472e-73	2.15156e-76	1.01153e-77	2.46503e-81	1.36683e-83	1.58458e-86	2.3898e-88	4.96007e-92	5.26174e-94	1.7453e-97	5.22529e-99	1.22566e-102	2.53674e-105	1.21894e-108	3.80569e-110	4.26473e-114	1.11136e-116	1.14749e-119	1.63274e-121	1.54467e-125	5.81105e-128	1.09242e-131	1.90953e-133	2.33899e-137	5.88834e-140	1.04834e-141	
N5	0.241034	0.295773	0.242501	0.14097	0.0563233	0.0184633	0.0039538	0.000838896	0.00012061	1.99402e-05	1.83294e-06	3.40387e-07	1.96931e-08	2.7955e-09	1.39516e-10	1.57304e-11	4.73017e-13	4.69018e-14	9.70321e-16	8.16712e-17	1.49141e-18	6.14924e-20	8.40341e-22	6.44465e-23	4.72562e-25	1.30131e-26	1.35763e-28	4.94276e-30	2.3487e-32	5.73711e-34	2.57288e-36	8.66914e-38	2.94641e-40	3.12054e-42	1.08509e-44	3.39715e-46	6.09969e-49	5.0405e-51	1.5737e-53	2.81166e-55	3.98753e-58	3.58063e-60	4.68748e-63	5.64313e-65	7.64539e-68	3.36149e-70	6.09509e-73	1.08285e-74	7.37098e-78	2.40639e-80	2.56032e-83	1.72725e-85	1.05928e-88	6.85177e-91	5.21075e-94	4.53819e-96	2.21062e-99	4.53447e-102	2.90159e-105	2.35741e-107	7.62682e-111	1.69218e-113	1.6782e-116	9.47982e-119	2.64687e-122	5.52158e-125	1.65945e-128	6.20675e-131	2.11634e-134	7.36943e-137	6.93604e-139	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.217497	0.283884	0.249916	0.154663	0.065389	0.022378	0.00500767	0.0010787	0.000158172	2.5757e-05	2.33274e-06	4.19414e-07	2.25418e-08	3.22474e-09	1.39801e-10	1.62796e-11	3.81655e-13	4.33962e-14	6.15597e-16	6.39365e-17	7.9261e-19	4.00152e-20	3.25337e-22	3.3229e-23	1.31151e-25	5.11814e-27	3.2704e-29	1.45747e-30	3.39606e-33	1.094e-34	2.43869e-37	1.15378e-38	1.98831e-41	2.19635e-43	3.78389e-46	1.71037e-47	1.25022e-50	1.06674e-52	2.10663e-55	4.5446e-57	2.44832e-60	2.32796e-62	1.35608e-65	2.66371e-67	1.60485e-70	4.78081e-73	4.32028e-76	1.19703e-77	2.74253e-81	6.88143e-84	4.98357e-87	4.70144e-89	9.39078e-93	5.42034e-95	1.67188e-98	2.29571e-100	3.74858e-104	5.08184e-107	1.67857e-110	2.13575e-112	2.18725e-116	3.28186e-119	1.96361e-122	1.49651e-124	1.24606e-128	2.18891e-131	2.63489e-135	1.4871e-137	1.47131e-141	2.8609e-144	2.25564e-146	
N7	0.0876745	0.153226	0.205248	0.208496	0.154712	0.101697	0.0472701	0.0244622	0.00950052	0.00479392	0.00150498	0.000986292	0.00024066	0.000133394	3.26816e-05	1.68166e-05	2.85864e-06	1.40367e-06	1.81347e-07	8.27678e-08	1.00031e-08	2.5043e-09	2.45707e-10	1.08351e-10	6.27446e-12	1.12196e-12	8.01151e-14	1.7175e-14	6.60804e-16	1.06008e-16	3.74614e-18	7.13556e-19	1.98306e-20	1.43792e-21	3.77058e-23	6.3587e-24	9.09848e-26	4.90483e-27	1.10126e-28	1.00737e-29	1.07387e-31	5.43024e-33	4.95855e-35	2.88823e-36	2.60045e-38	6.49545e-40	6.95598e-42	5.12039e-43	2.26475e-45	3.81179e-47	2.22849e-49	6.16961e-51	2.12593e-53	5.19865e-55	2.02261e-57	6.25523e-59	1.67317e-61	1.52503e-63	4.86529e-66	1.30354e-67	2.20835e-70	1.91878e-72	7.59211e-75	1.32652e-76	1.8453e-79	1.45886e-81	2.07205e-84	2.48466e-86	4.17058e-89	5.18628e-91	1.60873e-92	
