NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.00201608	0.00226334	0.00280036	0.0037129	0.00512744	0.00720473	0.010126	0.0140691	0.0191734	0.0254942	0.0329553	0.0413074	0.0501089	0.0587404	0.0664618	0.0725088	0.0762126	0.0771207	0.0750854	0.0702989	0.0632632	0.0547006	0.0454278	0.0362256	0.0277308	0.0203739	0.0143639	0.00971622	0.00630513	0.00392486	0.00234345	0.00134204	0.000737125	0.000388306	0.000196183	9.50627e-05	4.41803e-05	1.96939e-05	8.42051e-06	3.45361e-06	1.35882e-06	5.12904e-07	1.8575e-07	6.45477e-08	2.15243e-08	6.8884e-09	2.1159e-09	6.2389e-10	1.76608e-10	4.80015e-11	1.25286e-11	3.14065e-12	7.56261e-13	2.12663e-16	1.00271e-16	4.6352e-17	2.10103e-17	9.3401e-18	4.07328e-18	1.74329e-18	7.32578e-19	3.02505e-19	1.22884e-19	4.91883e-20	1.94486e-20	7.62258e-21	2.97648e-21	1.16693e-21	4.66414e-22	1.99462e-22	1.09129e-22	
N2	0.00257863	0.00283717	0.00336649	0.00422295	0.0054852	0.00724783	0.00961143	0.0126687	0.0164869	0.0210879	0.0264283	0.0323834	0.0387388	0.045194	0.0513793	0.0568872	0.0613144	0.0643101	0.0656205	0.0651244	0.0628505	0.0589748	0.0537975	0.0477034	0.0411142	0.0344398	0.0280371	0.0221816	0.0170541	0.012742	0.00925147	0.00652763	0.00447585	0.0029825	0.00193144	0.00121561	0.000743591	0.000442101	0.000255493	0.000143525	7.83784e-05	4.16113e-05	2.14784e-05	1.07795e-05	5.26056e-06	2.49655e-06	1.15227e-06	5.17265e-07	2.25868e-07	9.59439e-08	3.96499e-08	1.59431e-08	6.23811e-09	2.37537e-09	8.80355e-10	3.17609e-10	1.11558e-10	3.81565e-11	1.27115e-11	4.12598e-12	1.30546e-12	4.02907e-13	1.21425e-13	3.57926e-14	1.03475e-14	2.94735e-15	8.34253e-16	2.38879e-16	7.21846e-17	2.5588e-17	1.33495e-17	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.00107241	0.00125905	0.00166424	0.00236759	0.00349258	0.00520819	0.00772342	0.0112693	0.0160641	0.0222602	0.0298784	0.0387416	0.0484283	0.0582675	0.0673915	0.0748493	0.0797642	0.0815007	0.0797983	0.0748327	0.0671851	0.0577276	0.047456	0.0373151	0.0280586	0.0201722	0.0138638	0.0091073	0.00571785	0.00343062	0.00196689	0.00107754	0.000564053	0.000282119	0.000134825	6.15655e-05	2.68625e-05	1.11999e-05	4.46234e-06	1.69909e-06	6.18313e-07	2.15066e-07	7.15071e-08	2.27291e-08	6.90747e-09	2.00729e-09	5.57847e-10	1.48282e-10	3.77049e-11	9.17294e-12	2.13547e-12	4.75805e-13	1.01485e-13	2.0725e-14	4.05332e-15	7.59377e-16	1.36319e-16	2.3456e-17	3.87009e-18	6.12589e-19	9.30845e-20	1.35896e-20	1.90832e-21	2.58148e-22	3.37104e-23	4.26147e-24	5.2358e-25	6.29354e-26	7.52171e-27	9.54223e-28	1.83715e-28	
N4	0.000953376	0.00113258	0.00152432	0.00220977	0.00331587	0.00501767	0.00753346	0.0111065	0.0159688	0.0222846	0.0300801	0.0391725	0.0491194	0.0592139	0.0685421	0.0761058	0.0809926	0.0825544	0.080547	0.0751897	0.0671248	0.0572882	0.0467272	0.0364147	0.0271074	0.0192714	0.0130822	0.0084786	0.00524558	0.00309773	0.00174599	0.0009392	0.000482143	0.000236201	0.000110426	4.92652e-05	2.09748e-05	8.52231e-06	3.30471e-06	1.22306e-06	4.32042e-07	1.4568e-07	4.68926e-08	1.44105e-08	4.22831e-09	1.18472e-09	3.17011e-10	8.10212e-11	1.9781e-11	4.61404e-12	1.02841e-12	2.19066e-13	4.46043e-14	8.68271e-15	1.6162e-15	2.8773e-16	4.90039e-17	7.98625e-18	1.24582e-18	1.86088e-19	2.66277e-20	3.65223e-21	4.80568e-22	6.07394e-23	7.3891e-24	8.68275e-25	9.92115e-26	1.11755e-26	1.28244e-27	1.66153e-28	3.64511e-29	
N5	0.000408702	0.000500726	0.000708847	0.00109069	0.00174304	0.00281178	0.00449901	0.00706103	0.0107893	0.0159673	0.0228007	0.0313275	0.0413269	0.0522569	0.0632522	0.0732071	0.0809438	0.085435	0.0860259	0.0825895	0.0755643	0.0658609	0.0546644	0.0431933	0.0324826	0.0232439	0.0158239	0.0102469	0.00631095	0.00369633	0.00205867	0.00109023	0.000548966	0.000262822	0.000119636	5.17792e-05	2.13083e-05	8.338e-06	3.10254e-06	1.09785e-06	3.69461e-07	1.1826e-07	3.60072e-08	1.04297e-08	2.87432e-09	7.53761e-10	1.88116e-10	4.46864e-11	1.01052e-11	2.17575e-12	4.46104e-13	8.71174e-14	1.62068e-14	2.87275e-15	4.8529e-16	7.81467e-17	1.19989e-17	1.75721e-18	2.45539e-19	3.27521e-20	4.17297e-21	5.08293e-22	5.92614e-23	6.62497e-24	7.11981e-25	7.38326e-26	7.4277e-27	7.30624e-28	7.13027e-29	7.30786e-30	1.1516e-30	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.000290645	0.000352201	0.000494114	0.000762261	0.00123679	0.00204429	0.00336961	0.0054615	0.0086236	0.0131813	0.0194178	0.0274816	0.0372792	0.0483839	0.0599985	0.0710072	0.0801294	0.0861551	0.0882049	0.0859394	0.0796485	0.07019	0.0587943	0.046798	0.0353868	0.0254144	0.0173325	0.0112232	0.00689907	0.00402561	0.00222949	0.00117187	0.000584569	0.000276732	0.00012432	5.3001e-05	2.14433e-05	8.23334e-06	3.00022e-06	1.03763e-06	3.40622e-07	1.06139e-07	3.13963e-08	8.81711e-09	2.35104e-09	5.95285e-10	1.43143e-10	3.26927e-11	7.09283e-12	1.46196e-12	2.86329e-13	5.32928e-14	9.42794e-15	1.58555e-15	2.53533e-16	3.85532e-17	5.57621e-18	7.67294e-19	1.00468e-19	1.25211e-20	1.48569e-21	1.67893e-22	1.80772e-23	1.85546e-24	1.81687e-25	1.6994e-26	1.52241e-27	1.31614e-28	1.12819e-29	1.07621e-30	1.8707e-31	
N7	0.000118817	0.000146527	0.000210243	0.000330043	0.000541174	0.000900223	0.00149263	0.00244011	0.00390532	0.00608981	0.00922064	0.0135213	0.0191659	0.026219	0.0345734	0.0439003	0.0536325	0.0629975	0.0711054	0.0770823	0.0802241	0.080132	0.0767955	0.070598	0.0622434	0.0526222	0.0426546	0.0331468	0.0246925	0.0176324	0.0120689	0.00791824	0.00497957	0.00300168	0.00173444	0.000960706	0.000510131	0.000259693	0.000126752	5.93197e-05	2.66215e-05	1.14576e-05	4.72968e-06	1.87279e-06	7.11411e-07	2.59285e-07	9.06808e-08	3.04365e-08	9.80565e-09	3.03268e-09	9.00558e-10	2.56806e-10	7.03366e-11	1.85064e-11	4.67862e-12	1.13675e-12	2.65507e-13	5.96325e-14	1.2884e-14	2.67915e-15	5.36545e-16	1.03584e-16	1.9305e-17	3.48062e-18	6.09119e-19	1.04023e-19	1.74906e-20	2.94205e-21	5.11321e-22	9.97475e-23	2.94518e-23	
