NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.27131	0.236958	0.184123	0.129023	0.0823043	0.0480796	0.0258071	0.0127478	0.00579781	0.00242786	0.000935998	0.000332213	0.000108563	3.26621e-05	9.04178e-06	2.30951e-06	5.44127e-07	1.18189e-07	2.36522e-08	4.35793e-09	7.38759e-10	1.15152e-10	1.64957e-11	2.17085e-12	2.62389e-13	4.73058e-17	1.51037e-17	4.6215e-18	1.35537e-18	3.81043e-19	1.02709e-19	2.65497e-20	6.58314e-21	1.56624e-21	3.57664e-22	7.84246e-23	1.65195e-23	3.34543e-24	6.50935e-25	1.21733e-25	2.18889e-26	3.78569e-27	6.29991e-28	1.00915e-28	1.5566e-29	2.31293e-30	3.31191e-31	4.57186e-32	6.08656e-33	7.81774e-34	9.69136e-35	1.15997e-35	1.34101e-36	1.49795e-37	1.61737e-38	1.68858e-39	1.70527e-40	1.66642e-41	1.57634e-42	1.44393e-43	1.28127e-44	1.10181e-45	9.18623e-47	7.42998e-48	5.83492e-49	4.45636e-50	3.32187e-51	2.43869e-52	1.80529e-53	1.43052e-54	1.53156e-55	
N2	0.00178666	0.00258784	0.00415211	0.00688785	0.010938	0.0167014	0.0238174	0.0325039	0.0414176	0.0506777	0.0583747	0.0656372	0.0706887	0.0755608	0.0776816	0.0790868	0.0762094	0.0714787	0.0622055	0.052165	0.0401152	0.0296835	0.0200326	0.0130492	0.00772175	0.0044313	0.00230465	0.00116879	0.000535566	0.000240603	9.75446e-05	3.8988e-05	1.40377e-05	5.00895e-06	1.6074e-06	5.11873e-07	1.46366e-07	4.16683e-08	1.06462e-08	2.70936e-09	6.17993e-10	1.40708e-10	2.8754e-11	5.88193e-12	1.07851e-12	1.98548e-13	3.28186e-14	5.46791e-15	8.16534e-16	1.23402e-16	1.67459e-17	2.31121e-18	2.8577e-19	3.6109e-20	4.09747e-21	4.77945e-22	5.00039e-23	5.4114e-24	5.29296e-25	5.40441e-26	5.03708e-27	4.95953e-28	4.58252e-29	4.52054e-30	4.30131e-31	4.3407e-32	4.29851e-33	4.38637e-34	4.39093e-35	4.58467e-36	7.34743e-37	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.215439	0.215359	0.186643	0.14605	0.101007	0.0642267	0.0363802	0.0192352	0.00905854	0.00405424	0.00160827	0.000623211	0.000211333	7.28912e-05	2.15554e-05	6.85953e-06	1.80613e-06	5.40085e-07	1.28086e-07	3.60664e-08	7.61254e-09	1.95723e-09	3.6644e-10	8.571e-11	1.39646e-11	2.88844e-12	4.15833e-13	7.84396e-14	9.97293e-15	1.71038e-15	2.15406e-16	3.81556e-17	5.45007e-18	9.92528e-19	1.33217e-19	1.71812e-20	1.77592e-21	1.77086e-22	1.48801e-23	1.2259e-24	8.46068e-26	5.84224e-27	3.4359e-28	2.11595e-29	1.06101e-30	5.83347e-32	2.62514e-33	1.41403e-34	5.59967e-36	2.79648e-37	1.04129e-38	5.3014e-40	1.74182e-41	7.97592e-43	2.50374e-44	1.15819e-45	3.14306e-47	1.25904e-48	3.30468e-50	1.35934e-51	3.21163e-53	1.2086e-54	3.03196e-56	1.23721e-57	3.18699e-59	1.28879e-60	4.08336e-62	1.83985e-63	7.39885e-65	3.9098e-66	2.4412e-67	
N4	0.214529	0.214802	0.186635	0.146438	0.101493	0.0646226	0.0365911	0.0193168	0.00905322	0.00403068	0.00158119	0.000607595	0.000201893	6.89601e-05	1.97011e-05	6.22983e-06	1.5516e-06	4.65823e-07	1.01692e-07	2.93759e-08	5.51738e-09	1.496e-09	2.40467e-10	6.20523e-11	8.27727e-12	1.97558e-12	2.22439e-13	5.23244e-14	4.81572e-15	1.06625e-15	8.84741e-17	2.0791e-17	1.92022e-18	6.09005e-19	7.2974e-20	1.07538e-20	1.00517e-21	1.14941e-22	9.25513e-24	9.25609e-25	6.03109e-26	5.05406e-27	2.85355e-28	2.33663e-29	1.04206e-30	7.55669e-32	3.03334e-33	2.54281e-34	7.70063e-36	5.61252e-37	1.66485e-38	1.54859e-39	3.3264e-41	2.38852e-42	5.49226e-44	5.43409e-45	8.37178e-47	5.53617e-48	9.95091e-50	9.96699e-51	1.16562e-52	7.36602e-54	1.12449e-55	1.1886e-56	1.16207e-58	7.89349e-60	1.27646e-61	1.50445e-62	2.71141e-64	4.37162e-65	8.4165e-66	
N5	0.183416	0.191143	0.177611	0.151347	0.114464	0.0796033	0.0489378	0.0280117	0.0140819	0.00675846	0.00281408	0.00117257	0.000411646	0.00015611	4.73932e-05	1.73304e-05	4.63463e-06	1.65088e-06	3.92737e-07	1.35214e-07	2.79554e-08	8.74232e-09	1.5882e-09	4.59207e-10	7.09529e-11	1.77709e-11	2.43682e-12	5.74406e-13	6.69266e-14	1.36993e-14	1.67131e-15	4.06903e-16	7.61903e-17	2.09703e-17	3.38468e-18	4.76924e-19	5.28389e-20	5.45021e-21	4.76484e-22	3.99218e-23	2.77814e-24	1.89173e-25	1.09887e-26	6.70389e-28	3.20611e-29	1.71501e-30	7.39096e-32	4.26334e-33	1.53797e-34	7.9694e-36	2.79849e-37	1.70006e-38	4.879e-40	2.44208e-41	7.16352e-43	4.23594e-44	9.55458e-46	4.16004e-47	9.64527e-49	5.06414e-50	9.53482e-52	4.08946e-53	9.25946e-55	5.30067e-56	1.18182e-57	6.35956e-59	1.85676e-60	1.07068e-61	3.91314e-63	2.69383e-64	2.12608e-65	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.171939	0.182188	0.173871	0.152748	0.119081	0.0852086	0.0537659	0.0315271	0.0161897	0.00792862	0.00335129	0.00141951	0.000500936	0.000192753	5.79127e-05	2.15704e-05	5.57739e-06	2.04616e-06	4.56969e-07	1.65523e-07	3.10418e-08	1.04663e-08	1.67039e-09	5.41911e-10	7.07918e-11	2.04762e-11	2.31694e-12	6.6809e-13	6.119e-14	1.51918e-14	1.32572e-15	3.77161e-16	5.3744e-17	2.21556e-17	3.40268e-18	4.82037e-19	5.07872e-20	5.29376e-21	4.50829e-22	3.87654e-23	2.57273e-24	1.75821e-25	9.74255e-27	6.15402e-28	2.66876e-29	1.42184e-30	5.59578e-32	3.51593e-33	1.03579e-34	5.27553e-36	1.58728e-37	1.10998e-38	2.3086e-40	1.1179e-41	2.63511e-43	1.97566e-44	2.84908e-46	1.21042e-47	2.13465e-49	1.53627e-50	1.67435e-52	6.73174e-54	1.04376e-55	8.03406e-57	8.15649e-59	4.59271e-60	9.18935e-62	7.5925e-63	1.34096e-64	1.15384e-65	1.10154e-66	
N7	0.0965951	0.111436	0.123046	0.1302	0.12569	0.11387	0.0928091	0.0718407	0.0498072	0.0339002	0.0205121	0.0129671	0.0071114	0.00447402	0.00232571	0.00154033	0.00077053	0.000523673	0.000249688	0.000169234	7.43012e-05	4.75272e-05	1.94144e-05	1.21071e-05	4.47204e-06	2.57389e-06	9.00442e-07	5.23458e-07	1.69481e-07	9.42427e-08	3.73352e-08	2.61787e-08	1.51553e-08	1.09605e-08	5.20031e-09	2.15201e-09	7.23331e-10	2.24034e-10	5.97262e-11	1.50677e-11	3.24224e-12	6.75949e-13	1.22514e-13	2.3014e-14	3.54966e-15	6.11419e-16	8.79738e-17	1.66655e-17	2.15188e-18	3.87717e-19	4.96963e-20	1.01075e-20	1.11704e-21	1.98071e-22	2.21781e-23	4.46204e-24	4.07369e-25	6.58589e-26	6.17568e-27	1.17514e-27	9.91616e-29	1.75724e-29	1.83034e-30	3.8754e-31	4.15736e-32	8.11763e-33	1.00334e-33	1.96534e-34	2.90011e-35	6.60788e-36	2.00984e-36	
