NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
N1	6.84473e-34	9.8619e-34	2.04852e-33	5.62232e-33	1.80587e-32	6.16371e-32	2.11519e-31	7.10665e-31	2.31155e-30	7.25837e-30	2.20983e-29	6.6258e-29	2.03003e-28	6.79551e-28	2.67496e-27	1.25515e-26	6.59829e-26	3.6089e-25	1.96095e-24	1.03413e-23	5.26094e-23	2.56867e-22	1.20125e-21	5.376e-21	2.3014e-20	9.42125e-20	3.68731e-19	1.37946e-18	4.9321e-18	1.68501e-17	5.49987e-17	2.92063e-13	2.59019e-12	2.09507e-11	1.54518e-10	1.03893e-09	6.36722e-09	3.55634e-08	1.81008e-07	8.39447e-07	3.54709e-06	1.36561e-05	4.79045e-05	0.000153128	0.000446093	0.00118466	0.00286879	0.00633798	0.0127831	0.0235595	0.0397299	0.0614226	0.0873003	0.114543	0.139568	0.159287	0.172206	0.178544	
N2	3.8478e-28	9.07834e-28	2.98897e-27	1.06227e-26	4.05458e-26	1.75126e-25	9.33381e-25	6.41627e-24	5.3406e-23	4.85205e-22	4.48133e-21	4.06125e-20	3.55263e-19	2.97556e-18	2.37568e-17	1.80313e-16	1.29865e-15	8.86371e-15	5.72748e-14	3.50101e-13	2.02313e-12	1.10461e-11	5.69556e-11	2.77211e-10	1.27306e-09	5.51429e-09	2.252e-08	8.66832e-08	3.14372e-07	1.07387e-06	3.45403e-06	1.04576e-05	2.97943e-05	7.98551e-05	0.000201282	0.000476983	0.00106231	0.00222282	0.00436811	0.00805825	0.0139493	0.0226468	0.0344639	0.0491311	0.0655663	0.0818475	0.0954909	0.104027	0.105708	0.100087	0.0881949	0.0722485	0.0549756	0.0388595	0.0255782	0.0158063	0.00936089	0.00554382	
N3	1.33072e-28	3.32945e-28	1.50594e-27	9.42949e-27	7.88839e-26	8.18766e-25	9.37611e-24	1.08663e-22	1.22172e-21	1.30955e-20	1.32906e-19	1.27351e-18	1.15057e-17	9.79361e-17	7.84948e-16	5.92101e-15	4.20157e-14	2.80349e-13	1.75822e-12	1.03599e-11	5.73281e-11	2.97808e-10	1.45175e-09	6.63851e-09	2.84648e-08	1.14406e-07	4.30857e-07	1.5199e-06	5.02048e-06	1.55232e-05	4.49139e-05	0.000121565	0.000307701	0.000728135	0.00161038	0.00332775	0.00642326	0.0115776	0.0194816	0.0305947	0.0448299	0.0612736	0.0780992	0.0928052	0.102787	0.106081	0.101991	0.0913311	0.076159	0.0591296	0.0427406	0.028766	0.0180371	0.0105546	0.00579131	0.00301739	0.0015405	0.000825923	
N4	2.4688e-16	4.16886e-16	1.27246e-15	5.13847e-15	2.3782e-14	1.16041e-13	5.68491e-13	2.72352e-12	1.25884e-11	5.57565e-11	2.35843e-10	9.50994e-10	3.65199e-09	1.3348e-08	4.64155e-08	1.5351e-07	4.8275e-07	1.4432e-06	4.10069e-06	1.10722e-05	2.84039e-05	6.92181e-05	0.00016021	0.00035215	0.00073498	0.00145639	0.00273963	0.00489182	0.00829042	0.0133346	0.0203539	0.0294823	0.0405232	0.0528519	0.0654074	0.0768071	0.085583	0.0904891	0.0907911	0.0864472	0.0781174	0.0669992	0.0545456	0.0421569	0.0309355	0.0215573	0.0142678	0.00897083	0.00535942	0.00304309	0.00164263	0.000843203	0.000411865	0.000191717	8.54213e-05	3.69143e-05	1.60619e-05	7.72635e-06	
Carex_eburnea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_cruciata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.7065e-28	4.10542e-28	1.86716e-27	9.55501e-27	4.73367e-26	2.21149e-25	1.0285e-24	6.12048e-24	6.60451e-23	1.06047e-21	1.80139e-20	2.89232e-19	4.28967e-18	5.8484e-17	7.31744e-16	8.39266e-15	8.81483e-14	8.46971e-13	7.43773e-12	5.96371e-11	4.36208e-10	2.90793e-09	1.76527e-08	9.75034e-08	4.89631e-07	2.23378e-06	9.25203e-06	3.47684e-05	0.000118477	0.000365905	0.00102374	0.00259381	0.00594945	0.0123511	0.0232035	0.0394441	0.0606718	0.0844485	0.106379	0.121302	0.125242	0.117125	0.0992536	0.0762518	0.0531369	0.0336084	0.019306	0.0100797	0.00478671	0.00206926	0.000814941	0.000292624	9.58701e-05	2.8681e-05	7.84945e-06	1.981e-06	4.80133e-07	1.36559e-07	
N6	1.3795e-31	5.72464e-31	3.80939e-30	2.62976e-29	1.86334e-28	1.80062e-27	3.24754e-26	8.16295e-25	2.08369e-23	4.94259e-22	1.0709e-20	2.1113e-19	3.78138e-18	6.14477e-17	9.0491e-16	1.20628e-14	1.45393e-13	1.58275e-12	1.5545e-11	1.37602e-10	1.09668e-09	7.86214e-09	5.06537e-08	2.93034e-07	1.52095e-06	7.0774e-06	2.95056e-05	0.000110138	0.000367911	0.00109929	0.00293684	0.00701307	0.0149657	0.028535	0.0486097	0.0739834	0.100612	0.122278	0.132841	0.129045	0.112137	0.0872081	0.0607294	0.0378908	0.0211957	0.0106378	0.00479385	0.00194131	0.00070707	0.000231838	6.85004e-05	1.82596e-05	4.39819e-06	9.5999e-07	1.91103e-07	3.53166e-08	6.42409e-09	1.46111e-09	
N7	2.77697e-32	2.01115e-31	2.50858e-30	3.66457e-29	7.00636e-28	1.802e-26	5.26043e-25	1.50874e-23	4.00979e-22	9.69303e-21	2.11835e-19	4.1749e-18	7.4086e-17	1.1823e-15	1.69482e-14	2.17996e-13	2.5133e-12	2.59461e-11	2.39613e-10	1.97767e-09	1.45753e-08	9.58383e-08	5.61794e-07	2.93369e-06	1.36381e-05	5.64065e-05	0.000207442	0.000678014	0.00196865	0.00507605	0.0116193	0.0236063	0.0425599	0.0680857	0.0966461	0.121732	0.136072	0.135007	0.118926	0.0930413	0.0646722	0.0399579	0.0219561	0.0107356	0.00467413	0.00181332	0.000627306	0.000193671	5.34081e-05	1.31677e-05	2.90543e-06	5.744e-07	1.01899e-07	1.62597e-08	2.34628e-09	3.11304e-10	4.05372e-11	6.98281e-12	
N8	3.49205e-25	2.42328e-24	3.20961e-23	5.27079e-22	8.99475e-21	1.47835e-19	2.27281e-18	3.23121e-17	4.22626e-16	5.07117e-15	5.5717e-14	5.59678e-13	5.13327e-12	4.29383e-11	3.27204e-10	2.2692e-09	1.43083e-08	8.19522e-08	4.26003e-07	2.00805e-06	8.57629e-06	3.31628e-05	0.000116015	0.000366929	0.00104852	0.00270537	0.00629925	0.0132293	0.0250473	0.0427348	0.0656806	0.0909062	0.113277	0.127057	0.128265	0.116533	0.0952847	0.0701242	0.0464568	0.0277119	0.0148884	0.00720703	0.00314475	0.00123754	0.000439476	0.000140927	4.08366e-05	1.07014e-05	2.53827e-06	5.4542e-07	1.06279e-07	1.87998e-08	3.0229e-09	4.42742e-10	5.9347e-11	7.39616e-12	9.14896e-13	1.52321e-13	
