NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
N1	0.199409	0.188714	0.168926	0.141648	0.110129	0.0787412	0.0514644	0.0306169	0.0165291	0.00808038	0.00357135	0.00142548	0.000513412	0.00016676	4.88278e-05	1.28846e-05	3.06366e-06	6.56362e-07	1.26702e-07	2.20388e-08	3.45473e-09	4.8813e-10	6.21796e-11	7.1427e-12	7.40131e-13	8.01801e-17	2.3294e-17	6.43092e-18	1.68752e-18	4.20984e-19	9.98691e-20	2.25348e-20	4.83781e-21	9.88409e-22	1.92239e-22	3.56033e-23	6.28084e-24	1.05575e-24	1.69144e-25	2.58377e-26	3.76439e-27	5.23276e-28	6.94244e-29	8.79415e-30	1.06398e-30	1.22994e-31	1.35897e-32	1.43572e-33	1.45087e-34	1.40296e-35	1.29864e-36	1.15112e-37	9.7749e-39	7.95573e-40	6.21432e-41	4.69758e-42	3.68416e-43	5.01967e-44	
N2	0.0482805	0.0672688	0.0869072	0.104134	0.115552	0.118638	0.112695	0.0990845	0.0806951	0.0609242	0.042678	0.0277614	0.0167814	0.00943313	0.00493387	0.00240244	0.00108958	0.00046045	0.000181383	6.66276e-05	2.28301e-05	7.29969e-06	2.17869e-06	6.07203e-07	1.58081e-07	3.84595e-08	8.74735e-09	1.86073e-09	3.70354e-10	6.90042e-11	1.20411e-11	1.96879e-12	3.01785e-13	4.33895e-14	5.85453e-15	7.41743e-16	8.82888e-17	9.8785e-18	1.03957e-18	1.02952e-19	9.60031e-21	8.43436e-22	6.98527e-23	5.45671e-24	4.02293e-25	2.8008e-26	1.84247e-27	1.14611e-28	6.74591e-30	3.76262e-31	1.991e-32	1.00487e-33	4.85601e-35	2.30467e-36	1.09221e-37	5.84494e-39	3.97257e-40	8.11683e-41	
N3	0.0167053	0.0258204	0.0391149	0.0563084	0.0756814	0.0941726	0.108111	0.114379	0.111519	0.10024	0.0831134	0.0636036	0.0449486	0.0293494	0.017715	0.00988881	0.00510737	0.00244166	0.00108091	0.000443286	0.000168481	5.93703e-05	1.94052e-05	5.88544e-06	1.65707e-06	4.33304e-07	1.05276e-07	2.37767e-08	4.99415e-09	9.76045e-10	1.77579e-10	3.00915e-11	4.75174e-12	6.99595e-13	9.60858e-14	1.23177e-14	1.47467e-15	1.64971e-16	1.72548e-17	1.68832e-18	1.54631e-19	1.32645e-20	1.06634e-21	8.03844e-23	5.6856e-24	3.77553e-25	2.35523e-26	1.38114e-27	7.61789e-29	3.95596e-30	1.935e-31	8.93814e-33	3.89933e-34	1.62607e-35	6.50013e-37	2.71339e-38	1.38575e-39	2.35565e-40	
N4	0.00157105	0.00265091	0.00462955	0.00797105	0.0131932	0.0207501	0.0308588	0.0433058	0.0573023	0.0714681	0.0840045	0.0930472	0.0971149	0.095505	0.0884921	0.0772519	0.0635382	0.0492364	0.0359481	0.0247301	0.0160312	0.00979343	0.00563874	0.00306029	0.00156581	0.000755414	0.000343697	0.000147502	5.9723e-05	2.28195e-05	8.22994e-06	2.80235e-06	9.0116e-07	2.7375e-07	7.85793e-08	2.13204e-08	5.46958e-09	1.32716e-09	3.04686e-10	6.6205e-11	1.36204e-11	2.65406e-12	4.9002e-13	8.57553e-14	1.42305e-14	2.24008e-15	3.34627e-16	4.74558e-17	6.39196e-18	8.18085e-19	9.95503e-20	1.15295e-20	1.27385e-21	1.35169e-22	1.4064e-23	1.53233e-24	2.13608e-25	6.6026e-26	
Carex_eburnea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_cruciata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	7.49276e-05	0.000194771	0.000573378	0.00160574	0.00408094	0.00930838	0.0190108	0.0347505	0.0568465	0.0832065	0.108947	0.12757	0.133546	0.124953	0.104472	0.0780421	0.0520849	0.0310572	0.0165476	0.00788007	0.00335498	0.00127761	0.000435391	0.000132861	3.63295e-05	8.90836e-06	1.96058e-06	3.87633e-07	6.89183e-08	1.103e-08	1.59083e-09	2.07e-10	2.4329e-11	2.5859e-12	2.48867e-13	2.17139e-14	1.71979e-15	1.23805e-16	8.11128e-18	4.84273e-19	2.63818e-20	1.3131e-21	5.979e-23	2.49377e-24	9.53972e-26	3.35131e-27	1.08252e-28	3.21914e-30	8.8238e-32	2.23207e-33	5.21689e-35	1.12793e-36	2.25849e-38	4.19335e-40	7.23298e-42	1.16903e-43	1.90735e-45	6.32319e-47	
N6	6.93196e-06	2.06053e-05	7.39652e-05	0.000259797	0.0008357	0.00240914	0.0061743	0.0140198	0.0281563	0.0499614	0.0782694	0.108189	0.131882	0.141717	0.134198	0.111959	0.08228	0.0532653	0.0303767	0.0152638	0.00675985	0.00263962	0.000909274	0.000276481	7.42611e-05	1.76333e-05	3.70486e-06	6.89446e-07	1.13757e-07	1.66607e-08	2.16851e-09	2.51145e-10	2.59147e-11	2.38563e-12	1.96199e-13	1.44357e-14	9.51578e-16	5.62796e-17	2.99084e-18	1.43026e-19	6.16392e-21	2.39756e-22	8.42943e-24	2.68283e-25	7.74099e-27	2.02815e-28	4.83212e-30	1.04945e-31	2.08087e-33	3.80234e-35	6.42009e-37	1.06886e-38	1.75005e-40	3.85775e-42	8.47885e-44	3.18876e-45	1.10274e-46	1.27701e-47	
N7	9.34048e-07	3.14873e-06	1.33538e-05	5.59766e-05	0.000214963	0.00073738	0.00223759	0.00598027	0.0140436	0.0289332	0.0522401	0.0825924	0.114265	0.138258	0.146248	0.1352	0.10921	0.0770724	0.0475215	0.0256025	0.0120549	0.0049622	0.00178644	0.000562766	0.000155222	3.75117e-05	7.94887e-06	1.47824e-06	2.41489e-07	3.46899e-08	4.38665e-09	4.88864e-10	4.80723e-11	4.17642e-12	3.20987e-13	2.18541e-14	1.31994e-15	7.08221e-17	3.38077e-18	1.43795e-19	5.45765e-21	1.85127e-22	5.62091e-24	1.53005e-25	3.73981e-27	8.22398e-29	1.62986e-30	2.92622e-32	4.77515e-34	7.34765e-36	1.08111e-37	1.94755e-39	3.7205e-41	1.19343e-42	2.8336e-44	1.06373e-45	3.04067e-47	2.86783e-48	
N8	3.96687e-06	1.15369e-05	4.10987e-05	0.000145636	0.000478337	0.0014212	0.00378394	0.00898965	0.0190119	0.0357375	0.0596396	0.0882809	0.115825	0.134614	0.13853	0.126193	0.101739	0.0725928	0.0458452	0.0256322	0.0126918	0.0055681	0.00216568	0.000747282	0.000228941	6.23304e-05	1.50952e-05	3.2554e-06	6.25876e-07	1.07403e-07	1.64715e-08	2.26055e-09	2.78002e-10	3.06791e-11	3.04241e-12	2.71523e-13	2.18398e-14	1.58558e-15	1.04059e-16	6.1826e-18	3.33058e-19	1.62921e-20	7.24761e-22	2.93655e-23	1.08534e-24	3.66637e-26	1.13421e-27	3.2378e-29	8.59365e-31	2.28278e-32	6.32892e-34	2.70959e-35	1.21052e-36	8.92749e-38	4.45323e-39	3.53751e-40	2.3426e-41	5.40719e-42	
