NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.14647	0.141496	0.132261	0.119695	0.10486	0.0888599	0.0727524	0.0574626	0.0437103	0.0319633	0.0224266	0.0150684	0.00967547	0.00592391	0.00344945	0.00192272	0.00102454	0.000521306	0.000253037	0.000117072	5.15959e-05	2.16491e-05	8.64479e-06	3.28417e-06	1.18677e-06	4.07873e-07	1.33318e-07	4.14458e-08	1.22566e-08	3.4489e-09	9.23901e-10	2.35844e-10	5.74969e-11	1.33013e-11	2.92045e-12	6.08694e-13	1.26292e-16	5.47493e-17	2.31322e-17	9.5267e-18	3.82481e-18	1.49719e-18	5.7148e-19	2.1274e-19	7.7248e-20	2.73649e-20	9.45919e-21	3.19131e-21	1.05114e-21	3.38144e-22	1.06302e-22	3.27027e-23	9.82022e-24	2.87887e-24	8.24047e-25	2.30345e-25	6.28891e-26	1.67735e-26	4.37136e-27	1.11346e-27	2.77305e-28	6.75633e-29	1.6118e-29	3.77035e-30	8.66915e-31	1.96735e-31	4.43682e-32	1.00537e-32	2.32901e-33	5.73031e-34	1.85843e-34	
N2	0.00429433	0.00495679	0.00607055	0.00775801	0.0101729	0.0134842	0.0178469	0.0233582	0.0300047	0.0376119	0.0458094	0.054032	0.0615648	0.0676345	0.0715335	0.0732182	0.0724554	0.0692882	0.0640263	0.0571866	0.0492674	0.0409419	0.0328234	0.025393	0.0189632	0.0136764	0.00953115	0.00642308	0.00418944	0.00264776	0.00162387	0.000968298	0.000562836	0.000317566	0.000174179	9.30079e-05	4.84239e-05	2.46168e-05	1.22342e-05	5.90283e-06	2.76341e-06	1.25454e-06	5.52016e-07	2.3531e-07	9.71368e-08	3.88207e-08	1.50181e-08	5.62396e-09	2.03907e-09	7.16149e-10	2.43905e-10	8.07421e-11	2.58773e-11	8.03717e-12	2.42209e-12	7.0932e-13	2.02239e-13	5.62626e-14	1.53116e-14	4.08818e-15	1.07425e-15	2.78684e-16	7.15757e-17	1.82391e-17	4.61697e-18	1.16131e-18	2.90254e-19	7.22968e-20	1.82991e-20	5.16443e-21	2.26227e-21	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.121422	0.125174	0.124062	0.118286	0.108469	0.0955904	0.0808654	0.0655776	0.0509025	0.0377595	0.0267246	0.0180165	0.0115498	0.00702891	0.00405395	0.00222936	0.00117076	0.000589051	0.000285686	0.000134971	6.15424e-05	2.71401e-05	1.15966e-05	4.80692e-06	1.93393e-06	7.54964e-07	2.85685e-07	1.04638e-07	3.70416e-08	1.26637e-08	4.18581e-09	1.34419e-09	4.2432e-10	1.33498e-10	4.29781e-11	1.4523e-11	5.19811e-12	1.94123e-12	7.34422e-13	2.43059e-13	7.27176e-14	2.00037e-14	5.11153e-15	1.22148e-15	2.74274e-16	5.80703e-17	1.16233e-17	2.2038e-18	3.96433e-19	6.77509e-20	1.10165e-20	1.70833e-21	2.51897e-22	3.53794e-23	4.74454e-24	6.09593e-25	7.53878e-26	9.02221e-27	1.04931e-27	1.19254e-28	1.33573e-29	1.49674e-30	1.72179e-31	2.11104e-32	2.86063e-33	4.33068e-34	7.16387e-35	1.2527e-35	2.26744e-36	4.2432e-37	9.38949e-38	
N4	0.120328	0.124216	0.123418	0.118052	0.108637	0.0960652	0.0815021	0.0662282	0.0514542	0.0381532	0.026953	0.0181089	0.0115512	0.00698345	0.00399473	0.00217544	0.00112957	0.000560921	0.000268023	0.000124734	5.58834e-05	2.41623e-05	1.0104e-05	4.09259e-06	1.60677e-06	6.1136e-07	2.25238e-07	8.02391e-08	2.75984e-08	9.15594e-09	2.93091e-09	9.08016e-10	2.74395e-10	8.14327e-11	2.41718e-11	7.36484e-12	2.40097e-12	9.04227e-13	4.21791e-13	1.42049e-13	4.17266e-14	1.129e-14	2.86549e-15	6.87141e-16	1.56261e-16	3.37769e-17	6.9505e-18	1.36281e-18	2.54736e-19	4.54025e-20	7.71864e-21	1.2536e-21	1.93906e-22	2.86257e-23	4.04361e-24	5.48728e-25	7.20276e-26	9.22946e-27	1.14772e-27	1.38447e-28	1.62251e-29	1.85005e-30	2.05425e-31	2.22234e-32	2.3465e-33	2.46024e-34	2.92222e-35	6.32961e-36	2.8186e-36	1.49972e-36	9.37637e-37	
N5	0.105004	0.109744	0.111592	0.110201	0.105389	0.0972671	0.0863288	0.0734291	0.0596653	0.0461818	0.033963	0.0236775	0.0156159	0.00972472	0.00570798	0.00317683	0.0016803	0.000849852	0.000416885	0.000203965	9.74589e-05	4.55995e-05	2.09066e-05	9.3794e-06	4.10351e-06	1.74237e-06	7.14138e-07	2.81069e-07	1.0575e-07	3.79073e-08	1.2925e-08	4.19919e-09	1.31354e-09	4.04904e-10	1.3127e-10	4.91887e-11	2.21477e-11	1.11376e-11	5.65046e-12	2.14161e-12	6.93599e-13	2.01297e-13	5.35507e-14	1.32197e-14	3.04945e-15	6.5993e-16	1.34291e-16	2.5732e-17	4.64711e-18	7.91658e-19	1.27345e-19	1.93841e-20	2.78396e-21	3.78092e-22	4.87518e-23	6.01265e-24	7.18051e-25	8.42839e-26	9.76527e-27	1.11826e-27	1.26512e-28	1.41461e-29	1.57499e-30	1.79646e-31	2.25402e-32	3.44276e-33	6.60224e-34	1.46258e-34	3.41615e-35	8.12573e-36	2.2432e-36	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0994914	0.104449	0.107108	0.107017	0.103801	0.0973238	0.0878262	0.0759671	0.0627481	0.0493304	0.0368061	0.025997	0.0173446	0.0109085	0.00645519	0.00361543	0.00192056	0.000973371	0.000477468	0.000233844	0.000111574	5.20336e-05	2.37568e-05	1.0608e-05	4.61621e-06	1.94766e-06	7.92226e-07	3.09005e-07	1.15055e-07	4.07577e-08	1.37111e-08	4.38241e-09	1.33809e-09	3.93351e-10	1.15366e-10	3.70409e-11	1.53267e-11	8.68041e-12	5.64626e-12	2.18132e-12	6.96227e-13	1.99537e-13	5.29012e-14	1.31188e-14	3.05574e-15	6.69613e-16	1.38132e-16	2.683e-17	4.90705e-18	8.45091e-19	1.37094e-19	2.09916e-20	3.02548e-21	4.11417e-22	5.29951e-23	6.51751e-24	7.77246e-25	9.18203e-26	1.06772e-26	1.21791e-27	1.36136e-28	1.48928e-29	1.59009e-30	1.65256e-31	1.68424e-32	1.80157e-33	2.63192e-34	6.78554e-35	2.30649e-35	7.87381e-36	3.58207e-36	
N7	0.0747709	0.0793251	0.0830618	0.0856604	0.0867446	0.0859611	0.0830688	0.0780158	0.0709867	0.0624007	0.0528593	0.0430531	0.0336506	0.0251977	0.0180511	0.0124522	0.00829889	0.00539412	0.00349332	0.00234578	0.00160151	0.00111473	0.000787278	0.000558387	0.00039292	0.000271269	0.000182148	0.000118214	7.38587e-05	4.4343e-05	2.56089e-05	1.43197e-05	7.89735e-06	4.44304e-06	2.72533e-06	1.93884e-06	1.59227e-06	1.41008e-06	1.25714e-06	9.08501e-07	5.80367e-07	3.39163e-07	1.84442e-07	9.42297e-08	4.54778e-08	2.08018e-08	9.03411e-09	3.72896e-09	1.4637e-09	5.46634e-10	1.94405e-10	6.59833e-11	2.12934e-11	6.54909e-12	1.92951e-12	5.5005e-13	1.54349e-13	4.35891e-14	1.25465e-14	3.69643e-15	1.10966e-15	3.3688e-16	1.03363e-16	3.26252e-17	1.10708e-17	4.27561e-18	1.92688e-18	9.84773e-19	5.49885e-19	3.4259e-19	2.87925e-19	
