NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.180506	0.170418	0.152454	0.129655	0.105121	0.0814455	0.0604121	0.0429596	0.0293149	0.019207	0.0120865	0.00730551	0.00424119	0.0023646	0.00126589	0.000650618	0.000320974	0.000151966	6.90357e-05	3.00855e-05	1.25747e-05	5.03958e-06	1.93611e-06	7.12837e-07	2.51454e-07	8.496e-08	2.74882e-08	8.51425e-09	2.52414e-09	7.16073e-10	1.94355e-10	5.04615e-11	1.25311e-11	2.97603e-12	6.75869e-13	1.29649e-16	5.90775e-17	2.6323e-17	1.14685e-17	4.88584e-18	2.03535e-18	8.29115e-19	3.30279e-19	1.28663e-19	4.90172e-20	1.82638e-20	6.65581e-21	2.37251e-21	8.27256e-22	2.82182e-22	9.41693e-23	3.07481e-23	9.82425e-24	3.07183e-24	9.40078e-25	2.81618e-25	8.25955e-26	2.37215e-26	6.67313e-27	1.8394e-27	4.97049e-28	1.31772e-28	3.43116e-29	8.79067e-30	2.22214e-30	5.56644e-31	1.39098e-31	3.50154e-32	9.01165e-33	2.45847e-33	8.78285e-34	
N2	0.0066844	0.00773288	0.00948926	0.0121364	0.0156626	0.0202116	0.0255628	0.031739	0.0382164	0.0449386	0.0511412	0.0568513	0.0612199	0.0645023	0.0658893	0.0659054	0.0638693	0.060572	0.0555519	0.0497978	0.0430712	0.0363782	0.0295904	0.0234984	0.0179459	0.0133868	0.00959438	0.00672355	0.00452329	0.00297974	0.00188321	0.00116744	0.000693796	0.000405182	0.000226682	0.000124868	6.58275e-05	3.4235e-05	1.70235e-05	8.36689e-06	3.92704e-06	1.82513e-06	8.09185e-07	3.55875e-07	1.49111e-07	6.20794e-08	2.46e-08	9.70267e-09	3.63848e-09	1.3604e-09	4.83394e-10	1.71591e-10	5.78694e-11	1.95406e-11	6.27573e-12	2.02382e-12	6.22087e-13	1.92713e-13	5.71848e-14	1.71784e-14	4.97762e-15	1.46636e-15	4.20435e-16	1.22761e-16	3.51393e-17	1.02137e-17	2.9265e-18	8.51562e-19	2.52182e-19	8.51732e-20	4.36701e-20	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.1525	0.152951	0.144455	0.129973	0.110602	0.0900244	0.0694763	0.051449	0.0361617	0.0244574	0.0157002	0.00972883	0.00571671	0.00325628	0.00175607	0.000923695	0.000458799	0.000224273	0.000103146	4.72874e-05	2.0276e-05	8.81248e-06	3.55275e-06	1.48083e-06	5.65158e-07	2.27409e-07	8.25059e-08	3.20978e-08	1.10456e-08	4.12557e-09	1.34179e-09	4.78093e-10	1.45922e-10	4.91278e-11	1.40416e-11	4.45946e-12	1.18764e-12	3.53726e-13	8.80013e-14	2.46911e-14	5.71756e-15	1.50397e-15	3.26237e-16	8.11808e-17	1.64246e-17	3.84033e-18	7.31747e-19	1.62812e-19	2.90088e-20	6.07284e-21	1.0247e-21	2.05103e-22	3.24083e-23	6.09883e-24	9.16445e-25	1.65321e-25	2.32481e-26	3.93209e-27	5.27348e-28	8.5689e-29	1.07731e-29	1.64576e-30	2.00123e-31	2.99867e-32	3.58067e-33	5.39203e-34	7.20752e-35	1.24754e-35	2.11834e-36	4.46836e-37	1.13923e-37	
N4	0.151722	0.152324	0.144117	0.129958	0.110839	0.0904112	0.069882	0.0518062	0.0364124	0.0246146	0.0157673	0.00974666	0.00569975	0.00323222	0.00172932	0.000903989	0.000443797	0.000215339	9.7431e-05	4.43355e-05	1.85852e-05	8.03048e-06	3.13862e-06	1.30652e-06	4.77962e-07	1.93558e-07	6.64042e-08	2.63303e-08	8.4282e-09	3.25824e-09	9.69267e-10	3.65244e-10	9.99397e-11	3.63773e-11	9.1515e-12	3.24273e-12	7.41928e-13	2.5357e-13	5.31903e-14	1.78854e-14	3.3913e-15	1.10202e-15	1.92721e-16	6.25487e-17	9.86153e-18	3.07727e-18	4.54034e-19	1.4333e-19	1.90238e-20	5.67141e-21	7.18925e-22	2.18872e-22	2.48514e-23	6.96222e-24	7.71888e-25	2.23125e-25	2.19377e-26	5.66389e-27	5.55065e-28	1.4983e-28	1.28625e-29	3.02034e-30	2.63746e-31	6.59904e-32	4.96962e-33	1.05552e-33	8.39831e-35	2.0358e-35	1.96388e-36	6.96777e-37	3.38676e-37	
N5	0.132317	0.135063	0.131749	0.123806	0.110829	0.0953016	0.0777781	0.0609018	0.0451339	0.0321249	0.0215918	0.0139858	0.00853157	0.00504808	0.0028028	0.00152615	0.000775053	0.000392859	0.000183965	8.83034e-05	3.8515e-05	1.784e-05	7.33048e-06	3.33159e-06	1.29671e-06	5.79291e-07	2.13764e-07	9.33086e-08	3.23692e-08	1.35587e-08	4.4069e-09	1.75963e-09	5.30696e-10	1.98989e-10	5.5895e-11	1.9802e-11	5.13516e-12	1.69617e-12	4.1064e-13	1.2868e-13	2.87267e-14	8.37891e-15	1.75844e-15	4.91665e-16	9.51046e-17	2.47201e-17	4.53898e-18	1.14526e-18	1.93314e-19	4.50975e-20	7.29307e-21	1.66871e-21	2.47018e-22	5.18442e-23	7.41321e-24	1.53699e-24	1.99806e-25	3.75818e-26	4.74555e-27	8.86333e-28	1.01477e-28	1.7122e-29	1.92369e-30	3.26305e-31	3.37582e-32	5.32823e-33	6.07235e-34	1.12838e-34	1.77977e-35	4.40522e-36	1.32836e-36	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.124316	0.127863	0.126448	0.120983	0.110531	0.0970971	0.0809353	0.0646866	0.0488661	0.0354219	0.0242034	0.0159283	0.00984906	0.00590729	0.00331314	0.00182489	0.000932186	0.000477311	0.000223627	0.000108471	4.70073e-05	2.20608e-05	8.92451e-06	4.13322e-06	1.56463e-06	7.17564e-07	2.54035e-07	1.15055e-07	3.77015e-08	1.65555e-08	5.01496e-09	2.13178e-09	5.90019e-10	2.38287e-10	6.08142e-11	2.36871e-11	5.49684e-12	2.01553e-12	4.3469e-13	1.55122e-13	3.03469e-14	1.00967e-14	1.8627e-15	6.12336e-16	1.02024e-16	3.07941e-17	4.93081e-18	1.49838e-18	2.14381e-19	5.84126e-20	8.18647e-21	2.28969e-21	2.82588e-22	6.90831e-23	8.50915e-24	2.17874e-24	2.31775e-25	5.03889e-26	5.43346e-27	1.26159e-27	1.15737e-28	2.2341e-29	2.11368e-30	4.45379e-31	3.51837e-32	6.01662e-33	5.09263e-34	1.02285e-34	1.03717e-35	2.82792e-36	1.21825e-36	
N7	0.075287	0.0803611	0.0851019	0.0893544	0.0912647	0.0909116	0.0869343	0.0805153	0.0711691	0.0609374	0.049686	0.0394296	0.029751	0.0220477	0.0155029	0.0108705	0.00720117	0.00487158	0.0030894	0.00206894	0.00127812	0.000865804	0.000527644	0.000364425	0.000218642	0.000151906	8.89443e-05	6.12177e-05	3.45016e-05	2.31021e-05	1.24815e-05	8.11322e-06	4.16891e-06	2.60573e-06	1.28074e-06	7.77766e-07	3.63318e-07	2.12201e-07	9.54704e-08	5.46858e-08	2.34445e-08	1.29246e-08	5.38852e-09	2.94026e-09	1.16876e-09	6.1105e-10	2.37841e-10	1.23534e-10	4.55868e-11	2.24385e-11	8.11655e-12	3.96462e-12	1.34917e-12	6.18325e-13	2.06141e-13	9.36788e-14	2.9155e-14	1.23243e-14	3.75606e-15	1.57661e-15	4.47566e-16	1.7462e-16	4.8912e-17	1.91927e-17	5.11991e-18	1.94433e-18	5.80062e-19	2.62132e-19	1.09758e-19	7.17711e-20	6.42211e-20	
