NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.209671	0.194178	0.16731	0.13475	0.101836	0.072445	0.0486363	0.0308712	0.018553	0.0105661	0.00570635	0.00292319	0.00142076	0.000655138	0.000286621	0.000118956	4.68325e-05	1.74876e-05	6.19307e-06	2.07987e-06	6.62378e-07	2.00029e-07	5.72793e-08	1.55529e-08	4.00453e-09	9.77724e-10	2.26375e-10	4.97047e-11	1.03502e-11	2.04409e-12	3.82895e-13	8.17856e-17	3.35762e-17	1.34258e-17	5.22904e-18	1.98379e-18	7.33132e-19	2.6394e-19	9.25744e-20	3.16349e-20	1.05333e-20	3.41758e-21	1.0806e-21	3.32998e-22	1.00021e-22	2.9286e-23	8.35974e-24	2.3267e-24	6.31469e-25	1.67141e-25	4.31505e-26	1.08673e-26	2.67025e-27	6.40238e-28	1.49816e-28	3.42202e-29	7.63124e-30	1.66186e-30	3.53505e-31	7.34757e-32	1.49291e-32	2.96712e-33	5.77378e-34	1.10169e-34	2.06634e-35	3.82557e-36	7.04053e-37	1.30314e-37	2.47118e-38	4.97732e-39	1.31289e-39	
N2	0.00475707	0.0058072	0.00768174	0.0105886	0.014704	0.0202106	0.0268089	0.0345196	0.0428194	0.0510472	0.0586227	0.0653067	0.0697186	0.0723649	0.0726804	0.0705328	0.0662665	0.0607072	0.0533495	0.0456966	0.0378589	0.03026	0.0233537	0.0175593	0.0125918	0.0087921	0.00591605	0.00382908	0.00238523	0.00144872	0.000834779	0.000469262	0.000253761	0.000132014	6.60268e-05	3.23244e-05	1.49546e-05	6.77989e-06	2.95539e-06	1.24169e-06	5.01248e-07	1.99015e-07	7.44427e-08	2.74256e-08	9.70877e-09	3.32063e-09	1.09081e-09	3.54237e-10	1.08086e-10	3.26459e-11	9.47107e-12	2.66418e-12	7.19854e-13	1.93372e-13	4.87683e-14	1.22569e-14	2.96732e-15	7.0178e-16	1.60493e-16	3.69163e-17	8.08382e-18	1.79516e-18	3.92448e-19	8.59735e-20	1.87625e-20	4.18947e-21	9.24145e-22	2.08046e-22	4.75885e-23	1.20773e-23	4.85461e-24	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.173838	0.173885	0.160694	0.138356	0.111423	0.0846563	0.0598631	0.0400792	0.0252607	0.0149762	0.00836981	0.00447491	0.00222638	0.00106611	0.000483675	0.000208741	8.53928e-05	3.44742e-05	1.2787e-05	4.75253e-06	1.67603e-06	5.77347e-07	1.87438e-07	6.33596e-08	1.88741e-08	5.95444e-09	1.72885e-09	5.04727e-10	1.33697e-10	3.8467e-11	9.25204e-12	2.44937e-12	5.71347e-13	1.38108e-13	2.9273e-14	6.98095e-15	1.33368e-15	2.89616e-16	5.42225e-17	1.07743e-17	1.82689e-18	3.57913e-19	5.49147e-20	9.84456e-21	1.48997e-21	2.4158e-22	3.31884e-23	5.40648e-24	6.68197e-25	9.81884e-26	1.21003e-26	1.6267e-27	1.80897e-28	2.4278e-29	2.44244e-30	2.98629e-31	2.98389e-32	3.29397e-33	3.00892e-34	3.37619e-35	2.76223e-36	2.79289e-37	2.33374e-38	2.19895e-39	1.69919e-40	1.68782e-41	1.36722e-42	1.52026e-43	1.73682e-44	2.57146e-45	4.73969e-46	
N4	0.172901	0.173186	0.160427	0.138517	0.111852	0.0851737	0.0602946	0.0403735	0.0254135	0.0150251	0.00835839	0.00444651	0.0021931	0.00104161	0.000467405	0.000199341	8.01962e-05	3.20746e-05	1.15943e-05	4.25965e-06	1.4651e-06	4.97001e-07	1.55063e-07	5.27672e-08	1.47484e-08	4.70131e-09	1.29528e-09	3.81508e-10	9.28545e-11	2.85298e-11	6.05144e-12	1.73281e-12	3.64845e-13	9.50774e-14	1.7368e-14	4.93022e-15	7.61312e-16	1.97963e-16	3.16537e-17	7.5348e-18	1.01684e-18	2.66532e-19	3.05552e-20	7.47208e-21	9.11095e-22	1.9097e-22	1.9771e-23	4.95649e-24	4.23343e-25	9.09974e-26	8.79351e-27	1.7183e-27	1.34483e-28	2.93314e-29	1.99607e-30	4.00805e-31	2.94755e-32	4.74291e-33	3.11457e-34	6.33642e-35	3.24945e-36	5.20503e-37	3.37377e-38	5.11102e-39	2.46795e-40	3.98342e-41	1.82223e-42	2.94617e-43	1.76044e-44	3.74446e-45	1.34621e-45	
N5	0.148627	0.152396	0.147316	0.134562	0.11591	0.0945538	0.0717285	0.0514222	0.0345565	0.0217368	0.012812	0.00721254	0.00373947	0.00186992	0.000880665	0.000394825	0.000166445	7.08945e-05	2.69009e-05	1.06439e-05	3.91053e-06	1.4461e-06	4.85546e-07	1.83154e-07	5.54563e-08	1.95595e-08	5.8694e-09	1.90113e-09	5.09146e-10	1.66614e-10	3.97182e-11	1.18722e-11	2.77446e-12	7.45198e-13	1.56097e-13	4.26415e-14	7.8489e-15	1.90949e-15	3.53757e-16	7.82921e-17	1.28375e-17	2.86346e-18	4.17369e-19	8.46431e-20	1.24666e-20	2.21274e-21	2.91964e-22	5.52822e-23	6.31049e-24	1.03101e-24	1.22971e-25	1.84879e-26	1.91469e-27	2.9358e-28	2.71438e-29	3.78168e-30	3.52321e-31	4.22934e-32	3.6077e-33	4.735e-34	3.42464e-35	3.80603e-36	2.98615e-37	3.12219e-38	2.10114e-39	2.2606e-40	1.51233e-41	1.74982e-42	1.75285e-43	2.93384e-44	6.47403e-45	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.138602	0.143652	0.141539	0.132461	0.117186	0.098228	0.0764873	0.0562101	0.0386487	0.0248262	0.0149095	0.0085455	0.00449318	0.0022793	0.00108552	0.000491831	0.000208369	8.99788e-05	3.39758e-05	1.36189e-05	4.979e-06	1.86124e-06	6.11756e-07	2.38599e-07	6.89884e-08	2.52732e-08	7.298e-09	2.45292e-09	6.13758e-10	2.17577e-10	4.70646e-11	1.53672e-11	3.30979e-12	9.62816e-13	1.80991e-13	5.69755e-14	9.052e-15	2.5021e-15	4.1775e-16	1.0488e-16	1.48531e-17	3.91878e-18	4.81027e-19	1.16002e-19	1.49334e-20	2.98105e-21	3.35889e-22	7.93348e-23	7.27901e-24	1.38206e-24	1.43973e-25	2.57064e-26	2.14939e-27	3.99895e-28	2.96926e-29	5.12991e-30	3.90228e-31	5.23092e-32	3.70057e-33	6.33796e-34	3.39485e-35	4.29539e-36	2.89016e-37	3.65953e-38	1.80717e-39	2.25436e-40	1.07321e-41	1.37915e-42	8.38753e-44	1.36628e-44	4.07304e-45	
N7	0.0800227	0.0872749	0.094335	0.0998674	0.102192	0.100772	0.0936652	0.0832557	0.0701603	0.0559912	0.0423846	0.0310701	0.0212667	0.0142796	0.00918839	0.0057426	0.00344433	0.00214323	0.00121222	0.000735377	0.000422706	0.000250447	0.00013742	8.56316e-05	4.40878e-05	2.64685e-05	1.38797e-05	7.90078e-06	3.84547e-06	2.26041e-06	1.01955e-06	5.66884e-07	2.58667e-07	1.34158e-07	5.70991e-08	3.09663e-08	1.20558e-08	6.03608e-09	2.4378e-09	1.1468e-09	4.24925e-10	2.06578e-10	7.03967e-11	3.20081e-11	1.12465e-11	4.629e-12	1.50019e-12	6.61236e-13	1.91956e-13	7.56597e-14	2.303e-14	8.52174e-15	2.33034e-15	8.85741e-16	2.21891e-16	7.82683e-17	1.99355e-17	6.27785e-18	1.49148e-18	5.06299e-19	1.05933e-19	3.16807e-20	7.12225e-21	2.02089e-21	4.05997e-22	1.2079e-22	2.48663e-23	8.17821e-24	2.56058e-24	1.27712e-24	9.64323e-25	
