NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.121278	0.118666	0.113762	0.106836	0.098167	0.0881042	0.0770838	0.0656167	0.0542439	0.0434762	0.0337353	0.0253107	0.018342	0.0128267	0.00864928	0.00562032	0.0035174	0.00211917	0.00122863	0.000685257	0.000367571	0.000189577	9.39958e-05	4.4796e-05	2.05174e-05	9.03062e-06	3.81934e-06	1.55206e-06	6.05983e-07	2.27317e-07	8.19255e-08	2.83674e-08	9.43711e-09	3.01638e-09	9.26343e-10	2.73347e-10	7.75055e-11	2.11178e-11	5.52954e-12	1.39149e-12	3.36555e-13	1.09936e-16	5.19713e-17	2.409e-17	1.09492e-17	4.88012e-18	2.13313e-18	9.14517e-19	3.84609e-19	1.58708e-19	6.42808e-20	2.55683e-20	9.99626e-21	3.8468e-21	1.4604e-21	5.48946e-22	2.05476e-22	7.72768e-23	2.9626e-23	1.18989e-23	5.3585e-24	3.21644e-24	
N2	0.00761932	0.00945358	0.0122263	0.0161018	0.0211895	0.027497	0.0348848	0.0430367	0.0514588	0.0595138	0.0664939	0.0717182	0.0746401	0.0749381	0.0725712	0.067785	0.0610671	0.0530634	0.044475	0.0359578	0.028045	0.0211023	0.0153197	0.0107313	0.0072538	0.00473183	0.00297906	0.00181032	0.00106193	0.000601365	0.000328798	0.000173584	8.84965e-05	4.35735e-05	2.07227e-05	9.52021e-06	4.22546e-06	1.81208e-06	7.50955e-07	3.0077e-07	1.16438e-07	4.35763e-08	1.57674e-08	5.51677e-09	1.86674e-09	6.10968e-10	1.93443e-10	5.92596e-11	1.75673e-11	5.04054e-12	1.40016e-12	3.76654e-13	9.81706e-14	2.48108e-14	6.089e-15	1.45511e-15	3.40481e-16	7.89149e-17	1.85845e-17	4.71838e-18	1.48724e-18	7.76251e-19	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	7.95976e-05	0.000129375	0.000252269	0.000521135	0.00106789	0.00210903	0.00396733	0.00707413	0.0119312	0.0190134	0.0286088	0.0406237	0.0544134	0.0687243	0.0818171	0.0917861	0.0970053	0.0965624	0.0905189	0.0798977	0.0663981	0.0519498	0.0382664	0.0265383	0.0173292	0.0106558	0.00617099	0.00336637	0.00173021	0.000838048	0.000382638	0.000164734	6.68948e-05	2.5631e-05	9.26954e-06	3.16547e-06	1.02113e-06	3.11289e-07	8.97177e-08	2.44578e-08	6.30927e-09	1.54088e-09	3.56443e-10	7.81368e-11	1.62397e-11	3.20166e-12	5.99047e-13	1.06428e-13	1.79629e-14	2.88168e-15	4.39625e-16	6.38128e-17	8.81747e-18	1.16043e-18	1.45541e-19	1.74086e-20	1.98852e-21	2.1762e-22	2.30543e-23	2.45452e-24	3.03916e-25	7.33536e-26	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.0504728	0.0579756	0.0655428	0.072629	0.0785305	0.0825201	0.0840003	0.0826361	0.078433	0.0717424	0.0631947	0.0535808	0.0437157	0.0343155	0.0259132	0.0188233	0.0131518	0.00883823	0.00571225	0.00355042	0.00212204	0.00121954	0.000673871	0.000357988	0.000182829	8.97601e-05	4.23611e-05	1.92169e-05	8.37952e-06	3.51214e-06	1.41494e-06	5.47922e-07	2.03949e-07	7.29717e-08	2.50975e-08	8.29784e-09	2.63741e-09	8.05919e-10	2.36773e-10	6.68851e-11	1.81685e-11	4.74613e-12	1.19244e-12	2.88177e-13	6.69997e-14	1.4988e-14	3.22668e-15	6.68668e-16	1.33422e-16	2.56421e-17	4.74875e-18	8.47899e-19	1.46073e-19	2.43052e-20	3.91193e-21	6.10537e-22	9.28087e-23	1.3866e-23	2.07881e-24	3.29827e-25	6.42945e-26	2.29613e-26	
N5	0.0267458	0.0311606	0.0361945	0.0417161	0.0474821	0.0531579	0.058353	0.0626651	0.0657282	0.0672588	0.0670921	0.0652033	0.061711	0.0568606	0.0509925	0.0445	0.0377832	0.0312076	0.0250723	0.0195908	0.0148867	0.0110001	0.00790367	0.00552162	0.00375055	0.00247686	0.00159029	0.0009927	0.00060245	0.000355457	0.000203902	0.000113718	6.16623e-05	3.25089e-05	1.66644e-05	8.30609e-06	4.02566e-06	1.89727e-06	8.69539e-07	3.87559e-07	1.67995e-07	7.08245e-08	2.90419e-08	1.15835e-08	4.49427e-09	1.69631e-09	6.22885e-10	2.22536e-10	7.73609e-11	2.61714e-11	8.61778e-12	2.76287e-12	8.62888e-13	2.62796e-13	7.82009e-14	2.2826e-14	6.58681e-15	1.90902e-15	5.73637e-16	1.90418e-16	7.89547e-17	5.01602e-17	
N6	9.10387e-05	0.000141583	0.000254034	0.000474266	0.000879425	0.00158894	0.00277381	0.00465915	0.00751329	0.0116172	0.0172109	0.0244201	0.0331756	0.0431466	0.0537135	0.0640022	0.0729886	0.0796605	0.083203	0.0831625	0.0795416	0.0727994	0.0637556	0.0534268	0.0428399	0.0328689	0.0241309	0.0169521	0.0113958	0.00733093	0.0045132	0.00265919	0.00149963	0.000809512	0.000418322	0.000206962	9.80427e-05	4.44772e-05	1.9325e-05	8.04308e-06	3.20714e-06	1.22539e-06	4.48719e-07	1.57505e-07	5.3005e-08	1.71054e-08	5.29458e-09	1.5722e-09	4.47977e-10	1.22512e-10	3.2165e-11	8.1093e-12	1.96387e-12	4.5704e-13	1.02285e-13	2.20446e-14	4.59088e-15	9.31882e-16	1.88687e-16	4.05511e-17	1.08454e-17	5.04898e-18	
Scirpus_pendulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
