NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	7.95901e-10	8.31563e-10	9.40792e-10	1.16792e-09	1.57965e-09	2.26555e-09	3.37568e-09	5.16853e-09	8.08337e-09	1.28429e-08	2.0605e-08	3.29038e-08	5.23821e-08	8.31884e-08	2.09544e-07	4.35419e-07	7.95598e-07	1.31879e-06	2.00692e-06	2.81305e-06	3.64172e-06	3.57506e-06	3.52908e-06	3.53619e-06	3.61762e-06	3.7972e-06	4.0967e-06	4.5202e-06	5.03931e-06	5.59013e-06	6.09004e-06	5.38776e-06	4.90857e-06	4.64321e-06	4.58163e-06	4.73803e-06	5.15795e-06	5.92814e-06	7.21879e-06	9.40055e-06	1.33109e-05	1.82205e-05	2.88517e-05	5.0253e-05	9.15716e-05	0.000169597	0.000315955	0.000591118	0.00110983	0.00208323	0.00388148	0.00696494	0.0123747	0.0215221	0.0363329	0.058993	0.0906279	0.128354	0.162449	0.178415	0.16619	0.129316	
N2	4.35773e-08	2.11897e-08	3.14361e-08	4.62616e-08	6.70261e-08	9.4915e-08	1.30638e-07	1.74166e-07	2.24577e-07	2.80066e-07	3.38221e-07	3.96419e-07	4.53325e-07	5.08145e-07	5.66889e-07	6.26773e-07	6.87633e-07	7.50946e-07	8.16887e-07	8.84323e-07	9.51914e-07	1.0124e-06	1.08217e-06	1.17861e-06	1.32936e-06	1.58431e-06	2.03001e-06	2.81896e-06	4.22855e-06	6.77609e-06	1.14345e-05	1.98919e-05	3.55416e-05	6.43966e-05	0.00011687	0.000210825	0.000376792	0.000666952	0.00116999	0.00203462	0.00350529	0.00596076	0.0100335	0.0166589	0.027001	0.0421407	0.0623399	0.0860165	0.109057	0.125405	0.129359	0.119372	0.0968039	0.0689825	0.0432336	0.0241411	0.0124367	0.00627797	0.00328594	0.00178811	0.000966163	0.000496833	
N3	3.14489e-06	1.76377e-06	2.75408e-06	4.12101e-06	5.81137e-06	7.67743e-06	9.72955e-06	1.26884e-05	1.82613e-05	2.83205e-05	4.35408e-05	6.3667e-05	8.93141e-05	0.000121495	0.00015591	0.000185784	0.000206489	0.000231467	0.000295867	0.000464205	0.000875149	0.00178836	0.00338185	0.00556898	0.00855963	0.0150808	0.0321653	0.0668612	0.115422	0.158653	0.174347	0.15703	0.116339	0.0726724	0.0390155	0.0183317	0.00766033	0.0028836	0.000986334	0.000307971	8.79186e-05	2.305e-05	5.49596e-06	1.19765e-06	2.3875e-07	4.36147e-08	7.31805e-09	1.13086e-09	1.61415e-10	2.13439e-11	2.62184e-12	3.00849e-13	3.20583e-14	3.1931e-15	2.97711e-16	2.60142e-17	2.13257e-18	1.64165e-19	1.18767e-20	8.08104e-22	5.17478e-23	3.12273e-24	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	7.2909e-07	2.66783e-07	4.17017e-07	1.01953e-06	2.64859e-06	5.52862e-06	8.77346e-06	1.07033e-05	1.02836e-05	8.13226e-06	6.20137e-06	6.42338e-06	1.01209e-05	2.3238e-05	6.37134e-05	0.000146947	0.000244914	0.000291408	0.000252609	0.000266636	0.000640836	0.00220183	0.0139987	0.0635921	0.159236	0.23887	0.234004	0.160093	0.0808269	0.0316318	0.0100435	0.00270717	0.000632208	0.000131744	2.49472e-05	4.37176e-06	7.19906e-07	1.11733e-07	1.61291e-08	2.11925e-09	2.48757e-10	2.58736e-11	2.37056e-12	1.9398e-13	1.4448e-14	1.00393e-15	6.65248e-17	4.24282e-18	2.58627e-19	1.48333e-20	7.9001e-22	3.90055e-23	1.78732e-24	7.75362e-26	3.23261e-27	1.29976e-28	4.97774e-30	1.77753e-31	5.80611e-33	1.71737e-34	4.60299e-36	1.12926e-37	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.58423e-07	5.47538e-08	6.92619e-08	8.62399e-08	1.058e-07	1.27882e-07	1.52196e-07	1.7832e-07	2.05923e-07	2.35036e-07	2.6622e-07	2.99372e-07	3.37045e-07	3.79966e-07	4.34266e-07	5.03277e-07	5.8383e-07	6.79875e-07	8.04842e-07	9.86006e-07	1.27139e-06	1.73099e-06	2.49194e-06	3.80641e-06	6.14212e-06	1.03973e-05	1.82981e-05	3.30955e-05	6.07144e-05	0.000111582	0.000203615	0.000365623	0.000646118	0.00113689	0.00200043	0.00351501	0.00612776	0.0104939	0.017458	0.0279144	0.0424776	0.0610232	0.0812483	0.100098	0.113476	0.117749	0.111409	0.0959042	0.0750461	0.0533885	0.0345859	0.0206142	0.0112912	0.00584532	0.0029372	0.00146032	0.00071846	0.000344252	0.000157841	6.85054e-05	2.79692e-05	1.06697e-05	
N6	6.95988e-07	1.19256e-07	1.35546e-07	1.56361e-07	1.84654e-07	2.2506e-07	2.84844e-07	3.75824e-07	5.17877e-07	7.44592e-07	1.11161e-06	1.70625e-06	2.68323e-06	4.29205e-06	6.93756e-06	1.14836e-05	1.94072e-05	3.31935e-05	5.6599e-05	9.47819e-05	0.000154331	0.00024547	0.000378778	0.000574512	0.000871978	0.00135263	0.00217624	0.00362471	0.00612343	0.0101758	0.0161651	0.0243452	0.034249	0.0457057	0.0589294	0.0741197	0.0900347	0.103034	0.108335	0.103103	0.0886462	0.0701778	0.0513959	0.0358383	0.0242707	0.0161621	0.01065	0.00697132	0.00454245	0.00294083	0.00187665	0.00117141	0.000693704	0.000383915	0.000195297	9.03082e-05	3.77763e-05	1.43107e-05	4.93952e-06	1.56737e-06	4.61279e-07	1.26686e-07	
N7	1.006e-05	5.89499e-06	8.58984e-06	1.12288e-05	1.33331e-05	1.55674e-05	2.23063e-05	4.70113e-05	0.000117628	0.000268993	0.000509597	0.000784419	0.000986281	0.00103307	0.000934306	0.00081588	0.000864073	0.00139319	0.00286409	0.00550797	0.00867939	0.0112037	0.0125584	0.0139119	0.016125	0.0187323	0.0234705	0.0373626	0.0648056	0.0950603	0.107791	0.0951175	0.0657464	0.0374489	0.0226669	0.026865	0.0451069	0.0632522	0.06883	0.0597201	0.0424974	0.0254617	0.0128502	0.00554278	0.00206115	0.000666966	0.000189766	4.79871e-05	1.08879e-05	2.23098e-06	4.13908e-07	6.9728e-08	1.05556e-08	1.43967e-09	1.76926e-10	1.96432e-11	1.98012e-12	1.82426e-13	1.54667e-14	1.21377e-15	8.8499e-17	6.00746e-18	
