NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.216039	0.228984	0.218419	0.16866	0.10083	0.0459865	0.0159346	0.00418199	0.000827426	0.000122728	1.35732e-05	1.11433e-06	6.77017e-08	3.03833e-09	1.00453e-10	2.47144e-12	5.51944e-17	6.48909e-18	6.63703e-19	5.92755e-20	4.64038e-21	3.19644e-22	1.94458e-23	1.04849e-24	5.02725e-26	2.15025e-27	8.22879e-29	2.82582e-30	8.74304e-32	2.43982e-33	6.15691e-35	1.40859e-36	2.92893e-38	5.54893e-40	9.60134e-42	1.52092e-43	2.21075e-45	2.95535e-47	3.64142e-49	4.1443e-51	4.36566e-53	4.26516e-55	3.8721e-57	3.27262e-59	2.57966e-61	1.89978e-63	1.30931e-65	8.45816e-68	5.12955e-70	2.92481e-72	1.5702e-74	7.94786e-77	3.79804e-79	1.71569e-81	7.3354e-84	2.97186e-86	1.14222e-88	4.16932e-91	1.44691e-93	4.77919e-96	1.50754e-98	5.48087e-101	
N2	0.0328947	0.0598133	0.0980873	0.139427	0.160369	0.16018	0.131289	0.0972502	0.058851	0.0340949	0.0157532	0.00761671	0.00274582	0.00114176	0.000327443	0.000119824	2.78175e-05	8.72945e-06	1.67446e-06	4.64086e-07	7.12292e-08	1.60661e-08	2.012e-09	3.99838e-10	3.90941e-11	5.97354e-12	4.83038e-13	6.63937e-14	4.20726e-15	4.40717e-16	2.70605e-17	3.02038e-18	2.29844e-19	2.43354e-20	1.70247e-21	1.03022e-22	4.65542e-24	1.83316e-25	5.80872e-27	1.64967e-28	3.76167e-30	7.91473e-32	1.38844e-33	2.46929e-35	3.50269e-37	5.49503e-39	7.12057e-41	1.21484e-42	1.34814e-44	1.97871e-46	2.01895e-48	3.17912e-50	2.65417e-52	3.44474e-54	2.81754e-56	4.3327e-58	3.2028e-60	4.83996e-62	7.96187e-64	2.05556e-65	5.06147e-67	1.6841e-68	
N3	8.16781e-06	3.75514e-05	0.000168496	0.000626736	0.00174297	0.00438664	0.0104156	0.0208368	0.0325862	0.0407905	0.0387239	0.0377192	0.0523517	0.0909351	0.133456	0.164966	0.150775	0.114691	0.0627502	0.0291541	0.00951868	0.00271165	0.000538038	9.66872e-05	1.20565e-05	1.41673e-06	1.16816e-07	9.48638e-09	5.43426e-10	3.17578e-11	1.32666e-12	5.88758e-14	1.8782e-15	6.57044e-17	1.70193e-18	4.86414e-20	1.03575e-21	2.39401e-23	4.25693e-25	8.08727e-27	1.18183e-28	1.81239e-30	2.1948e-32	2.79612e-34	2.7867e-36	2.93937e-38	2.47075e-40	2.26196e-42	1.60888e-44	1.27347e-46	7.93784e-49	5.72917e-51	3.12331e-53	2.00751e-55	9.98267e-58	6.13338e-60	2.94425e-62	1.88765e-64	1.20651e-66	1.04418e-68	9.34938e-71	1.09521e-72	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	7.56587e-09	6.78419e-08	5.98144e-07	4.2843e-06	1.89214e-05	6.03753e-05	0.000283707	0.00138478	0.00451435	0.00753067	0.00525195	0.00207229	0.00118196	0.00174442	0.00641536	0.027299	0.0850724	0.184588	0.253266	0.232605	0.124375	0.0488334	0.0109157	0.00228539	0.000260928	3.26483e-05	2.10155e-06	1.57701e-07	6.08463e-09	2.8518e-10	7.04682e-12	2.20809e-13	3.69517e-15	8.13942e-17	9.74626e-19	1.60305e-20	1.42888e-22	1.807e-24	1.2821e-26	1.34027e-28	7.97912e-31	6.89257e-33	3.81894e-35	2.96153e-37	1.49852e-39	9.37621e-42	4.2277e-44	2.23493e-46	7.88274e-49	3.20913e-51	9.3339e-54	3.62968e-56	8.29572e-59	2.80018e-61	5.98384e-64	2.35614e-66	4.28062e-69	1.4299e-71	3.29982e-74	1.67786e-76	8.04616e-79	5.91527e-81	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0133735	0.0283716	0.056873	0.0984084	0.136466	0.159491	0.155538	0.136087	0.099387	0.0633505	0.0315907	0.0139238	0.0047855	0.0016529	0.000475416	0.000162956	4.41094e-05	1.45652e-05	3.2794e-06	9.61996e-07	1.68871e-07	4.22308e-08	5.79971e-09	1.24897e-09	1.29189e-10	2.15835e-11	1.70354e-12	2.30942e-13	1.3323e-14	1.30296e-15	5.7909e-17	4.72153e-18	1.66703e-19	1.11594e-20	4.11609e-22	2.05555e-23	6.02682e-25	1.98461e-26	4.56959e-28	1.10564e-29	1.81067e-31	3.0297e-33	3.79005e-35	5.24016e-37	4.95963e-39	5.42884e-41	4.50943e-43	5.21845e-45	3.6523e-47	3.68316e-49	2.58471e-51	3.24169e-53	1.87801e-55	1.87673e-57	1.07873e-59	1.36464e-61	5.82143e-64	4.98861e-66	2.7192e-68	4.32315e-70	6.61973e-72	1.71949e-73	
N6	0.00155315	0.00388844	0.00974148	0.0218936	0.041283	0.0667754	0.0906954	0.113928	0.130716	0.141519	0.128905	0.104657	0.0671959	0.0405035	0.0191109	0.00977201	0.00395952	0.00209024	0.000886043	0.000528203	0.00021862	0.000117819	3.93968e-05	1.70369e-05	4.23741e-06	1.38876e-06	2.60579e-07	6.88574e-08	9.72961e-09	1.98449e-09	2.25247e-10	4.05246e-11	3.90948e-12	6.0822e-13	6.06855e-14	7.91743e-15	6.7063e-16	6.32231e-17	4.41111e-18	3.20243e-19	1.68064e-20	8.88391e-22	3.61096e-23	1.54108e-24	4.75879e-26	1.60973e-27	4.10409e-29	1.33323e-30	2.80248e-32	7.9448e-34	1.53712e-35	4.58329e-37	7.48009e-39	1.83744e-40	2.82545e-42	7.34965e-44	9.49641e-46	2.10228e-47	3.95128e-49	1.56795e-50	6.53191e-52	4.49862e-53	
N7	1.70441e-06	4.48096e-06	2.20732e-05	0.000104287	0.000473279	0.0018998	0.00470617	0.00486151	0.00555451	0.0121442	0.0267692	0.0610009	0.13364	0.228137	0.22126	0.127743	0.0442954	0.0126108	0.00386139	0.00466148	0.00823907	0.0153805	0.019022	0.0233302	0.0176826	0.0132772	0.0058984	0.00259553	0.000642512	0.000157068	2.13281e-05	3.00508e-06	2.36521e-07	2.06582e-08	1.07781e-09	6.5751e-11	2.46077e-12	1.07167e-13	3.12711e-15	1.03684e-16	2.31603e-18	5.5968e-20	9.73866e-22	1.82231e-23	2.40388e-25	3.41113e-27	3.5621e-29	4.2337e-31	3.48325e-33	3.39427e-35	2.36537e-37	2.13857e-39	1.2442e-41	9.60296e-44	5.01006e-46	3.71656e-48	1.68998e-50	1.13088e-52	6.33844e-55	6.06736e-57	6.0852e-59	8.87736e-61	
