NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.250335	0.242468	0.209229	0.150553	0.0873354	0.0402238	0.0145994	0.00415348	0.000921224	0.000158443	2.10328e-05	2.14714e-06	1.68159e-07	1.00928e-08	4.64354e-10	1.64027e-11	4.46059e-13	2.48724e-17	3.1765e-18	3.58309e-19	3.57943e-20	3.17556e-21	2.50888e-22	1.76999e-23	1.11797e-24	6.33797e-26	3.23281e-27	1.48708e-28	6.18296e-30	2.3288e-31	7.96322e-33	2.47747e-34	7.02782e-36	1.82159e-37	4.3233e-39	9.41499e-41	1.8852e-42	3.47782e-44	5.92286e-46	9.32985e-48	1.36194e-49	1.84582e-51	2.32671e-53	2.73259e-55	2.99519e-57	3.069e-59	2.94431e-61	2.64879e-63	2.23785e-65	1.77809e-67	1.3305e-69	9.38845e-72	6.25528e-74	3.94016e-76	2.34916e-78	1.32723e-80	7.11381e-83	3.62113e-85	1.75239e-87	8.07156e-90	3.55389e-92	1.84094e-94	
N2	0.0469762	0.0762342	0.111714	0.145451	0.156279	0.14885	0.118083	0.0862241	0.0522377	0.0307802	0.0147852	0.00749257	0.00292359	0.00130899	0.000422907	0.000170424	4.5655e-05	1.60644e-05	3.63477e-06	1.14531e-06	2.12464e-07	5.58251e-08	8.6281e-09	2.0108e-09	2.47524e-10	4.56243e-11	4.70095e-12	7.75811e-13	6.2731e-14	7.90782e-15	5.44217e-16	6.30168e-17	3.35366e-18	2.87421e-19	1.31485e-20	1.06345e-21	3.78239e-23	2.28658e-24	7.28589e-26	4.37689e-27	1.08742e-28	4.75641e-30	1.07417e-31	4.78309e-33	8.59704e-35	2.87982e-36	4.99704e-38	1.79329e-39	2.4555e-41	6.27837e-43	8.20047e-45	2.23964e-46	2.36662e-48	4.89689e-50	5.25464e-52	1.22009e-53	1.03973e-55	1.73445e-57	1.68573e-59	3.89047e-61	7.72913e-63	3.67953e-64	
N3	2.0064e-05	7.80999e-05	0.000304374	0.00100898	0.00257042	0.00596031	0.0129399	0.0242388	0.0358003	0.0433629	0.0417661	0.0417425	0.0547012	0.0883972	0.124872	0.152721	0.141709	0.111919	0.065445	0.0331293	0.0121803	0.00396704	0.00093146	0.000199789	3.07221e-05	4.4573e-06	4.67317e-07	4.79316e-08	3.55106e-09	2.65562e-10	1.45163e-11	8.28061e-13	3.43344e-14	1.5217e-15	4.96619e-17	1.78008e-18	4.643e-20	1.35072e-21	2.90454e-23	7.11847e-25	1.26588e-26	2.58673e-28	3.91169e-30	6.92658e-32	8.86154e-34	1.33387e-35	1.48489e-37	1.98184e-39	1.89634e-41	2.18027e-43	1.84746e-45	1.91877e-47	1.41804e-49	1.28781e-51	8.64098e-54	7.33998e-56	4.61764e-58	3.86431e-60	2.98156e-62	3.18904e-64	3.50849e-66	5.39017e-68	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	2.8003e-08	2.04889e-07	1.52033e-06	9.36276e-06	3.7321e-05	0.000112527	0.000459259	0.00194694	0.00565515	0.0088906	0.00647374	0.00291468	0.0017837	0.0025502	0.00816799	0.030654	0.0870433	0.178206	0.238737	0.223715	0.128449	0.0556804	0.014492	0.00346135	0.000481264	7.11515e-05	5.81892e-06	5.38348e-07	2.71367e-08	1.60873e-09	5.30308e-11	2.13674e-12	4.83034e-14	1.37971e-15	2.246e-17	4.80683e-19	5.79317e-21	9.4899e-23	8.83039e-25	1.17843e-26	8.56676e-29	9.27246e-31	5.58465e-33	5.46485e-35	2.70709e-37	2.24307e-39	1.01261e-41	8.48901e-44	3.24344e-46	2.23663e-48	8.23029e-51	5.89253e-53	1.79486e-55	9.99917e-58	2.94826e-60	1.70341e-62	4.13356e-65	1.86795e-67	5.09269e-70	3.03172e-72	1.55101e-74	1.46271e-76	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0213443	0.0398944	0.0704265	0.110009	0.140609	0.155025	0.144127	0.122118	0.0877468	0.0567541	0.0295174	0.0140271	0.00531505	0.00205365	0.000664323	0.000252913	7.70469e-05	2.85428e-05	7.48494e-06	2.50168e-06	5.24518e-07	1.501e-07	2.50811e-08	6.22744e-09	8.0161e-10	1.58481e-10	1.59845e-11	2.62504e-12	1.98161e-13	2.42497e-14	1.44044e-15	1.47418e-16	6.47338e-18	4.79014e-19	1.68829e-20	1.09272e-21	2.84869e-23	1.32396e-24	2.88598e-26	1.26498e-27	2.04139e-29	6.28497e-31	8.88911e-33	2.81433e-34	3.02759e-36	6.85639e-38	7.19231e-40	1.92371e-41	1.63454e-43	3.18753e-45	2.89293e-47	7.18734e-49	5.33213e-51	9.30078e-53	7.24579e-55	1.54289e-56	8.90779e-59	1.18812e-60	7.48447e-63	1.40863e-64	1.78446e-66	6.36102e-68	
N6	0.00298833	0.00657203	0.0144698	0.0291625	0.050002	0.0752458	0.0963836	0.115076	0.125003	0.129836	0.115614	0.0944856	0.0625984	0.0398417	0.020449	0.0113597	0.00512049	0.00290424	0.00134075	0.000831041	0.00037173	0.000211752	7.90475e-05	3.73219e-05	1.07336e-05	3.95949e-06	8.84531e-07	2.67318e-07	4.58644e-08	1.09112e-08	1.51496e-09	3.12392e-10	3.42049e-11	5.55879e-12	5.1494e-13	7.54646e-14	5.57721e-15	6.36437e-16	4.09447e-17	4.32947e-18	2.22158e-19	1.80468e-20	8.18403e-22	6.31263e-23	2.30716e-24	1.38257e-25	4.59085e-27	2.70554e-28	7.27614e-30	3.30229e-31	8.17363e-33	3.74377e-34	7.62114e-36	2.74495e-37	5.35165e-39	2.03118e-40	3.27909e-42	9.75926e-44	1.78946e-45	7.37498e-47	2.80367e-48	2.50061e-49	
N7	1.29755e-06	7.52451e-06	4.28389e-05	0.000185276	0.000733434	0.00257822	0.00575475	0.0061678	0.00707956	0.0144948	0.0305642	0.0651832	0.129325	0.206625	0.201009	0.124993	0.0483619	0.015628	0.00534829	0.00603947	0.0101372	0.0181824	0.0224896	0.0274077	0.0215707	0.0167344	0.00806683	0.00384098	0.00108496	0.000303929	5.01511e-05	8.52545e-06	8.45507e-07	9.05075e-08	5.85906e-09	4.36739e-10	1.93836e-11	1.02932e-12	3.39064e-14	1.41293e-15	3.4993e-17	1.11405e-18	2.22012e-20	5.95139e-22	9.38044e-24	1.98904e-25	2.64913e-27	4.93919e-29	5.34308e-31	8.00609e-33	7.53321e-35	1.02181e-36	7.96919e-39	8.84261e-41	6.163e-43	6.38564e-45	3.814e-47	3.4184e-49	2.27992e-51	2.60492e-53	2.9588e-55	5.53181e-57	
Scirpus_pendulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.14017e-14	6.89174e-13	2.9467e-11	6.15146e-10	3.01108e-09	9.78042e-08	1.51517e-06	1.53314e-06	1.98106e-07	9.8262e-08	2.3668e-06	5.47476e-05	0.00079059	0.00569576	0.0109571	0.00163679	6.76448e-05	2.0808e-06	1.1855e-07	1.21407e-08	1.66568e-08	4.71737e-07	9.85557e-06	0.000157453	0.00159541	0.0128207	0.0562637	0.204132	0.297515	0.304	0.0869455	0.0163104	0.000985634	5.23466e-05	1.14407e-06	2.62618e-08	2.77767e-10	3.39663e-12	2.05786e-14	1.54483e-16	5.88898e-19	2.914e-21	7.54488e-24	2.66979e-26	4.88239e-29	1.26425e-31	1.72482e-34	3.54984e-37	3.65436e-40	5.88301e-43	4.91588e-46	7.14526e-49	4.76405e-52	5.67481e-55	3.45929e-58	4.28865e-61	2.17187e-64	2.20779e-67	1.4388e-70	2.18246e-73	2.97652e-76	5.83837e-79	
N9	9.13443e-22	4.0226e-19	1.07935e-16	5.92129e-15	6.4189e-14	1.14385e-11	8.69368e-10	9.04408e-10	2.03177e-11	9.74831e-12	8.11801e-10	9.53513e-08	6.17892e-06	0.000148389	0.000446935	5.63678e-05	7.37092e-07	4.17797e-09	2.72695e-11	4.73002e-13	7.36954e-13	4.26485e-11	5.95444e-09	5.47801e-07	2.8507e-05	0.000895367	0.0136358	0.111384	0.329659	0.396133	0.131063	0.0159637	0.000567522	1.03129e-05	6.78166e-08	4.6654e-10	9.67029e-13	1.16258e-14	1.65184e-17	2.90336e-19	2.53952e-22	2.80385e-24	1.49848e-27	1.04237e-29	3.46801e-33	1.54773e-35	3.5335e-39	1.0969e-41	1.70722e-45	3.60242e-48	4.25408e-52	6.88602e-55	5.87285e-59	6.6027e-62	4.62694e-66	4.44333e-69	2.31581e-73	1.50433e-76	6.63309e-81	3.92473e-84	1.7401e-88	1.37425e-91	
N10	1.52609e-23	3.71531e-21	5.93416e-19	5.7922e-17	4.60641e-16	3.46223e-14	1.18643e-12	4.78163e-12	8.07817e-13	4.93714e-13	2.08011e-11	2.35507e-09	1.50074e-07	4.03608e-06	2.68086e-05	1.80284e-05	8.65312e-07	1.13343e-08	7.04943e-11	3.17511e-13	1.18729e-14	6.71127e-14	1.32538e-11	2.5911e-09	3.18378e-07	2.27433e-05	0.000867784	0.0161112	0.125013	0.372569	0.36767	0.107855	0.00952386	0.000312691	4.55775e-06	3.50427e-08	1.49739e-10	5.07367e-13	9.4513e-16	5.34381e-18	1.50701e-20	7.88747e-22	5.47277e-24	2.42905e-25	1.2085e-27	3.3625e-29	1.20372e-31	2.17669e-33	5.56893e-36	6.7386e-38	1.2297e-40	1.01422e-42	1.277e-45	7.26156e-48	6.37848e-51	2.49577e-53	1.4512e-56	3.67389e-59	1.49375e-62	2.51325e-65	8.34613e-69	1.6519e-71	
N11	3.85882e-26	9.21185e-24	1.42539e-21	1.26022e-19	1.01727e-18	8.27448e-17	3.82181e-15	4.61638e-14	1.82665e-14	9.52199e-15	3.59936e-13	5.22301e-11	4.37416e-09	1.62456e-07	1.74243e-06	1.94306e-06	1.13964e-07	1.68908e-09	1.11038e-11	3.99428e-14	1.77198e-16	2.80724e-16	7.11589e-14	2.60382e-11	6.1761e-09	8.72894e-07	6.75224e-05	0.00257145	0.0421523	0.255465	0.470366	0.207151	0.0214891	0.00072272	1.00514e-05	6.84898e-08	2.5675e-10	5.86317e-13	8.52185e-16	9.96529e-19	7.56968e-22	2.36108e-24	6.058e-27	2.72045e-28	1.08188e-30	3.57273e-32	1.07879e-34	2.34893e-36	5.28663e-39	7.73831e-41	1.28915e-43	1.29492e-45	1.55262e-48	1.0865e-50	9.04495e-54	4.42839e-56	2.46964e-59	8.33907e-62	3.15266e-65	7.21705e-68	2.46654e-71	6.35936e-74	
Scirpus_expansus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
