NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.347474	0.313103	0.209528	0.0949336	0.0284861	0.00565493	0.000749707	6.66472e-05	3.99601e-06	1.61879e-07	4.44164e-09	8.26267e-11	1.04417e-12	2.08296e-17	1.59901e-18	1.01884e-19	5.41031e-21	2.4059e-22	9.00704e-24	2.85496e-25	7.7069e-27	1.78239e-28	3.55252e-30	6.13749e-32	9.24283e-34	1.2199e-35	1.41838e-37	1.45996e-39	1.33659e-41	1.09316e-43	8.02057e-46	5.30006e-48	3.16612e-50	1.71583e-52	8.46386e-55	3.81218e-57	1.57246e-59	5.95682e-62	2.07794e-64	6.69162e-67	1.99413e-69	5.51173e-72	1.41603e-74	3.38844e-77	7.56693e-80	1.57994e-82	3.08983e-85	5.66938e-88	9.77562e-91	1.58647e-93	2.42681e-96	3.50405e-99	4.78211e-102	6.17655e-105	7.55938e-108	8.77719e-111	9.67939e-114	1.01494e-116	1.01294e-119	9.63239e-123	8.74489e-126	8.6771e-129	
N2	0.0476222	0.102335	0.167532	0.205396	0.184821	0.141258	0.0793242	0.0420338	0.018061	0.00770423	0.00250835	0.00104984	0.000252349	8.15426e-05	1.61474e-05	3.97639e-06	5.24553e-07	1.11596e-07	1.01306e-08	1.57862e-09	1.19172e-10	1.2209e-11	6.44412e-13	6.90796e-14	2.37666e-15	1.47747e-16	4.76963e-18	2.4388e-19	4.87005e-21	2.07677e-22	3.18505e-24	1.14454e-25	1.49814e-27	3.15777e-29	3.26932e-31	9.36411e-33	6.52713e-35	9.84839e-37	7.69853e-39	1.22369e-40	6.3429e-43	8.22719e-45	3.53267e-47	4.25492e-49	1.80577e-51	1.33628e-53	5.06509e-56	6.30129e-58	1.60747e-60	9.58982e-63	2.83145e-65	1.87227e-67	3.92207e-70	2.52899e-72	4.91664e-75	3.11766e-77	5.60357e-80	1.99721e-82	3.58386e-85	2.42035e-87	8.36946e-90	1.29431e-91	
N3	4.81349e-06	3.55565e-05	0.000214576	0.000935584	0.00291501	0.00734737	0.0157121	0.0307865	0.0504008	0.0635972	0.0668901	0.083349	0.0939683	0.0986593	0.105265	0.12402	0.113814	0.0865152	0.0385394	0.0135573	0.00294379	0.000477437	4.78116e-05	4.29715e-06	2.23532e-07	1.10899e-08	3.75272e-10	1.16411e-11	2.45171e-13	5.67685e-15	8.18383e-17	1.32725e-18	1.51938e-20	1.78382e-22	1.49691e-24	1.55904e-26	9.85015e-29	7.57634e-31	4.27011e-33	2.67588e-35	1.16312e-37	6.59481e-40	2.32325e-42	1.07782e-44	3.53096e-47	1.31212e-49	3.50623e-52	1.31903e-54	2.89973e-57	8.56611e-60	1.84321e-62	4.7913e-65	8.43664e-68	2.14682e-70	3.26923e-73	7.1334e-76	1.07197e-78	2.01561e-81	3.15558e-84	8.9686e-87	2.83605e-89	1.47795e-91	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	2.38082e-09	4.14375e-08	5.76693e-07	5.46662e-06	3.33931e-05	0.000113539	0.000413212	0.00155394	0.00603956	0.0128222	0.012547	0.0114348	0.0139198	0.0139288	0.0132562	0.0175169	0.0438397	0.133397	0.240655	0.269666	0.153158	0.0479951	0.00684445	0.000817856	3.88436e-05	1.89019e-06	4.83593e-08	1.2388e-09	1.6238e-11	2.92869e-13	2.32522e-15	2.7375e-17	1.56143e-19	1.23356e-21	4.78872e-24	3.22042e-26	8.82596e-29	4.09386e-31	1.03671e-33	3.7985e-36	7.09668e-39	2.68828e-41	3.94858e-44	1.16735e-46	1.90138e-49	3.95497e-52	4.82526e-55	1.39519e-57	1.23678e-60	2.18471e-63	2.28711e-66	3.87796e-69	2.77093e-72	4.71408e-75	2.88871e-78	4.61295e-81	2.73918e-84	2.91938e-87	1.6134e-90	2.80056e-93	2.97194e-96	1.04507e-98	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0173426	0.047477	0.103791	0.167505	0.196668	0.185883	0.130696	0.0804058	0.0410353	0.0188328	0.00685449	0.00261315	0.000660596	0.000188196	3.77756e-05	8.28441e-06	1.14252e-06	2.35158e-07	2.35862e-08	3.86589e-09	3.2751e-10	3.70848e-11	2.0098e-12	2.12074e-13	7.02575e-15	4.43257e-16	1.30835e-17	6.30135e-19	1.15231e-20	4.87334e-22	6.70809e-24	2.31081e-25	2.73449e-27	5.5364e-29	4.76683e-31	1.23657e-32	6.56503e-35	8.18379e-37	4.59368e-39	5.53649e-41	1.79659e-43	1.6569e-45	4.07717e-48	3.39017e-50	7.80571e-53	3.20661e-55	5.8401e-58	4.32606e-60	4.75128e-63	1.41261e-65	1.87095e-68	6.6015e-71	5.32239e-74	1.58342e-76	1.12898e-79	3.39574e-82	2.1132e-85	2.98529e-88	1.79692e-91	5.31863e-94	5.14658e-97	2.86781e-99	
N6	0.00129378	0.00462068	0.014391	0.0351359	0.0660197	0.1048	0.131126	0.14509	0.13501	0.113515	0.0832651	0.0667042	0.0401675	0.0282053	0.0155633	0.00921459	0.00355792	0.00173823	0.000420556	0.000132217	2.32101e-05	4.91536e-06	6.26389e-07	1.42789e-07	1.54401e-08	2.81029e-09	3.02441e-10	4.36184e-11	2.99888e-12	3.59831e-13	1.73581e-14	1.54099e-15	6.10885e-17	3.35541e-18	9.59992e-20	5.9907e-21	1.15458e-22	4.13844e-24	7.90956e-26	2.63576e-27	3.4465e-29	9.60066e-31	1.00642e-32	2.48384e-34	2.48436e-36	3.93281e-38	3.27039e-40	7.37265e-42	4.41023e-44	5.54386e-46	3.67842e-48	4.74774e-50	2.29051e-52	2.93818e-54	1.26717e-56	1.475e-58	6.1268e-61	4.48263e-63	1.77377e-65	2.28119e-67	1.81267e-69	5.69535e-71	
N7	1.30365e-07	1.53559e-06	1.44799e-05	8.83878e-05	0.000410121	0.00165217	0.00490626	0.00797997	0.015686	0.0183368	0.020891	0.0444798	0.0802158	0.117626	0.106614	0.0754735	0.0914291	0.159669	0.140542	0.0795856	0.0197618	0.00483442	0.00275552	0.00318786	0.00198367	0.00126205	0.000448424	0.000139809	2.14992e-05	3.31124e-06	2.09943e-07	1.40109e-08	4.7798e-10	1.60963e-11	3.0283e-13	7.82233e-15	8.95395e-17	1.37754e-18	1.2937e-20	1.47997e-22	9.32626e-25	8.99506e-27	4.2082e-29	3.14194e-31	1.31764e-33	6.97711e-36	2.24092e-38	1.27807e-40	3.11018e-43	1.2198e-45	2.93149e-48	1.02728e-50	1.87674e-53	6.2469e-56	9.63059e-59	2.73681e-61	4.04604e-64	8.66821e-67	1.20503e-69	3.8398e-72	1.12446e-74	7.50602e-77	
