NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.380888	0.314548	0.192833	0.0823221	0.0239619	0.00474208	0.000641985	5.96695e-05	3.81436e-06	1.67254e-07	5.0093e-09	1.01936e-10	1.40433e-12	2.47497e-17	1.96862e-18	1.2945e-19	7.0719e-21	3.22914e-22	1.24068e-23	4.0391e-25	1.12202e-26	2.67769e-28	5.52572e-30	9.92072e-32	1.5585e-33	2.15373e-35	2.63117e-37	2.85485e-39	2.76291e-41	2.39471e-43	1.86593e-45	1.31175e-47	8.34833e-50	4.82547e-52	2.541e-54	1.22254e-56	5.38922e-59	2.18245e-61	8.13992e-64	2.80287e-66	8.93087e-69	2.63908e-71	7.24755e-74	1.85347e-76	4.4225e-79	9.86362e-82	2.05994e-84	4.03506e-87	7.42543e-90	1.28569e-92	2.09766e-95	3.22944e-98	4.69788e-101	6.46579e-104	8.42996e-107	1.04239e-109	1.22388e-112	1.36591e-115	1.45059e-118	1.46743e-121	1.41685e-124	1.50102e-127	
N2	0.0545921	0.111075	0.170776	0.203824	0.178225	0.133939	0.0754309	0.0415192	0.0177904	0.00838621	0.00280077	0.00122794	0.000294223	9.68856e-05	1.71485e-05	4.43827e-06	5.41048e-07	1.10722e-07	1.0094e-08	1.74453e-09	1.24489e-10	1.44775e-11	7.74056e-13	8.97161e-14	3.22858e-15	2.1734e-16	6.53056e-18	4.03346e-19	7.99156e-21	3.40101e-22	5.50714e-24	2.32081e-25	2.85028e-27	6.79386e-29	6.95996e-31	2.04893e-32	1.47636e-34	2.45882e-36	1.84454e-38	3.6847e-40	1.89499e-42	2.40949e-44	1.10477e-46	1.5416e-48	5.88509e-51	5.09626e-53	1.99019e-55	2.69438e-57	7.20161e-60	4.65681e-62	1.29912e-64	1.04001e-66	2.12083e-69	1.26783e-71	2.71963e-74	2.14096e-76	3.57492e-79	1.43034e-81	2.52315e-84	1.7913e-86	6.94544e-89	1.13741e-90	
N3	8.42059e-06	5.72625e-05	0.000312814	0.00129575	0.00362641	0.00841523	0.0188867	0.0364199	0.0540567	0.0640719	0.0568958	0.0562846	0.0627375	0.0841315	0.113259	0.147876	0.132559	0.0976119	0.0425809	0.0151426	0.00317141	0.00053927	5.42766e-05	5.02224e-06	2.69756e-07	1.42238e-08	4.78114e-10	1.6249e-11	3.50965e-13	8.4801e-15	1.28103e-16	2.25773e-18	2.58775e-20	3.35771e-22	2.91259e-24	3.19054e-26	2.12542e-28	1.77574e-30	1.00458e-32	7.05149e-35	3.15568e-37	1.87131e-39	6.98205e-42	3.5569e-44	1.15136e-46	4.76119e-49	1.31484e-51	5.23429e-54	1.20647e-56	3.86764e-59	8.2937e-62	2.43886e-64	4.38992e-67	1.15165e-69	1.85856e-72	4.50749e-75	6.7152e-78	1.41122e-80	2.3332e-83	7.17177e-86	2.43199e-88	1.32532e-90	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	5.85949e-09	9.13539e-08	1.09613e-06	9.96322e-06	5.05467e-05	0.000119448	0.000467619	0.00224739	0.00890038	0.0172118	0.0119108	0.00585011	0.00436561	0.00492431	0.00735845	0.0162069	0.0537487	0.156818	0.259423	0.268425	0.132697	0.0425843	0.00587714	0.000762405	3.85152e-05	2.21558e-06	5.69743e-08	1.75831e-09	2.43148e-11	4.74192e-13	4.01519e-15	5.12295e-17	2.9355e-19	2.54034e-21	1.00724e-23	6.80959e-26	1.9323e-28	9.48252e-31	2.23516e-33	9.13534e-36	1.63794e-38	6.1111e-41	9.25592e-44	3.12933e-46	4.60752e-49	1.11504e-51	1.3986e-54	4.52359e-57	4.22479e-60	8.4463e-63	8.66377e-66	1.91901e-68	1.39844e-71	2.40494e-74	1.64973e-77	3.21576e-80	1.85516e-83	2.27979e-86	1.31833e-89	2.47469e-92	2.75123e-95	9.82539e-98	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0212553	0.0544249	0.110382	0.171312	0.193452	0.175606	0.122076	0.0784142	0.0414903	0.0205538	0.00747337	0.0027279	0.000631574	0.00016551	2.90575e-05	6.68596e-06	9.48509e-07	2.08765e-07	2.2901e-08	4.22021e-09	3.40184e-10	4.34986e-11	2.34496e-12	2.63529e-13	9.17757e-15	6.3862e-16	1.77317e-17	1.02261e-18	1.86465e-20	7.67024e-22	1.08075e-23	4.02309e-25	4.28605e-27	9.45601e-29	7.89046e-31	2.00851e-32	1.10207e-34	1.47491e-36	7.64883e-39	1.13871e-40	3.63094e-43	3.2326e-45	8.60549e-48	8.55533e-50	1.75054e-52	8.57299e-55	1.62072e-57	1.32744e-59	1.54966e-62	5.09229e-65	6.38535e-68	2.92965e-70	2.37378e-73	6.54955e-76	5.415e-79	2.08866e-81	1.25349e-84	2.06109e-87	1.27536e-90	4.12473e-93	4.72001e-96	2.9241e-98	
N6	0.00185016	0.00611933	0.0174335	0.0400523	0.0715188	0.107968	0.127702	0.13569	0.123968	0.11165	0.0861603	0.0714679	0.0428334	0.0293383	0.0138842	0.0079397	0.00273022	0.00126376	0.000302544	0.000103303	1.85793e-05	4.91552e-06	7.43077e-07	2.05797e-07	2.5381e-08	5.16363e-09	5.26209e-10	8.7945e-11	5.94828e-12	7.12712e-13	3.56443e-14	3.57947e-15	1.33896e-16	8.26862e-18	2.37735e-19	1.53806e-20	3.09959e-22	1.21153e-23	2.22734e-25	8.82787e-27	1.15351e-28	3.18898e-30	3.54634e-32	9.89759e-34	9.07615e-36	1.64381e-37	1.38596e-39	3.30925e-41	2.05749e-43	2.79648e-45	1.75411e-47	2.72247e-49	1.28511e-51	1.57513e-53	7.40953e-56	1.04933e-57	4.11995e-60	3.40743e-62	1.35862e-64	1.86551e-66	1.69173e-68	5.64138e-70	
N7	3.32385e-07	3.588e-06	3.06755e-05	0.000162011	0.000739119	0.00318977	0.00940485	0.0103358	0.0143515	0.0172284	0.0234795	0.050239	0.103313	0.181871	0.167662	0.0973267	0.0695044	0.096105	0.0778363	0.0442564	0.0115389	0.00530927	0.0044982	0.00534681	0.00325114	0.00207828	0.000679265	0.000220724	3.26418e-05	4.9403e-06	3.15221e-07	2.23424e-08	7.30854e-10	2.70211e-11	5.12395e-13	1.37359e-14	1.638e-16	2.74441e-18	2.52627e-20	3.33863e-22	2.13846e-24	2.13922e-26	1.067e-28	8.97294e-31	3.63306e-33	2.18669e-35	7.2582e-38	4.40434e-40	1.12833e-42	4.82879e-45	1.13981e-47	4.6466e-50	8.60302e-53	2.87014e-55	4.72647e-58	1.52328e-60	2.17895e-63	5.2314e-66	7.46096e-69	2.52825e-71	7.97109e-74	5.54849e-76	
Scirpus_pendulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.11474e-15	1.6153e-13	1.14349e-11	4.17387e-10	8.99639e-09	7.9198e-08	2.24442e-06	1.61847e-06	2.0963e-06	2.40319e-05	4.56821e-06	2.51601e-05	0.00054574	0.00572603	0.0142117	0.00122932	8.97165e-05	0.000242047	0.00129845	0.00138851	0.000303274	3.68608e-05	3.18974e-06	1.1335e-05	0.000215383	0.0038158	0.0336387	0.206762	0.355234	0.331614	0.040919	0.00261423	4.01785e-05	5.83914e-07	2.88355e-09	1.90988e-11	4.39412e-14	1.49605e-16	1.99362e-19	4.17184e-22	3.40886e-25	4.67047e-28	2.53746e-31	2.48428e-34	9.85299e-38	6.70524e-41	1.95878e-44	1.26509e-47	2.77808e-51	1.26131e-54	2.88136e-58	1.21734e-61	2.04069e-65	8.57152e-69	1.23422e-72	4.47035e-76	6.35185e-80	1.47154e-83	1.88439e-87	7.73778e-91	2.33278e-94	1.68994e-97	
N9	6.35008e-23	8.50372e-20	4.4646e-17	4.96788e-15	1.19168e-13	7.54017e-12	1.43732e-09	1.14513e-09	5.9424e-10	9.09195e-09	1.59248e-09	2.02382e-08	2.6172e-06	0.00013808	0.000606473	4.23056e-05	8.19077e-07	8.51493e-07	1.09825e-05	2.07939e-05	3.53964e-06	8.00614e-08	4.20691e-09	1.08106e-08	6.98713e-07	7.66872e-05	0.00359977	0.0781528	0.384136	0.457236	0.0731309	0.00282251	1.79073e-05	1.7637e-07	2.3322e-10	2.7289e-12	1.51163e-15	4.17116e-18	2.79568e-21	1.76878e-24	5.0788e-28	4.07021e-31	4.12098e-35	2.30695e-38	2.43687e-42	1.25775e-45	4.89426e-50	4.8826e-53	1.09325e-57	8.05651e-61	1.4626e-65	8.9604e-69	1.12302e-73	4.48472e-77	4.46046e-82	1.42008e-85	9.94059e-91	1.67422e-94	9.59438e-100	1.49082e-103	7.71003e-109	1.60659e-112	
N10	4.91259e-25	3.59373e-22	1.15764e-19	3.33099e-17	3.91051e-16	1.98299e-14	1.98269e-12	1.24927e-11	1.55186e-12	1.70379e-11	4.16283e-11	2.36068e-10	3.69226e-08	2.75708e-06	3.66979e-05	2.52398e-05	3.16217e-07	9.79347e-09	7.18091e-08	4.71353e-07	4.56578e-07	2.16405e-08	5.7321e-10	6.17515e-11	2.05883e-09	5.54671e-07	8.02213e-05	0.00484618	0.0858533	0.406518	0.42943	0.0715658	0.00162989	1.04964e-05	2.71035e-08	1.22055e-10	1.06869e-12	1.89506e-14	3.08159e-16	2.33944e-18	8.94556e-21	6.32986e-23	8.67892e-26	1.12271e-28	1.30881e-31	3.97782e-35	1.7222e-38	5.43205e-42	7.65944e-46	1.15068e-48	4.82241e-52	1.88233e-54	5.53049e-58	1.5123e-60	2.84313e-64	5.12526e-67	5.28751e-71	5.07899e-74	3.38784e-78	1.65602e-81	8.3832e-86	4.33895e-89	
N11	8.20063e-28	6.5396e-25	2.2338e-22	6.45765e-20	6.63515e-19	3.88681e-17	4.72416e-15	6.35262e-14	5.89077e-15	1.02572e-13	5.61498e-13	3.31022e-12	7.13097e-10	8.18659e-08	2.24108e-06	3.09449e-06	4.23137e-08	4.3483e-10	8.46007e-10	9.54424e-09	1.95577e-08	1.12852e-09	1.75614e-11	6.87187e-13	1.56415e-11	8.1661e-09	2.57851e-06	0.000357811	0.0171108	0.221746	0.58487	0.171101	0.00477283	3.21433e-05	7.92797e-08	9.17171e-11	6.1766e-14	1.07356e-16	2.13919e-18	2.18823e-20	8.90703e-23	8.93153e-25	1.98518e-27	2.777e-30	5.8976e-33	2.51784e-36	1.46125e-39	6.5526e-43	8.70588e-47	2.12018e-50	3.44243e-54	1.83805e-57	5.54117e-61	1.95171e-63	4.06996e-67	1.02237e-69	1.20891e-73	1.97621e-76	1.37687e-80	1.32354e-83	7.03585e-88	5.95193e-91	
Scirpus_expansus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	8.33518e-32	9.57663e-29	4.29011e-26	1.83362e-23	2.03549e-22	1.13607e-20	2.46531e-18	6.34683e-17	1.33798e-17	6.99036e-16	4.1085e-15	1.53023e-14	4.89471e-12	1.04267e-09	6.49008e-08	1.24041e-07	1.1521e-09	1.54919e-11	1.55018e-11	1.23531e-10	5.21246e-10	2.65893e-11	3.19213e-13	9.67138e-15	7.0639e-14	6.02623e-11	4.20008e-08	1.43619e-05	0.00199096	0.0837031	0.663534	0.246106	0.00463085	2.04224e-05	3.33581e-08	2.56017e-11	1.06915e-14	2.75932e-18	1.95094e-21	1.10655e-23	3.55097e-26	2.57686e-28	5.63794e-31	6.37667e-34	1.36463e-36	6.4918e-40	2.8781e-43	1.24086e-46	1.4308e-50	2.37705e-54	2.83823e-58	1.49673e-62	1.52535e-66	1.04319e-69	1.8843e-73	3.09007e-76	4.05076e-80	4.5686e-83	3.65113e-87	2.73917e-90	1.86945e-94	1.35789e-97	
Scirpus_sylvaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scirpus_microcarpus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scirpus_maximowiczii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
