NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	8.55126e-11	8.91615e-11	9.57619e-11	1.04557e-10	1.14911e-10	1.26503e-10	1.39506e-10	1.54701e-10	1.73613e-10	1.98906e-10	2.35531e-10	2.93678e-10	3.76881e-10	5.20819e-10	9.58586e-09	4.74228e-08	1.44785e-07	3.38078e-07	6.63834e-07	1.15534e-06	1.8408e-06	2.74103e-06	3.86773e-06	5.2262e-06	6.82492e-06	8.68863e-06	1.08645e-05	1.34071e-05	1.63321e-05	1.95434e-05	2.27744e-05	2.00772e-05	1.69011e-05	1.39774e-05	1.17879e-05	1.04737e-05	9.93658e-06	9.97713e-06	1.03837e-05	1.09813e-05	1.16589e-05	1.23794e-05	1.3175e-05	1.41358e-05	1.54031e-05	1.71733e-05	1.97187e-05	2.34462e-05	2.9057e-05	3.79553e-05	4.39599e-05	5.77417e-05	8.74867e-05	0.000147741	0.000262266	0.000466804	0.00081358	0.00138106	0.00229182	0.00373996	0.00603223	0.00966051	0.0154508	0.0248583	0.0404278	0.0661828	0.107126	0.166513	0.240506	0.313527	
N2	1.15178e-08	7.1266e-09	1.07766e-08	1.59119e-08	2.30981e-08	3.32222e-08	4.77013e-08	6.8739e-08	9.9542e-08	1.4432e-07	2.07853e-07	2.94507e-07	4.07046e-07	5.45055e-07	7.3647e-07	9.44444e-07	1.14683e-06	1.32137e-06	1.44862e-06	1.5182e-06	1.53261e-06	1.50853e-06	1.47053e-06	1.44516e-06	1.45513e-06	1.51658e-06	1.63881e-06	1.82517e-06	2.07502e-06	2.38782e-06	2.77144e-06	3.171e-06	3.73195e-06	4.59788e-06	6.00638e-06	8.37504e-06	1.24196e-05	1.93308e-05	3.10253e-05	5.05202e-05	8.25958e-05	0.000135115	0.00022174	0.000367213	0.000616658	0.00105001	0.00180129	0.00308095	0.00520259	0.00862374	0.0138994	0.0220494	0.0343709	0.0518254	0.073917	0.0975035	0.116825	0.125601	0.120343	0.102527	0.0778434	0.0531207	0.033232	0.019843	0.0120791	0.00799908	0.00580654	0.00437883	0.00323244	0.00225375	
N3	1.9895e-06	8.08341e-07	1.01992e-06	1.19105e-06	1.30303e-06	1.35236e-06	1.36754e-06	1.52009e-06	2.52854e-06	6.6274e-06	1.89498e-05	4.78142e-05	0.000101399	0.000179814	0.000265335	0.00033384	0.000359197	0.000333577	0.000273386	0.000213818	0.000195269	0.000244094	0.000352426	0.000474568	0.00056747	0.000742083	0.00172855	0.00583814	0.017669	0.042324	0.0800922	0.123477	0.154493	0.160777	0.141708	0.107742	0.0720045	0.0430823	0.0234502	0.0117404	0.00543349	0.00232266	0.000913496	0.000329097	0.000108254	3.24704e-05	8.88597e-06	2.22353e-06	5.10529e-07	1.08048e-07	2.12946e-08	3.88766e-09	6.65223e-10	1.07261e-10	1.63663e-11	2.36956e-12	3.25863e-13	4.25464e-14	5.26677e-15	6.1704e-16	6.83058e-17	7.13644e-18	7.03387e-19	6.54264e-20	5.75009e-21	4.7844e-22	3.77922e-23	2.84358e-24	2.04614e-25	1.41507e-26	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	5.64523e-08	1.47276e-08	3.5638e-08	2.78623e-07	1.49914e-06	5.36774e-06	1.36647e-05	2.59089e-05	3.83851e-05	4.68569e-05	4.93528e-05	4.58405e-05	3.73503e-05	2.61973e-05	1.54677e-05	7.71106e-06	3.22784e-06	1.13693e-06	3.38308e-07	8.42413e-07	3.29304e-06	6.46935e-05	0.00137174	0.0113743	0.0480041	0.120454	0.197366	0.224998	0.187009	0.117623	0.0578096	0.0230714	0.00759924	0.00217223	0.000568326	0.000143545	3.59087e-05	8.73977e-06	1.987e-06	4.05915e-07	7.32873e-08	1.15665e-08	1.59196e-09	1.91351e-10	2.01584e-11	1.87137e-12	1.54313e-13	1.145e-14	7.82366e-16	5.12965e-17	3.44101e-18	2.47495e-19	1.92957e-20	1.55011e-21	1.21021e-22	8.84643e-24	5.95136e-25	3.66563e-26	2.06934e-27	1.0752e-28	5.16871e-30	2.30936e-31	9.61657e-33	3.73545e-34	1.35392e-35	4.58824e-37	1.46207e-38	4.42173e-40	1.28226e-41	3.59368e-43	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	9.15569e-08	3.0799e-08	3.87888e-08	4.8532e-08	6.05019e-08	7.52454e-08	9.32466e-08	1.1469e-07	1.39145e-07	1.65281e-07	1.90848e-07	2.13127e-07	2.2969e-07	2.39639e-07	2.56945e-07	2.85013e-07	3.22306e-07	3.70923e-07	4.36704e-07	5.28067e-07	6.53444e-07	8.26282e-07	1.05874e-06	1.36732e-06	1.77879e-06	2.34491e-06	3.1664e-06	4.42331e-06	6.40857e-06	9.57101e-06	1.45944e-05	2.23628e-05	3.43033e-05	5.28508e-05	8.15938e-05	0.000125903	0.000194478	0.000302929	0.000480977	0.000786186	0.0013298	0.00232284	0.00414962	0.00746072	0.0132366	0.0227	0.036899	0.0558785	0.0777377	0.0983659	0.112883	0.116053	0.108176	0.0924503	0.0733787	0.0548096	0.0390324	0.0268569	0.0181099	0.0121448	0.00820244	0.00560232	0.00382768	0.00255609	0.00163098	0.000983367	0.000560586	0.000302945	0.000154299	7.3012e-05	
N6	8.02263e-07	1.23333e-07	1.34578e-07	1.46629e-07	1.60081e-07	1.76093e-07	1.96865e-07	2.26479e-07	2.72317e-07	3.4753e-07	4.75509e-07	6.98371e-07	1.09354e-06	1.80303e-06	3.05056e-06	5.28834e-06	9.20378e-06	1.58178e-05	2.64387e-05	4.2433e-05	6.4752e-05	9.33697e-05	0.000126735	0.000161816	0.000194966	0.000223948	0.000251097	0.000287458	0.000358364	0.000514709	0.000862653	0.00165232	0.00336361	0.00685345	0.0132903	0.0237687	0.0385799	0.0564793	0.0745048	0.0886991	0.0955623	0.0935793	0.08404	0.0706026	0.0576041	0.0479431	0.0418945	0.0377072	0.0334001	0.028205	0.022926	0.0179946	0.0141989	0.0114581	0.00934584	0.00747713	0.00569565	0.0040461	0.00264843	0.00158765	0.000869689	0.000435641	0.000200246	8.50035e-05	3.36246e-05	1.2525e-05	4.43633e-06	1.50396e-06	4.88994e-07	1.52241e-07	
N7	2.30603e-05	1.17881e-05	1.86977e-05	3.00656e-05	4.75179e-05	7.18122e-05	0.000102507	0.000138252	0.000176843	0.000214176	0.000243084	0.000254514	0.000242077	0.000206495	0.00015539	0.000104215	6.63261e-05	7.2478e-05	0.000210277	0.000631593	0.00142601	0.00243232	0.00334014	0.0043728	0.00719737	0.0146938	0.0282816	0.0445369	0.055794	0.05591	0.0453667	0.0304818	0.0168583	0.00781998	0.0032995	0.00326364	0.0106108	0.0287718	0.0556339	0.0833008	0.103374	0.109816	0.100222	0.0779864	0.0514363	0.028741	0.0136608	0.00556322	0.00196012	0.000605112	0.00016735	4.18015e-05	9.71257e-06	2.14306e-06	4.53812e-07	9.19579e-08	1.76118e-08	3.14275e-09	5.16811e-10	7.7834e-11	1.07124e-11	1.34823e-12	1.55524e-13	1.64967e-14	1.61529e-15	1.46662e-16	1.24148e-17	9.86178e-19	7.40905e-20	5.31378e-21	
