NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.119117	0.12069	0.122244	0.121486	0.116307	0.105662	0.0900539	0.0714065	0.0523504	0.0353115	0.0218254	0.0123175	0.00632696	0.00294872	0.00124285	0.000475008	0.000164347	5.14066e-05	1.45218e-05	3.70181e-06	8.51033e-07	1.76372e-07	3.29412e-08	5.54368e-09	8.40569e-10	1.14834e-10	1.41361e-11	1.56829e-12	1.39321e-16	4.18438e-17	1.19404e-17	3.24086e-18	8.3558e-19	2.04698e-19	4.76602e-20	1.05498e-20	2.22086e-21	4.44759e-22	8.47639e-23	1.53794e-23	2.6575e-24	4.37507e-25	6.8651e-26	1.02716e-26	1.46602e-27	1.9968e-28	2.59663e-29	3.22519e-30	3.82798e-31	4.34405e-32	4.71917e-33	4.90504e-34	4.88003e-35	4.64942e-36	4.24395e-37	3.71304e-38	3.11512e-39	2.50725e-40	1.93685e-41	1.43669e-42	1.02373e-43	7.01072e-45	4.61615e-46	2.92368e-47	1.782e-48	1.04576e-49	5.91437e-51	3.23661e-52	1.77202e-53	1.38592e-54	
N2	0.0498511	0.0566571	0.0647307	0.0740215	0.0822033	0.0888564	0.0914084	0.0904856	0.0845538	0.075875	0.0640557	0.0520541	0.0396976	0.0293023	0.020244	0.0137261	0.00872969	0.00554886	0.00331478	0.00203424	0.00116332	0.000687907	0.000374188	0.000211113	0.000107599	5.66964e-05	2.6611e-05	1.28872e-05	5.49365e-06	2.42281e-06	9.37141e-07	3.7961e-07	1.34516e-07	5.08231e-08	1.7151e-08	6.36973e-09	2.18656e-09	8.3426e-10	3.02572e-10	1.0808e-10	3.41682e-11	1.04957e-11	2.90433e-12	7.77826e-13	1.88922e-13	4.44238e-14	9.53318e-15	1.98827e-15	3.78227e-16	7.04272e-17	1.19988e-17	2.02311e-18	3.0971e-19	4.77492e-20	6.68548e-21	9.67883e-22	1.25978e-22	1.7423e-23	2.16314e-24	2.92754e-25	3.51908e-26	4.73003e-27	5.87946e-28	8.51593e-29	1.21874e-29	2.02296e-30	3.41511e-31	6.19895e-32	1.19372e-32	3.45311e-33	
N3	0.000444806	0.000625636	0.00102715	0.00183425	0.00330108	0.00583755	0.00979442	0.0155918	0.0231617	0.0327438	0.043949	0.0573072	0.0715398	0.0861085	0.0971061	0.103616	0.10184	0.0935952	0.0785505	0.0615651	0.0438847	0.0292399	0.017701	0.0100584	0.00519011	0.00252681	0.00111685	0.000468412	0.000178256	6.47478e-05	2.13473e-05	6.76705e-06	1.94306e-06	5.3801e-07	1.35097e-07	3.2922e-08	7.29115e-09	1.57763e-09	3.11741e-10	6.00401e-11	1.04971e-11	1.79015e-12	2.77615e-13	4.20192e-14	5.78879e-15	7.7881e-16	9.55677e-17	1.14647e-17	1.25576e-18	1.3471e-19	1.32388e-20	1.27592e-21	1.1253e-22	9.76796e-24	7.78257e-25	6.13684e-26	4.45515e-27	3.22758e-28	2.17219e-29	1.47811e-30	9.48743e-32	6.26506e-33	4.00151e-34	2.6599e-35	1.73904e-36	1.17109e-37	7.75186e-39	5.15647e-40	3.41671e-41	3.27381e-42	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	1.73062e-05	2.22086e-05	3.28761e-05	5.66587e-05	0.000109063	0.000226682	0.000479448	0.000976142	0.00179708	0.00298821	0.00465619	0.00738618	0.0124875	0.0224938	0.0401848	0.0674618	0.100631	0.132001	0.148523	0.145141	0.120573	0.0872635	0.0535978	0.0290567	0.0133874	0.0055709	0.00197593	0.000653633	0.000184304	5.01489e-05	1.15573e-05	2.64121e-06	5.03234e-07	9.62292e-08	1.51482e-08	2.41739e-09	3.15216e-10	4.2137e-11	4.61834e-12	5.22022e-13	4.82573e-14	4.64658e-15	3.69456e-16	3.0823e-17	2.14123e-18	1.56148e-19	9.59771e-21	6.15432e-22	3.35004e-23	1.88217e-24	9.08e-26	4.47181e-27	1.8943e-28	8.13795e-30	3.03016e-31	1.14418e-32	3.73665e-34	1.24462e-35	3.6021e-37	1.08165e-38	2.81257e-40	7.85496e-42	1.97593e-43	5.7639e-45	1.64786e-46	5.67309e-48	1.98095e-49	7.38015e-51	2.65392e-52	1.24168e-53	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0326951	0.038233	0.0459135	0.0558969	0.0665409	0.0772108	0.0852901	0.0903815	0.0903053	0.0862323	0.0774354	0.0665813	0.0538386	0.041901	0.0306749	0.0218585	0.0146948	0.00971083	0.00603837	0.00374453	0.00216465	0.00125967	0.000675275	0.000369322	0.000182908	9.35475e-05	4.25218e-05	2.01952e-05	8.35158e-06	3.65378e-06	1.37049e-06	5.53029e-07	1.87796e-07	6.96628e-08	2.16366e-08	7.55106e-09	2.23204e-09	7.69038e-10	2.36889e-10	7.84271e-11	2.19546e-11	6.46431e-12	1.65283e-12	4.38564e-13	1.0203e-13	2.43648e-14	5.15249e-15	1.111e-15	2.11554e-16	4.09796e-17	7.04028e-18	1.23476e-18	1.89646e-19	3.00169e-20	4.15596e-21	6.04714e-22	7.54961e-23	1.01261e-23	1.16034e-24	1.46984e-25	1.54279e-26	1.84198e-27	1.8618e-28	2.2865e-29	2.58029e-30	3.82613e-31	5.91084e-32	1.05076e-32	1.96184e-33	6.04386e-34	
N6	0.0114299	0.0139681	0.0180548	0.0240576	0.0316663	0.0409483	0.0508256	0.0610214	0.0696822	0.0765553	0.0796395	0.0797397	0.0757553	0.0698602	0.0615038	0.0532861	0.044275	0.0363728	0.0284689	0.0221322	0.0162096	0.0118451	0.0080822	0.00556741	0.00354495	0.002306	0.00137022	0.000838917	0.000462372	0.000263932	0.000134108	7.10012e-05	3.30534e-05	1.60962e-05	6.88743e-06	3.12456e-06	1.25538e-06	5.44562e-07	2.148e-07	8.85674e-08	3.23153e-08	1.21563e-08	4.08871e-09	1.40128e-09	4.31032e-10	1.33785e-10	3.74856e-11	1.05331e-11	2.67048e-12	6.77404e-13	1.55724e-13	3.58531e-14	7.43259e-15	1.55352e-15	2.92716e-16	5.63622e-17	9.70492e-18	1.73771e-18	2.78433e-19	4.75745e-20	7.23602e-21	1.21466e-21	1.88486e-22	3.3973e-23	6.01385e-24	1.24027e-24	2.585e-25	5.81109e-26	1.39138e-26	5.3712e-27	
N7	8.26888e-05	0.000132303	0.000252928	0.00050862	0.000995297	0.00186406	0.00325286	0.00541786	0.00878034	0.0142152	0.0222411	0.0329419	0.0439211	0.052039	0.0531161	0.0483489	0.0408096	0.0367969	0.0385384	0.0471046	0.058428	0.0706186	0.077317	0.0794212	0.07245	0.0622329	0.0471629	0.0339437	0.0214038	0.0129209	0.00679148	0.00344596	0.00150893	0.000640414	0.000234136	8.37657e-05	2.58764e-05	7.91671e-06	2.11575e-06	5.55861e-07	1.26205e-07	2.81604e-08	5.46683e-09	1.04238e-09	1.73668e-10	2.83872e-11	4.07901e-12	5.74725e-13	7.13688e-14	8.69414e-15	9.38882e-16	9.95821e-17	9.34863e-18	8.65834e-19	7.12312e-20	5.82764e-21	4.23075e-22	3.08845e-23	2.01181e-24	1.34178e-25	8.05465e-27	5.09714e-28	3.0169e-29	1.95414e-30	1.23829e-31	8.55903e-33	5.84922e-34	4.11688e-35	2.86546e-36	2.8633e-37	
Scirpus_pendulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.70974e-10	5.06501e-10	3.8813e-09	2.73984e-08	1.52075e-07	7.22782e-07	3.00566e-06	9.19884e-06	2.33884e-05	5.26161e-05	9.89435e-05	0.000183632	0.000432215	0.000995163	0.00137751	0.000968561	0.0003959	0.000123084	3.37219e-05	1.6357e-05	6.78353e-05	0.000416554	0.00209761	0.00852927	0.0269496	0.0674745	0.127338	0.188801	0.205105	0.176553	0.109233	0.0552259	0.0198449	0.00604938	0.00131116	0.00025061	3.42877e-05	4.27933e-06	3.88157e-07	3.30133e-08	2.06843e-09	1.24845e-10	5.65626e-12	2.52834e-13	8.62565e-15	2.9568e-16	7.88269e-18	2.13529e-19	4.56967e-21	9.96531e-23	1.74965e-24	3.11708e-26	4.51827e-28	6.60449e-30	7.96691e-32	9.65064e-34	9.69882e-36	9.78427e-38	8.26665e-40	7.07406e-42	5.0792e-44	3.78706e-46	2.45707e-48	1.78128e-50	1.23832e-52	1.03406e-54	8.79203e-57	7.97556e-59	6.89346e-61	6.94619e-63	
