NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.18755	0.176819	0.157716	0.133313	0.106833	0.0811386	0.0583533	0.0396882	0.0254863	0.0154229	0.00877665	0.00468643	0.00234293	0.00109438	0.000476665	0.000193253	7.28142e-05	2.54615e-05	8.25314e-06	2.47735e-06	6.88068e-07	1.76708e-07	4.19393e-08	9.19473e-09	1.86148e-09	3.47911e-10	6.00185e-11	9.55548e-12	1.40391e-12	1.9034e-13	5.01714e-17	1.70482e-17	5.56528e-18	1.74546e-18	5.25994e-19	1.52313e-19	4.23863e-20	1.13369e-20	2.91476e-21	7.20459e-22	1.7123e-22	3.91368e-23	8.604e-24	1.81972e-24	3.70322e-25	7.25291e-26	1.3674e-26	2.48209e-27	4.3389e-28	7.306e-29	1.18528e-29	1.85312e-30	2.79279e-31	4.05819e-32	5.68717e-33	7.6885e-34	1.00296e-34	1.2628e-35	1.53501e-36	1.80189e-37	2.04319e-38	2.23856e-39	2.37046e-40	2.42677e-41	2.4028e-42	2.30229e-43	2.13868e-44	1.94279e-45	1.81876e-46	2.54154e-47	
N2	0.0772632	0.0837514	0.0888707	0.0931062	0.094166	0.0929225	0.0876497	0.0802733	0.0699444	0.0592092	0.0475923	0.0373188	0.0277428	0.0202595	0.0140018	0.00960165	0.00621023	0.0040377	0.00246365	0.00153478	0.000889118	0.000534195	0.000295001	0.000171352	9.00085e-05	5.02636e-05	2.50216e-05	1.33619e-05	6.25881e-06	3.16823e-06	1.39311e-06	6.67525e-07	2.74238e-07	1.237e-07	4.76123e-08	2.03055e-08	7.30108e-09	2.93016e-09	9.90417e-10	3.76965e-10	1.19291e-10	4.27489e-11	1.27704e-11	4.35203e-12	1.21882e-12	3.90753e-13	1.03593e-13	3.16273e-14	7.85483e-15	2.25078e-15	5.29777e-16	1.44669e-16	3.18591e-17	8.1518e-18	1.70312e-18	4.1587e-19	8.1191e-20	1.85562e-20	3.44556e-21	7.54601e-22	1.3174e-22	2.72808e-23	4.65881e-24	9.61249e-25	1.68504e-25	3.65278e-26	7.58539e-27	1.94292e-27	5.43816e-28	2.47941e-28	
N3	0.00103737	0.0014897	0.00245846	0.00424307	0.00711738	0.0114853	0.0174182	0.025124	0.0340158	0.0441061	0.0543233	0.0649512	0.0743607	0.0827702	0.0875853	0.0892259	0.0853477	0.0779376	0.0662852	0.053659	0.0402868	0.0288083	0.0190679	0.0120522	0.00704071	0.00394223	0.00203804	0.00101424	0.000465338	0.000206461	8.43413e-05	3.34729e-05	1.22065e-05	4.34361e-06	1.41789e-06	4.53561e-07	1.32781e-07	3.82425e-08	1.00651e-08	2.61629e-09	6.20094e-10	1.45686e-10	3.11806e-11	6.6401e-12	1.28576e-12	2.4862e-13	4.36991e-14	7.699e-15	1.23096e-15	1.97988e-16	2.89078e-17	4.26211e-18	5.6975e-19	7.71987e-20	9.50001e-21	1.19029e-21	1.35606e-22	1.58156e-23	1.69014e-24	1.86345e-25	1.90497e-26	2.02794e-27	2.04666e-28	2.16238e-29	2.2083e-30	2.34051e-31	2.42208e-32	2.55471e-33	2.74093e-34	4.53606e-35	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	9.94638e-06	1.85094e-05	4.38276e-05	0.000109038	0.000258335	0.00057685	0.00119251	0.00228343	0.00396921	0.00639058	0.00971742	0.0146694	0.0223089	0.0344698	0.0519865	0.0748688	0.0987381	0.118971	0.127534	0.123368	0.105182	0.0810003	0.0548039	0.0337482	0.0182316	0.00908394	0.00396701	0.00162847	0.000584529	0.000201841	6.06548e-05	1.79547e-05	4.58152e-06	1.17421e-06	2.56522e-07	5.70705e-08	1.06924e-08	2.05909e-09	3.31408e-10	5.52438e-11	7.64657e-12	1.10379e-12	1.32068e-13	1.66048e-14	1.72402e-15	1.89537e-16	1.7211e-17	1.66954e-18	1.33155e-19	1.14444e-20	8.0915e-22	6.22905e-23	3.91747e-24	2.70886e-25	1.53187e-26	9.63787e-28	4.90956e-29	2.81155e-30	1.30806e-31	6.9344e-33	2.95845e-34	1.45905e-35	5.9381e-37	2.872e-38	1.2016e-39	6.13648e-41	2.99395e-42	1.69074e-43	9.37189e-45	7.62594e-46	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0500436	0.0561888	0.0634126	0.0717896	0.0790688	0.0850635	0.0873627	0.086715	0.0816196	0.0741731	0.0638497	0.053264	0.0421132	0.0324704	0.0237394	0.0170588	0.0116045	0.00782966	0.00498074	0.00317704	0.00189566	0.00114898	0.00064456	0.000372979	0.000196729	0.000108788	5.39402e-05	2.85161e-05	1.32477e-05	6.66592e-06	2.8989e-06	1.38687e-06	5.62563e-07	2.54478e-07	9.64923e-08	4.13611e-08	1.46236e-08	5.90948e-09	1.95881e-09	7.50614e-10	2.32449e-10	8.38957e-11	2.44515e-11	8.38458e-12	2.2846e-12	7.36563e-13	1.89258e-13	5.80242e-14	1.39024e-14	3.99067e-15	9.01401e-16	2.4602e-16	5.1593e-17	1.312e-17	2.59257e-18	6.27121e-19	1.14504e-19	2.56793e-20	4.42061e-21	9.45084e-22	1.50186e-22	2.9808e-23	4.53956e-24	8.8298e-25	1.33361e-25	2.67472e-26	4.92873e-27	1.22521e-27	3.39892e-28	1.76863e-28	
N6	0.0182599	0.0215234	0.0263639	0.0329978	0.0406039	0.0491379	0.0571873	0.0647503	0.0701048	0.073714	0.0740103	0.0723231	0.0675952	0.061881	0.0543712	0.0471482	0.0392614	0.0324391	0.0256315	0.0201762	0.0150746	0.0112866	0.00795799	0.00567559	0.00377717	0.00257174	0.0016182	0.00105373	0.000626322	0.000388943	0.000217974	0.000128627	6.76435e-05	3.76844e-05	1.85529e-05	9.73407e-06	4.46918e-06	2.19872e-06	9.42171e-07	4.35387e-07	1.73772e-07	7.52418e-08	2.80738e-08	1.14458e-08	3.9862e-09	1.52644e-09	4.99051e-10	1.80759e-10	5.53384e-11	1.88773e-11	5.45115e-12	1.76658e-12	4.79037e-13	1.46451e-13	3.76121e-14	1.09587e-14	2.64733e-15	7.28032e-16	1.67326e-16	4.40701e-17	9.61225e-18	2.42007e-18	5.19467e-19	1.30981e-19	2.92814e-20	7.81431e-21	2.02239e-21	6.17933e-22	2.10386e-22	1.19925e-22	
N7	5.42576e-05	9.5409e-05	0.000203702	0.00044968	0.000945393	0.00186769	0.00339404	0.00586537	0.00971734	0.015645	0.0235604	0.0329671	0.041477	0.047495	0.0488698	0.0473765	0.0445913	0.0445917	0.0477621	0.0550577	0.0627622	0.0703498	0.0728927	0.0722346	0.0649509	0.055892	0.0433608	0.0324199	0.0217292	0.0141497	0.00821556	0.00467131	0.0023523	0.00116807	0.000510907	0.000221765	8.42633e-05	3.19535e-05	1.05703e-05	3.50991e-06	1.01209e-06	2.94585e-07	7.43658e-08	1.90664e-08	4.22477e-09	9.56436e-10	1.87162e-10	3.76672e-11	6.52932e-12	1.17118e-12	1.81133e-13	2.91855e-14	4.03795e-15	5.85523e-16	7.30526e-17	9.61718e-18	1.0847e-18	1.29888e-19	1.34019e-20	1.48102e-21	1.41533e-22	1.46602e-23	1.35166e-24	1.37392e-25	1.29354e-26	1.34681e-27	1.35585e-28	1.45951e-29	1.58877e-30	2.69561e-31	
