NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.211111	0.201917	0.181218	0.148915	0.109786	0.071655	0.0410571	0.0205348	0.00893346	0.00336934	0.00109937	0.000309565	7.51048e-05	1.5672e-05	2.80962e-06	4.32302e-07	5.70588e-08	6.45812e-09	6.26839e-10	5.21888e-11	3.729e-12	2.28827e-13	3.16845e-17	6.75014e-18	1.33475e-18	2.4512e-19	4.1836e-20	6.6408e-21	9.81104e-22	1.3501e-22	1.73189e-23	2.07264e-24	2.31597e-25	2.4183e-26	2.36167e-27	2.15888e-28	1.84888e-29	1.48467e-30	1.11884e-31	7.91945e-33	5.2697e-34	3.29924e-35	1.94515e-36	1.08087e-37	5.66561e-39	2.80375e-40	1.31104e-41	5.7975e-43	2.42645e-44	9.61971e-46	3.61547e-47	1.28922e-48	4.36503e-50	1.40439e-51	4.29694e-53	1.25121e-54	3.46992e-56	9.17166e-58	2.3122e-59	5.56362e-61	1.27863e-62	2.80857e-64	5.90018e-66	1.18623e-67	2.2839e-69	4.21377e-71	7.45518e-73	1.2666e-74	2.09087e-76	4.42777e-78	
N2	0.0660443	0.0821474	0.0994612	0.115086	0.122308	0.121842	0.108176	0.0903605	0.0686621	0.0488874	0.0317384	0.0203139	0.0114919	0.00659974	0.00345367	0.00181613	0.000852859	0.000435582	0.000182882	8.54786e-05	3.38032e-05	1.42283e-05	4.95963e-06	2.00593e-06	6.07554e-07	2.16927e-07	6.18419e-08	1.9592e-08	4.81418e-09	1.44322e-09	3.08593e-10	8.15287e-11	1.62218e-11	3.68725e-12	6.39458e-13	1.41062e-13	2.07044e-14	3.86228e-15	5.42146e-16	8.98633e-17	1.06881e-17	1.65529e-18	1.71574e-19	2.35582e-20	2.2865e-21	2.66118e-22	2.27498e-23	2.64454e-24	1.91018e-25	1.85908e-26	1.31786e-27	1.16518e-28	7.04931e-30	5.92023e-31	3.19026e-32	2.41278e-33	1.23323e-34	7.92724e-36	3.67188e-37	2.43233e-38	9.56885e-40	5.33577e-41	2.15715e-42	1.12761e-43	4.04344e-45	2.17434e-46	9.15715e-48	6.08247e-49	4.25577e-50	5.20814e-51	
N3	0.000122636	0.000277165	0.000731124	0.00182768	0.00404075	0.0080971	0.0143553	0.0234387	0.0344028	0.0462136	0.0573443	0.0696964	0.0806837	0.0931692	0.102217	0.106236	0.100274	0.088413	0.0670121	0.046629	0.0280923	0.0151398	0.00701149	0.00300692	0.00107299	0.00035762	0.000102394	2.67939e-05	6.01243e-06	1.29221e-06	2.30272e-07	3.97126e-08	5.89434e-09	8.25058e-10	9.95968e-11	1.1932e-11	1.18311e-12	1.17428e-13	1.00994e-14	8.42845e-16	6.07933e-17	4.48042e-18	2.74117e-19	1.72666e-20	9.43571e-22	5.10788e-23	2.4042e-24	1.18514e-25	4.82934e-27	2.06865e-28	7.72202e-30	2.91065e-31	9.51361e-33	3.31827e-34	9.57561e-36	2.96051e-37	7.94722e-39	2.1862e-40	5.24663e-42	1.36846e-43	2.95772e-45	7.01944e-47	1.49769e-48	3.43152e-50	7.45209e-52	1.86797e-53	4.59454e-55	1.25441e-56	3.44129e-58	1.26953e-59	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	3.35693e-07	1.25305e-06	5.87075e-06	2.49589e-05	8.91991e-05	0.000274821	0.000751988	0.00187162	0.00397596	0.00681892	0.00953579	0.0122119	0.0157396	0.0223298	0.0344169	0.0563012	0.0904589	0.134459	0.16355	0.165388	0.131392	0.0836878	0.0413755	0.0176613	0.00560906	0.00161458	0.000366692	7.42559e-05	1.17225e-05	1.84203e-06	2.07995e-07	2.41219e-08	2.13293e-09	1.8626e-10	1.23664e-11	8.92196e-13	4.54097e-14	2.57282e-15	1.09782e-16	5.0186e-18	1.71184e-19	6.81149e-21	1.89263e-22	6.26339e-24	1.5461e-25	4.26476e-27	8.82794e-29	2.2813e-30	3.95987e-32	8.63311e-34	1.42023e-35	2.70265e-37	3.78248e-39	6.92519e-41	8.39742e-43	1.34488e-44	1.56555e-46	2.15665e-48	2.21275e-50	3.07963e-52	2.69205e-54	3.19533e-56	2.80642e-58	3.04976e-60	2.37768e-62	2.68576e-64	2.40977e-66	3.33749e-68	4.69411e-70	9.41511e-72	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0357522	0.0483401	0.0664759	0.0882942	0.107362	0.120859	0.120566	0.111555	0.0935472	0.0726491	0.0514417	0.0350396	0.0213044	0.0127051	0.00695682	0.00371316	0.00180377	0.000919044	0.000399344	0.000187515	7.70949e-05	3.31245e-05	1.20479e-05	5.04439e-06	1.59227e-06	5.94243e-07	1.7562e-07	5.79432e-08	1.45295e-08	4.54339e-09	9.69033e-10	2.6299e-10	5.13713e-11	1.18028e-11	1.95345e-12	4.2911e-13	5.85436e-14	1.06528e-14	1.36288e-15	2.14917e-16	2.26412e-17	3.29646e-18	2.93559e-19	3.69933e-20	3.03654e-21	3.14495e-22	2.20969e-23	2.29279e-24	1.31437e-25	1.10368e-26	6.21455e-28	4.69896e-29	2.18249e-30	1.56085e-31	6.36049e-33	4.08335e-34	1.57267e-35	8.33047e-37	2.90297e-38	1.65102e-39	4.72788e-41	2.17588e-42	6.57725e-44	2.85742e-45	7.18621e-47	3.06997e-48	8.57405e-50	4.51288e-51	2.37191e-52	2.42803e-53	
N6	0.00807379	0.0121806	0.0196532	0.0312269	0.0461221	0.0639446	0.0799218	0.0938011	0.10129	0.102363	0.0956622	0.0861856	0.0706058	0.0565704	0.0423409	0.0308377	0.020921	0.0146554	0.0091223	0.00600451	0.00361296	0.00222908	0.00122434	0.000736978	0.000360451	0.000194647	8.85367e-05	4.21451e-05	1.64534e-05	7.25711e-06	2.42712e-06	9.28403e-07	2.82339e-07	9.28239e-08	2.42272e-08	7.47986e-09	1.65744e-09	4.37466e-10	9.06356e-11	2.09777e-11	3.71358e-12	8.05261e-13	1.23626e-13	2.35607e-14	3.39239e-15	5.5642e-16	7.01113e-17	1.12521e-17	1.21593e-18	1.67103e-19	1.74723e-20	2.16007e-21	1.95129e-22	2.30244e-23	1.84683e-24	1.9549e-25	1.4916e-26	1.37239e-27	9.4413e-29	8.75178e-30	5.21294e-31	4.175e-32	2.50718e-33	1.87342e-34	1.02323e-35	8.00469e-37	5.16515e-38	4.99909e-39	5.1274e-40	9.51141e-41	
N7	5.52616e-06	1.70023e-05	6.14435e-05	0.000201788	0.000575219	0.00145701	0.003081	0.00564333	0.00960581	0.0158253	0.0256393	0.0421213	0.0624022	0.0817823	0.0899657	0.0883626	0.0823369	0.0795914	0.07006	0.0595525	0.0471624	0.0407861	0.0380872	0.0397996	0.0356776	0.0309655	0.0220448	0.0142237	0.00732995	0.00362166	0.00134584	0.000484931	0.000137263	3.63529e-05	7.57726e-06	1.59134e-06	2.47928e-07	3.95697e-08	5.0083e-09	6.25305e-10	6.16617e-11	6.47473e-12	5.08669e-13	4.32307e-14	2.92248e-15	2.02495e-16	1.12483e-17	6.97558e-19	3.20025e-20	1.6493e-21	6.83595e-23	3.00824e-24	1.05028e-25	4.22804e-27	1.26423e-28	4.39384e-30	1.2086e-31	3.61584e-33	8.67425e-35	2.46758e-36	5.11232e-38	1.26283e-39	2.52913e-41	5.72691e-43	1.07922e-44	2.59975e-46	5.72251e-48	1.61076e-49	4.61216e-51	1.86594e-52	
