NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.195966	0.184206	0.163184	0.136244	0.107047	0.0789863	0.0546054	0.0352823	0.0212531	0.0119044	0.00618492	0.00297328	0.00131965	0.000539623	0.000202934	7.00715e-05	2.21851e-05	6.43281e-06	1.70667e-06	4.13961e-07	9.17419e-08	1.85678e-08	3.43073e-09	5.78543e-10	8.90306e-11	1.25016e-11	1.60181e-12	1.87286e-13	4.45962e-17	1.39179e-17	4.15028e-18	1.18266e-18	3.22096e-19	8.38531e-20	2.08706e-20	4.96723e-21	1.13069e-21	2.46214e-22	5.13004e-23	1.02298e-23	1.95281e-24	3.5695e-25	6.24921e-26	1.04817e-26	1.68479e-27	2.59595e-28	3.83538e-29	5.43521e-30	7.39012e-31	9.64386e-32	1.20824e-32	1.45377e-33	1.68044e-34	1.86671e-35	1.99343e-36	2.04712e-37	2.02232e-38	1.9225e-39	1.7593e-40	1.55031e-41	1.31599e-42	1.07644e-43	8.4875e-45	6.45323e-46	4.73315e-47	3.35062e-48	2.29209e-49	1.52394e-50	1.02621e-51	1.01028e-52	
N2	0.0769661	0.0850036	0.0918115	0.0974601	0.0993721	0.0982817	0.0919086	0.0829218	0.0706841	0.058009	0.0449197	0.0338574	0.0239307	0.0166204	0.0108815	0.00704194	0.00428043	0.00263693	0.0015012	0.000881616	0.000478459	0.000268723	0.000137511	7.4866e-05	3.59054e-05	1.85168e-05	8.41991e-06	4.09049e-06	1.72341e-06	7.95725e-07	3.10289e-07	1.33931e-07	4.8983e-08	1.9642e-08	6.64906e-09	2.53886e-09	7.91226e-10	2.79982e-10	8.25548e-11	2.73197e-11	7.42053e-12	2.32072e-12	5.85287e-13	1.71179e-13	4.06075e-14	1.09574e-14	2.41857e-15	6.25681e-16	1.26741e-16	3.01424e-17	5.81891e-18	1.29904e-18	2.30201e-19	4.83985e-20	8.00181e-21	1.58131e-21	2.45515e-22	4.46192e-23	6.49473e-24	1.14314e-24	1.5331e-25	2.49705e-26	3.29114e-27	5.24916e-28	6.93083e-29	1.16633e-29	1.83452e-30	3.68147e-31	8.04091e-32	2.91883e-32	
N3	0.000669451	0.00103755	0.00187408	0.00349722	0.00624979	0.0106103	0.0167045	0.0248114	0.0343546	0.045188	0.0562428	0.0678506	0.0779783	0.0870166	0.0920414	0.0930905	0.0879596	0.0790202	0.0654159	0.0512836	0.0370238	0.0251922	0.0157391	0.00934174	0.00505204	0.00260532	0.00123043	0.000553063	0.000227271	8.99693e-05	3.22795e-05	1.12113e-05	3.55042e-06	1.0849e-06	3.01846e-07	8.21266e-08	2.01276e-08	4.84561e-09	1.05949e-09	2.26541e-10	4.39124e-11	8.44077e-12	1.45632e-12	2.50277e-13	3.89336e-14	5.9989e-15	8.36744e-16	1.17305e-16	1.47126e-17	1.86176e-18	2.13167e-19	2.44678e-20	2.53754e-21	2.67754e-22	2.52861e-23	2.43991e-24	2.13198e-25	1.89221e-26	1.53083e-27	1.28241e-28	9.79059e-30	7.82927e-31	5.91402e-32	4.68744e-33	3.60353e-34	2.91746e-35	2.31039e-36	1.88207e-37	1.54692e-38	1.91206e-39	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	4.74893e-06	1.00098e-05	2.72106e-05	7.58752e-05	0.000197106	0.000474455	0.00104282	0.00209986	0.00378627	0.00619642	0.00942768	0.014131	0.0213549	0.0331412	0.0507902	0.0746669	0.100691	0.123706	0.133582	0.128812	0.108026	0.0803536	0.0516985	0.0299643	0.0148884	0.00677541	0.00266894	0.000974455	0.00030719	9.33327e-05	2.39838e-05	6.08012e-06	1.31111e-06	2.79157e-07	5.00103e-08	9.13181e-09	1.3635e-09	2.09912e-10	2.67283e-11	3.48835e-12	3.74426e-13	4.23007e-14	3.86187e-15	3.75267e-16	2.97931e-17	2.50484e-18	1.72068e-19	1.28658e-20	7.6858e-22	5.04928e-23	2.69939e-24	1.5781e-25	7.44729e-27	3.95979e-28	1.66821e-29	8.00987e-31	3.08451e-32	1.33503e-33	4.65977e-35	1.89723e-36	5.98806e-38	2.22674e-39	6.75834e-41	2.40866e-42	7.28702e-44	2.7567e-45	9.76703e-47	4.17971e-48	1.76843e-49	1.07645e-50	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0480339	0.0553889	0.0644125	0.0748485	0.0840791	0.0915145	0.0939161	0.0923952	0.0855306	0.0757021	0.0630632	0.0507213	0.038279	0.0281148	0.0194999	0.013219	0.0084507	0.00538409	0.0031949	0.00191627	0.00107138	0.000608091	0.000317501	0.000173443	8.42748e-05	4.35781e-05	1.9976e-05	9.74299e-06	4.11712e-06	1.91649e-06	7.44553e-07	3.23903e-07	1.17452e-07	4.73798e-08	1.57544e-08	6.03624e-09	1.83114e-09	6.47102e-10	1.84227e-10	6.04957e-11	1.57315e-11	4.86732e-12	1.16563e-12	3.35792e-13	7.52901e-14	1.99476e-14	4.13866e-15	1.05226e-15	1.9921e-16	4.64214e-17	8.36902e-18	1.82928e-18	3.00495e-19	6.181e-20	9.42044e-21	1.8178e-21	2.58615e-22	4.54096e-23	6.01157e-24	1.02525e-24	1.22603e-25	1.89495e-26	2.19824e-27	3.2671e-28	3.62407e-29	5.52566e-30	7.36909e-31	1.39195e-31	2.87441e-32	1.15217e-32	
N6	0.016094	0.0196791	0.0251951	0.0328472	0.0418373	0.0520223	0.061537	0.0703371	0.0763931	0.0798963	0.0793711	0.0764714	0.0698739	0.0623756	0.053251	0.0446075	0.0357708	0.0285268	0.0215613	0.0163145	0.0117027	0.00839979	0.00566361	0.00390051	0.00246623	0.00161001	0.000965001	0.000595201	0.000332089	0.000195027	0.000100836	5.53027e-05	2.67516e-05	1.3613e-05	6.06176e-06	2.90548e-06	1.18695e-06	5.256e-07	2.00703e-07	8.24087e-08	2.89029e-08	1.11602e-08	3.61096e-09	1.29669e-09	3.93354e-10	1.30854e-10	3.67947e-11	1.16573e-11	3.0243e-12	8.88194e-13	2.18825e-13	6.0209e-14	1.37142e-14	3.57887e-15	7.6027e-16	1.86131e-16	3.73876e-17	8.49278e-18	1.59759e-18	3.49982e-19	6.11876e-20	1.25345e-20	2.15374e-21	4.32695e-22	7.54893e-23	1.61496e-23	3.29221e-24	8.16795e-25	2.2346e-25	1.0593e-25	
N7	3.2149e-05	6.22288e-05	0.000147156	0.000353144	0.000794875	0.00166109	0.00314199	0.00557989	0.0094466	0.0155343	0.0240707	0.0349461	0.0455966	0.0540568	0.057262	0.0564365	0.0530612	0.0515838	0.0519371	0.0560564	0.0607525	0.0659675	0.0672921	0.0665296	0.0592293	0.0505492	0.0385976	0.0280545	0.0180692	0.0112666	0.00611454	0.00323589	0.00149684	0.000671896	0.00026227	0.000101313	3.34127e-05	1.09817e-05	3.11388e-06	8.75312e-07	2.11434e-07	5.16807e-08	1.07075e-08	2.26273e-09	4.09565e-10	7.51376e-11	1.18182e-11	1.92643e-12	2.64358e-13	3.78504e-14	4.64118e-15	5.89296e-16	6.37997e-17	7.31225e-18	7.04944e-19	7.24203e-20	6.33472e-21	5.84033e-22	4.61023e-23	3.93443e-24	2.8258e-25	2.21849e-26	1.53299e-27	1.16285e-28	8.11172e-30	6.39872e-31	4.86384e-32	4.04573e-33	3.39011e-34	4.3391e-35	
