NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.00144212	0.00158075	0.00188264	0.00239992	0.00321648	0.0044523	0.00626473	0.00884268	0.0123893	0.0170901	0.0230653	0.0303135	0.0386563	0.047701	0.0568399	0.0652982	0.0722319	0.0768618	0.0786152	0.0772402	0.0728617	0.0659615	0.0572883	0.0477198	0.0381137	0.0291825	0.0214164	0.0150621	0.0101505	0.006554	0.00405414	0.00240233	0.00136359	0.000741354	0.000386051	0.000192544	9.19747e-05	4.20784e-05	1.84374e-05	7.73734e-06	3.10986e-06	1.19717e-06	4.41413e-07	1.55892e-07	5.27358e-08	1.70887e-08	5.30464e-09	1.57749e-09	4.49431e-10	1.2268e-10	3.20868e-11	8.04174e-12	1.93141e-12	4.44564e-13	1.59322e-16	7.32643e-17	3.29863e-17	1.45418e-17	6.27738e-18	2.65368e-18	1.09872e-18	4.45656e-19	1.77173e-19	6.91083e-20	2.65094e-20	1.00537e-20	3.81821e-21	1.49884e-21	6.58699e-22	3.88025e-22	
N2	0.00345889	0.00369694	0.0041854	0.00496569	0.00609691	0.00765194	0.00971107	0.0123525	0.0156395	0.019605	0.0242356	0.0294554	0.0351164	0.040995	0.0467998	0.0521911	0.056811	0.0603212	0.0624429	0.0629927	0.0619075	0.0592549	0.0552246	0.050106	0.0442515	0.0380359	0.0318158	0.0258962	0.0205091	0.0158034	0.0118475	0.00864089	0.0061311	0.0042321	0.00284189	0.00185646	0.00117977	0.000729347	0.000438637	0.000256634	0.000146071	8.08848e-05	4.3574e-05	2.28379e-05	1.16457e-05	5.77785e-06	2.78915e-06	1.31007e-06	5.98762e-07	2.66295e-07	1.1525e-07	4.85407e-08	1.98967e-08	7.93757e-09	3.08217e-09	1.16498e-09	4.28673e-10	1.5358e-10	5.35846e-11	1.82131e-11	6.03378e-12	1.95001e-12	6.15698e-13	1.90425e-13	5.79725e-14	1.75409e-14	5.38428e-15	1.75677e-15	6.77421e-16	3.77656e-16	
N3	0.00195779	0.00219711	0.00270279	0.00353778	0.00479358	0.00658539	0.00904234	0.0122917	0.0164361	0.0215255	0.0275273	0.0342996	0.0415761	0.0489681	0.0559895	0.0621043	0.0667917	0.0696182	0.0703032	0.0687641	0.0651313	0.0597292	0.0530266	0.0455689	0.0379034	0.0305139	0.0237747	0.0179274	0.013083	0.00924032	0.0063163	0.00417877	0.00267583	0.0016585	0.000995037	0.000577906	0.000324935	0.000176885	9.32329e-05	4.75851e-05	2.35197e-05	1.12588e-05	5.22025e-06	2.34463e-06	1.0202e-06	4.30103e-07	1.75704e-07	6.95603e-08	2.6691e-08	9.92758e-09	3.57975e-09	1.25155e-09	4.24316e-10	1.39521e-10	4.4501e-11	1.37707e-11	4.13514e-12	1.20527e-12	3.41105e-13	9.37786e-14	2.50628e-14	6.5179e-15	1.65207e-15	4.09146e-16	9.94149e-17	2.38731e-17	5.74982e-18	1.4404e-18	4.16552e-19	1.83229e-19	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	1.80013e-05	2.59912e-05	4.7741e-05	9.77966e-05	0.000205975	0.000428544	0.000864691	0.00167719	0.0031126	0.00551096	0.00929019	0.0148885	0.022656	0.0327033	0.0447431	0.0579829	0.0711344	0.0825796	0.0906834	0.0941725	0.0924633	0.0858218	0.0752947	0.0624375	0.048937	0.0362536	0.0253873	0.0168064	0.0105193	0.00622616	0.00348545	0.00184586	0.000924998	0.000438737	0.00019702	8.37907e-05	3.37597e-05	1.28905e-05	4.66617e-06	1.6019e-06	5.21744e-07	1.61288e-07	4.73414e-08	1.31995e-08	3.49727e-09	8.8094e-10	2.11054e-10	4.81131e-11	1.04411e-11	2.1579e-12	4.24926e-13	7.97605e-14	1.42773e-14	2.43829e-15	3.97461e-16	6.18683e-17	9.20022e-18	1.3076e-18	1.77702e-19	2.31013e-20	2.8741e-21	3.42366e-22	3.90694e-23	4.27424e-24	4.48881e-25	4.53928e-26	4.45804e-27	4.37238e-28	4.7733e-29	9.16e-30	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0022179	0.00238585	0.00273498	0.0033032	0.00414722	0.00534154	0.00697531	0.00914578	0.0119477	0.0154582	0.0197185	0.0247137	0.0303555	0.0364692	0.0427931	0.0489887	0.0546669	0.0594255	0.0628954	0.0647869	0.0649285	0.0632923	0.0599984	0.0553	0.0495499	0.0431557	0.0365314	0.030053	0.0240254	0.0186632	0.0140866	0.0103304	0.00736027	0.00509478	0.0034261	0.00223823	0.00142048	0.000875749	0.000524491	0.000305144	0.000172457	9.46811e-05	5.04958e-05	2.61613e-05	1.31668e-05	6.43755e-06	3.05767e-06	1.41091e-06	6.32499e-07	2.75475e-07	1.1657e-07	4.79283e-08	1.91482e-08	7.43409e-09	2.80502e-09	1.02876e-09	3.66813e-10	1.27186e-10	4.29e-11	1.40843e-11	4.50427e-12	1.40502e-12	4.2838e-13	1.28136e-13	3.78611e-14	1.12008e-14	3.41009e-15	1.13043e-15	4.5535e-16	2.65911e-16	
N6	0.00260987	0.00280974	0.00322097	0.00387908	0.00483506	0.00615252	0.00790297	0.0101588	0.0129837	0.0164207	0.0204791	0.0251214	0.0302526	0.0357143	0.0412864	0.0466967	0.0516402	0.0558059	0.0589084	0.0607191	0.0610945	0.0599935	0.0574839	0.0537353	0.0489988	0.0435788	0.0377998	0.0319738	0.0263733	0.0212117	0.0166346	0.0127192	0.00948221	0.00689209	0.00488405	0.00337439	0.00227297	0.00149271	0.000955757	0.000596636	0.000363135	0.000215491	0.000124681	7.03384e-05	3.86912e-05	2.07526e-05	1.08538e-05	5.53548e-06	2.75299e-06	1.33519e-06	6.31519e-07	2.91306e-07	1.31054e-07	5.75045e-08	2.46108e-08	1.0274e-08	4.18381e-09	1.66206e-09	6.44187e-10	2.43632e-10	8.99382e-11	3.24264e-11	1.14323e-11	3.95187e-12	1.3471e-12	4.58536e-13	1.60103e-13	6.05994e-14	2.75346e-14	1.74286e-14	
N7	4.54164e-06	6.53619e-06	1.15805e-05	2.22928e-05	4.39585e-05	8.65343e-05	0.000167895	0.000318682	0.000588936	0.00105619	0.00183384	0.00307732	0.00498429	0.00778402	0.0117115	0.0169644	0.0236446	0.0316948	0.0408445	0.0505847	0.0601889	0.0687888	0.0754969	0.0795558	0.0804785	0.0781442	0.0728244	0.0651306	0.0558976	0.0460343	0.0363779	0.027584	0.0200697	0.0140119	0.00938734	0.00603523	0.00372373	0.00220509	0.00125336	0.000683856	0.000358214	0.000180161	8.70102e-05	4.03583e-05	1.79809e-05	7.69613e-06	3.16509e-06	1.25091e-06	4.75195e-07	1.7354e-07	6.09386e-08	2.05796e-08	6.6853e-09	2.08946e-09	6.28444e-10	1.81935e-10	5.07082e-11	1.36099e-11	3.5185e-12	8.76412e-13	2.10406e-13	4.87106e-14	1.0883e-14	2.35007e-15	4.91991e-16	1.00548e-16	2.03965e-17	4.28872e-18	1.05394e-18	4.13292e-19	
